Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-1,9,-8,0
2,-8,12,-5,0
3,0,8,-10,1
4,0,-1,7,1
5,0,15,-16,7
6,4,-4,8,4
7,-7,15,-2,0
8,-2,5,-5,3
9,-2,0,15,-6
10,4,0,0,2
11,8,-2,0,2
12,0,12,-17,8
13,3,0,-12,8
14,0,8,-9,-3
15,-11,13,-4,3
16,-3,7,-2,-1
17,-4,7,-1,-6
18,-6,7,-12,2
19,-2,-8,6,-4
20,-4,-7,6,-4
21,-6,-4,3,1
22,-4,3,-7,1
23,0,0,2,4
24,-12,13,-7,0
25,0,2,-8,4
26,-7,7,0,-3
27,-3,-2,12,-3
28,3,0,-3,5
29,-7,7,-4,2
30,-7,13,-5,2
31,-4,7,2,8
32,0,7,-1,6
33,-1,6,2,0
34,-5,4,-8,3
35,4,9,-16,9
36,-1,6,-10,14
37,-4,2,1,3
38,-2,-4,8,-10
39,-2,5,-5,11
40,-12,17,-3,-2
41,-1,0,0,3
42,5,-10,6,-2
43,0,-11,4,0
44,-2,6,-5,0
45,2,-4,7,-1
46,3,-6,9,-4
47,-11,18,-9,6
48,-2,3,-2,6
49,-6,19,-24,10
50,-11,11,-7,4
51,-5,-1,9,-7
52,-4,9,-13,1
53,-13,12,-19,2
54,-5,0,2,1
55,-5,4,-1,2
56,-7,3,-1,4
57,-5,13,-21,1
58,11,-23,14,-11
59,-4,4,-7,10
60,-9,0,2,-3
61,6,-11,-1,2
62,-11,4,-4,-3
63,0,-7,0,-11
64,-10,14,-29,4
65,-7,8,-14,0
66,-10,11,-15,-2
67,-12,20,-25,0
68,-1,4,-7,-5
69,-6,5,-10,-4
70,-13,16,-17,4
71,0,-15,8,-13
72,-2,-4,0,-8
73,-4,3,-5,-4
74,-2,2,-9,-6
75,-5,-14,18,-12
76,-6,12,-18,-1
77,-2,0,-19,-5
78,-2,-4,-5,-4
79,-3,-3,-5,0
80,-7,3,-10,1
81,-2,-17,6,-10
82,-7,4,-2,-7
83,-8,7,-16,0
84,-5,-4,5,-7
85,-6,-2,-5,-3
86,-2,-4,-3,-4
87,-4,-1,1,-8
88,-4,5,-7,-5
89,-1,-1,-8,-2
90,0,0,-14,-2
91,-5,11,-22,0
92,-4,-15,22,-9
93,-4,3,-13,-4
94,-2,0,-1,-6
95,-6,0,0,-2
96,-5,2,-15,0
97,2,-11,3,-4
98,-5,4,-15,0
99,0,-4,9,-6
100,-11,6,-2,-4
101,-1,0,-5,-3
102,-10,3,-7,-1
103,0,-3,2,-7
104,-17,14,-20,3
105,-4,7,-15,-5
106,-6,-9,4,-5
107,-14,4,-2,-13
108,-17,22,-17,-7
109,-7,-8,0,-10
110,-7,0,-3,-6
111,-14,16,-15,-3
112,-9,8,-11,-3
113,-2,-20,18,-7
114,-7,8,-12,0
115,-12,-1,9,-7
116,-5,-10,1,-2
117,0,-6,-5,-5
118,-6,-1,-8,0
119,-10,10,-16,1
120,-2,-12,3,-9
121,0,-6,-3,-1
122,-2,-14,3,-11
123,-9,-8,7,-10
124,-16,18,-20,0
125,0,-14,-1,-6
126,-12,9,-13,-9
127,0,-17,7,-9
128,-3,-2,-6,0
129,-11,5,-14,-6
130,-6,10,-20,4
131,1,-19,14,-9
132,-8,-1,-3,-12
133,-6,-6,-6,-4
134,-8,-12,13,-15
135,-14,3,0,-10
136,-2,-4,-7,-3
137,-2,-11,22,-11
138,-11,1,10,-11
139,-11,2,-8,-4
140,-8,4,-3,-12
141,-5,-3,-3,0
142,0,-4,-1,-5
143,-10,-5,5,-11
144,-7,-4,-5,-1
145,-4,-3,-1,-5
146,-7,-4,1,-1
147,-11,5,-20,5
148,-7,5,-14,-4
149,-2,-7,-2,-9
150,-3,-4,-4,-6
151,-10,3,-8,-3
152,-3,-14,10,-7
153,-15,4,3,-11
154,-3,-1,-1,-9
155,-2,-8,1,-13
156,-2,-13,10,-8
