Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,5,-2,-2
2,0,6,-12,4
3,-6,8,-11,4
4,-2,0,2,-2
5,0,-9,6,-3
6,-3,-2,7,-6
7,4,-15,14,-4
8,-8,13,-17,2
9,-2,6,0,1
10,-3,0,-7,2
11,0,-13,15,-12
12,-2,-12,10,-4
13,-1,-6,3,0
14,-10,9,-12,0
15,-7,12,-10,5
16,2,-13,5,4
17,1,-5,-2,2
18,1,-1,-7,1
19,-2,-11,14,-8
20,-5,1,-2,-3
21,-5,-3,5,-3
22,-6,0,-1,0
23,-2,-6,12,-1
24,-5,5,-10,0
25,0,-7,4,0
26,-1,0,-10,0
27,8,-12,9,-6
28,-4,2,-7,-1
29,-5,-5,3,-2
30,-11,0,7,-4
31,0,0,0,0
32,-5,-2,-1,1
33,-4,-5,3,0
34,-5,0,-3,-5
35,-9,11,-8,2
36,-2,11,-19,-2
37,-2,-13,2,-1
38,-5,5,-8,0
39,-10,6,-7,1
40,-5,-1,2,-1
41,2,-14,14,-7
42,-2,1,-1,-6
43,-8,8,-14,0
44,-2,-10,5,-4
45,0,-14,9,-3
46,-2,-9,6,1
47,3,-10,6,-8
48,4,-3,-6,3
49,0,-7,3,-4
50,-16,20,-15,-6
51,-5,3,-11,-2
52,-11,2,-4,-6
53,-7,11,-21,0
54,-2,3,-9,-4
55,-2,-7,-1,-3
56,-1,-7,-2,-5
57,-3,0,-8,2
58,-4,4,-13,4
59,-2,-11,14,-7
60,1,-8,9,-5
61,0,-15,19,-7
62,-1,3,-12,0
63,0,-6,-1,-3
64,-11,10,-19,1
65,-6,5,-7,-5
66,0,2,-15,-4
67,-5,8,-6,0
68,5,-7,6,-8
69,-1,9,-17,3
70,-8,-2,1,-1
71,-6,0,3,-6
72,5,-10,-4,2
73,-9,10,-8,0
74,-1,-10,0,0
75,-7,-1,1,0
76,-4,-15,15,-11
77,-2,-1,5,-7
78,0,-11,10,-4
79,-1,-12,7,-9
80,-2,-6,5,-5
81,-11,5,-1,-5
82,-7,6,-3,-5
83,-7,2,-6,-4
84,-4,-2,-5,0
85,1,-2,-1,-11
86,2,-10,5,-6
87,-7,6,-5,0
88,-8,8,-10,-1
89,-6,-1,-2,-2
90,-2,1,-11,3
91,-5,0,-15,0
92,-6,-1,-8,-2
93,-8,9,-20,0
94,3,-12,2,-5
95,-4,-13,14,-4
96,2,-11,-4,3
97,-4,2,-7,0
98,-15,3,-9,-4
99,-5,0,-2,-5
100,-10,2,0,-7
101,-1,-2,-1,0
102,-2,-1,0,-3
103,4,-23,9,-8
104,-14,14,-8,-7
105,-2,-9,-3,-7
106,-2,-1,-6,-5
107,-7,-4,8,-8
108,-11,7,-18,0
109,-5,-1,1,0
110,-4,0,-6,5
111,-5,-13,3,-5
112,-8,4,-7,-7
113,-6,-1,1,0
114,0,-17,18,-8
115,0,-17,17,-8
116,-4,0,4,-7
117,-6,4,-5,-2
118,-6,0,-15,6
119,-8,2,-5,0
120,-9,4,-3,-3
121,-7,6,-7,0
122,0,-4,0,-1
123,-1,-5,0,-4
124,-7,0,-10,0
125,1,-15,1,-2
126,-6,0,-1,-5
127,-2,-10,4,-7
128,-3,-3,1,-5
129,-3,-3,-6,-2
130,11,-25,12,-8
131,-4,-3,-2,0
132,-4,-3,-4,-8
133,-11,2,-6,-8
134,0,-17,21,-14
135,-4,-6,1,-4
136,-11,-1,7,-9
137,-3,-16,14,-6
138,0,-22,28,-11
139,-4,-8,0,-6
140,-3,0,-10,-1
141,-4,-8,6,-11
142,3,-17,17,-13
143,4,-14,7,-4
144,-2,-6,2,0
145,-8,4,3,-13
146,-8,4,2,-6
147,-4,-13,9,-11
148,-13,6,-6,-5
149,-10,-1,-11,-5
150,-5,3,-14,-8
151,-2,-11,8,-6
152,-5,-2,1,0
153,-3,0,-4,0
154,-4,-14,20,-14
155,0,-8,0,-1
156,-13,5,4,-12
157,6,-19,12,-6
158,-2,-24,17,-10
159,-6,-8,5,-10
160,-6,-13,12,-17
161,1,-3,-3,0
162,-5,0,-4,0
163,-11,19,-31,6
164,0,-3,-6,-6
165,-3,-6,-3,-4
166,2,-15,8,-5
167,-4,-7,7,-4
168,-1,-8,7,-5
169,-2,3,-12,0
170,-7,0,-4,1
171,-6,-3,2,-4
172,-7,7,-10,-1
173,-2,-8,7,1
174,3,-14,17,-6
175,1,-2,1,-3
176,-2,-1,0,-1
177,-4,-2,0,-5
178,1,-4,0,-1
179,-4,0,-1,-3
180,-3,-3,9,0
181,1,-11,8,-9
182,-5,-1,2,-6
183,-3,1,-8,0
184,-4,-9,6,-4
185,-3,3,-7,0
186,-2,-4,-1,-4
187,-2,-10,8,-4
188,-3,0,-3,-2
189,-2,-10,14,-6
190,-10,-2,-2,0
191,3,-15,4,-9
192,-1,-8,5,-12
193,-10,-8,11,-3
194,-4,2,-15,3
195,-12,1,-5,-2
196,-2,-10,6,-5
197,4,-18,16,-6
198,-14,11,-6,-2
199,2,-10,0,-3
200,-7,8,-12,3
201,-8,-1,-1,0
202,-4,-14,7,0
203,-2,-5,0,-4
204,-2,-11,12,-9
205,-14,-1,-3,1
206,-2,-9,2,-6
207,0,-1,-15,4
208,-1,-9,1,0
209,-4,2,-15,4
210,4,-15,7,-8
211,-10,9,-16,-6
212,-1,-28,34,-14
213,-4,-7,7,-5
214,-1,-19,16,-5
215,-2,-6,2,-5
216,-10,14,-25,7
217,0,-3,-8,-1
218,5,-19,13,-7
219,-3,-5,0,-1
220,-12,7,-7,-3
221,-7,4,-5,-9
222,0,-13,7,-1
223,-4,2,-11,-1
224,-6,-10,22,-13
225,-3,-7,5,0
226,-3,-18,21,-6
227,0,-8,7,-7
228,-3,-9,13,-8
229,2,-6,-11,9
230,-4,-12,9,-13
231,0,-20,10,0
232,-9,-6,9,-5
233,-8,3,-11,0
234,0,0,-8,-1
235,-1,-9,2,-3
236,-2,-6,7,-3
237,-5,4,-10,3
238,-4,-15,23,-13
239,3,-17,13,-2
240,-10,6,-13,2
241,0,-22,16,-4
242,-12,5,3,-8
243,-2,-15,5,0
244,2,-19,13,0
245,0,-10,-1,2
246,-2,-1,-7,3
247,-4,-6,1,3
248,-8,3,-5,6
249,-6,-5,-1,-4
250,-2,-11,9,-2
251,0,-13,7,-2
252,-3,-12,10,0
253,0,-6,-10,11
254,-1,-4,0,4
255,-3,-9,2,-5
256,0,-13,9,-2
257,-5,-8,3,0
258,-11,20,-22,4
259,-4,-4,-1,0
260,-3,-3,3,-4
261,-4,2,-4,-2
262,-8,8,-21,11
263,-1,-11,11,-2
264,-9,6,-13,9
265,3,-14,11,-3
266,-3,-18,19,-7
267,3,-17,8,0
268,-3,-9,-4,3
