Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,1,0,-3,-5
2,-5,5,-12,0
3,-5,18,-20,4
4,6,-6,-1,0
5,0,-5,0,-3
6,1,-9,5,-6
7,-2,-3,7,-5
8,0,-2,7,-8
9,-8,11,-13,-2
10,1,-2,6,-6
11,4,-4,-5,0
12,-2,-1,5,-2
13,-2,3,-10,1
14,-1,-3,-2,2
15,-8,7,-6,-5
16,-8,11,-15,5
17,-7,10,-6,2
18,0,-7,0,2
19,-2,-7,0,0
20,-8,7,-12,-1
21,-4,1,-2,-3
22,-8,3,1,0
23,-5,-4,-1,0
24,1,-7,-1,0
25,-6,-5,14,-7
26,4,-9,0,-7
27,-4,-2,9,-9
28,2,-11,6,-7
29,-4,-1,-2,0
30,-9,-4,7,-8
31,-6,-3,3,-3
32,1,-14,0,-3
33,-12,9,-17,0
34,-6,3,-12,-3
35,-7,6,-9,-4
36,-11,5,0,-10
37,1,-7,-2,-4
38,-13,-6,7,-8
39,0,-17,16,-10
40,-4,-4,-5,0
41,-2,-15,12,-7
42,2,-7,3,-14
43,-4,-9,5,-5
44,2,-4,-7,-1
45,-1,-6,3,-9
46,-3,-8,0,-1
47,-7,-3,0,-1
48,2,-18,9,-8
49,-3,-9,9,-9
50,-2,-12,8,-7
51,0,-13,17,-9
52,-4,0,0,-5
53,-2,-11,13,-10
54,-5,1,-1,0
55,3,-19,14,-5
56,-1,0,-8,-10
57,0,-7,3,-1
58,-10,8,-15,-1
59,-5,-3,4,-2
60,-4,-7,2,0
61,8,-24,15,-3
62,-1,-11,14,-4
63,0,0,-9,-3
64,1,0,-7,-2
65,-7,6,-2,-3
66,-8,0,-3,2
67,-3,-9,12,-5
68,0,-9,0,-2
69,1,-3,-4,-7
70,-3,-7,2,-2
71,4,-16,4,-5
72,1,-16,10,-4
73,-1,-5,-2,-4
74,-3,-10,5,-6
75,-5,2,-4,-7
76,-3,-1,0,-6
77,-3,-12,3,1
78,-10,11,-13,-1
79,1,-8,-1,1
80,-3,-2,-11,0
81,0,-13,2,-1
82,-1,-8,-5,1
83,6,-17,12,-3
84,0,-11,2,-9
85,-5,0,-7,-1
86,-8,2,-10,0
87,4,-18,-1,0
88,5,-12,3,-4
89,1,-28,26,-16
90,-2,-11,3,-4
91,0,-7,3,-10
92,-2,-4,-6,-1
93,0,-1,-9,-4
94,-15,13,-18,0
