Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,1,-14,18,-5
2,0,7,-15,0
3,-8,9,-5,0
4,-4,3,5,-11
5,0,0,-8,-1
6,4,-7,-3,1
7,0,-12,6,-4
8,1,-13,11,-5
9,0,-5,2,0
10,0,-4,6,-4
11,-4,3,-5,-1
12,-7,8,-6,0
13,-7,5,-12,-1
14,4,-13,9,-1
15,-4,0,-4,1
16,0,-3,-3,2
17,-5,6,-12,0
18,-3,-6,5,-4
19,-5,2,-4,0
20,1,-17,5,-4
21,13,-21,14,-1
22,1,-7,4,-7
23,3,-10,4,1
24,-10,5,0,0
25,3,-21,21,-8
26,0,-12,8,-8
27,0,-4,8,-2
28,-1,2,-3,-3
29,-10,9,-2,-5
30,-5,-3,1,-4
31,-2,-3,-4,-2
32,2,-3,1,-4
33,1,-11,4,-2
34,-9,7,-8,-2
35,-1,-7,2,-4
36,-7,-2,0,-5
37,1,-5,3,-4
38,5,-22,19,-6
39,-4,-1,1,-7
40,-2,0,2,-1
41,-5,0,8,-9
42,-3,2,-7,4
43,0,-9,15,-9
44,0,-6,0,-3
45,0,-2,-2,2
46,-1,-13,14,-7
47,-11,9,-6,0
48,4,-18,9,-4
49,1,-10,10,-4
50,4,-6,-5,1
51,-6,0,-2,-4
52,-3,-22,23,-9
53,6,-20,13,-5
54,4,-11,1,-4
55,-3,1,-7,0
56,-2,-5,0,-3
57,1,-22,9,-8
58,-3,-8,9,-7
59,-3,-4,4,-3
60,0,-3,-5,1
61,-7,-5,7,-6
62,-4,0,-3,1
63,-10,3,-5,-1
64,-6,-10,12,-4
65,2,-20,11,-8
66,-3,-9,6,-6
67,7,-11,6,-4
68,-3,-6,-10,0
69,0,-14,9,-8
70,3,-15,10,-8
71,4,-17,1,-2
72,0,-24,24,-14
73,-1,-15,5,-3
74,7,-23,26,-12
75,-11,0,10,-9
76,-5,-3,3,-5
77,-2,-15,15,-5
78,5,-19,14,-11
79,-7,3,-1,-6
80,0,-15,9,0
81,-6,-2,3,-2
82,0,-17,11,-3
83,-1,-6,7,0
84,1,-20,8,0
85,-2,-4,4,-9
86,-3,-6,2,-3
87,-8,-9,13,-9
88,-1,-11,9,-8
89,-5,5,-13,1
90,-6,11,-19,2
91,-3,-9,0,-2
92,-8,-4,4,-9
93,0,-10,2,-5
94,-1,-4,-1,-13
95,-2,-8,0,-3
96,-1,-16,13,-8
97,-12,0,-2,-1
98,0,-14,9,-6
99,-1,-8,1,-4
100,3,-16,5,-11
101,-11,-4,8,-4
102,-6,-3,0,-6
103,-3,0,-13,6
104,-8,-5,9,-11
105,-10,6,-1,-10
106,0,-7,7,-2
107,-9,-3,2,-3
108,4,-8,0,-4
109,0,-5,4,-3
110,-5,0,-5,-1
111,-3,-1,0,0
112,-7,-1,1,-13
113,-2,-12,6,-1
114,2,-8,8,-6
115,-7,10,-15,0
116,-7,-5,11,-9
117,-9,-5,1,-2
118,0,-9,-1,-5
119,0,-15,10,-3
120,-10,-2,4,-7
121,-7,4,-7,2
122,-11,4,-2,-5
123,-7,-4,-1,-4
124,0,-21,15,-4
125,-5,-3,-4,1
126,1,-21,12,-9
127,-2,-8,-4,-3
128,2,-15,0,-3
129,8,-30,18,-13
130,-11,5,-4,-6
131,2,-23,10,-6
132,-6,-12,11,-7
133,-7,-14,7,-7
134,-6,-3,0,-5
135,-5,-2,-7,-3
136,3,-21,5,-10
137,-2,-4,-1,-5
138,-4,-2,-3,-2
139,-7,3,0,-10
140,-6,-2,-2,-6
141,-5,-7,0,-5
142,-4,-5,-3,-5
143,-10,-1,0,-5
144,-8,-2,2,-9
145,-2,-14,4,-8
146,-4,-9,4,-6
147,2,-21,11,-11
148,-3,-9,0,-5
149,-6,-3,-4,-3
150,-2,-3,-3,-3
151,-2,-13,16,-12
152,-6,-7,0,-3
153,4,-24,10,-6
154,-18,0,4,-7
155,0,-20,13,-5
156,-14,4,-6,-4
157,-4,-4,6,-6
158,0,-13,7,0
159,-7,-2,-7,-1
160,-8,-5,-1,-1
161,-10,-6,5,-11
162,-9,-3,-4,-1
163,-14,6,-4,-4
164,2,-10,1,-8
165,-11,7,-12,-1
166,-8,-5,3,-9
167,-9,0,-7,-5
168,1,-19,2,-5
169,-4,-10,1,-11
170,-3,-11,1,-7
171,-3,-11,11,-13
172,-12,-2,-13,2
173,-5,-9,6,-7
174,-3,-4,2,-12
175,-2,-13,0,-1
176,0,4,-12,-2
177,-6,-4,-7,-2
178,-10,1,-1,-7
179,-12,12,-3,-2
180,-1,-7,0,-7
181,-7,-5,6,-13
182,-6,-14,19,-17
183,-2,-5,-1,-4
184,-1,-12,6,-4
185,-12,7,-4,0
186,-13,5,-4,-8
187,-8,-16,17,-12
188,-3,-9,2,-8
189,1,-16,7,-11
190,3,-20,7,-7
191,-7,-6,0,-8
192,-2,-15,15,-13
193,-7,-13,13,-13
194,-4,-4,-5,-6
195,-6,-9,6,-14
196,-4,-6,0,-9
197,3,-9,-7,0
198,-1,-9,1,-8
199,-12,0,12,-19
200,0,-14,4,-9
201,-4,-4,-7,-1
202,-12,3,-3,-6
203,-6,-2,0,-11
204,-2,-9,6,-9
205,-11,-7,20,-12
206,3,-19,7,-8
207,-7,-9,19,-17
208,-14,10,-3,-3
209,4,-14,7,-5
210,-6,4,5,-5
211,1,-4,0,1
212,-4,3,6,-6
213,-6,0,5,2
214,-4,-5,12,-5
215,1,-7,7,-4
216,-5,-2,7,-5
217,-4,-2,-2,1
218,4,-10,1,-3
219,0,-15,11,-7
220,-2,-3,-11,3
221,4,-23,14,-8
222,-5,-2,-1,3
223,-2,-6,-2,-1
224,-8,2,-11,3
225,-7,7,-13,1
226,-6,2,-7,-6
227,-10,-1,-1,-5
228,1,-12,3,-1
229,-6,0,-4,-3
230,-11,0,-1,0
231,1,-14,5,-1
232,-6,0,-11,3
233,-3,-2,0,-7
234,-7,-3,0,1
235,2,-8,-5,5
236,-2,-3,-1,-3
237,-7,-12,11,-10
238,-15,14,-13,-5
239,1,-6,0,-6
240,-3,0,-13,4
241,0,-10,4,-9
242,-6,0,-4,-6
243,-3,-7,7,-12
244,-6,0,-4,-5
245,-6,-1,-9,0
246,4,-15,12,-2
247,0,-10,6,4
248,-4,-2,-5,3
249,-12,3,-19,3
250,-8,0,5,-4
251,-15,3,-2,-3
252,1,-21,15,-5
253,3,-23,20,-14
254,-3,-9,-4,0
255,-11,1,-1,1
256,0,-17,8,-4
257,0,-14,8,-5
258,-1,-17,6,-8
259,-10,0,-1,-9
260,-5,-7,5,-4
261,-5,-8,1,-6
262,2,-13,7,0
263,-5,-8,6,-6
264,-3,-5,-4,0
265,-6,5,-22,1
266,-11,4,-9,1
267,-8,4,-8,-2
268,-11,1,-5,-2
269,-2,-16,4,-1
270,1,-10,-3,-3
271,1,-2,-3,0
272,0,-20,18,-11
273,-5,-12,13,-4
274,12,-19,2,-5
275,-2,-2,-6,0
276,-9,6,-10,0
277,-3,-6,3,-4
278,-9,0,-5,-1
279,-1,-11,0,3
280,-8,0,-8,0
281,-5,-3,0,-1
282,-8,0,0,-5
283,-5,2,-7,0
284,-3,-10,13,1
285,-10,0,6,0
286,-2,-9,2,0
287,-6,-1,-6,10
288,0,-18,11,-4
289,-5,-6,3,-3
290,-2,-10,0,0
291,-1,-14,2,2
292,0,-8,-6,-4
293,-19,10,-12,6
294,-2,-13,9,-1
295,-1,-15,9,-7
296,-6,-4,-5,-2
297,-8,0,-7,-1
298,-3,-3,-7,1
299,-8,0,0,-3
300,2,-20,15,-5
301,-4,-4,0,-1
302,-8,-5,7,-4
303,-3,-9,11,-6
304,-14,-4,1,-1
305,3,-23,1,4
306,-5,-4,-1,5
307,-14,1,-8,12
308,-3,-1,-9,2
309,-4,-10,1,6
310,-9,-4,10,2
311,-9,-6,-1,5
312,-5,-9,7,-2
313,0,-16,0,10
314,-6,-12,7,1
315,-2,-15,-4,14
316,-14,10,-8,2
317,-9,-10,5,3
318,-4,-2,-12,13
319,-10,-2,-4,6
320,-3,-6,-3,7
321,-8,0,-4,7
322,-3,2,-6,6
323,-3,-7,0,10
324,-4,-5,0,11
325,-9,-4,6,4
326,-4,-5,-2,4
327,-5,-10,3,5
328,-12,5,-18,10
329,-7,2,0,3
330,0,-11,6,6
331,0,-11,2,3
332,0,5,-23,17
333,-4,-2,-6,9
334,-8,9,-25,19
335,-5,10,-25,12
336,-5,2,0,-1
337,0,-18,16,0
338,-5,-1,-1,4
339,-10,11,-15,15
340,-5,-7,7,4
341,-7,0,-6,12
342,-4,-12,9,1
343,-15,9,-10,13
344,-4,-3,0,1
345,-4,-5,-6,13
346,-13,6,1,6
347,-8,-4,1,1
348,3,-11,4,6
349,-6,-1,-1,7
350,-1,-10,0,6
351,-7,6,-7,5
352,-1,-9,-7,11
353,-9,0,-8,11
354,-4,-2,-10,6
355,-5,5,-9,3
356,0,-12,3,2
357,-6,0,-10,5
358,-8,0,-5,9
359,-8,4,-15,12
360,-4,1,-14,11
361,-8,4,-14,11
362,-8,1,-14,10
363,0,-11,-5,6
364,0,-6,-12,9
365,-14,14,-19,9
366,-11,8,-14,6
367,-6,-12,1,3
368,-4,0,-13,8
369,-4,-11,3,0
370,1,5,-22,13
371,-9,11,-15,16
372,-4,0,-9,9
373,-8,-7,6,1
374,-18,21,-24,11
375,2,-7,-13,11
376,-1,-10,0,3
377,-5,-7,0,1
378,-4,-5,-8,8
379,0,-8,0,4
380,-6,2,-16,5
381,-1,-12,-4,5
382,-6,1,-9,10
383,-1,0,-9,5
384,-9,1,-8,5
385,2,-22,14,0
386,-7,2,-7,5
387,-7,0,-6,3
388,-2,-8,-4,7
389,-2,-12,10,3
390,-10,8,-12,0
391,-8,6,-10,6
392,-7,-2,10,-1
393,-10,4,-2,-1
394,-4,4,-16,10
395,-9,0,-7,5
396,-6,-2,-10,10
397,-10,-3,3,7
398,-6,0,0,9
399,-4,6,-18,15
400,-6,5,-12,6
401,-10,0,1,3
402,0,-17,14,2
403,-9,0,3,10
404,-1,-15,12,3
405,0,-1,0,9
406,7,-13,-4,8
407,-10,11,-20,17
408,-8,7,-13,17
409,-7,2,-5,13
410,-6,-3,1,6
411,-13,-1,-1,9
412,0,-6,-7,11
413,1,-8,-3,7
414,-3,6,-15,7
415,-5,2,-5,9
416,-4,1,0,9
417,-5,5,-6,11
418,-1,-10,-3,16
419,-2,-9,3,6
420,-2,7,-21,17
421,-10,0,-6,5
422,-9,0,3,6
423,1,-3,-9,8
424,-9,6,-8,9
425,0,4,-14,11
426,-2,-7,2,8
427,-17,13,-10,10
428,0,-8,8,1
429,-6,-6,11,3
430,4,-25,16,0
431,-2,-2,-4,7
432,-7,4,-11,8
433,1,-9,-4,10
434,0,-9,-1,11
435,-11,3,-11,7
436,-3,5,-10,7
437,-6,-3,-2,10
438,-3,-9,-3,11
439,-2,-3,-8,9
440,-1,-6,-4,12
441,-4,-3,-4,8
442,-4,-5,0,5
443,-4,-10,12,5
444,-2,1,-13,11
445,-5,3,-12,18
446,-8,1,-6,16
447,-8,3,-10,10
448,-4,-3,-4,7
449,-6,3,-12,10
450,-4,-7,-6,8
451,-8,9,-18,8
452,-6,5,-13,11
453,-4,0,0,7
454,1,-20,18,5
455,-7,-2,-3,8
456,-5,-13,8,1
457,-1,-10,2,3
458,-5,10,-20,18
459,-3,2,-9,12
460,-1,-16,16,2
461,-3,5,-12,9
462,-6,0,-6,5
463,-6,2,-9,3
464,-16,0,0,8
465,-11,7,-15,7
466,-13,5,-5,3
467,-11,-4,1,3
468,-4,-6,6,-1
469,0,-8,-4,10
470,-3,-8,-1,6
471,0,-3,-2,4
472,-7,0,-1,1
473,-8,0,-2,6
474,-5,2,-3,6
475,0,0,-5,3
476,-9,16,-19,10
477,0,-8,2,8
478,-6,4,-8,9
479,-7,9,-6,2
480,-7,2,-4,3
481,-8,-7,4,6
482,2,-7,-1,7
483,-16,22,-22,17
484,-4,-1,-1,6
485,-6,8,-20,16
486,-2,-9,8,5
487,1,-11,0,6
488,1,-8,0,7
489,4,0,-11,12
490,-11,-1,-7,9
491,0,-2,-4,7
492,0,-6,-10,7
493,-10,3,-2,3
494,-9,-3,7,4
495,-4,2,-8,7
496,1,-14,4,9
497,-14,6,-3,3
498,-3,-7,-4,6
499,-7,3,-19,12
500,3,-13,0,-1
501,-7,3,-7,8
502,-1,2,-1,0
503,0,-6,4,-1
504,0,-10,13,2
505,0,-8,-1,7
506,1,-11,0,4
507,-8,4,-6,7
508,-6,15,-23,14
509,-5,2,-18,7
510,-6,6,-11,7
511,2,-1,-12,13
512,-11,0,-2,6
513,-11,3,-3,5
514,-7,3,-16,7
515,-2,3,-5,6
516,0,-8,-10,3
517,0,-8,-6,6
518,-5,-7,0,3
519,3,-19,8,-1
520,-5,5,-10,11
521,0,-23,21,0
522,6,-24,10,0
523,0,0,-12,1
524,-11,4,-3,1
525,0,-7,-3,12
526,-11,11,-18,5
527,-4,-4,-3,1
528,2,-20,14,-4
529,-2,-13,4,3
530,10,-12,8,0
531,-4,5,-10,14
532,-7,0,-1,12
533,-2,5,-2,5
534,-2,-1,-2,7
535,0,-8,-6,18
536,-4,3,-9,9
537,-6,-6,10,2
538,-2,-6,-1,2
539,-5,-5,-1,6
540,-15,19,-27,10
541,-2,-7,2,1
542,0,-4,-2,2
543,-7,4,-8,6
544,-7,0,-15,9
545,-4,-15,14,-5
546,-6,0,-8,3
547,-2,-11,8,4
548,-4,0,-3,4
549,-4,-8,11,0
550,0,-17,19,-3
551,1,0,-8,4
552,-6,2,-5,6
553,-8,1,-9,4
554,6,-18,8,5
555,-2,-1,-8,11
556,-8,-3,9,2
557,-8,9,-13,11
558,-4,7,-20,16
559,1,-10,9,3
560,1,4,-18,17
561,-3,4,-2,4
562,-5,0,-5,2
563,-8,7,0,4
564,-1,-5,-4,4
565,2,-6,-1,2
566,-4,21,-37,19
567,-1,-4,-5,8
568,-5,7,-18,11
569,0,-6,-1,3
570,0,-2,-5,1
571,-5,-1,-2,4
572,0,0,-3,2
573,-1,6,-17,10
574,-3,-3,7,4
575,0,-6,-1,2
576,0,-11,8,1
577,3,-11,4,0
578,-3,2,-7,3
579,9,-14,-2,4
580,-3,-7,0,11
581,4,-13,9,2
582,0,-7,0,8
583,12,-21,9,-6
584,-1,-4,-1,6
585,-8,7,-5,6
586,-3,-4,-3,1
587,0,-10,4,3
588,1,-6,-11,8
589,-8,5,-12,14
590,-2,-7,-4,0
591,2,-9,-3,7
592,0,-6,0,2
593,2,-11,3,7
594,-13,15,-23,13
595,0,3,-9,4
596,-12,13,-12,2
597,-4,6,-12,7
598,8,-6,-9,5
599,-7,8,-12,6
600,-1,-5,0,2
601,-8,2,-5,3
602,-5,0,-5,0
603,0,-8,0,7
604,3,-12,0,0
605,-3,-5,0,7
606,7,-18,11,5
607,-5,3,-10,7
608,-3,-7,6,0
609,-3,-12,13,-1
610,3,-6,-6,0
611,0,2,-4,2
612,9,-13,-2,3
613,-5,-7,6,-6
614,7,-12,-1,1
615,0,-14,11,-7
616,-9,3,-3,-2
617,-6,9,-15,8
618,2,-4,0,0
619,-4,3,-11,-2
620,-3,0,-11,3
621,-9,3,4,-4
622,-3,4,-12,4
623,-5,-1,5,-1
624,0,-4,5,0
625,-8,4,-10,4
626,-5,3,-4,1
627,-7,9,-11,-4
628,-1,0,-9,7
629,-5,2,-9,0
630,0,-2,-6,-6
631,2,-6,-3,-4
632,-12,18,-27,11
633,0,-11,13,-9
634,-8,13,-12,4
635,-2,-8,2,0
636,0,-4,5,-4
637,-1,-4,2,-2
638,5,-9,0,3
639,-5,-1,4,1
640,-4,-5,7,-2
641,-8,4,-2,3
642,3,-15,15,-1
643,5,-15,13,-8
644,-2,-1,6,0
645,1,-1,0,-2
646,2,-1,1,2
647,-2,1,2,3
648,1,-13,17,3
649,4,-19,18,-3
650,4,-11,17,-4
651,-8,1,5,-4
652,15,-3,-10,15
653,12,-17,15,11
654,2,0,9,1
655,-2,17,-6,4
656,-5,26,-23,10
657,0,13,-2,4
658,5,-4,7,7
659,1,13,0,2
660,-6,18,-5,8
661,0,4,7,4
662,9,-13,17,1
663,1,1,6,9
664,3,0,1,6
665,0,-1,4,9
666,4,0,1,8
667,10,-15,14,1
668,-1,-4,0,13
669,-4,3,-6,13
670,-5,10,-13,6
671,-1,4,-2,6
672,-5,5,-10,10
673,-2,0,0,9
674,2,8,-9,2
675,3,0,-5,4
676,1,7,-17,2
677,3,-7,0,4
678,-4,10,-12,9
679,8,-4,10,1
680,8,-6,0,11
681,3,13,-7,9
682,7,-5,7,13
683,2,8,-2,4
684,14,-15,11,13
685,6,7,-13,21
686,0,8,-9,32
687,10,10,-33,63
688,-1,12,-12,79
689,4,33,-46,122
690,9,23,-43,144
691,9,35,-54,157
692,19,38,-56,163
693,45,26,-44,131
694,51,22,-35,110
695,49,19,-30,82
696,40,17,-20,60
697,42,3,-19,50
698,18,7,-11,33
699,8,20,-32,34
700,10,12,-11,27
701,11,-4,1,18
702,2,19,-23,25
703,8,-9,10,16
704,9,-12,2,17
705,9,-1,-3,17
706,12,0,-2,14
707,9,1,-8,17
708,17,-14,5,10
709,11,10,-16,18
710,7,5,-3,12
711,16,6,-11,10
712,14,0,-4,17
713,17,0,-4,13
714,24,-3,-3,21
715,16,12,-8,19
716,19,6,-12,18
717,14,6,-10,17
718,17,9,-19,24
719,29,0,-6,23
720,29,22,-31,31
721,51,-4,-6,27
722,53,7,-3,20
723,83,-6,2,18
724,93,6,-5,22
725,97,18,-19,26
726,118,2,-8,16
727,104,12,-8,19
728,97,-2,-1,15
729,85,-1,7,15
