Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,-10,20,-7
2,-8,9,-10,0
3,-5,-5,13,-4
4,0,4,-16,6
5,2,3,-8,-7
6,-2,-6,12,-6
7,-4,5,-4,5
8,1,-5,2,1
9,-3,8,-9,-3
10,0,0,-3,2
11,-1,-5,8,-7
12,-5,8,-9,3
13,-7,8,-5,-6
14,0,-4,7,0
15,-11,1,13,-8
16,0,-2,0,-6
17,3,0,-2,0
18,4,-11,8,0
19,-1,-10,21,-8
20,-1,4,0,-8
21,2,-3,2,4
22,6,-15,9,0
23,-12,8,9,0
24,-4,-3,2,-3
25,0,-8,10,-4
26,0,-3,-5,-6
27,-9,8,-5,0
28,0,-5,2,4
29,0,0,-11,1
30,-3,2,-5,-1
31,-4,-21,18,-6
32,-11,-1,3,-6
33,-2,2,-13,0
34,-2,0,-2,-3
35,-3,-2,-4,-9
36,-4,3,-8,-3
37,-1,-6,4,-3
38,-3,-12,11,-9
39,-5,6,-10,0
40,-4,5,-4,-2
41,-1,-3,5,0
42,-13,0,5,-6
43,-2,-20,18,-7
44,-3,-3,-5,4
45,-10,6,0,-4
46,-4,0,-1,-4
47,-5,-7,4,-6
48,1,-2,-9,2
49,-1,-10,8,-2
50,0,-8,1,-6
51,0,-18,10,-6
52,-2,0,-4,-5
53,0,-15,15,-9
54,0,-12,10,-5
55,-2,0,0,-5
56,-1,0,-2,-5
57,-9,12,-10,0
58,-5,0,-2,-11
59,5,-17,9,-6
60,0,-4,-4,-5
61,-1,-19,25,-10
62,-3,0,0,0
63,1,-6,4,-10
64,-1,-11,8,-7
65,-5,5,-3,0
66,0,-16,14,-8
67,3,-21,12,0
68,4,-18,12,-11
69,1,-11,5,-6
70,7,-19,6,-3
71,-4,0,-6,4
72,3,-16,19,-9
73,-5,-9,22,-14
74,2,-12,6,-4
75,-3,-8,11,-5
76,-3,-4,-6,-2
77,2,-16,14,-11
78,-7,3,1,-4
79,0,-9,2,-4
80,-8,2,-6,-4
81,0,-14,12,-5
82,-8,1,6,-7
83,2,-16,11,-8
84,-10,5,-1,-4
85,-2,-2,-12,0
86,-2,-7,0,-8
87,0,-3,-4,-10
88,0,-11,12,-10
89,-4,0,-3,0
90,0,-8,12,-13
91,-1,-11,10,-12
92,0,-14,2,-9
93,-3,0,-6,-1
94,-4,-1,-1,-8
95,-5,7,-17,-2
96,-3,-9,0,-8
97,-3,-2,0,-5
98,3,-11,8,-8
99,-7,-5,5,-6
100,-4,-3,1,-2
101,0,-11,4,-6
102,-3,0,-9,-2
103,-4,-8,8,-17
104,8,-22,0,-2
105,-9,9,-16,3
106,2,-5,-10,0
107,-4,-7,6,-8
108,-3,-8,7,-3
109,-6,-7,14,-9
110,-4,-8,14,-7
111,-3,-4,7,-4
112,-12,6,-7,0
113,-4,-3,-7,0
114,-11,-6,14,-9
115,-2,0,-21,4
116,3,-8,-1,-6
117,1,-10,6,-7
118,3,-12,3,-5
119,-3,5,-8,-1
120,0,-20,16,-8
121,0,-20,20,-8
122,-10,10,-8,-3
123,-2,-3,-5,-1
124,-10,-11,11,-6
125,-3,-4,-8,-7
126,-4,-5,0,-6
127,1,-5,-1,-9
128,5,-22,13,-12
129,-1,-14,7,-8
130,-2,-2,-4,-6
131,-7,-8,0,-6
132,-9,-10,13,-8
133,-16,12,-19,2
134,-6,-6,-7,0
135,-3,0,-12,0
136,-1,-8,-1,-6
137,0,-8,1,-2
138,-8,1,-3,0
139,-9,-5,6,-6
140,-4,-5,-2,-6
141,0,-8,-5,-3
142,-5,-1,-3,-1
143,-5,0,-4,-4
144,-7,-2,5,-5
145,-2,-12,-1,2
146,-2,-16,10,-2
147,-7,-13,10,-7
148,-14,0,0,-3
149,2,-13,-9,3
150,-13,1,3,-13
151,4,-24,12,-10
152,-2,-14,4,-13
153,1,-17,3,-4
154,2,-16,6,-11
155,0,-18,14,-9
156,-15,6,-5,-8
157,-3,-17,13,-9
158,1,-24,13,-13
159,-7,-5,-6,-3
160,-6,-4,-3,1
161,-5,-5,2,-5
162,-4,-22,20,-10
163,0,-13,4,-7
164,-4,-3,-5,-1
165,-4,-4,0,-5
166,-4,-9,0,-6
167,-4,-4,-2,0
168,0,-16,2,-5
169,-10,-8,9,-10
170,-10,5,-14,-7
171,1,-12,3,-6
172,-13,11,-16,-1
173,-11,-3,9,-8
174,-7,-4,4,-11
175,-6,-6,6,-12
176,-13,7,-15,0
177,-5,0,-2,-7
178,-8,5,-6,-4
179,-4,-6,3,-7
180,-1,-7,-5,-2
181,1,-18,13,-10
182,-8,-9,5,-5
183,-8,-13,13,-16
184,0,-19,15,-14
185,-7,-5,-3,-9
186,-2,-11,7,-8
187,-1,-18,17,-15
188,-10,-9,12,-12
189,-5,-5,0,-3
190,-3,-18,18,-7
191,2,-17,1,-6
192,-8,-8,1,-8
193,-12,5,-11,-1
194,-5,0,0,-10
195,-4,-7,12,-21
196,-8,3,-4,-7
197,-5,-8,4,-12
198,-2,-10,0,-3
199,-9,0,-5,-4
200,6,-35,29,-11
201,-3,-2,-3,-8
202,-3,-19,10,-7
203,-3,-5,4,-11
204,-1,4,-12,0
205,2,-15,8,-5
206,0,-12,5,-11
207,-3,-7,3,-4
208,-2,-20,10,-5
209,-2,2,-3,-10
210,-6,-1,-4,-1
211,3,-13,15,-5
212,4,-9,16,-11
213,7,-8,13,-7
214,0,-6,14,0
215,-1,0,0,-3
216,7,-18,17,-2
217,-5,0,-2,5
218,13,-18,13,-10
219,0,-6,10,-3
220,-4,-7,3,1
221,-1,0,-6,2
222,-8,5,-7,1
223,-4,-8,10,-4
224,-4,-13,17,-10
225,-4,4,-7,3
226,2,-14,10,-6
227,-13,7,-7,-2
228,-6,4,1,-6
229,0,-7,1,-3
230,-5,11,-23,7
231,-6,0,2,-3
232,-1,-3,3,-4
233,-4,0,-11,3
234,1,-12,7,-3
235,-2,-13,4,1
236,0,-7,0,-3
237,-2,-5,9,-1
238,-3,-7,-4,2
239,-3,1,-16,0
240,-7,6,-9,-5
241,-4,-5,0,-1
242,-4,-8,5,-5
243,-1,-3,0,-4
244,-10,8,-11,-1
245,-10,2,0,-7
246,4,-7,-2,-3
247,-12,5,0,-5
248,-2,-3,0,-1
249,-2,-2,-10,-2
250,-8,0,7,-5
251,1,-5,3,-5
252,2,-16,4,-8
253,1,-19,17,-10
254,-8,-1,15,-8
255,-1,-10,3,-2
256,5,-17,14,-8
257,7,-16,5,-6
258,-5,-12,7,-5
259,0,-14,8,-9
260,-3,-4,0,1
261,-6,-3,4,-4
262,1,-16,13,-8
263,-3,-1,-14,1
264,-4,1,-4,-5
265,-9,-2,-4,-4
266,2,-9,-3,-2
267,4,-16,-1,3
268,-8,0,-1,1
269,0,0,0,-1
270,-7,4,-16,5
271,-1,-7,6,-3
272,-6,-1,1,-5
273,-4,-15,9,0
274,-6,0,-11,1
275,3,-23,17,-8
276,0,-9,2,-5
277,-1,-9,11,-7
278,-10,-7,15,-15
279,-2,-1,0,-3
280,1,-23,10,-6
281,-5,-6,5,1
282,-1,-2,-5,3
