Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-1,0,2,-8
2,-4,18,-34,8
3,5,-14,0,1
4,4,-1,6,-4
5,1,-21,23,-13
6,6,-5,-2,0
7,2,-2,-5,1
8,7,-11,12,-15
9,0,-6,2,-3
10,-3,-6,7,-14
11,-1,-14,17,-10
12,-2,4,-11,0
13,4,-13,1,-9
14,8,-18,2,6
15,0,3,-11,1
16,-1,0,-2,0
17,0,-28,32,-15
18,0,-12,11,-4
19,-5,2,-3,0
20,-1,0,2,-7
21,4,-13,6,-3
22,-7,-5,3,-7
23,-2,-5,3,-2
24,0,-20,15,-5
25,0,-4,-1,5
26,0,-2,1,-6
27,0,-8,9,-14
28,-5,4,-13,2
29,-3,-2,-6,1
30,-11,8,-4,-7
31,1,-19,15,-10
32,-8,16,-14,-1
33,8,-13,-2,-6
34,0,-3,-1,-12
35,-1,0,-2,-2
36,-2,-12,10,-8
37,-4,-3,9,-3
38,-2,-6,14,-13
39,-3,8,-15,-1
40,0,0,-6,-4
41,1,-15,19,-8
42,5,-13,9,-12
43,5,-9,3,-4
44,3,-9,0,0
45,-5,-6,3,-5
46,1,-4,-5,-5
47,-4,-8,4,-7
48,-4,-7,16,-10
49,0,-14,21,-14
50,6,-20,14,-8
51,-3,-6,-3,1
52,6,-22,9,-3
53,2,-12,4,-2
54,2,-13,3,1
55,-12,11,-7,-8
56,3,-11,-1,-1
57,5,-16,8,-3
58,-7,5,-10,-2
59,8,-30,23,-12
60,-3,7,-11,-5
61,1,-24,33,-11
62,2,-11,6,-4
63,1,-14,2,-3
64,-2,-10,11,-8
65,3,-13,8,-7
66,2,-11,6,-7
67,6,-16,11,-11
68,0,-4,1,-7
69,-2,-5,4,-11
70,5,-19,8,-7
71,-3,-10,10,-8
72,5,-16,11,-3
73,0,-9,7,-7
74,-2,-6,13,-12
75,-5,-6,13,-9
76,-1,-5,0,-4
77,9,-14,8,-3
78,-8,4,4,-10
79,-6,1,2,-5
80,-5,7,-6,-5
81,1,-6,6,-8
82,1,-14,9,-8
83,0,-7,-2,-1
84,-2,-8,6,-4
85,3,-15,0,-5
86,1,-16,13,-20
87,5,-18,4,-8
88,-3,-3,-3,-3
89,2,-23,21,-13
90,5,-17,10,-6
91,0,-3,-9,-1
92,3,-9,-1,-7
93,-1,-10,0,-9
94,-5,-4,-1,-8
95,-8,3,-4,-5
96,-4,-5,-8,0
97,-4,5,-11,-4
98,-5,-5,3,-5
99,-1,-12,5,-7
100,-1,-16,11,-10
101,-3,1,-5,-7
102,-4,-4,-9,-1
103,-4,-9,0,-6
104,-4,-6,3,-11
105,-1,-18,18,-14
106,0,-18,12,-8
107,0,-14,1,-8
108,-2,-13,10,-12
109,1,-12,7,-8
110,-5,2,-3,-4
111,0,-12,-2,-1
112,2,-11,-3,-11
113,-1,-17,9,-9
114,-8,0,-1,-6
115,0,-7,3,-12
116,7,-24,13,-5
117,-9,6,-17,0
118,-1,-14,12,-6
119,-11,-9,17,-11
120,-7,-4,-3,-6
121,-2,-1,-7,-5
122,-3,-2,1,-12
123,-2,-16,8,-13
124,1,-13,1,-10
125,-4,-4,-10,-5
126,-1,0,-6,-7
127,2,-16,4,-14
128,-5,-1,-6,-6
129,-12,1,2,-6
130,0,-19,7,-12
131,-9,10,-14,-6
132,-2,-12,11,-10
133,-11,3,-7,-10
134,0,-19,13,-8
135,-12,14,-29,-1
136,-10,5,-15,-3
137,5,-21,1,-10
138,-3,-16,15,-11
139,-6,-3,-7,-5
140,-7,-2,2,-5
141,-3,-11,3,-6
142,-3,-11,3,-4
143,3,-18,3,-12
144,-7,1,-9,-3
145,-9,0,0,-9
