Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,2,2,-16,3
2,1,-6,0,-4
3,-4,-5,3,-6
4,-4,-5,0,-3
5,2,-8,1,-3
6,4,-7,-8,0
7,-2,3,-9,5
8,-7,14,-11,2
9,-8,16,-27,6
10,2,-8,8,-8
11,-2,2,-10,0
12,-2,3,-2,-9
13,-2,-3,-2,-2
14,-1,0,-4,-2
15,-9,6,-12,0
16,1,3,-16,10
17,-1,4,-5,-1
18,-3,0,5,-4
19,0,-6,7,-1
20,0,1,-4,-1
21,6,-25,23,-8
22,-1,1,-6,-1
23,2,-11,8,-8
24,-7,4,-14,1
25,-8,-3,4,0
26,-2,-4,0,-4
27,0,-4,7,-8
28,0,-8,5,-12
29,-9,13,-10,-7
30,-14,16,-14,0
31,2,0,-7,-1
32,-15,25,-20,-6
33,-1,-5,0,-3
34,-1,0,-5,-1
35,-6,8,-11,-5
36,-2,5,-17,-2
37,-3,-3,0,-1
38,-3,-8,-6,-1
39,-3,-3,-4,0
40,-7,6,-16,1
41,-7,3,-5,-1
42,-12,4,0,-9
43,-5,6,-3,-2
44,6,-13,-1,-5
45,4,-13,9,-10
46,-1,-1,-6,2
47,-5,-5,0,-3
48,9,-13,-1,-1
49,3,-9,11,-9
50,2,-10,1,-1
51,-5,2,0,-7
52,-11,14,-12,-2
53,-5,-11,10,-8
54,8,-16,0,-3
55,3,-8,-5,-1
56,-6,0,-7,-4
57,-5,-9,11,-11
58,-5,0,-8,-5
59,3,-25,24,-16
60,-2,-10,9,-10
61,-7,3,-7,2
62,0,-10,4,-3
63,-4,-2,0,-7
64,-2,-2,-8,0
65,-2,-7,6,-7
66,-2,0,-6,-1
67,0,-7,4,-8
68,-3,-5,1,-4
69,-6,0,-1,0
70,0,-7,0,-5
71,-5,-3,12,-12
72,0,-18,20,-3
73,-7,2,-6,-5
74,-1,0,-1,-8
75,0,-6,0,-2
76,-13,6,-3,-4
77,-3,-4,8,-2
78,-5,-2,1,-4
79,-7,-5,5,-5
80,-2,2,-13,2
81,3,-10,0,-3
82,-4,9,-22,5
83,-2,-15,14,-7
84,-1,-12,2,-2
85,-3,8,-17,7
86,-6,-2,-3,-7
87,-3,-4,2,-8
88,-2,-6,5,-3
