Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,4,-14,4,3
2,-10,8,-14,2
3,-9,4,-7,-1
4,0,-10,9,-4
5,-16,11,-9,1
6,-12,7,-10,8
7,-4,-4,2,-2
8,-10,-4,0,1
9,0,-10,-5,-2
10,-8,7,-13,5
11,-6,-5,0,-2
12,-6,-7,9,-3
13,-4,-2,0,-8
14,-5,-14,16,-4
15,-3,-3,0,-1
16,0,-10,10,-7
17,-5,-9,12,-4
18,-6,-18,13,-4
19,0,-11,16,-5
20,-10,3,-6,2
21,-8,-16,20,-10
22,-2,-8,0,-2
23,-5,-7,4,-3
24,-2,-5,-4,1
25,-6,-18,18,-5
26,0,-11,-4,0
27,0,-7,-6,0
28,-9,1,0,-7
29,0,-7,0,-7
30,-7,-3,0,-2
31,-15,6,-3,1
32,-1,-9,0,-5
33,-7,3,-11,-4
34,-1,-17,5,-4
35,-12,-6,2,0
36,-5,-17,10,-5
37,-3,-15,8,2
38,-1,-25,20,-6
39,-3,-12,1,-6
40,4,-25,15,-4
41,-10,-6,8,-2
42,-10,-7,10,-6
43,-9,-8,10,-5
44,-12,3,-4,-1
45,-1,-18,7,-1
46,0,-8,2,-3
47,-9,-7,-3,-7
48,-1,-23,19,-7
49,-4,-26,25,-14
50,-10,-10,4,4
51,-5,-13,5,-5
52,-6,-11,7,-3
53,0,-13,7,-6
54,-2,-13,11,-3
55,-1,-11,3,-9
56,-2,-2,-13,2
57,-5,-10,3,-4
58,-9,-8,6,-6
59,-10,-12,15,-4
60,-11,1,0,0
61,0,-25,14,-3
62,-2,-22,19,-6
63,-6,-5,-4,4
64,-6,-11,16,-8
65,-5,-25,23,-9
66,0,-10,-5,0
67,-12,-4,6,-2
68,-10,-6,6,-3
69,-4,-13,5,-6
70,-3,-21,17,-10
71,-5,-7,8,-4
72,2,-28,23,-9
73,-2,-14,3,-2
74,-2,-17,17,-4
75,-5,-12,11,-10
76,-13,-4,3,-3
77,-4,-22,26,-14
78,-2,-12,6,-4
79,0,-17,4,-6
80,2,-25,12,-8
81,-7,-8,3,-3
82,2,-18,13,-9
83,-7,-18,14,-11
