Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-10,17,-24,6
2,-2,1,3,2
3,7,-18,3,-2
4,-8,11,-13,7
5,-3,8,-18,7
6,0,-6,-2,7
7,0,-3,-7,2
8,1,-8,2,-3
9,11,-23,17,-9
10,0,-4,0,0
11,2,-8,0,3
12,-5,3,-8,5
13,-4,10,-17,8
14,4,-5,-8,6
15,8,-19,9,-2
16,-3,-6,6,-5
17,4,-5,-8,0
18,6,-22,17,-11
19,7,-18,18,-4
20,0,-3,-5,-3
21,-5,4,-9,2
22,8,-23,17,-6
23,-4,3,0,2
24,0,-4,4,-2
25,-1,-1,-2,5
26,-2,2,-13,2
27,-1,3,-12,5
28,0,-1,0,0
29,-1,-3,-5,2
30,7,-17,0,-4
31,4,-17,10,-7
32,-2,-5,-6,7
33,0,-8,-1,0
34,0,-10,8,-11
35,3,-6,-17,5
36,-2,-3,0,-6
37,2,-16,7,-6
38,-4,11,-15,0
39,3,-4,0,-1
40,0,-4,0,0
41,5,-9,-3,6
42,5,-9,5,-7
43,-1,0,-6,0
44,-5,0,-5,-1
45,2,-15,0,0
46,-2,-5,-3,-5
47,2,-11,4,-8
48,0,-6,3,-6
49,-2,-2,-9,-3
50,-1,9,-30,4
51,-7,7,-9,-3
52,4,-20,8,-4
53,-3,12,-26,4
54,2,-6,-3,-1
55,-1,-4,6,-8
56,-7,-3,0,0
57,3,-14,-1,-2
58,-4,7,-14,0
59,0,-7,0,-4
60,0,-6,4,-9
61,8,-14,0,-1
62,-6,6,-8,-8
63,-2,-9,8,-7
64,-7,0,-1,-5
65,2,-8,-3,0
66,-3,-1,-9,-4
67,4,-11,-3,-3
68,2,-6,-10,3
69,1,-19,19,-12
70,-4,-3,-8,1
71,-7,3,0,-8
72,-4,-6,5,-13
73,-4,8,-6,-5
74,0,-9,-9,1
75,-1,0,-4,0
76,-6,8,-19,6
77,10,-21,0,-4
78,-4,-2,-8,1
79,-5,-7,-6,-4
80,3,-11,-1,-6
81,13,-18,-4,1
82,-7,0,-16,-1
83,-3,1,-6,-7
84,-2,6,-21,3
85,-1,-5,-2,-2
86,-6,-3,0,-6
87,-4,-5,3,-3
88,-7,-10,1,-6
89,3,-12,-1,-3
90,5,-9,-10,-1
91,-3,-2,-10,-3
92,5,-11,0,-6
93,-9,-1,-7,0
94,-7,2,-7,-1
95,2,-18,4,-4
96,-4,-7,0,0
97,-2,-15,14,-10
98,1,-2,-10,-5
99,-7,8,-8,1
100,-1,5,-14,10
101,5,-21,9,-9
102,1,-13,6,-4
103,-2,-4,-11,1
104,-4,-3,-10,0
105,-5,5,-20,0
106,-5,0,-1,-5
107,-3,-10,0,4
108,2,-8,-5,-1
109,7,-19,7,-1
110,-4,-2,-14,2
111,-7,6,-11,0
112,9,-20,5,-2
113,1,-14,4,-1
114,0,3,-17,3
115,-5,0,-4,-5
116,-1,-16,17,-9
117,4,-13,3,-3
118,0,-8,-2,-6
119,-6,4,-12,2
120,-5,-1,-3,-5
121,-2,-18,12,-7
122,-4,-2,-4,3
123,0,-13,5,-8
124,0,-3,-16,-2
125,0,-6,-10,0
126,-10,9,-16,-1
127,-9,5,-9,-3
128,1,-11,-1,-7
129,-1,-5,-5,-2
130,1,-9,7,-1
131,6,-21,7,-3
132,-4,-1,-14,2
133,7,-16,-11,5
134,2,-15,3,-2
135,-8,-3,-5,-3
136,-5,-1,-9,-4
137,-3,-5,5,-4
138,4,-17,8,0
139,-2,-11,-3,-1
140,-2,-5,-9,0
141,1,-8,3,-6
142,-5,-3,-4,3
143,5,-15,3,-6
144,2,-19,1,-4
145,-3,-3,-13,0
146,-4,-11,1,-11
147,3,-22,5,-6
148,1,-14,-2,0
149,1,-7,-16,4
150,-1,-7,-16,4
151,-6,-2,-5,0
152,0,-4,-12,3
153,2,-19,7,-5
154,-3,2,-7,-1
155,-5,-10,7,-8
156,2,-4,-8,0
157,5,-25,15,-11
158,0,-7,-7,-1
