Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-5,-6,0
2,-5,5,-5,-2
3,-3,16,-12,0
4,-2,-4,3,6
5,-7,12,-12,4
6,-5,4,4,-4
7,0,-3,-3,0
8,-3,-7,14,-10
9,-2,-11,14,-1
10,-2,-5,4,0
11,-5,0,3,2
12,-2,-3,4,-1
13,-6,4,-9,-1
14,-12,13,-18,6
15,-8,-2,3,0
16,-1,-9,12,-2
17,-4,-3,0,-3
18,-3,3,-9,3
19,-2,-4,8,-3
20,-3,3,-7,0
21,-3,4,-4,-1
22,2,1,-6,3
23,-15,6,0,-3
24,1,-2,-10,2
25,1,-2,-6,-1
26,-2,-11,4,-8
27,-12,0,8,-4
28,-3,-7,1,2
29,-4,6,-9,-2
30,-9,13,-16,1
31,2,-14,3,-3
32,-11,7,-5,0
33,-1,-7,0,-3
34,-1,-5,2,-1
35,-1,0,-2,-8
36,-8,4,-8,-2
37,-1,-18,15,-4
38,-8,4,-4,-1
39,-2,0,0,-1
40,-7,-3,7,-5
41,-10,8,-9,-4
42,-7,-8,12,-7
43,0,-11,4,-4
44,3,-16,2,-6
45,-11,11,-4,-3
46,-3,-7,7,-2
47,-6,1,-6,0
48,0,-13,9,-4
49,1,-7,-2,-2
50,2,-1,-13,-2
51,-10,6,-8,-1
52,-3,10,-25,4
53,-5,0,-14,2
54,-4,0,-6,-4
55,-7,4,-6,0
56,-10,7,-11,-3
57,-5,-4,1,-7
58,-7,3,-7,3
59,-13,11,0,-6
60,-4,0,2,-5
61,-4,-18,19,-14
62,-12,6,-2,-5
63,-8,0,-5,0
64,-5,5,-11,-7
65,-5,-2,-3,-6
66,-8,-3,-2,-4
67,-8,1,-9,-5
68,-4,-2,-7,0
69,-8,4,-12,5
70,-5,-2,-5,-5
71,-7,3,-8,-3
72,-2,-3,2,-6
73,-9,2,-1,-7
74,-13,9,-8,-7
75,1,-7,2,-6
76,9,-10,-3,-2
77,2,-9,3,-4
78,-9,10,-16,-1
79,2,-20,15,-8
80,-9,4,-1,1
81,4,-21,13,-6
82,-11,-1,4,-7
83,-7,8,-14,-4
84,-10,11,-12,-3
85,-9,3,-11,-4
86,-5,-3,-8,-3
87,-8,-7,1,-1
88,2,-12,0,-2
89,-2,-18,15,-5
90,-8,9,-12,-9
91,-12,4,-1,-7
92,-7,-6,8,-10
93,-10,-5,0,0
94,2,-14,0,-3
95,-4,-1,0,-4
96,-7,-2,-3,-4
97,-5,-5,0,-4
98,-9,-3,-2,-9
99,-4,-16,7,-7
100,-1,-8,3,-11
101,-7,-5,4,-12
102,-8,5,-6,0
103,-10,7,-21,0
104,-2,0,-11,-9
105,-4,0,-15,0
106,-13,5,-6,0
107,-8,-3,5,-11
108,-7,4,-14,2
109,-7,-2,1,-9
110,-11,-2,-2,0
111,-14,10,-4,-11
112,-3,-10,6,-5
113,-1,-12,8,-6
114,-16,13,-15,2
115,-1,-12,7,-5
116,-4,-10,3,-9
117,-11,7,-4,-8
118,-16,23,-21,-1
119,1,-23,15,-11
120,-1,-10,6,-8
121,-3,-12,7,-7
122,-6,-5,0,-4
123,-11,4,-7,-4
124,-18,9,-1,-12
125,-17,8,-5,-10
126,-19,14,-16,0
127,-1,-8,4,-6
128,0,-11,8,-10
129,-8,-2,3,-5
130,-6,-5,5,-8
131,-11,-1,0,-6
132,-10,-4,7,-12
133,-6,9,-13,0
134,-7,-8,9,-6
135,-2,-4,-19,2
136,-9,0,-3,-5
137,1,-16,24,-15
138,-1,-11,9,-9
139,-4,-2,-3,-8
140,-10,9,-18,0
141,-5,-10,2,-8
142,0,-17,10,-5
143,0,-8,2,-7
144,-8,3,-2,-10
145,-3,1,-3,-9
146,-7,-6,2,-7
147,-7,9,-20,0
148,-2,-6,-10,-2
149,-12,7,-19,0
150,-11,2,-6,-5
151,-1,-12,0,-8
152,-3,-7,-5,-8
153,-4,-9,6,-8
154,-4,-10,13,-13
155,-5,3,-6,-2
156,-6,-5,2,-13
157,-5,-10,-1,1
158,2,-12,1,-4
159,-8,0,-9,-2
160,-2,-8,-8,-2
161,-16,12,-7,-11
162,-11,11,-18,-5
163,-11,3,-6,-8
164,-15,6,-7,-10
165,-4,-16,20,-12
166,-4,1,-11,-5
167,-5,-7,5,-6
168,-11,1,-2,-9
169,0,-9,8,-10
170,5,-12,1,-14
171,-3,1,-12,1
172,-10,7,-16,-6
173,-2,-22,12,-10
174,-4,2,-11,-6
175,-6,-5,-6,-2
176,-4,-12,7,-14
177,-7,5,-12,-4
178,-1,-23,16,-10
179,-10,1,-2,-7
180,-8,-6,3,-6
181,-8,4,-3,-5
182,0,-2,-6,0
183,-4,-4,6,-3
184,2,-13,7,-2
185,-8,0,-1,-1
186,-9,1,-5,-1
187,-6,-10,22,-9
188,-8,1,-9,0
189,3,-26,26,-6
190,-8,-9,8,-5
191,0,-14,1,0
192,-7,-7,8,-10
193,-5,-5,-1,-7
194,0,-11,2,-8
195,-8,-7,6,-10
196,-6,3,-8,-4
197,3,-22,21,-10
198,-8,-1,1,-5
199,2,-15,-1,-4
200,-7,-9,-1,1
201,-3,-7,-3,2
202,-7,4,-2,-9
203,0,-8,-3,0
204,-11,2,-8,3
205,-3,-13,5,-6
206,-8,-3,4,-4
207,-7,-7,11,-12
208,-10,4,0,-1
209,-6,-5,7,-5
210,-3,-10,5,-7
211,-9,2,-11,-2
212,6,-19,13,-7
213,-2,-10,1,0
214,-3,-5,-8,0
215,-16,13,-12,1
216,-10,5,-12,1
217,-22,17,-10,-9
218,-5,-3,-1,2
219,-4,-11,7,-2
220,-6,1,-8,0
221,-8,0,-3,-5
222,-9,0,-6,0
223,-9,-2,7,-8
224,-11,10,-1,-5
225,0,-12,2,-3
226,-10,-5,11,-7
227,-5,-8,3,-5
228,-6,-4,-2,1
229,-9,-1,1,-8
230,-5,-6,4,-11
231,-4,7,-11,-3
232,-4,2,-7,1
233,-3,-5,3,-3
234,-12,5,-14,1
235,-9,9,-15,2
236,-9,-2,0,1
237,-1,-25,21,-9
238,-7,-2,-3,3
239,-14,1,0,-7
240,-6,-5,1,-3
241,-16,14,-14,0
242,-16,10,-6,-1
243,-2,-13,3,-4
244,-15,12,-15,2
245,-4,-2,-5,0
246,-12,-3,6,0
247,-14,6,-4,2
248,-8,-14,14,-5
249,-10,8,-17,3
250,-8,-4,4,0
251,-6,-5,9,-5
252,-5,-8,2,0
253,-1,-7,-5,5
254,-14,7,-5,-3
255,-7,-8,2,0
256,-7,-3,-5,1
257,-2,-10,-4,4
258,-9,1,-16,1
259,-8,-6,5,-8
260,-5,-4,-6,3
261,-2,-5,0,-1
262,0,-8,3,-4
263,-8,6,-19,11
264,-13,13,-20,4
265,0,0,-9,2
266,-6,-15,15,-3
267,-4,-10,11,1
268,-12,6,0,-1
269,1,-5,-4,3
270,1,-26,21,-10
271,-5,-2,-8,8
272,-14,4,-4,4
273,-11,2,-6,5
274,-3,-12,5,-1
275,-11,0,2,-3
276,-8,6,-12,-2
277,-9,-2,-3,1
278,0,-3,-16,6
279,-2,-2,-8,7
280,-8,-1,-5,4
281,-10,3,-6,6
282,-4,0,-12,2
283,-5,2,-9,0
284,-8,-2,0,1
285,-3,-6,-3,3
286,-1,-8,8,0
287,-3,0,-1,3
288,-5,-9,11,-3
289,-16,2,3,-1
290,0,-19,13,-6
291,-3,-11,3,1
292,-12,10,-18,0
293,-8,6,-13,1
294,-15,9,-9,7
295,-1,-20,13,-2
296,2,-10,-1,7
297,0,-11,3,9
298,-6,2,-12,9
299,-9,1,-6,4
300,-6,-2,-6,9
301,-2,-14,2,8
302,-7,-5,-1,13
303,-9,9,-18,12
304,0,-7,-4,9
305,-10,0,2,1
306,-2,-6,4,8
307,-6,0,-6,11
308,-4,0,-6,11
309,-1,-10,1,7
310,4,-20,11,5
311,-11,5,-10,9
312,-1,-13,0,14
313,-2,-9,0,10
314,-9,0,-12,13
315,-5,3,-17,16
316,-5,2,-9,2
317,-8,-2,0,8
318,-3,0,-13,16
319,-8,-7,3,9
320,-8,2,-6,7
321,-10,10,-16,14
322,-4,-4,1,11
323,-4,0,-11,13
324,-4,-8,0,13
325,1,-17,9,1
326,-8,4,0,3
327,-15,8,-5,11
328,-3,-4,0,7
329,-7,6,-10,7
330,0,-6,4,5
331,-1,10,-21,15
332,-11,-4,3,2
333,-7,-7,0,5
334,-3,-11,2,6
335,-8,5,-12,11
336,5,-31,27,-2
337,-3,-9,1,4
338,-6,-5,0,12
339,-18,19,-22,16
340,-3,-1,-7,9
341,-4,-16,13,5
342,-18,11,-11,6
343,-11,10,-21,10
344,-8,-1,1,10
345,-8,-3,1,5
346,-5,-6,0,9
347,-3,-17,7,8
348,-7,-3,-4,6
349,-8,-7,12,5
350,-9,-5,4,2
351,-9,12,-4,2
352,-4,-1,-13,11
353,-4,9,-14,12
354,-16,12,-14,12
355,0,-14,5,5
356,-5,-7,0,8
357,-3,-11,6,9
358,-13,8,-17,16
359,-5,-8,-4,10
360,-7,-1,0,2
361,-5,-14,14,6
362,-1,-4,-1,4
363,-11,8,-8,9
364,0,-12,1,12
365,-9,-8,5,10
366,-2,-9,3,4
367,-16,10,-12,12
368,-11,1,-7,7
369,-10,-5,-4,9
370,0,-13,-3,8
371,-6,0,-8,11
372,-4,2,-12,6
373,-2,-7,0,3
374,-9,1,-8,7
375,-11,7,-15,12
376,-1,-1,-10,3
377,-5,-5,1,6
378,-3,-13,-5,7
379,-2,-7,-2,5
380,-3,-8,0,1
381,-7,-4,2,1
382,-13,3,-4,7
383,0,-10,0,11
384,-7,5,-22,17
385,-3,-8,1,4
386,-6,5,-20,12
387,-5,5,-14,10
388,-3,-6,5,12
389,-10,11,-14,11
390,-9,16,-17,15
391,-8,0,2,2
392,-5,2,-3,13
393,-4,0,-2,12
394,-3,7,-14,15
395,-2,3,-19,20
396,-7,1,-4,17
397,-8,11,-4,11
398,-5,0,4,8
399,-7,7,-6,11
400,-14,4,-9,14
401,-4,-7,-5,10
402,-7,4,-7,9
403,-7,1,-3,7
404,-5,-8,14,8
405,-5,11,-15,19
406,0,-8,2,7
407,-5,-4,2,13
408,0,0,-5,13
409,-7,2,-4,12
410,-5,0,-13,16
411,-4,11,-18,20
412,1,-11,2,9
413,-9,8,-10,18
414,-5,-3,-3,11
415,5,-17,15,3
416,-13,9,-6,12
417,-5,-3,-8,14
418,-12,3,-9,17
419,-3,0,-6,13
420,-11,14,-25,18
421,-3,1,-9,16
422,-1,-13,1,11
423,-6,16,-29,19
424,-7,9,-13,15
425,-2,-19,2,15
426,-10,3,-7,10
427,-9,2,-2,14
428,-5,-12,7,8
429,0,-18,8,4
430,-11,-3,4,7
431,-10,5,-9,10
432,-10,1,-2,5
433,-8,3,-10,9
434,-11,17,-28,13
435,0,0,-14,15
436,-1,-6,-9,15
437,-3,-3,-15,15
438,-7,-1,-7,12
439,-5,2,-12,14
440,-5,5,-20,18
441,-8,-1,0,11
442,-6,-1,1,13
443,1,-12,10,0
444,-8,4,-2,4
445,-1,0,-2,4
446,-11,5,-3,8
447,-6,-2,-3,12
448,-1,-3,-6,11
449,-3,-13,5,11
450,-5,-2,0,11
451,-1,-11,-2,7
452,0,-6,-2,10
453,-6,0,-3,9
