Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,0,-5,2
2,-1,2,-3,-3
3,-5,8,-6,-3
4,2,-5,0,1
5,-2,11,-12,0
6,-5,8,-10,5
7,-5,16,-19,5
8,-13,12,-9,0
9,-5,0,0,0
10,-3,0,0,-6
11,9,-17,3,3
12,2,-12,4,-1
13,0,-3,-2,-3
14,-1,2,-7,6
15,2,-4,0,-3
16,4,-4,-3,-5
17,6,-12,-2,1
18,4,-6,-4,0
19,-1,-3,-1,2
20,0,-11,10,-7
21,0,-9,11,-12
22,-1,1,-13,1
23,-2,-7,4,4
24,-5,-8,1,3
25,-7,3,-5,-7
26,-3,-10,10,-9
27,-7,1,0,0
28,-2,-7,8,-5
29,-3,-7,1,-3
30,1,-13,0,0
31,-13,11,-6,-3
32,-17,30,-32,11
33,0,-6,3,-1
34,-7,1,-8,-2
35,-5,2,-8,0
36,-4,3,-8,-1
37,0,-2,-6,1
38,-1,-5,0,-4
39,4,-7,-4,0
40,-5,-1,9,-2
41,-6,8,-9,-7
42,-2,-5,10,-12
43,-2,-10,-2,-3
44,2,-8,0,0
45,8,-20,9,-7
46,-2,-6,5,-3
47,-5,5,-5,2
48,-2,-4,0,0
49,-7,-2,-1,0
50,-4,-8,6,-1
51,0,-1,-6,-3
52,-7,0,-5,0
53,-6,-7,11,-15
54,-2,-10,5,-7
55,8,-11,6,-3
56,0,-8,0,-6
57,0,-3,-10,-6
58,0,-3,2,-9
59,-14,2,1,-4
60,-2,-8,7,-6
61,-2,-16,9,-4
62,0,-11,-2,-4
63,9,-16,4,-3
64,0,-7,-1,-6
65,-5,-6,-2,-7
66,3,4,-17,4
67,0,-12,0,-3
68,-7,4,-9,0
69,-4,1,-6,-1
70,-2,-1,-13,0
71,2,-14,7,-6
72,-1,2,-3,-1
73,-2,-4,9,-9
74,-14,6,-14,2
75,-7,9,-19,2
76,-3,4,-14,-3
77,-1,-3,3,-13
78,-1,-11,13,-8
79,-3,0,-4,-8
80,-4,-4,-2,-9
81,-11,0,-2,0
82,-5,-4,-6,-5
83,-9,3,-5,-8
84,-6,0,-1,-5
85,-7,10,-16,0
86,8,-14,-7,1
87,-6,-2,4,-7
88,-8,2,-2,-5
89,-3,-7,8,-11
90,-4,-6,6,-8
91,0,-14,1,-3
92,-6,-5,4,-8
93,5,-23,4,0
94,0,-11,1,-5
95,-5,0,0,5
96,-3,-9,3,-1
97,2,-17,10,-9
98,-4,-1,-6,-6
99,1,-9,3,-5
100,2,-11,4,-7
101,-12,6,0,-1
102,-8,4,-13,3
103,-9,3,-6,-3
104,-7,3,-16,6
