Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-5,8,-13,3
2,-5,5,-6,5
3,-4,9,-9,2
4,6,-11,7,0
5,-5,3,-9,6
6,1,-7,0,3
7,-10,7,-10,6
8,2,-9,4,-8
9,1,-6,7,-7
10,-4,8,-12,6
11,-8,8,-12,4
12,-2,-8,1,0
13,-10,14,-12,5
14,-4,3,-7,0
15,1,-6,2,0
16,-10,-3,7,-1
17,6,-12,5,-5
18,-6,8,-9,-2
19,1,-4,4,0
20,-7,5,-7,-1
21,-11,10,-8,-1
22,-1,4,-14,1
23,0,-9,7,1
24,1,-16,11,-5
25,1,3,-9,3
26,-5,-1,0,-3
27,-7,2,-7,0
28,-7,-3,9,-2
29,-13,6,-12,0
30,-4,0,-3,0
31,-6,0,2,-5
32,-1,1,-5,0
33,-6,4,-11,1
34,1,-7,4,-5
35,-10,3,-4,0
36,-10,9,-9,0
37,-8,1,1,-8
38,-12,12,-17,3
39,9,-14,-3,3
40,3,-14,10,-6
41,-6,-4,-4,1
42,-5,-7,0,-1
43,4,-13,0,-2
44,-5,-5,7,-4
45,-2,-3,9,-6
46,-4,-6,1,-2
47,-5,0,0,-3
48,-8,2,-5,-4
49,-5,4,-9,1
50,-3,-2,-9,-1
51,-7,0,-4,0
52,-10,1,-2,-8
53,-5,2,-11,-5
54,-2,-15,21,-14
55,-2,-9,10,-8
56,-5,1,-6,-4
57,-7,10,-20,0
58,-5,-9,5,-8
59,-17,8,8,-10
60,-8,0,6,-5
61,0,-13,8,-2
62,-10,-2,-1,-7
63,-7,2,0,-5
64,-4,-4,-6,-5
65,-8,4,-10,-2
66,-16,14,-11,-2
67,-1,-8,-3,-4
68,-2,-15,9,-10
69,-2,-7,-2,3
70,6,-16,8,-5
71,3,-10,1,-6
72,-8,0,2,-8
73,-14,13,-7,-3
74,-1,-5,-1,-5
75,-1,-6,-8,3
76,-11,23,-24,6
77,0,2,-11,-1
78,-1,-3,-7,0
79,0,-13,5,-7
80,-2,-1,-3,-2
81,-1,-5,-2,-9
82,-3,3,-10,-1
83,-1,-13,3,-4
84,-3,-9,4,-7
85,-5,4,-15,3
86,-12,-3,7,-8
87,-4,-8,5,-6
88,0,-16,11,-5
89,1,-2,1,-6
90,-3,-8,0,-2
91,-10,8,-7,-3
92,-4,-2,-11,3
93,0,-3,-11,1
94,0,-12,-2,0
95,-2,0,-1,0
96,-5,2,-5,-2
97,-1,-6,2,-4
98,-13,15,-24,4
99,-5,1,-6,-2
100,0,-9,2,-1
101,-15,4,-2,-3
102,1,-3,-12,1
103,-7,-9,-3,0
104,-7,2,-13,0
105,6,-16,-2,-4
106,-3,1,-15,0
107,-1,2,-15,4
108,-5,0,-11,0
109,-1,-12,5,-6
110,-2,-3,-12,2
111,0,-8,-5,-4
112,-8,0,-5,-7
113,0,-5,2,-2
114,2,-14,-1,-7
115,-3,-16,10,-11
116,-4,-10,0,-4
117,-5,-5,0,-3
118,0,-10,-8,1
119,-3,5,-21,8
120,-7,3,-17,2
