Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-12,20,-20,3
2,-3,11,-9,1
3,0,-5,5,-2
4,1,-1,-1,5
5,-1,3,-14,7
6,-1,1,-8,6
7,-2,4,-7,3
8,-4,0,0,-1
9,-5,2,-1,0
10,-8,1,4,-3
11,-3,13,-18,9
12,4,-6,-5,2
13,0,-11,3,-2
14,-7,0,-4,-7
15,-7,6,-4,4
16,2,-18,17,-8
17,1,-22,19,-13
18,-1,-1,4,-3
19,0,-5,6,0
20,-10,10,-13,0
21,0,-8,8,-5
22,-2,-7,3,-1
23,0,-8,9,-5
24,-5,0,0,-2
25,-2,4,-12,2
26,0,-4,-2,2
27,-6,12,-18,3
28,1,1,-6,1
29,-7,10,-8,0
30,-1,-4,-3,-2
31,-4,4,-5,0
32,-8,0,1,-3
33,-13,20,-21,5
34,-11,8,-7,-4
35,-6,12,-12,0
36,-1,6,-11,8
37,-8,11,-22,1
38,-4,6,-12,3
39,0,-10,6,-1
40,-6,-3,2,0
41,-5,-9,6,-4
42,-2,0,-2,0
43,-5,-9,4,0
44,0,0,-1,-2
45,3,-10,2,-5
46,-7,-2,0,-5
47,-8,5,-10,-4
48,-17,14,-8,-3
49,-1,5,-4,-4
50,-10,8,-8,3
51,-9,-1,5,-4
52,-6,10,-14,-2
53,-6,7,-23,2
54,-4,-6,9,-5
55,-4,3,-5,-2
56,-9,8,-17,3
57,-5,3,-7,0
58,1,-7,-9,0
59,-6,2,-4,-3
60,-6,4,-11,5
61,4,-20,15,-6
62,-5,0,2,-9
63,-4,3,-6,2
64,-1,0,-11,0
65,-3,0,-4,-6
66,1,-6,-7,-2
67,-6,4,-16,-2
68,-8,7,-9,-3
69,-12,11,-13,1
70,-4,-5,-10,1
71,-11,5,-7,3
72,-6,2,-4,-6
73,-9,-4,4,-5
74,-4,-4,-2,-3
75,-6,-2,5,-9
76,-9,-2,6,-7
77,-10,3,-10,-3
78,-15,0,0,-2
79,-23,19,-17,0
80,-5,1,-5,-1
81,0,2,-12,-5
82,-5,0,-3,-1
83,-16,20,-34,7
84,0,0,-12,-3
85,-13,22,-22,0
86,-4,6,-17,0
87,1,-10,0,-2
88,-8,9,-5,-3
89,0,-8,7,-15
90,-8,12,-19,0
91,-10,5,-2,0
92,0,-8,6,-3
93,-3,3,-10,-7
94,-3,2,-15,3
95,-3,3,-10,0
96,-6,0,0,-3
97,0,-5,3,-2
98,-10,6,-12,3
99,2,-24,15,-7
100,-11,-1,-1,0
101,-16,2,-2,3
102,-3,-1,-11,0
103,-11,25,-36,14
104,-8,7,-20,2
105,-15,5,-5,-3
106,-6,-4,0,-3
107,-6,0,1,-1
108,-9,0,-2,-2
109,-1,-1,-6,0
110,0,-2,-11,1
111,-9,2,-9,-5
112,-12,8,-9,2
113,-5,-13,19,-9
114,-11,19,-23,2
115,-2,-4,-6,1
116,-9,5,-10,-2
117,-11,1,0,-3
118,-7,4,-16,4
119,-6,-4,-5,0
120,-2,-18,11,-6
121,-11,9,-2,-5
122,-1,-17,12,-13
123,-1,-6,-12,3
124,0,-6,-2,-2
125,0,-3,-3,-3
126,-12,6,-10,1
127,-4,-8,2,-7
128,1,-13,7,-9
129,0,-10,4,-9
130,-1,3,-13,-3
131,-4,-5,-5,2
132,-6,0,0,-7
133,-4,-4,-5,1
134,-13,16,-26,7
135,-5,-2,0,-9
136,-16,15,-15,-3
137,-4,-8,8,-7
138,0,-14,3,0
139,-6,-7,-2,-6
140,-11,0,-3,-3
141,-10,-2,-7,2
142,-1,-19,12,-6
143,-4,1,-9,-1
144,-4,-10,1,-3
145,-8,-1,-12,-4
146,-8,0,-5,-4
147,-2,-10,0,-10
148,-9,2,-11,-5
149,-9,9,-26,2
150,-10,8,-20,5
151,-2,-7,-7,-7
152,-4,-1,-9,-2
153,1,-6,-3,-7
154,-6,-5,2,-6
155,-3,-1,-4,-7
156,-4,-1,-1,-1
157,-5,-2,-15,1
158,-9,-3,-5,-2
159,0,-11,3,-7
160,-9,7,-10,-5
161,-10,4,-3,0
162,-5,-4,0,-4
163,-6,3,-10,-6
164,-2,4,-22,4
165,-5,-12,12,-13
166,0,-9,-1,-6
167,-1,-8,-3,-3
168,-1,-6,-5,-5
169,-8,-5,7,-9
170,-7,-4,-5,0
171,-4,-8,-1,-1
172,-13,9,-18,-4
173,-6,-5,-2,-8
174,-5,-7,-1,-6
175,-9,-4,10,-1
176,-5,7,-11,3
177,-5,1,-7,0
178,-4,-2,-8,-6
179,-2,-10,0,-10
180,-5,1,-8,-2
181,-10,2,-11,0
182,-5,6,-2,-2
183,6,-16,-2,-3
184,-7,-1,-2,-4
185,-7,-2,-6,-8
186,-10,6,-15,-1
187,-4,5,-16,0
188,-5,-1,-6,0
189,-2,-13,7,-6
190,-6,-5,0,-9
191,-8,3,-2,-3
192,-6,-1,-3,-7
193,-8,-6,5,-9
194,-3,-17,10,-8
195,4,-15,-2,-1
196,0,-10,-3,-5
197,-3,-5,2,-2
198,0,-9,2,-10
199,-16,10,-6,-4
200,-11,1,5,-6
201,5,-21,12,-11
202,-12,18,-19,0
203,0,-3,-3,-7
204,-4,0,-7,0
205,7,-2,-15,6
206,2,-9,3,2
207,0,1,-16,9
208,-10,4,1,-4
209,0,0,-5,-2
210,-1,-4,8,-9
211,-17,22,-25,-3
212,-2,-2,0,-6
213,-10,10,-5,-1
214,-6,8,-20,5
215,-5,7,-15,6
216,0,-14,9,-6
217,-11,14,-15,1
218,0,-2,-1,4
219,-6,6,-11,-5
220,-18,15,-19,7
221,-11,6,-9,0
222,-9,10,-13,7
223,0,2,-18,7
224,0,-12,8,-5
225,-2,-4,0,-1
226,-2,-12,1,0
227,-6,0,-12,4
228,-3,-3,-7,2
229,-2,0,-12,2
230,-6,1,-14,8
231,-2,-9,1,-3
232,-2,-9,4,0
233,-9,-5,1,-7
234,-10,4,-9,2
235,-3,-10,6,-4
236,-6,9,-22,2
237,-8,5,-16,3
238,-5,0,2,-5
239,-7,2,-15,0
240,-6,6,-22,3
241,-11,8,-14,1
242,-5,1,-7,-4
243,-8,3,-15,0
244,-2,-6,-16,4
245,-9,0,-9,0
246,-1,-8,-5,2
247,-1,-3,6,2
248,-9,13,-19,4
249,-10,10,-18,3
250,-8,6,-2,0
251,-15,2,1,2
252,-2,-14,10,-6
253,-7,0,-9,1
254,-15,1,-4,0
255,-7,-5,4,-3
256,-12,2,-11,3
257,-5,-5,-6,-1
258,-12,-3,3,-2
259,-1,-17,5,-3
260,-14,6,-6,14
261,-13,8,-8,-2
262,-15,14,-14,0
263,-6,-11,11,-2
264,2,-14,2,0
265,-4,-14,9,-1
266,-14,3,-3,-4
267,-9,-3,1,0
268,-8,0,-19,11
269,-6,-5,-2,0
270,-7,11,-22,0
271,-4,-6,4,-3
272,-12,14,-27,13
273,-7,-1,-6,-2
274,-7,-8,-3,0
275,-4,0,-14,2
276,-4,2,-14,1
277,-4,-1,-9,0
278,-7,5,-23,10
279,-10,12,-15,-1
280,3,-10,-8,4
281,-4,-7,-2,5
282,-10,-6,0,-1
283,-10,0,-1,-8
284,-8,8,-12,6
285,2,-10,4,-1
286,-2,-9,12,-6
287,-5,2,-13,10
288,-16,7,-7,4
289,-19,15,-10,1
290,-8,3,-8,-1
291,-8,-13,12,-2
292,-23,25,-24,5
293,-12,9,-21,6
294,-7,4,-12,5
295,0,-4,-7,2
296,0,-11,-4,2
297,8,-22,7,1
298,-8,-1,0,-1
299,-3,0,-11,2
