Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-2,-6,-4
2,6,-15,17,-4
3,6,-16,10,-7
4,3,-23,22,-7
5,-1,8,-6,2
6,7,-20,19,-1
7,7,-23,29,-11
8,0,-17,20,-13
9,0,-14,17,-10
10,1,-4,-4,-1
11,5,-15,9,-2
12,3,-15,13,-3
13,-3,-2,10,-7
14,-1,0,-6,-2
15,-2,0,-2,-3
16,9,-11,4,-1
17,1,-4,-4,4
18,0,6,-15,2
19,8,-9,3,-9
20,5,-11,0,0
21,-11,1,3,-3
22,5,-17,9,-7
23,6,-22,29,-15
24,0,-5,3,0
25,8,-18,14,-8
26,1,-16,14,-7
27,2,-12,9,-2
28,4,-19,17,-6
29,2,-18,17,-11
30,4,-11,1,0
31,1,-16,11,-3
32,1,-16,15,-9
33,1,-9,4,-5
34,0,-16,26,-14
35,1,-3,1,0
36,2,-8,-2,-9
37,2,-19,17,-6
38,-3,-9,20,-10
39,0,-14,11,-12
40,-3,-7,6,0
41,-8,0,6,-3
42,-2,-6,1,0
43,4,-15,6,-5
44,1,-18,10,-3
45,2,-12,6,-3
46,0,-11,9,-1
47,-1,-10,2,1
48,4,-10,-4,-3
49,-6,-1,0,0
50,0,-7,-6,-7
51,3,-8,4,-7
52,0,-7,1,-4
53,-8,1,-7,-2
54,3,-18,11,-5
55,5,-18,6,-8
56,0,-13,10,-8
57,-2,-6,3,-8
58,0,-18,15,-11
59,-1,-8,7,-7
60,-2,-8,6,-9
61,6,-11,5,-5
62,0,-12,11,-7
63,-1,-6,4,-2
64,0,-1,-1,-7
65,0,-7,12,-13
66,1,-5,3,-7
67,4,-5,-13,-1
68,-5,2,-7,-6
69,-4,-5,8,-11
70,2,-12,7,-8
71,-4,0,0,-11
72,0,0,-3,-7
73,0,-8,0,-3
74,-4,-6,2,-11
75,-8,-2,5,-9
76,-2,0,-5,-6
77,-1,-6,-5,-10
78,1,-7,3,-2
79,0,-21,25,-10
80,-10,8,-2,-4
81,-4,0,-3,-6
82,8,-13,-1,-7
83,4,-19,6,-3
84,-3,-7,9,-6
85,4,-14,6,-6
86,0,-7,-4,-3
87,6,-18,12,-5
88,0,-22,19,-8
89,-3,-6,6,-8
90,-1,-12,8,-10
91,-3,-7,1,-9
92,2,-12,17,-6
93,-7,5,-3,-1
94,-5,4,-13,0
95,6,-18,6,-2
96,4,-20,12,-7
97,-2,-9,2,-2
98,-9,-6,4,-11
99,-2,-9,8,-12
100,-6,-2,-2,-6
101,7,-14,3,-6
102,0,-3,-2,0
103,-5,-1,0,-7
104,-10,1,-3,-6
105,-12,12,-11,-3
106,5,-10,0,-5
107,-4,3,-5,-3
108,0,-13,-1,-2
109,5,-22,7,-7
110,-1,-5,-1,-4
111,6,-32,18,-13
112,-2,-17,10,-8
113,-1,-11,0,-3
114,-2,-15,12,-11
115,0,-10,11,-6
116,6,-21,7,0
117,0,-16,6,-3
118,4,-5,-2,-4
119,-1,-11,1,0
120,2,-17,8,-8
121,0,-19,16,-10
122,4,-31,29,-12
123,-3,-7,-5,-4
124,-10,-6,0,-8
125,-4,0,-8,-4
126,0,-17,15,-12
127,-12,-10,15,-12
128,1,-17,11,-4
129,-2,-9,6,-9
130,4,-24,13,-10
131,-4,-10,7,-7
132,-2,-17,5,-6
133,-4,2,-9,-1
134,-4,-14,10,-8
135,-2,-3,-8,-4
136,-1,-9,-1,-6
137,-4,-11,9,-1
138,-2,-16,15,-10
139,0,-17,11,-6
140,-7,-1,-9,-1
141,-4,-12,5,-7
142,-2,-14,11,-5
143,0,-19,13,-8
144,0,-13,4,-5
145,-3,-4,0,-11
146,-12,-7,12,-7
147,-5,-9,3,-3
148,-6,-6,-2,-8
149,-3,-14,5,-13
150,1,-16,8,-5
151,-5,-6,1,-5
152,-8,-13,18,-13
153,-5,-3,-2,0
154,-4,-8,8,-17
155,3,-16,8,-12
156,7,-29,22,-12
157,0,-19,7,-7
158,0,-5,-16,1
159,-1,-19,13,-14
160,-2,-19,16,-13
161,2,-29,22,-10
162,-5,-4,2,-5
163,1,-10,1,-4
164,-2,-11,4,-9
165,-3,-7,3,-6
166,-5,-6,0,-6
167,3,-5,-7,3
168,-6,-4,1,-7
169,-8,-6,8,-8
170,3,-15,5,-6
171,5,-17,5,-10
172,-1,-8,0,-12
173,0,-22,11,-16
174,0,-15,9,-6
175,-3,-16,7,-6
176,4,-8,-4,-2
177,3,-12,10,-8
178,-9,4,-9,-1
179,-4,-11,9,-11
180,-5,-2,-2,-4
181,-1,-11,8,-10
182,-1,-12,4,-6
183,-3,-16,15,-9
184,-6,-3,2,0
185,0,-3,2,-8
186,-2,-5,-5,-1
187,2,-13,6,-2
188,0,-11,5,-3
189,-3,-9,16,-2
190,0,-11,6,-3
191,0,-19,20,-11
192,-10,-2,13,-12
193,-2,1,-1,-1
194,0,-12,17,-13
195,1,-15,6,-3
196,-5,8,-13,0
197,0,-5,11,-8
198,-5,-2,0,-9
199,1,-13,6,-1
200,3,-10,5,-8
201,-2,-8,9,-10
202,0,-9,14,-15
203,5,-18,9,-8
204,-6,-5,0,-7
205,-3,2,-9,-1
206,9,-20,11,-4
207,-1,-2,-2,1
208,0,-7,-1,-3
209,-2,-14,17,-11
210,7,-13,0,-6
211,6,-15,3,-5
212,-1,-9,5,-3
213,0,-11,5,-4
214,-1,-14,6,-5
215,-2,-10,8,-6
216,2,-14,1,-2
217,-4,3,-6,-2
218,-8,-8,17,-13
219,-6,-16,13,-4
220,-8,0,0,-7
221,7,-22,7,0
222,2,-15,16,-5
223,1,-10,-1,-3
224,0,-3,5,-2
225,4,-24,12,-5
226,2,-17,16,-7
227,-3,-10,14,-3
228,1,-4,-8,0
229,5,-18,7,-7
230,0,-10,-7,-3
231,0,-7,7,-7
232,4,-20,13,-8
233,-2,-3,-5,0
234,-6,3,-9,0
235,-3,-3,2,-6
236,-2,-10,14,-8
237,1,-9,4,-6
238,0,-7,-6,-4
239,-3,0,-9,-4
240,-6,1,-12,0
241,-11,1,4,-3
242,-2,-4,-3,2
243,-6,1,-5,0
244,-4,4,-14,1
245,-1,0,-11,1
246,-6,-17,9,-1
247,-2,-3,0,4
248,2,-17,12,-8
249,-4,-1,-9,-1
250,6,-21,9,-7
251,-5,-10,3,3
252,-1,-15,16,-5
253,0,-14,9,-8
254,0,-12,3,0
255,0,-18,6,-4
256,5,-13,-4,0
257,0,-8,-7,-4
258,2,-10,0,-3
259,-6,-3,0,-1
260,-1,-11,5,-6
261,2,-20,22,-15
262,5,-19,7,0
263,0,-12,9,1
264,-2,-7,2,1
265,-1,-12,10,-10
266,5,-15,13,-4
267,-1,-9,6,-1
268,-1,-6,-8,4
269,1,-18,10,-4
270,-2,3,-13,0
271,-3,-12,11,0
272,0,-10,4,1
273,2,-14,3,4
274,-4,-9,11,-1
275,0,-3,-5,3
276,0,-7,2,-7
277,0,-4,-5,3
278,-3,-12,3,-1
279,-15,-3,4,-5
280,-3,-7,0,5
281,-3,0,-7,5
282,-6,-12,8,3
283,0,-8,-3,4
284,-3,8,-13,4
285,-9,5,-9,-4
286,-7,-4,7,1
287,7,-24,17,-3
288,-2,-6,-3,1
289,-2,-11,9,0
290,-5,-2,-3,4
291,-3,-9,2,-5
292,-8,3,-3,-3
293,-7,-2,0,-2
294,-10,4,-2,-1
295,6,-24,15,-6
296,2,-10,-7,6
297,-7,-2,4,-2
298,4,-21,14,-7
299,-5,-7,-3,4
300,-8,-9,2,0
301,1,-11,-4,0
302,12,-24,-2,5
303,0,-9,-3,4
304,-2,-2,-7,8
305,0,-11,-1,10
306,0,-21,22,0
307,-5,-7,-8,10
308,-10,-6,1,10
309,-4,-5,-1,8
