Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-3,7,-3,-3
2,-10,10,-3,-1
3,2,-6,6,-7
4,-5,12,-7,0
5,-3,1,-4,0
6,-12,7,3,-3
7,-4,2,-2,0
8,-9,5,0,-3
9,-3,5,-2,-7
10,6,-22,13,-2
11,0,-6,7,0
12,-6,-4,3,-3
13,-1,-1,1,-3
14,0,-5,11,-13
15,-2,5,-9,4
16,-2,1,1,-1
17,1,6,-16,1
18,-6,6,-11,-2
19,-3,-5,9,-4
20,2,-9,2,-2
21,-2,-9,8,-3
22,-9,12,-5,2
23,-5,0,2,-6
24,2,-10,5,-5
25,-11,16,-14,2
26,-9,5,-9,-1
27,-8,3,3,-7
28,2,-13,4,-2
29,0,0,-11,5
30,2,-2,0,0
31,-2,-9,8,-7
32,0,1,-9,2
33,0,-1,-9,1
34,-4,-1,-6,-1
35,3,-6,0,-5
36,-2,-13,12,-8
37,2,-9,0,-1
38,1,0,-11,2
39,0,-7,4,-4
40,0,-10,2,0
41,-7,6,-2,0
42,-3,2,-13,5
43,-3,5,-10,-6
44,-5,-1,-5,-4
45,-4,0,0,-4
46,-2,3,-7,2
47,0,0,-3,0
48,-9,3,-8,0
49,-1,14,-21,2
50,-3,12,-13,-11
51,-4,-8,4,-2
52,-6,5,-10,-2
53,-11,11,-20,-2
54,-2,2,-14,5
55,1,-11,4,-5
56,5,-7,-5,0
57,0,-4,-6,-1
58,-1,-2,1,-6
59,7,-14,0,6
60,-8,0,3,-8
61,-6,-4,12,-12
62,7,-18,10,-12
63,1,-11,4,-9
64,-2,0,-8,-1
65,-5,1,-11,-2
66,-7,8,-16,0
67,-7,3,-3,-8
68,1,-3,-8,-4
69,3,-9,3,-7
70,2,-10,0,-2
71,-4,2,-10,0
72,-8,11,-14,0
73,-3,1,-11,2
74,-1,6,-15,0
75,-4,2,-9,-4
76,-2,7,-19,2
77,-15,15,-22,-2
78,-3,-14,14,-11
79,-3,-2,-1,-6
80,-6,5,-6,-8
81,-3,5,-11,-6
82,2,-9,0,-6
83,-4,-1,-1,-9
84,-6,3,-9,-5
85,-6,5,-16,2
86,-7,11,-19,2
87,-12,6,-7,-2
88,2,-7,1,-11
89,3,-21,13,-6
90,-6,7,-16,2
91,-2,5,-21,2
92,-6,-8,6,-5
93,-5,-1,-4,-4
94,-4,-7,1,-7
95,0,-7,-3,-1
96,0,-6,-1,-12
97,0,4,-7,0
98,-17,22,-26,3
99,-7,1,-1,-8
100,-3,-13,12,-10
101,-4,-4,2,-9
102,-5,-2,-5,0
103,4,-3,-5,0
104,0,1,-11,-7
105,-5,-8,2,-4
106,-6,-2,-6,1
107,-11,8,-17,3
108,-1,1,-13,0
109,6,-15,10,-12
110,0,0,-16,-2
111,-1,-4,-7,-1
112,1,-8,0,-5
113,8,-14,0,-5
114,-1,2,-9,-4
115,4,-12,6,-6
