Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,2,1,-5
2,-5,4,-1,-5
3,-9,9,-6,-2
4,3,-8,5,-8
5,4,-8,-2,-2
6,-1,7,-12,0
7,-6,0,12,-10
8,0,-3,-1,-1
9,4,-9,-6,0
10,-5,-2,8,-3
11,7,-11,12,-9
12,-1,0,2,-4
13,-7,2,-6,-2
14,-4,-10,14,-12
15,-1,-1,-1,-5
16,-1,7,-10,-3
17,-6,-1,3,-4
18,-8,5,3,-4
19,-9,3,2,-7
20,0,-8,1,-6
21,-10,4,-5,2
22,-3,1,-1,2
23,-8,1,-1,-1
24,1,0,-2,2
25,-1,-10,13,-3
26,-5,-5,9,-10
27,4,-26,18,-8
28,1,-14,14,-12
29,0,-8,6,-3
30,-1,-5,3,-4
31,-14,14,-16,0
32,-4,-9,11,-8
33,1,-8,1,-5
34,-3,0,-1,-4
35,2,-11,3,-6
36,-5,0,-5,4
37,-13,6,8,-6
38,-5,6,-19,4
39,2,-1,-6,-4
40,-8,4,0,-2
41,1,-17,21,-9
42,-10,6,0,-4
43,-4,-4,2,-7
44,-1,-5,3,-3
45,-4,3,-3,0
46,-12,1,2,-4
47,9,-14,3,-2
48,-7,-3,10,-8
49,-4,-7,20,-17
50,0,-3,1,1
51,0,-10,9,-10
52,-4,3,-4,-6
53,-1,2,-2,-7
54,-7,0,0,-6
55,-12,10,-2,-5
56,-5,6,-11,-2
57,-1,-9,19,-15
58,-1,-8,5,-8
59,2,-10,8,-7
60,0,-9,4,-3
61,-7,0,0,-3
62,-9,2,0,0
63,0,-8,0,-4
64,-4,2,2,-8
65,4,-22,20,-11
66,-1,-15,17,-8
67,4,-17,10,-3
68,-5,-2,-2,-1
69,4,-13,9,-8
70,-2,-5,0,-3
71,-1,-2,9,-18
72,0,-12,16,-9
73,-2,-3,6,-3
74,1,-8,11,-3
75,0,-9,16,-5
76,-4,-1,8,-6
77,5,-34,33,-11
78,-11,10,-12,1
79,-10,-1,11,-8
80,-5,-8,7,-7
81,-11,-3,6,-3
82,-2,-1,6,-4
83,-8,-9,18,-10
84,-3,-1,-1,-6
85,-2,5,-14,0
86,-8,-1,13,-17
87,-5,-3,-3,-3
88,-15,18,-10,-2
89,-3,0,-4,-2
90,-8,-2,5,-11
91,0,1,-7,-9
92,-12,11,-9,-4
93,-3,3,-3,-4
94,-12,5,-6,-5
95,-1,-4,-10,-5
96,-6,-1,1,-10
97,-7,1,-3,0
98,-6,7,-16,4
99,-8,3,-6,-3
100,1,-4,-8,-4
101,3,-12,3,2
