Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-4,1,-5,4
2,5,-4,-3,0
3,5,-10,9,-3
4,0,6,-8,0
5,6,2,-20,5
6,-4,0,0,1
7,0,4,-8,-4
8,0,-7,0,0
9,5,-21,17,-8
10,6,-15,15,-5
11,2,2,-7,3
12,5,-18,7,-4
13,7,-7,-6,2
14,2,-16,5,0
15,2,-15,12,-4
16,5,-17,7,-5
17,-3,-8,12,-3
18,0,-12,15,-6
19,6,-11,0,-3
20,8,-9,-7,1
21,0,-8,16,-8
22,-5,5,-13,0
23,-3,-5,9,-8
24,2,-7,1,1
25,2,-7,2,4
26,3,-7,-1,2
27,0,-8,0,-4
28,-2,-15,9,-1
29,1,-12,12,-5
30,7,-19,17,-5
31,-3,-2,4,-11
32,5,-11,4,-10
33,4,-11,2,-1
34,-3,0,-9,-1
35,-9,9,-10,-2
36,2,-5,1,0
37,5,-13,4,1
38,1,-15,12,-9
39,-5,3,-4,-2
40,9,-19,18,-9
41,7,-9,-1,1
42,-1,-6,-2,1
43,9,-18,8,-7
44,5,-6,-2,-1
45,0,-13,5,-4
46,3,-12,11,-7
47,4,-16,14,-8
48,3,-7,3,-4
49,3,-15,11,-6
50,5,-25,22,-7
51,0,-9,4,-3
52,2,-9,0,0
53,1,2,-8,3
54,7,-11,4,3
55,-5,-3,-1,7
56,-2,0,-6,-2
57,2,-2,-1,-2
58,-2,9,-19,3
59,2,-17,24,-14
60,0,-10,7,-7
61,5,-16,19,-7
62,10,-27,20,-2
63,1,-2,-12,2
64,8,-17,13,-6
65,0,-13,7,-3
66,8,-18,7,-4
67,0,-1,-1,0
68,-5,-1,0,-4
69,2,-2,-7,-2
70,0,0,-1,-1
71,5,-24,30,-17
72,-1,-10,7,-6
73,8,-23,23,-13
74,10,-24,19,-6
75,-2,-6,8,-3
76,2,-17,15,-7
77,-2,-8,13,-5
78,3,-5,0,-6
79,-7,8,-4,0
80,-1,-2,-9,3
81,3,-13,7,-6
82,1,-10,13,-15
83,5,-9,6,0
84,-2,-4,-3,2
85,2,-13,2,-8
86,1,-6,-2,1
87,-3,-4,-4,-4
88,5,-16,11,-3
89,-4,-10,2,0
90,-2,-8,3,-6
91,-10,0,-3,-8
92,-3,-6,-4,-7
93,-3,-7,-1,0
94,-10,4,-14,-5
95,-1,-6,-10,3
96,-4,-2,-3,-6
97,2,-14,6,0
98,1,-7,-1,1
99,6,-13,2,-4
100,-1,-3,-9,-3
101,4,-15,-4,-1
102,-6,1,-3,-3
103,-7,-4,1,-8
104,-11,3,-2,-13
105,-4,-4,-2,-2
106,2,-23,20,-13
107,-4,0,-3,-6
