Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,4,-12,4,0
2,-2,8,-7,-2
3,-3,2,-9,8
4,5,-5,2,-4
5,-2,-1,3,-5
6,1,-6,7,-1
7,-7,15,-9,0
8,-8,-5,7,-6
9,-4,6,-8,0
10,-6,8,-11,1
11,-7,-3,-2,1
12,0,-3,-1,1
13,0,0,-11,6
14,-3,-4,-3,0
15,-7,10,-10,0
16,3,-8,4,-6
17,-2,0,-1,-1
18,-3,5,-8,-6
19,5,-19,19,-11
20,-3,-3,-2,0
21,4,-24,18,2
22,-2,9,-11,2
23,-2,-1,-2,0
24,-7,5,-5,3
25,5,-8,0,0
26,-6,-4,10,-7
27,0,-8,15,-12
28,-10,0,-2,0
29,5,-2,-5,1
30,-8,11,-22,5
31,0,-7,-1,-3
32,-10,7,-13,3
33,-11,16,-22,3
34,0,-11,1,-5
35,-3,-1,-8,3
36,-7,10,-24,1
37,-2,-2,2,6
38,-4,-7,9,-5
39,-2,-4,5,-9
40,1,-10,3,-3
41,3,-18,12,-4
42,-1,-10,5,-1
43,-8,15,-13,5
44,-2,-5,15,-7
45,1,-4,-3,-1
46,3,-5,-9,3
47,1,-9,7,-11
48,4,-20,9,-4
49,2,-15,12,-6
50,0,-16,17,-5
51,3,-9,9,-9
52,0,0,-3,0
53,-1,-14,9,-8
54,0,-16,14,-10
55,-2,-4,3,-7
56,9,-16,5,-3
57,0,-3,12,-3
58,-5,-6,4,-8
59,-4,-13,19,-3
60,0,-23,24,-15
61,-2,-2,8,0
62,0,-10,1,0
63,-3,-14,10,-11
64,-1,-15,13,-8
65,1,-16,22,-13
66,2,-13,2,0
67,-3,-3,-2,-2
68,0,0,-1,-2
69,-5,3,-6,0
70,-5,-3,3,-3
71,4,-22,21,-12
72,7,-17,17,-9
73,4,-23,21,-8
74,-6,-3,8,-2
75,-1,-6,6,-2
76,9,-11,-11,8
77,3,-16,15,0
78,0,-9,0,-3
79,0,0,-5,2
80,-6,2,-6,-4
81,-2,-18,16,-6
82,-11,6,-2,2
83,0,-8,12,-10
84,7,-18,13,-4
85,-7,0,-9,-1
86,-1,-5,-1,-1
87,3,0,-11,-1
88,0,-10,7,-3
89,-4,-5,1,-3
90,2,-11,-2,0
91,-4,-1,0,-4
92,-12,12,-15,0
93,3,-20,18,-9
94,-8,6,-12,0
95,0,-4,-9,-4
96,1,1,-13,1
97,4,-18,11,-8
98,-6,-6,7,-2
99,-5,0,-6,0
100,1,-4,-10,0
101,-5,-4,-1,-1
102,-7,0,-6,0
103,-6,0,-9,-1
104,-6,2,-7,-2
105,-7,-10,5,-7
106,1,-11,3,-4
107,0,-10,8,-10
108,-2,2,-3,-2
109,-1,-6,4,-4
110,-2,-8,7,-1
111,5,-25,24,-8
112,-1,-16,11,-5
113,-10,2,-10,5
114,0,-9,4,-5
115,-4,2,-7,1
116,-11,7,-8,-1
117,4,-20,12,-7
118,3,-20,17,-4
119,1,-13,5,-6
120,-7,-3,1,-1
121,-7,-5,7,-2
122,0,-11,7,-6
123,-1,-8,1,-3
124,1,-14,8,-9
125,-10,1,-9,-2
126,-2,-13,13,-9
127,1,-16,1,-3
128,-8,3,-8,-1
129,1,-7,-8,0
130,-6,0,-6,-2
131,-14,3,-13,-7
132,-11,4,-4,-1
133,-3,-11,10,-14
134,-4,2,-2,0
135,-3,-4,2,-8
136,-7,6,-5,-6
137,-13,4,-10,-2
138,-3,0,-4,-8
