Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-4,3,-3,-2
2,3,1,-4,-1
3,-8,25,-27,8
4,4,-11,4,-5
5,-4,-2,5,-3
6,-7,6,0,-5
7,6,-15,18,-8
8,-2,3,-5,0
9,-2,2,-8,-2
10,1,7,-9,-2
11,2,3,-13,4
12,-5,-3,7,-1
13,-5,10,-11,-2
14,0,-2,2,-5
15,0,-4,-4,1
16,-8,8,-14,0
17,-1,-6,10,0
18,10,-19,16,-8
19,4,2,-9,-2
20,0,-3,-4,-4
21,-2,-8,11,0
22,3,-4,-1,0
23,-3,0,5,-1
24,-5,2,-1,-1
25,3,-9,12,-5
26,-11,9,-3,-1
27,5,-8,-2,-3
28,0,-2,2,-6
29,0,-8,1,-3
30,-7,4,0,-5
31,-4,-2,-2,-2
32,-9,10,-11,-2
33,-2,5,0,-3
34,-7,7,-6,-4
35,-4,6,-7,-5
36,-4,5,-13,0
37,4,-11,9,0
38,3,-8,8,-6
39,-8,2,0,-4
40,-6,8,-2,0
41,-4,-11,14,-3
42,-8,9,-4,-4
43,-3,4,-8,-3
44,-2,1,1,-3
45,0,-2,-2,-6
46,-6,2,-6,-1
47,-12,6,-6,0
48,-7,-1,1,-5
49,-4,0,-4,6
50,0,2,-1,0
51,-5,6,-7,-2
52,-6,-1,1,-3
53,-3,-4,7,-8
54,-6,1,4,-4
55,-7,0,-3,-1
56,-9,11,-16,1
57,-9,-2,6,-6
58,-7,-4,4,-12
59,0,0,-6,-3
60,1,-7,10,-11
61,-1,-11,10,-2
62,-9,4,7,-5
63,-2,2,-2,-4
64,-2,-10,14,-9
65,0,-15,14,-6
66,1,-4,6,-7
67,0,-7,7,-6
68,-3,6,-3,-2
69,-3,1,-3,-2
70,-4,-4,1,-4
71,4,-17,16,-4
72,4,-20,25,-7
73,2,-15,18,-6
74,-3,-8,14,-3
75,0,-10,12,-4
76,-14,6,1,-3
77,0,1,2,2
78,-3,-8,2,-2
79,-1,0,-4,5
80,-1,0,-3,-3
81,-2,-6,7,-3
82,1,-16,17,-10
83,0,-26,24,-11
84,-2,-5,8,-6
85,-2,7,-17,1
86,-4,3,-9,-3
87,0,-11,1,-1
88,0,-10,11,-11
89,2,-2,-11,2
90,-9,11,-13,1
91,-13,8,-5,-9
92,-11,9,-15,1
93,-9,8,-19,2
94,-14,13,-11,-4
95,-7,9,-20,4
96,-8,-1,0,0
97,-6,-2,8,-5
98,0,-13,10,-5
99,-6,-3,4,-11
100,-7,-3,-2,-2
101,-6,-7,4,-6
102,-8,-1,1,-2
103,-13,8,-11,-2
104,-2,-7,-3,-7
105,-12,0,3,-6
106,-2,-6,10,-6
107,-3,1,-8,-1
108,0,-6,0,0
109,0,-12,8,-10
110,2,-13,8,-10
111,-3,-14,11,-9
112,-8,1,-3,-2
113,0,-11,6,-7
114,-1,-10,7,-11
115,-5,0,-6,0
116,-4,-5,8,-12
117,-1,-13,11,-11
118,8,-24,12,-9
119,3,-12,9,-9
120,-7,2,-2,-3
121,-5,-14,18,-10
122,-7,0,-7,-1
123,-6,-2,0,-5
124,-1,-4,0,-3
125,-10,-8,0,-6
126,-7,5,-9,-2
127,-7,-2,-2,-5
128,-1,-7,-3,-4
129,-1,-11,9,-5
130,0,-6,-5,-1
131,-6,-3,-1,-6
132,-5,6,-9,2
133,0,-12,-3,-2
134,2,-17,3,-3
135,-1,-3,0,-4
136,-5,-6,-12,4
137,0,-10,0,-8
138,-5,6,-15,-1
139,-3,-10,3,-8
140,-12,8,-9,-5
141,-3,-4,4,-9
142,-2,-12,11,-7
143,-1,-13,7,-8
144,-9,7,-10,-4
145,-10,-2,0,-2
146,-8,-7,7,-14
147,-15,3,-10,-5
148,-9,4,-5,-1
149,-15,13,-17,0
150,-15,7,-8,-4
151,-7,3,-9,0
152,-4,-7,2,-5
153,2,-15,4,-8
154,-6,1,0,-6
155,0,-3,-2,-4
156,-10,-6,5,-7
157,-2,-2,-6,-2
158,-1,-11,8,-10
159,-6,-4,0,-8
160,2,-23,17,-14
161,0,-16,11,-11
162,-1,-2,-1,-6
163,-13,6,0,-6
164,-9,6,-11,0
165,-2,-4,0,-7
166,-2,2,-15,-4
167,-8,0,-2,-1
168,-8,0,1,-4
169,-7,5,-3,-5
170,-3,0,0,-2
171,1,-5,2,-7
172,-13,5,-7,-7
173,-4,3,-6,-12
174,-2,-3,-2,-11
175,-3,-8,-2,-8
176,-6,-2,-6,0
177,0,-11,11,-15
178,-8,4,-4,-10
179,6,-15,2,-2
180,-2,1,-2,-1
181,4,-6,8,-9
182,-6,1,2,-7
183,-6,0,-5,-1
184,5,-17,26,-14
185,-7,14,-13,-2
186,-4,2,6,-7
187,1,4,-7,2
188,1,-2,8,-5
189,-2,5,-9,5
190,2,-9,10,0
191,5,-20,20,-6
192,-4,1,0,3
193,-1,5,-7,-1
194,-7,9,-13,-1
195,-2,-2,4,-5
196,-8,14,-12,1
197,3,-14,16,-6
198,3,-13,10,-3
199,4,-4,2,-4
200,-2,-4,0,3
201,-9,7,-12,8
202,-3,-1,0,-1
203,-7,0,-3,-2
204,4,-28,27,-15
205,-1,0,1,-2
206,-5,-2,0,1
207,-5,14,-17,3
208,-5,-2,8,-5
209,-6,10,-18,10
210,-9,8,-11,-2
211,-6,4,-8,-3
212,-2,0,-7,0
213,-8,0,5,-1
214,-9,12,-14,1
215,-6,7,-8,2
216,-8,7,-13,2
217,-8,3,-2,-1
218,1,-3,-9,0
219,3,-7,2,-2
220,-11,3,2,0
221,-7,7,-18,7
222,-5,10,-18,5
223,-1,-5,1,-1
224,5,9,-18,5
225,-6,8,0,-9
226,-1,1,-8,9
227,-6,2,-3,0
228,-1,0,4,1
229,-4,0,-7,2
230,-5,0,1,-2
231,-7,3,-11,1
232,-11,10,-11,-4
233,-8,2,-2,-3
234,-7,-2,5,-2
235,6,-23,21,-3
236,2,-12,1,-4
237,-9,7,-5,0
238,-4,-5,7,-4
239,-12,12,-14,4
240,-2,-1,0,-4
241,-20,26,-24,10
242,-2,-3,-6,-3
243,-9,-2,-2,0
244,-6,-9,-1,0
245,-7,1,-7,-1
246,-6,-4,4,0
247,-1,-24,29,-8
248,-1,-2,-2,2
249,-4,0,-12,5
250,-5,-5,-5,4
251,-9,4,-6,2
252,-6,10,-17,6
253,-14,6,-3,0
254,-4,-2,-7,5
255,-5,4,-8,6
256,-7,-13,9,-7
257,-4,-8,10,-3
258,-15,17,-17,-3
259,-4,1,-3,0
260,-5,0,0,2
261,-2,5,-13,3
262,-1,-16,12,0
263,-3,0,-2,0
264,-7,6,-11,6
265,-6,0,-10,2
266,-2,-4,1,0
267,-6,8,-15,6
268,-12,8,-10,0
269,-14,8,-10,9
270,0,-3,8,-7
271,-5,4,-4,4
272,-6,7,-9,7
273,-2,-15,12,-7
274,-8,0,2,-2
275,-10,6,-9,-1
276,-3,-10,14,0
277,-7,1,-4,1
278,0,-14,0,0
279,-2,-1,0,2
280,0,-1,-2,4
281,-7,2,-5,-2
282,-5,2,-9,3
283,-9,10,-7,-2
284,1,-13,13,0
285,0,-10,6,-2
286,-10,12,-11,3
287,-1,-5,-2,1
288,-2,-1,-6,10
289,-10,9,-7,3
290,1,-12,9,0
291,-7,4,-14,8
292,-1,-5,-5,4
293,-13,15,-22,14
294,-4,-3,-4,7
295,-7,8,-15,9
296,-12,6,-2,9
297,0,-2,-13,10
298,0,-8,0,8
299,-7,11,-13,8
300,-1,-4,1,5
301,-2,-1,-5,14
302,-5,-5,3,11
303,-5,-2,-3,14
304,3,-18,3,11
305,-12,7,-10,11
306,-3,-6,0,12
307,-9,11,-18,11
308,0,0,-16,14
309,-1,0,2,10
310,-9,5,-11,18
311,-10,0,-2,7
312,1,-13,0,9
313,-10,18,-20,12
314,-1,-1,-7,7
315,-6,6,-2,15
316,-3,1,-14,14
317,-14,14,-11,14
318,-11,9,-14,14
319,-6,7,-9,10
320,5,-4,-7,12
321,-13,6,-9,18
322,-3,0,-9,17
323,-4,4,-6,9
324,-5,-3,9,3
325,-14,14,-12,14
326,0,-3,0,6
327,-11,1,0,9
328,-8,-1,3,6
329,-6,2,-8,13
330,2,-23,23,-2
