Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,1,3,-8,4
2,-1,1,-11,0
3,3,-6,4,-3
4,-6,-1,4,-1
5,-1,4,-13,4
6,5,-11,8,-6
7,6,-16,13,-5
8,-10,13,-4,-7
9,-5,8,-12,-2
10,6,-3,1,0
11,4,-3,-6,0
12,2,-6,3,-2
13,-5,-2,2,-6
14,-3,-1,-1,0
15,3,-10,4,-2
16,-3,0,-5,2
17,2,-10,14,-8
18,-2,-13,21,-8
19,3,-10,3,-1
20,-1,-9,10,-11
21,0,-7,9,-9
22,-3,4,0,-3
23,0,-4,8,-5
24,-14,8,-1,-3
25,2,-1,-4,-3
26,-2,-1,-2,-1
27,0,-7,7,-7
28,-4,-4,7,-2
29,10,-13,-1,0
30,-5,8,0,-4
31,2,-7,-4,1
32,-5,10,-19,0
33,1,-10,5,-9
34,-2,6,-18,6
35,-1,4,-5,-5
36,-6,5,-5,-3
37,-2,-10,16,-2
38,-2,-8,2,0
39,6,-14,8,-9
40,4,-11,21,-9
41,0,-17,16,0
42,-2,-2,5,-9
43,0,-9,0,-5
44,2,-13,7,-7
45,2,-8,-5,0
46,-12,10,-19,4
47,-9,0,0,-4
48,-1,-10,13,-5
49,4,-23,18,-3
50,-2,10,-22,5
51,4,-7,2,-2
52,-9,4,-3,-8
53,2,-2,-2,-1
54,-5,-2,2,0
55,-4,7,-14,0
56,-10,12,-16,-2
57,2,-5,0,-6
58,2,-4,-6,2
59,-2,-3,1,-2
60,0,-4,5,-4
61,8,-16,14,-4
62,-4,-2,9,-1
63,-2,-2,0,-2
64,-11,6,-6,2
65,-3,-2,6,0
66,4,-15,16,-7
67,1,-9,15,-5
68,1,-18,13,-13
69,-6,9,-9,1
70,0,-10,5,-1
71,8,-14,6,0
72,3,-18,17,-6
73,-1,-4,10,-5
74,0,-10,18,0
75,-8,1,13,-9
76,-4,-4,3,-2
77,4,-20,21,-3
78,0,-7,5,0
79,-6,-7,3,-7
80,-2,0,-10,0
81,-1,-1,0,0
82,0,-4,4,1
83,4,-19,8,-5
84,0,-5,-7,0
85,-6,5,-11,0
86,-2,4,-10,1
87,-1,-2,0,-12
88,2,-7,5,-7
89,-9,6,-5,-2
90,4,-13,5,-3
91,-8,0,-6,-2
92,-12,5,-5,-5
93,-2,0,-3,-1
94,-1,-4,-6,-1
95,5,-13,-1,-1
96,0,-10,6,-9
97,-10,-4,6,-6
98,2,-14,5,0
99,0,1,-13,2
100,-3,-4,-4,-4
101,2,-10,3,-5
102,0,-17,13,-12
103,-7,0,-10,4
104,-3,-1,-10,0
105,4,-5,-5,-3
106,2,-13,-5,5
107,-3,-8,-8,3
108,2,-22,15,-9
109,-6,-3,-3,7
110,-5,4,0,-6
111,0,-12,12,-7
112,0,2,-7,-2
113,-10,6,-13,0
114,-3,-15,14,-9
115,-7,-3,-3,-1
116,-4,-14,7,-12
117,-7,4,-2,-5
118,-5,-13,12,-9
119,0,-4,-8,0
120,2,-8,-4,-1
121,-5,-10,14,-8
122,-11,9,-11,-4
123,1,-12,7,-7
124,-5,-1,-1,-1
125,-12,1,-6,-4
126,-2,-16,8,-6
127,-3,-7,5,-3
128,-5,-4,0,-3
129,7,-21,10,-5
130,-11,21,-27,5
131,0,-16,11,-16
132,-1,1,-11,1
133,-4,-4,-3,-3
134,9,-17,2,-5
135,1,-7,3,-12
136,-5,7,-9,-4
137,0,1,-7,-2
138,2,-5,-15,2
139,0,-3,-11,-7
140,-2,-2,0,-4
141,3,-3,-3,-4
142,-6,2,-4,-6
143,-1,-7,4,-3
144,4,-14,3,-4
145,-6,-10,6,-11
146,-4,-7,15,-11
147,1,-6,-11,-4
148,-4,-1,-1,-1
149,1,-12,3,-6
150,-8,6,-16,6
151,-3,0,-5,-2
152,-11,10,-10,0
153,7,-18,22,-11
154,4,-15,7,-4
155,10,-15,12,-5
156,5,-17,8,-1
157,0,4,-8,0
158,4,-18,12,-4
159,0,0,-8,0
160,-7,5,0,-9
161,-6,7,-11,8
162,-6,2,4,-9
163,3,-13,6,-7
164,0,0,-2,-5
165,-8,8,-16,5
166,-5,10,-20,0
167,2,-4,3,-1
168,0,-4,1,-3
169,0,-5,-8,-2
170,-3,0,-2,-5
171,5,-15,10,-8
172,-3,0,-6,-4
173,3,-9,5,-5
174,0,-15,20,-10
175,-2,1,-4,0
176,-3,-3,2,-6
177,6,-7,0,0
178,4,-2,-7,7
179,0,1,4,-2
180,-1,-3,5,-6
181,-6,0,-1,-7
182,7,-14,2,-1
183,-1,-13,4,-4
184,-2,-8,4,-7
185,-1,-4,-14,3
186,-5,-3,1,-4
187,-7,4,-4,-1
188,-7,5,-6,-1
189,7,-14,15,-9
190,0,-7,1,-1
191,6,-20,18,-12
192,-8,4,-4,-1
193,0,-7,5,-4
194,2,-13,6,-8
195,-1,-7,-2,-3
196,-5,4,-9,-4
197,-3,-2,-2,-2
198,-2,0,-4,-4
199,2,-15,5,-5
200,-4,-3,-7,3
201,0,-10,0,0
202,-9,0,9,-6
203,-2,-9,3,2
204,-4,-6,0,0
205,7,-23,17,-2
206,10,-17,1,2
207,5,-13,4,0
208,2,-6,4,0
209,1,-3,3,-5
210,-3,0,-8,5
211,0,-3,0,5
212,-6,-3,0,-1
213,0,-5,-4,1
214,-4,4,-15,9
215,0,-12,5,-4
216,3,-3,-11,0
217,5,-5,0,-2
218,4,-8,-2,0
219,1,-5,-4,3
220,-6,-1,-2,0
221,-4,-5,-4,-1
222,-4,6,-4,-3
223,-5,0,-9,0
224,-3,-2,-5,-4
225,-5,0,2,-5
226,0,-7,4,-7
227,0,-14,4,-4
228,1,-9,10,-2
229,4,-8,9,-2
230,0,0,-15,2
231,0,4,-7,5
232,-9,10,-8,-1
233,-10,5,-10,0
234,-8,0,3,0
235,11,-18,16,-4
236,0,-6,1,0
237,4,-5,5,-8
238,-7,1,-1,-9
239,-5,8,-16,0
240,1,-10,3,-9
241,-1,-7,-6,-1
242,0,-7,-4,-1
243,2,-11,5,-7
244,0,-4,-9,1
245,-6,7,-10,1
246,-3,0,2,-4
247,-7,-3,11,-5
248,-1,5,-17,5
249,-2,-6,-3,1
250,-1,-9,3,-2
251,-4,-3,-4,-2
252,-3,-9,3,-1
253,0,-18,18,-9
254,1,-3,2,0
255,-3,-1,-4,2
256,0,-8,-2,1
257,-5,-3,0,-1
258,3,-19,3,-1
259,-7,-4,9,-8
260,-1,6,-16,5
261,-5,-5,1,-5
262,-4,0,0,0
263,0,-1,-3,1
264,-3,-6,-6,6
265,4,-12,3,-5
266,2,-2,-13,11
267,0,-1,-12,8
268,8,-17,5,2
269,-2,-7,8,-4
270,0,-2,-7,2
271,-2,-4,-8,11
272,-4,-9,8,-4
273,0,-4,0,-2
274,0,-8,-3,1
275,-4,5,-17,9
276,-4,-8,5,0
277,6,-8,0,4
278,2,-3,-2,6
279,6,-17,9,-3
280,-11,9,-7,4
281,-6,6,-4,4
282,2,-9,5,5
283,6,-16,11,4
284,0,-4,7,0
285,-2,-7,13,4
286,-6,1,-7,4
287,0,-3,1,7
288,3,-11,11,0
289,6,-18,13,0
290,2,-14,12,0
291,-6,8,-10,9
292,6,-6,0,4
293,9,-4,-1,5
294,0,-12,14,-7
295,-10,14,-13,0
296,-4,-5,0,1
297,2,-20,17,-1
298,2,-14,9,1
299,-8,7,-7,0
300,1,-7,4,3
301,0,-10,-1,9
302,4,-8,5,2
303,2,-12,4,4
304,-2,-4,5,1
305,2,-4,-8,15
306,-7,0,5,7
307,-2,2,-2,7
308,-1,5,-14,14
309,-6,-2,0,14
310,-13,12,-16,18
311,-4,2,-1,9
312,8,-16,8,7
313,-4,-1,0,10
314,0,0,-1,16
315,3,-11,12,7
316,1,-10,6,13
317,-1,-4,3,13
318,2,5,-9,15
319,-1,-1,-5,13
320,-4,7,-10,17
321,9,-17,2,12
322,0,-2,-2,12
323,1,-4,8,7
324,10,-17,17,7
325,-6,7,0,8
326,2,-7,3,8
327,3,-18,20,3
328,-3,3,-4,9
329,-5,2,-2,11
330,2,-5,11,12
331,2,-5,0,5
332,3,-14,9,10
333,-4,-6,2,12
334,-1,0,-10,14
335,-3,-10,9,6
336,-4,-4,1,11
337,6,-13,10,0
338,-7,-2,5,7
339,-6,-1,-2,17
340,-3,6,-8,9
341,-2,-1,-5,11
342,-5,4,-5,10
343,0,-6,5,8
344,5,-1,-2,8
345,-8,-1,3,5
346,-1,-6,-6,12
347,-4,3,-10,12
348,1,0,2,8
349,-4,6,-19,20
350,3,-2,-14,16
351,-5,0,-8,7
352,6,-16,-1,11
353,-3,-1,-10,14
354,-4,-4,-3,10
355,3,-3,-8,13
356,0,0,-13,8
357,-1,-3,-12,16
358,-6,-1,-4,16
359,1,-11,2,6
360,-6,-5,0,9
361,2,-10,-1,10
362,-5,0,-1,6
