Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,6,-13,14,-1
2,-2,17,-22,7
3,0,-2,2,0
4,3,-12,12,-4
5,1,0,0,-2
6,-1,-2,-5,7
7,-4,0,-3,0
8,-2,-6,6,0
9,0,8,-19,1
10,-7,0,2,1
11,2,-2,-3,3
12,7,-11,0,1
13,6,-4,-3,2
14,7,-15,14,-3
15,-5,6,-16,6
16,-1,0,-3,5
17,-4,1,-4,0
18,3,-14,12,-3
19,0,1,-3,5
20,0,-8,4,0
21,-2,-3,8,-1
22,1,-8,4,0
23,2,-8,-1,2
24,2,-12,9,-2
25,0,-1,2,-2
26,-8,5,-5,3
27,5,-9,7,-6
28,1,-5,5,-4
29,-7,6,-7,-1
30,0,2,-19,9
31,0,1,-8,0
32,4,-7,-3,-3
33,-3,0,-5,-4
34,-2,-6,0,-1
35,-14,1,-2,-1
36,-7,10,-15,4
37,4,-23,19,-10
38,-6,-6,11,-7
39,-7,0,-5,5
40,-7,10,-3,-1
41,5,-5,0,5
42,-5,-4,4,0
43,-4,6,-18,10
44,2,1,-8,0
45,-2,-8,1,-4
46,-3,-7,17,-10
47,2,-1,-2,-3
48,-9,5,0,0
49,0,-3,1,-1
50,4,-11,-2,7
51,-6,4,-3,-2
52,-11,3,-1,-1
53,-3,0,-3,0
54,2,-15,18,-9
55,-2,-7,-7,3
56,2,-5,-7,-4
57,7,-8,0,-3
58,-6,7,-22,3
59,2,-19,18,-7
60,-7,9,-12,-1
61,7,-14,13,-3
62,-5,-6,6,-2
63,2,-10,4,-3
64,3,-7,2,-1
65,0,-15,11,-3
66,-3,2,-3,3
67,0,-5,10,-11
68,0,-7,1,-8
69,0,0,-8,-1
70,-10,10,-12,0
71,0,-6,9,-8
72,0,-11,10,-5
73,-7,-5,14,-9
74,1,-22,30,-6
75,-6,9,-15,6
76,-7,0,-5,4
77,-6,0,3,1
78,1,-8,-3,4
79,-2,1,-7,4
80,-1,-5,-3,-2
81,-3,-8,11,-12
82,-9,1,0,-6
83,-10,-3,14,-4
84,-9,12,-8,0
85,3,-15,2,0
86,-8,6,-7,3
87,4,-19,5,-1
88,0,1,-7,4
89,-2,-7,-3,-1
90,1,-17,16,-13
91,-7,3,-14,4
92,-5,8,-18,3
93,-8,7,-13,1
94,-5,7,-13,-3
95,0,-5,-7,0
96,-3,-2,-5,-3
97,-7,3,-7,1
98,-6,-5,3,-4
99,-6,0,-7,0
100,-7,0,-2,-5
101,-1,-13,5,-5
102,-2,-4,-3,-1
103,-7,7,-15,0
104,2,-10,-5,-2
105,-2,5,-21,7
106,-4,-2,-3,0
107,-9,-8,12,0
108,0,-8,2,-3
109,-8,7,-6,0
110,-1,-7,8,-1
111,-5,-8,15,-8
112,-9,10,-12,6
113,-10,9,-14,0
114,-4,-3,-6,-4
115,4,-6,-3,0
116,-4,-8,3,-8
117,-11,-1,-8,1
118,-2,-11,1,-3
119,4,-13,13,0
120,-2,0,6,0
121,-3,2,-11,5
122,0,1,-10,2
123,-15,15,-16,4
124,-4,5,-10,2
125,-1,-13,8,-10
126,-4,-6,-8,1
127,-2,-5,-7,3
128,3,-9,-3,2
129,-4,-5,-2,5
130,-9,9,-18,9
131,-1,-10,-2,-1
132,-7,3,0,-2
133,-3,1,-7,-4
134,1,-16,5,-6
135,0,-16,10,-6
136,-11,10,-13,-1
137,0,-9,1,-4
138,-8,0,-13,9
139,-4,-11,4,-4
140,6,-18,9,-9
141,0,-9,-1,-1
142,-4,2,-19,6
143,-7,5,-21,13
144,0,-8,0,3
145,-2,1,-8,-1
146,5,-33,27,-14
147,-1,-1,-17,9
148,-3,4,-16,0
149,0,-5,0,-4
150,-5,-1,-2,-8
151,0,0,-6,2
152,0,-4,-8,1
153,-1,-7,7,0
154,-1,-8,3,-3
155,3,-22,13,-3
156,-3,-1,-6,-3
157,-3,-12,5,0
158,-2,2,-8,6
159,0,-14,1,-3
160,-1,-8,1,-2
161,-8,2,-14,8
162,2,-11,1,-1
163,-7,-7,9,-6
164,-8,12,-22,7
165,-4,0,-11,-1
166,-7,12,-19,-2
167,-5,0,-2,0
168,-2,-15,6,0
169,-8,8,-14,3
170,0,-2,-14,0
171,-7,1,-8,2
172,-4,-8,-2,-8
173,-8,-2,-2,0
174,-5,2,-7,-1
175,-3,-7,6,-4
176,0,-4,-6,1
177,8,-16,1,-1
178,-8,5,-14,0
179,-1,-16,15,-9
180,1,-13,0,2
181,1,-5,1,0
182,-5,0,-2,-1
183,-2,-7,-5,0
184,-2,-8,2,-3
185,-1,6,-18,2
186,-8,-7,-1,1
187,0,-14,13,-12
188,2,-9,-3,2
189,-10,-5,4,-8
190,1,0,-12,3
191,-3,-11,0,-2
192,-1,-1,-10,5
193,2,-12,11,-9
194,-8,9,-14,0
195,9,-3,-15,0
196,-9,4,-16,0
197,4,-22,16,-5
198,1,-6,-6,-2
199,-3,-4,-1,8
200,-2,0,-5,2
201,0,-1,-15,3
202,-5,0,4,-2
203,-4,-7,7,-1
204,1,-13,3,0
205,-5,0,7,-1
206,-14,11,-3,-1
207,-1,-5,0,-4
208,-2,0,-9,3
209,-2,-4,0,-4
210,-4,-2,-1,1
211,-4,-2,-1,2
212,1,-12,5,0
213,-2,-5,3,-1
214,-1,9,-11,-2
215,-3,-5,0,4
216,0,-3,-5,1
217,-4,2,-13,2
218,-3,9,-9,-2
219,-2,-2,2,0
220,-11,17,-19,10
221,-10,13,-27,7
222,-3,-3,1,-1
223,-6,6,-2,2
224,-1,4,-4,1
225,2,-10,1,-1
226,-10,9,-15,7
227,-10,19,-26,13
228,3,-9,5,2
229,-10,4,-7,4
230,-5,-3,-1,0
231,-2,2,-11,8
232,-8,9,-10,0
233,1,0,-10,2
234,0,-8,3,5
235,0,-13,9,-3
236,0,0,-10,0
237,-9,0,9,-5
238,-6,2,-3,6
239,-10,-6,1,-1
240,-3,3,-15,10
241,-8,4,-8,6
242,-10,9,-12,3
243,10,-20,12,-1
244,-13,3,-9,7
245,-2,-7,0,3
246,2,-11,3,-2
247,3,-18,4,0
248,-9,-1,-5,4
249,0,-13,4,-7
250,-4,5,-13,2
251,-4,0,-6,-1
252,-1,-14,12,-4
253,-4,0,-5,4
254,-3,-7,-1,0
255,-2,-6,3,0
256,-2,-4,-3,-2
257,-7,16,-27,8
258,2,-9,-2,3
259,-4,0,-6,-2
260,3,-11,8,-6
261,0,-7,-4,-4
262,0,-15,18,-7
263,-3,1,-14,9
264,0,-3,-4,1
265,-13,1,-2,0
266,3,-11,1,-2
267,-9,12,-25,9
268,-2,-4,2,-1
269,-11,11,-15,-1
270,-3,-1,1,-2
271,-2,-15,16,-8
272,-9,8,-10,-2
273,-3,-10,2,-1
274,-4,5,-3,0
275,-14,9,-6,-3
276,-6,6,-5,6
277,-2,-3,-8,6
278,3,-5,-3,2
279,-3,-7,8,-3
280,-9,-2,4,-3
281,-2,0,-10,7
282,0,-8,1,4
283,-8,-4,0,7
284,-2,-9,6,-2
285,0,-12,10,1
286,-13,12,-13,6
287,-2,-10,0,1
288,0,3,-13,9
