Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-3,-2,6
2,-3,0,-3,-3
3,-5,-3,6,-1
4,-2,-3,4,1
5,-5,-1,-1,2
6,-5,-2,3,-3
7,-3,-8,11,-2
8,-8,3,0,1
9,-10,6,-3,5
10,5,-16,12,-4
11,0,3,-17,7
12,0,0,-8,3
13,0,5,-6,4
14,-1,-7,5,1
15,-11,10,-7,-1
16,-2,9,-23,5
17,0,-10,9,-5
18,-7,-3,4,0
19,1,-15,6,2
20,-7,6,-7,3
21,4,-25,21,0
22,6,-22,12,-2
23,3,-11,9,-1
24,0,-1,-10,9
25,4,-10,6,-3
26,-4,0,-4,0
27,-3,-5,-1,0
28,4,-9,6,-1
29,0,-16,19,-11
30,-1,1,-5,0
31,1,-11,3,-4
32,-2,0,-8,4
33,-1,-3,-7,4
34,0,-13,1,2
35,-1,-3,-6,-1
36,-6,1,0,-2
37,3,-9,7,-5
38,-4,3,-10,4
39,-10,7,-3,-2
40,0,-15,16,-6
41,7,-18,22,-7
42,0,-6,-4,7
43,3,-12,2,4
44,11,-29,24,-7
45,-3,-13,14,0
46,-5,-3,0,-1
47,4,-19,14,-4
48,7,-24,28,-8
49,0,-15,17,-5
50,-8,-4,0,2
51,4,-11,4,0
52,0,-16,0,2
53,-1,-3,-1,-1
54,-4,0,1,-1
55,-5,-8,5,-1
56,2,-14,4,0
57,5,-8,-2,6
58,-5,2,-12,4
59,1,-10,8,-1
60,1,-20,22,-8
61,3,-14,9,-5
62,0,-9,10,-4
63,-7,1,1,-5
64,1,-16,19,-5
65,-2,-1,-3,3
66,-1,-16,17,-9
67,-6,6,-10,7
68,1,-8,8,-3
69,-6,-8,9,-6
70,-9,-8,21,-7
71,6,-24,13,3
72,-10,1,5,3
73,10,-20,13,-3
74,4,-22,16,-4
75,0,-11,21,-6
76,-4,-5,2,-6
77,-3,-1,-2,4
78,0,-5,0,-2
79,-5,0,2,-3
80,-4,0,-1,-2
81,-2,-5,2,0
82,-15,8,-7,3
83,0,-13,13,-3
84,0,-16,6,-4
85,-3,-12,1,0
86,-2,-15,11,-4
87,-10,3,-4,1
88,-2,-9,10,-7
89,0,-6,3,-1
90,-10,-2,9,-6
91,-1,6,-23,8
92,-7,0,2,-6
93,-10,6,-6,-4
94,2,-8,1,-3
95,-9,3,-18,4
96,-1,2,-12,1
97,-1,-13,13,-4
98,-9,-3,0,-2
99,-6,2,-12,6
100,-11,10,-16,0
101,-7,3,-10,9
102,-5,-4,0,-1
103,-10,3,-10,5
104,-1,0,-11,2
105,-4,-5,-4,1
106,-1,-13,3,2
107,-3,-8,10,-5
108,-1,-5,-1,-2
109,2,-10,0,4
110,2,-12,7,-2
111,-4,0,-4,4
112,3,-16,15,-7
113,2,-12,12,-9
114,-10,0,-5,-4
115,-7,-1,-12,5
116,5,-20,10,0
117,0,0,-6,1
118,1,-12,7,1
119,0,-15,9,-3
120,1,-4,-7,-4
121,-2,-10,4,-1
122,1,-17,11,-8
123,-3,-7,-6,1
124,-11,-5,3,-1
125,-3,-14,5,-2
126,-3,-11,10,-1
127,0,-10,-6,3
128,1,-11,4,0
129,-5,-4,-2,4
130,-5,0,-8,0
131,0,-7,3,-1
132,4,-11,13,-5
133,-2,-10,0,-4
134,-6,-2,-8,0
135,-6,-5,4,-5
136,0,-9,10,-7
137,-4,1,-8,-1
138,-6,-12,5,-8
139,-2,-17,7,-3
140,0,-11,-3,0
141,0,-5,-3,0
142,-3,-6,1,-1
143,-5,-3,-2,-6
144,-8,7,-5,0
145,-6,-4,0,-4
146,2,-15,3,2
147,-15,12,-18,1
148,-5,-12,8,-7
149,-3,-4,-4,-2
150,-4,-2,-5,-7
151,-4,-6,-8,1
152,-2,-3,-8,-4
153,-2,-9,10,-5
154,-7,-6,1,-3
155,-2,-1,-7,8
156,-9,0,-7,-3
157,-2,-1,4,4
158,1,-20,12,-1
159,-7,-3,7,-5
160,0,-9,5,-5
161,-5,-3,-2,2
162,0,-14,11,-9
163,-2,-12,11,-7
164,-4,-9,4,0
165,-6,-3,0,2
166,-8,4,-6,-2
167,-10,-10,7,-7
168,-7,-3,-1,-1
169,0,-24,24,-18
170,0,2,-4,-3
171,5,-10,-9,2
172,-13,2,-3,-8
173,-2,-6,-1,3
174,-4,-5,0,-2
175,-10,-3,-2,-2
176,-1,-3,0,-3
177,-2,-5,-7,0
178,-2,-2,0,-3
179,2,-19,25,-13
180,2,-21,16,-9
181,1,-6,6,-2
182,0,-14,8,-7
183,-6,-10,6,0
184,-5,-10,6,0
185,-5,-1,-2,-10
186,-14,0,0,2
187,-5,-4,-2,4
188,-9,-3,0,-4
189,-5,-1,-9,-1
190,3,-12,11,-2
191,0,-18,13,-14
192,7,-24,14,-6
193,0,-23,16,-10
194,-4,-3,-13,3
195,-8,-9,6,1
196,-7,-2,0,-5
197,-5,3,-6,1
198,-8,-1,0,-3
199,0,-11,5,-3
200,3,-9,6,-5
201,0,-11,0,1
202,-1,-8,10,-5
203,-2,-5,8,-10
204,-1,-8,-2,1
205,-2,-16,14,6
206,-6,5,-3,-2
207,-1,-2,11,1
208,-1,-5,8,-1
209,0,-5,-4,2
210,0,-13,11,-1
211,-5,-3,4,1
212,6,-13,-5,12
213,2,-21,7,-1
214,-3,-6,-2,-3
215,-13,9,-3,1
216,-2,6,-9,4
217,-3,-1,-3,5
218,-9,7,-15,5
219,-4,-2,5,2
220,-4,3,-11,-1
221,-7,6,-10,0
222,0,-15,11,-5
223,-3,-1,-3,9
224,0,-8,2,4
225,-5,6,-13,2
226,-2,2,-8,0
227,-9,8,-13,3
228,-11,-2,7,-2
229,-6,-3,8,0
230,3,-5,-5,0
231,-5,0,-4,-1
232,0,-11,-1,8
233,-9,4,-1,4
234,0,-13,17,0
235,-10,-7,14,-1
236,4,-13,8,-6
237,1,-10,13,-9
238,2,-7,1,4
239,4,-9,-7,9
240,-11,9,-18,7
241,0,-9,0,3
242,-1,-10,3,6
243,-5,0,-14,5
244,-5,3,-5,0
245,9,-16,7,-3
246,-6,3,-13,7
247,1,-8,3,-2
248,3,-5,4,-6
249,0,-5,-2,0
250,-4,-4,-1,0
251,-6,13,-14,3
252,1,-15,15,-5
253,-5,-6,0,-3
254,1,-14,11,-4
255,-3,-7,8,-1
256,0,-12,-1,1
257,4,-24,21,-11
258,0,-7,4,-1
259,-7,-4,6,-7
260,0,-12,-5,3
261,1,0,-5,2
262,-6,-1,2,-1
263,-4,-10,9,0
264,7,-18,10,-4
265,-4,3,-13,0
266,-5,-3,2,-2
267,-5,-2,-4,4
268,-3,-6,1,1
269,-3,-7,1,-1
270,-8,0,0,-2
271,0,-11,5,0
272,-8,4,-5,0
273,5,-8,-4,1
274,2,-24,17,-7
275,-9,-6,0,-4
276,-1,-15,1,0
277,3,-15,1,0
278,7,-16,9,3
279,-5,-4,9,-2
280,4,-14,5,3
281,-7,-3,3,0
282,-4,-2,1,1
283,-13,12,-17,10
284,4,-12,2,3
285,-7,-5,6,5
286,-7,-1,-1,5
287,1,-14,3,4
288,4,-24,17,0
289,2,-15,17,-1
290,8,-16,10,5
291,-7,2,-3,3
292,-4,-13,10,1
293,0,-2,-6,8
294,-1,-9,6,4
295,4,-11,5,2
296,-2,-5,-3,5
297,2,-16,14,0
298,7,-19,8,0
299,-3,2,-3,12
300,0,0,-6,13
301,1,-13,9,3
302,1,-10,12,3
303,-3,-6,9,1
304,-1,5,-9,11
305,0,-9,6,5
306,-5,3,-14,14
307,-5,0,-2,3
308,-10,0,3,4
309,6,-23,14,2
310,1,-12,6,12
311,-10,4,-13,10
312,2,-14,4,9
313,-11,8,-14,6
314,-5,0,-5,9
315,0,-8,9,-5
316,-11,2,-7,7
317,12,-27,17,-4
318,7,-18,3,4
319,1,-10,0,6
320,-1,-3,-2,0
321,-5,2,-6,8
322,-12,-2,2,6
323,-2,-11,8,9
324,-1,-7,-3,12
325,4,-24,19,0
326,-3,-6,5,9
327,-9,-3,5,6
328,-2,4,-19,15
