Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,2,-12,6,-1
2,5,-7,4,-9
3,0,-6,4,-1
4,1,-13,4,-4
5,2,-8,2,-3
6,2,-4,-1,0
7,-3,3,-6,3
8,-4,5,4,-7
9,-2,1,3,-2
10,1,-3,4,-3
11,0,3,-5,-2
12,-3,-3,2,3
13,0,-5,5,-6
14,2,-18,19,-2
15,-3,3,-12,2
16,5,-11,9,-8
17,0,-10,12,-3
18,-1,-5,1,1
19,3,-13,12,-3
20,0,-4,6,-8
21,10,-25,21,-6
22,-6,-2,-3,-1
23,8,-22,13,-3
24,3,-17,12,-3
25,10,-26,20,-4
26,8,-23,9,1
27,-4,-4,4,0
28,4,-15,6,1
29,0,-8,1,-1
30,3,-17,12,-1
31,0,-2,-1,-2
32,-5,-10,9,-10
33,-2,-4,1,-4
34,2,-4,-9,-1
35,-4,-1,-1,0
36,-2,-14,7,-6
37,-2,-14,15,-2
38,1,-8,3,-6
39,5,-10,-4,0
40,-6,2,-2,-5
41,1,-10,16,-1
42,4,-12,3,-1
43,0,-15,7,-3
44,1,-25,15,-3
45,0,-16,17,-5
46,-2,-4,-5,0
47,3,-10,0,2
48,-2,-2,-3,4
49,-5,-6,7,0
50,0,-3,-4,5
51,10,-30,29,-13
52,-1,-15,16,-12
53,-1,-6,5,0
54,8,-21,6,1
55,3,-14,6,-2
56,-2,-3,-7,0
57,-1,-11,11,-4
58,2,-16,-1,-3
59,-3,-4,2,0
60,4,-13,11,-3
61,0,-2,14,-5
62,12,-23,15,-5
63,-1,-7,5,-3
64,4,-23,19,-12
65,-2,-3,1,-4
66,0,0,0,0
67,2,-17,10,-1
68,0,-10,2,1
69,-4,-2,3,-8
70,-2,-5,8,-9
71,-6,-6,5,0
72,-6,-2,10,-1
73,7,-34,34,-9
74,13,-37,32,-12
75,1,-15,17,-7
76,-5,-4,7,1
77,4,-25,22,-9
78,2,-16,10,-4
79,-2,2,-5,0
80,-7,-16,15,-5
81,3,-13,10,-9
82,-4,-12,16,-5
83,0,-9,4,-2
84,-1,-6,-1,0
85,6,-18,14,-12
86,0,-5,-2,-4
87,-4,-11,5,-4
88,-3,-7,8,-13
89,5,-14,2,-1
90,1,0,-13,3
91,-4,-4,0,-4
92,0,-10,9,-6
93,-1,-8,-8,0
94,-3,-5,-7,0
95,-1,-15,2,-3
96,-7,-3,-8,4
97,3,-24,27,-17
98,-8,-9,5,0
99,-6,-3,0,-4
100,1,-16,8,-3
101,0,-19,13,-4
102,5,-21,6,-2
103,-6,-3,-5,3
104,7,-17,4,-11
105,-8,10,-22,6
106,8,-30,25,-7
107,5,-14,3,0
108,3,-14,-4,9
109,13,-31,26,-14
110,0,-15,19,-14
111,-3,-14,16,-5
112,-5,-13,13,0
113,-9,1,-4,-1
114,-3,-12,1,-2
115,8,-20,7,-5
116,-1,-9,6,-3
117,-1,-12,2,0
118,-2,-12,8,-6
119,1,-24,19,0
120,-2,-18,13,-6
121,5,-30,29,-7
122,0,0,-15,2
123,-6,-5,0,-4
124,-3,-9,0,-2
125,-14,5,-10,-2
126,2,-15,0,0
127,-2,-10,-1,-3
128,-3,-21,19,-8
129,0,-21,17,-10
130,-2,-5,-2,-3
131,-3,-12,10,-6
132,-1,-11,16,-12
133,-7,-5,0,3
134,-2,-5,4,-5
135,0,-9,2,0
136,-6,-6,1,-4
137,1,-19,2,-1
138,-1,-13,3,1
139,-1,-14,-4,-3
140,-3,-11,2,-6
141,1,-25,16,-7
142,-7,-11,10,-4
143,-7,-3,-7,3
144,0,-9,4,-1
145,-2,-5,-6,-1
146,5,-16,3,0
147,0,-14,4,-11
148,-7,-3,-6,-5
149,-6,-8,-5,-7
150,-4,-6,0,-6
151,1,-18,10,-9
152,3,-21,12,-5
153,3,-28,19,-7
154,3,-19,12,-8
155,-2,-19,20,-6
156,-11,5,-9,0
157,-3,-15,8,-5
158,-3,-13,3,-4
159,-2,-15,2,-10
160,-5,-14,11,-4
161,-6,-3,6,-4
162,-6,-10,0,1
163,2,-16,9,-5
164,3,-18,13,-9
165,-1,-12,0,1
166,0,-26,11,-7
167,-12,-1,-2,0
168,-1,-16,9,-5
169,-6,-10,-4,0
170,-2,-1,-13,0
171,0,-9,-4,-1
172,-6,-2,-13,3
173,-3,-13,11,-6
174,-2,-7,2,-12
175,-5,-9,3,-6
176,0,-14,0,0
177,2,-13,-1,0
178,-5,-1,-5,0
179,0,-19,10,-4
180,-1,-5,-3,1
181,-7,-3,-2,5
182,0,-15,12,-2
183,-9,-4,0,-1
184,11,-37,10,0
185,0,-21,9,-6
186,-3,-13,11,-5
187,3,-10,2,-7
188,6,-26,20,-18
189,-7,-1,-7,-7
190,7,-14,-1,-2
191,-7,7,-13,3
192,-4,-4,0,-6
193,3,-19,8,-2
194,-7,-4,-8,-7
195,-8,0,-11,2
196,0,-16,11,-12
197,-12,2,-10,-5
198,0,-23,16,-12
199,-1,-12,15,-14
200,-1,-13,10,-10
201,1,-10,2,-6
202,-5,-13,7,-3
203,-3,-12,4,-2
204,-11,0,0,-4
205,0,-18,19,-5
206,-10,1,-8,3
207,-11,1,-1,0
208,-6,-8,1,-3
209,5,-9,3,-3
210,4,-18,14,-5
211,0,-9,7,-2
212,7,-10,4,2
213,10,-29,16,-2
214,6,-15,1,3
215,-3,10,-13,5
216,14,-20,8,1
217,8,-18,12,0
218,1,-7,7,-6
219,0,-8,7,-1
