Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,-3,1,3
2,3,-10,10,-4
3,1,0,-13,4
4,8,-19,9,-1
5,1,-14,13,-7
6,-6,13,-16,5
7,1,-15,19,-14
8,3,-14,8,0
9,0,-6,7,-6
10,-3,-2,2,-5
11,-5,-5,4,0
12,3,-18,13,-7
13,2,-22,25,-16
14,3,-5,-11,0
15,6,-11,-1,2
16,1,-6,-6,1
17,0,-12,17,-12
18,-4,-9,12,-4
19,0,-10,10,-7
20,4,-12,0,-1
21,0,-4,2,-1
22,3,-11,7,-2
23,2,-11,8,-3
24,2,-16,2,-4
25,-5,2,-9,4
26,-2,0,-3,-2
27,-7,3,2,-3
28,1,-5,-1,2
29,2,-4,-8,-4
30,0,-11,7,-4
31,3,-6,-1,1
32,8,-23,14,-7
33,0,-10,3,2
34,9,-10,0,1
35,1,-12,3,-7
36,-7,-1,2,-6
37,-1,-5,7,-3
38,2,-11,-2,-1
39,2,-10,7,-5
40,-8,1,5,-5
41,0,-11,5,3
42,8,-13,8,0
43,3,-10,0,-6
44,3,-3,-7,4
45,10,-29,13,-9
46,-6,-1,7,-8
47,-6,0,-1,-3
48,-8,-9,5,-2
49,-3,-2,-3,-3
50,-5,-8,5,-7
51,0,-19,21,-15
52,-1,3,-21,2
53,-11,12,-15,-2
54,-6,4,-3,-3
55,-1,0,-6,0
56,0,-4,-4,0
57,-2,-2,1,-3
58,-1,-3,2,-2
59,5,-18,14,-3
60,1,-8,7,-3
61,8,-18,12,0
62,-4,-5,-2,-5
63,5,-15,8,-7
64,1,-8,2,-9
65,0,1,-5,-2
66,-10,10,-16,0
67,0,-15,6,-3
68,2,-7,-8,4
69,-2,-17,20,-14
70,2,-9,8,-14
71,0,-7,0,-6
72,0,-14,8,-5
73,-2,-2,4,-5
74,-1,-5,-1,-7
75,-1,-18,17,-13
76,1,-9,-1,-7
77,0,-2,-12,3
78,2,-12,9,-5
79,-2,-6,1,-2
80,-3,-5,-7,0
81,0,-11,5,-8
82,-2,-12,14,-11
83,-3,-2,-9,-3
84,7,-25,13,-6
85,2,-15,4,-2
86,-7,-3,-6,3
87,5,-20,15,-11
88,1,-5,-7,-1
89,-8,-3,1,0
90,0,-11,3,-5
91,-1,-11,0,-9
92,7,-20,1,0
93,-1,-5,-7,7
94,3,-9,7,-7
95,3,-14,11,0
96,4,-19,21,-11
97,-2,-18,18,-14
98,4,-10,2,-8
99,-7,-5,5,-6
100,-5,-14,11,-3
101,-1,-8,-2,0
102,-2,-1,-4,-4
103,-6,2,-9,-5
104,-8,11,-18,-3
105,-7,0,-6,0
106,5,-18,8,-8
107,-13,-1,-3,-5
108,-2,-5,1,-13
109,0,-10,10,-9
110,-5,-9,2,-3
111,4,-20,18,-14
112,1,-14,5,-6
113,0,-5,21,-6
114,0,-10,7,-2
115,-2,-9,8,0
116,-3,-8,3,-4
117,3,-9,2,-6
118,-2,4,-13,0
119,4,-18,11,-9
120,-7,2,-5,1
121,9,-33,21,-6
122,6,-27,7,0
123,-6,-6,-4,0
124,3,-19,1,-3
125,-7,0,-9,-3
126,4,-15,-3,-5
127,1,-18,16,-8
128,5,-29,21,-7
129,0,-3,-8,-3
130,2,-14,1,-5
131,-1,-12,4,-6
132,-2,-2,0,-3
133,3,-5,-6,-4
