Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-1,11,-8,8
2,6,-1,2,5
3,-7,2,0,-4
4,0,-7,3,1
5,1,-2,-1,0
6,4,0,-2,4
7,-1,5,-1,2
8,1,-12,9,-6
9,-1,-3,9,-6
10,-4,-2,6,-8
11,4,-17,9,-1
12,-8,-5,4,0
13,-8,6,-13,6
14,0,-13,5,-7
15,2,-19,18,-7
16,-1,-3,8,-8
17,-3,4,-8,5
18,-6,11,-8,1
19,2,-12,13,-7
20,-9,1,3,-11
21,-6,-1,-3,0
22,-5,1,1,0
23,0,-2,5,-1
24,4,-12,9,-9
25,-4,-4,2,-4
26,-10,2,-4,-3
27,1,0,-3,-1
28,-2,0,1,-1
29,-15,10,-7,-5
30,1,-11,14,-9
31,-10,10,-7,2
32,-6,1,0,0
33,5,-15,-1,0
34,-5,3,-5,2
35,-3,-6,7,-7
36,-10,6,-9,0
37,-5,-3,0,5
38,0,-16,1,-1
39,-4,-2,0,-4
40,-8,5,-1,-2
41,-5,9,-10,-1
42,-10,-3,9,-10
43,-7,3,-12,4
44,2,-21,28,-10
45,-1,0,0,-4
46,-1,1,-7,4
47,-3,-1,2,-10
48,-2,-5,5,-3
49,-7,-1,-2,-2
50,1,-11,4,-7
51,-9,5,0,-7
52,-9,13,-18,0
53,-8,4,-13,-3
54,0,0,-1,-4
55,-11,11,-2,-7
56,-7,1,-5,2
57,-2,4,-13,0
58,-13,7,2,-5
59,-5,-1,-3,-2
60,-9,-7,17,-12
61,-7,-6,6,-5
62,-6,-6,2,-5
63,-10,9,-4,-1
64,-3,-1,2,-4
65,-1,-1,-3,-6
66,-5,0,-2,-4
67,-2,-5,0,-6
68,-4,-1,-1,-3
69,0,-16,7,-1
70,-3,-6,5,-5
71,0,-3,-4,-1
72,-3,0,-6,2
73,-3,-3,4,-5
74,-5,2,-5,-1
75,-3,-8,6,-2
76,4,-16,8,-4
77,-1,-2,-16,3
78,-8,0,-4,0
79,-5,-3,2,-3
80,-1,-4,-5,1
81,-8,7,-10,0
82,-3,-11,4,-7
83,-5,1,-5,-4
84,-3,-14,10,-8
85,0,-6,3,-4
86,-6,-1,-5,-4
87,-7,-9,8,-7
88,-4,-2,1,-5
89,-12,12,-8,5
90,-2,4,-8,-4
91,-7,-4,-3,-4
92,2,-16,11,-8
93,-8,0,4,-10
94,-8,-9,6,-4
95,-9,-2,6,-6
96,-5,0,-2,-4
97,0,-5,4,-1
98,-8,10,-15,-3
99,-7,2,1,0
100,-5,1,-3,-1
101,-1,-6,6,-4
102,-7,1,0,0
103,-5,-4,7,-4
104,-11,8,-10,-6
105,-4,0,-12,-8
106,-8,-3,2,1
107,-8,-4,2,1
108,-10,1,2,-9
109,-10,2,1,-1
110,-5,-7,-1,-2
111,-15,6,-1,-6
112,-7,-4,1,-4
113,-10,0,9,-5
114,-5,-10,4,-2
115,-7,-6,2,-2
116,-8,-6,4,-3
117,-6,-1,-4,0
118,-10,4,-5,-8
119,-4,-14,14,-7
120,-8,-18,9,-7
121,-9,2,-10,3
122,-8,2,1,-7
123,-13,4,-3,0
124,-10,9,-13,-4
125,-4,0,-3,-1
126,-2,-11,2,-6
127,-6,-4,2,-6
128,-2,-13,13,-6
129,-3,0,-6,-3
130,-11,1,3,-7
131,-1,-15,8,-6
132,-12,-1,-4,-4
133,-2,0,-7,-3
134,-9,-6,2,-9
135,-12,8,-16,-4
136,-2,-10,2,-6
137,0,-17,22,-10
