Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,0,-12,-1
2,-4,5,0,0
3,-4,16,-11,0
4,1,-10,13,-7
5,2,-5,-5,-3
6,0,-7,4,-2
7,3,-8,4,0
8,-3,4,-12,4
9,1,-7,7,-7
10,-4,6,-8,1
11,-1,-11,5,-1
12,0,-2,-4,2
13,-2,-13,9,-4
14,1,-8,0,-3
15,0,-4,3,-2
16,-5,3,-5,-3
17,-2,3,-4,2
18,1,0,-4,0
19,2,-3,-2,0
20,0,-8,3,-2
21,2,-15,13,-6
22,1,1,-8,4
23,6,-12,8,-4
24,-8,3,2,-6
25,-8,3,5,-4
26,0,3,-15,6
27,-2,-3,-2,1
28,-2,-4,3,-3
29,-5,2,-8,1
30,-7,6,-3,-4
31,-3,-5,16,-8
32,-3,-1,0,-1
33,1,-1,-5,0
34,-5,-3,3,-11
35,-8,9,-13,4
36,-6,7,-9,0
37,-7,-4,10,-10
38,-5,-2,-5,-5
39,7,-20,15,-10
40,-10,12,-8,1
41,-11,10,-6,-4
42,0,-9,17,-6
43,-1,-5,8,-7
44,0,-3,-3,-2
45,0,-8,0,-3
46,-13,12,-2,-5
47,-9,0,4,-7
48,-8,1,11,-7
49,1,-20,16,-11
50,-3,0,1,-5
51,-10,9,-9,0
52,-11,13,-16,1
53,-13,14,-16,0
54,-1,-6,2,-7
55,-3,-1,0,-5
56,-12,12,-11,-2
57,-8,0,0,-6
58,-1,-12,6,-2
59,-6,-2,1,-11
60,-3,0,0,-4
61,2,-9,12,-9
62,-5,5,-6,-5
63,-4,-15,12,-7
64,-4,3,-2,-5
65,-12,7,-11,-2
66,4,-12,4,-4
67,-2,-1,-12,1
68,-7,1,0,-6
69,-5,10,-13,2
70,-4,-1,-1,-3
71,-1,-9,-2,-4
72,-11,9,-3,-5
73,0,-2,-4,-1
74,-8,7,-13,0
75,-7,0,-1,-2
76,0,-2,-6,-4
77,-8,6,-10,-4
78,3,-12,9,-4
79,-3,-10,4,-7
80,-13,7,-6,-7
81,-6,-4,2,0
82,1,-5,0,-8
83,0,-2,-10,0
84,-3,0,0,-5
85,0,-6,3,-6
86,0,-14,4,-3
87,0,0,-10,2
88,-7,-5,0,-4
89,-9,5,-6,-4
90,-3,-4,5,-7
91,-9,1,-6,-1
92,-2,-3,3,-4
93,-4,12,-14,-3
94,-5,-5,0,-8
95,0,-17,17,0
96,-4,-12,9,-6
97,0,-11,10,-10
98,1,-7,-8,-2
99,0,0,-4,-4
100,-2,-1,-6,-1
101,-12,2,-10,-4
102,-3,0,-3,0
103,-5,7,-13,-1
104,-12,8,-22,8
105,-4,2,-13,4
106,-8,-3,-4,-3
107,-6,-1,7,-4
108,0,-7,-3,-5
