Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,-10,18,-9
2,0,-2,-4,1
3,1,-2,-4,2
4,-3,6,-12,8
5,6,-19,18,-12
6,8,-18,11,-8
7,6,-8,1,2
8,0,-5,4,2
9,5,-6,-10,7
10,3,-11,8,-11
11,-8,6,-11,1
12,2,-6,2,-3
13,2,-5,-1,-2
14,0,-2,3,-5
15,6,-12,12,-9
16,-1,2,-9,0
17,-2,-4,2,0
18,6,-21,10,0
19,-8,6,0,-2
20,3,-10,3,-3
21,8,-10,7,0
22,-2,-6,7,-3
23,2,-22,22,-9
24,3,-11,12,-9
25,1,-11,10,0
26,0,6,-17,5
27,7,-9,-9,4
28,11,-23,23,-10
29,7,-10,0,1
30,-1,-8,1,-5
31,-3,1,-11,4
32,5,-15,1,-3
33,-2,-3,-9,0
34,0,-13,14,-8
35,-1,5,-18,6
36,5,-17,-3,1
37,-1,-12,3,3
38,1,-12,14,-8
39,0,-2,-9,4
40,3,-25,26,-12
41,7,-21,21,-4
42,-1,-6,1,2
43,-1,-3,1,-3
44,-2,-7,9,0
45,5,-18,15,-8
46,5,-12,1,1
47,-3,-6,7,-9
48,0,-14,7,-2
49,0,-16,15,-7
50,2,-7,1,-4
51,-3,2,-9,0
52,5,-19,11,-6
53,-2,-1,-3,0
54,-2,-3,8,-4
55,8,-3,-11,5
56,-3,-5,3,-4
57,-1,-1,0,-3
58,-5,-5,2,2
59,3,-15,17,-7
60,-7,1,0,-5
61,4,-14,14,-5
62,0,-10,12,-5
63,2,-9,-4,0
64,2,-15,7,-2
65,7,-18,1,7
66,0,-15,17,-17
67,1,-20,22,-9
68,-5,0,-6,0
69,2,-14,5,-8
70,8,-17,1,4
71,0,-10,8,-4
72,-8,-1,14,-4
73,1,-19,10,-7
74,3,-16,23,-3
75,1,-16,13,-4
76,-1,-14,7,-7
77,11,-30,26,-12
78,-6,6,-13,-4
79,-4,-9,7,-7
80,3,-20,11,-6
81,3,-21,20,-8
