Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-1,-1,-2,1
2,2,-1,-1,-1
3,0,-3,5,-5
4,5,-7,1,1
5,0,1,-2,2
6,0,-3,-2,1
7,0,0,-1,-4
8,-2,-2,2,0
9,1,-7,5,2
10,10,-27,20,-8
11,6,-6,-3,-1
12,-5,0,4,-3
13,2,-7,6,-1
14,-4,-1,-8,3
15,-1,-14,14,-1
16,-2,-3,-1,6
17,-5,-2,4,-3
18,2,-7,-5,2
19,7,-9,-4,0
20,4,-11,4,-1
21,-3,-3,9,-9
22,1,-16,10,0
23,4,-20,19,-4
24,1,-11,2,2
25,-5,3,-4,0
26,1,-8,-1,-1
27,-5,1,-4,1
28,-5,1,1,-8
29,-5,7,-17,5
30,0,-5,1,0
31,1,-12,8,-7
32,-4,-3,3,0
33,-9,2,-8,2
34,-2,-4,3,-2
35,-4,-1,-3,6
36,2,-13,3,-5
37,1,-3,0,-8
38,-8,-1,5,-2
39,0,-2,-5,-4
40,0,-14,12,-5
41,7,-12,8,-8
42,-6,-7,3,0
43,0,-5,-2,2
44,-4,1,-2,-1
45,2,-6,-3,0
46,-7,-3,9,-7
47,-5,5,-13,0
48,0,-15,15,-10
49,-4,-7,7,-7
50,-1,-11,3,-1
51,6,-24,17,-9
52,-3,0,-21,0
53,8,-7,-10,-6
54,4,-9,1,-3
55,-5,10,-16,-1
56,-5,0,-1,-3
57,2,-9,0,-3
58,-2,-3,-5,-3
59,-2,0,7,-7
60,1,-16,11,-5
61,-1,-12,12,-6
62,1,-6,-8,0
63,-1,-10,9,-12
64,2,-2,-6,-2
65,-1,-6,7,-10
66,-1,0,-13,2
67,0,-7,-3,-7
68,4,-10,1,-2
69,2,-10,-4,4
70,-9,0,-9,4
71,-5,-2,0,0
72,0,0,-9,4
73,0,-10,3,-3
74,4,-19,10,-7
75,1,-13,6,-2
76,-7,-3,-2,-3
77,4,-6,-8,2
78,2,-11,9,-1
79,-2,-12,16,-3
80,1,0,0,3
81,-12,10,-11,0
82,-9,-1,0,-4
83,-3,4,-22,5
84,0,-4,-1,-2
85,1,-5,-1,-1
86,-6,-3,-2,-2
87,8,-24,8,-4
88,-4,2,-12,0
89,2,-9,3,-6
90,-2,-1,-10,1
91,-10,5,-6,-5
92,3,-6,3,-2
93,3,-16,5,-1
94,0,-13,6,2
95,-7,4,2,-3
96,4,-17,-1,0
97,-4,-7,11,-2
98,-1,-9,0,-5
99,-5,6,-9,2
100,-6,6,-8,0
101,3,-10,1,-1
102,5,-25,15,-6
103,-2,-16,8,-1
104,0,-12,-2,-5
105,-3,0,-11,-3
106,-7,-6,11,-6
107,-5,-3,-6,0
108,-14,15,-15,1
109,-5,-14,11,-3
110,0,-7,2,-9
111,-3,-10,8,-5
112,2,-12,6,-4
113,0,-15,7,-4
114,2,-15,9,-5
115,1,-11,7,1
116,-14,11,-7,-2
117,0,-9,3,-4
118,0,-10,7,-2
119,-8,-8,7,-4
120,0,-13,0,0
121,-1,-1,-1,-1
122,-1,-11,6,-6
123,-3,-3,-12,2
124,-11,13,-12,5
125,3,-15,1,-5
126,1,-12,4,-9
127,-7,-2,0,-2
