Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-8,8,-10,1
2,0,-2,10,-7
3,-4,9,-11,0
4,0,-4,10,0
5,-2,-8,11,-4
6,6,-15,15,-10
7,0,2,0,0
8,-1,1,-1,0
9,8,-10,2,5
10,1,-11,5,-5
11,3,1,-8,0
12,0,-6,11,-4
13,1,-3,-1,0
14,-1,0,-5,0
15,-3,-2,4,-1
16,-5,11,-7,6
17,-3,-3,6,-6
18,-3,0,7,-3
19,1,-12,10,1
20,2,-3,-2,-6
21,7,-23,16,0
22,10,-14,11,-7
23,2,-7,8,2
24,-2,-15,16,-3
25,0,-9,9,-3
26,-2,-6,2,4
27,-1,-4,12,-4
28,1,-11,13,-4
29,-3,-1,-11,0
30,-5,-2,17,-8
31,6,-17,9,-6
32,0,-6,8,-5
33,-4,1,1,-3
34,4,-11,12,-11
35,1,-13,13,-8
36,0,-3,2,-9
37,-6,-3,8,-9
38,-7,13,-24,2
39,-1,0,-2,0
40,-3,-18,27,-12
41,-5,-5,8,-1
42,0,-9,8,-3
43,-2,-10,6,-4
44,-2,-4,11,-5
45,2,-14,18,-11
46,0,-12,16,-7
47,4,-12,5,-5
48,-11,8,-7,2
49,-7,0,-1,-1
50,0,-4,1,-5
51,-7,3,-4,-2
52,1,-16,10,-6
53,-7,9,-19,-1
54,0,-2,-2,-3
55,3,-3,1,-6
56,7,-18,6,-5
57,-8,9,-15,-1
58,-4,1,-3,3
59,-1,0,2,-3
60,-2,-2,0,0
61,-11,-2,7,-3
62,-3,-8,1,-2
63,-5,0,-2,-1
64,4,-12,6,-7
65,-5,-5,1,-5
66,-12,11,-17,4
67,0,1,-10,-6
68,-4,-2,-3,1
69,-8,-2,9,-9
70,-4,-1,-3,-3
71,3,-13,5,-2
72,-2,-4,-1,3
73,-4,-5,-1,-1
74,5,-8,-5,0
75,0,-12,15,-6
76,-2,-11,13,-10
77,-7,13,-23,11
78,-2,-6,2,0
79,-5,-5,12,-2
80,3,-17,16,-10
81,-1,-12,5,-3
82,7,-18,15,-9
83,-2,9,-19,0
84,-5,5,-12,4
85,-8,0,1,-3
86,-4,-4,-1,-2
87,4,-15,5,-2
88,-6,-7,10,0
89,-4,4,2,-5
90,-5,-1,-5,-3
91,-4,-5,8,-8
92,0,-10,13,-4
93,-3,-1,-6,0
94,0,0,-7,0
95,-1,-12,17,-6
96,-3,-13,3,0
97,0,-11,7,-3
98,-5,-3,-1,-4
99,0,-17,11,-2
100,-2,0,-11,3
101,-11,9,-7,3
102,-1,-11,9,-7
103,0,-1,-1,2
104,-9,16,-22,5
105,-8,-1,1,-3
106,-4,-9,10,-1
107,-6,1,-4,-3
108,-13,7,-9,3
109,-7,9,-6,7
110,-8,5,-4,1
111,-6,-7,5,-5
112,1,-13,10,-6
113,-7,-1,-1,-3
114,-2,-10,5,0
115,4,-20,19,-12
116,-2,-11,5,-2
117,2,-5,5,-3
118,-4,13,-16,11
119,2,-21,23,-9
120,-6,1,-11,3
121,-1,-9,14,-11
122,-1,-10,17,-2
123,-9,4,-5,-2
124,0,-9,-1,0
125,-12,-1,8,-6
126,0,-9,8,-5
127,-1,-3,3,-5
128,0,-4,-1,2
129,0,-5,0,-6
130,3,-13,4,-5
131,-7,-9,14,-8
132,-2,-14,7,-8
133,-12,4,-1,-3
134,-2,-12,10,-5
135,-4,1,-2,-1
136,-5,2,-15,4
137,-1,-16,14,-3
138,-3,-12,9,0
139,-9,0,-2,-4
140,1,-17,14,-10
141,-4,-6,-4,-2
142,-3,-14,15,3
143,-2,-7,1,-2
144,-5,-14,13,-2
145,-1,-6,-2,3
146,0,-14,11,-4
147,-1,-4,-1,-5
148,0,-18,16,-10
149,-10,6,-6,-3
150,2,-18,9,-10
151,3,-15,9,-3
152,-6,-10,10,-5
153,-3,-6,0,-2
154,1,-15,10,-2
155,-9,3,0,-4
156,-11,12,-5,0
157,0,-16,18,-8
158,3,-21,13,-6
159,-4,-5,8,-7
160,-4,0,1,-5
161,0,-8,10,-5
162,-1,-14,6,-6
163,0,-7,-19,3
164,-1,-9,0,-1
165,1,-13,8,-7
166,-6,1,-2,-4
167,-4,-5,7,-3
168,9,-19,14,-11
169,-6,-5,2,-4
170,-4,2,-10,-3
171,4,-14,-1,-3
172,-9,9,-14,-3
173,0,-14,4,-2
174,-4,-10,19,-16
175,4,-13,16,-12
176,-7,1,-3,-3
177,3,-21,17,-12
178,-2,-8,1,-11
179,-4,0,-1,-6
180,0,-4,9,-7
181,0,-13,2,0
182,-1,-14,15,-8
183,-5,-3,9,-6
184,2,-23,21,-8
185,-2,-3,2,-3
186,-17,7,-4,1
187,7,-26,9,-3
188,5,-26,23,-8
189,1,-17,0,5
190,0,-13,9,-4
191,-4,5,-7,-6
192,-10,6,-12,-2
193,0,-5,-3,1
194,-7,3,-4,-5
195,0,-13,10,-8
196,-2,-10,0,-5
197,3,-21,21,-13
198,-3,-16,18,-8
199,-8,0,-3,-4
200,-4,-16,6,-1
201,12,-21,2,-5
202,-2,-1,-6,-6
203,-10,1,-11,0
204,-1,-14,4,-7
205,-4,4,-14,4
206,-4,-4,0,1
207,-4,2,-4,-3
208,-6,-4,8,-10
209,-8,0,-2,-6
210,-15,4,-3,-2
211,0,-5,-9,1
212,0,-14,9,-4
213,1,-22,25,-14
214,1,-10,8,-5
215,0,-17,6,-7
216,-5,-7,8,-12
217,-10,-5,9,-11
218,-3,-19,25,-15
219,0,-10,0,-6
220,1,-16,8,-1
221,-16,8,-10,-1
222,-5,-1,5,-3
223,-2,-7,-1,-6
224,-2,-25,28,-8
225,0,-17,15,-13
226,-2,-9,4,-2
227,-9,4,-1,-2
228,4,-21,15,-9
229,-6,-14,9,-8
230,0,-9,-2,-1
231,5,-12,-2,2
232,0,-12,5,-6
233,-12,-3,5,-8
234,-7,-1,4,-3
235,-7,-1,-2,-4
236,0,-4,-1,-3
237,-5,-2,-4,-1
238,-11,3,0,-4
239,-5,-5,-4,0
240,-3,-8,0,-3
241,5,-14,10,-12
242,0,-5,0,-1
243,-7,10,-16,2
244,-4,0,-5,0
245,-6,0,-7,0
246,-4,-7,-2,-4
247,0,-20,17,-10
248,-17,0,13,-5
249,-14,5,-3,-7
250,0,-17,11,-5
251,-18,8,2,-3
252,0,-16,22,-7
253,0,-14,15,-6
254,0,-4,-5,3
255,-4,-10,18,-14
256,-1,-8,3,-5
257,-10,-1,0,0
258,-3,-1,-8,2
259,-7,3,-5,0
260,-8,9,-8,-1
261,-6,1,-3,3
262,-3,-5,-2,1
263,0,-5,0,0
264,-1,-21,21,-7
265,-8,-2,3,-1
266,0,-5,1,-2
267,0,-6,10,-3
268,1,-7,6,-6
269,-3,-13,13,-5
270,3,-17,4,1
271,5,-21,17,-2
272,2,-13,9,1
273,-3,-7,13,-3
274,2,-9,4,-2
275,-1,10,-14,10
276,5,-22,16,-5
277,-2,2,-4,2
278,-7,-5,-1,3
279,-2,0,-6,4
280,4,-12,2,5
281,3,-19,12,-2
282,-5,-8,10,-3
283,-14,-1,0,2
284,-2,-12,15,-6
285,1,-13,2,2
286,0,-14,13,1
287,-5,-6,0,4
288,1,-16,7,0
289,-5,-3,-5,9
290,-9,-4,11,-4
291,-2,-12,6,-1
292,-7,0,-11,6
293,-4,-4,-6,5
294,-13,13,-12,3
295,-5,-7,0,5
296,-5,-16,11,0
297,-5,-5,-3,12
298,-7,5,-13,12
299,-2,-12,4,2
300,4,-15,0,2
301,-6,0,-14,13
302,-3,4,-13,10
