Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-8,14,-16,3
2,-6,13,-16,5
3,1,8,-16,1
4,-1,-1,-3,4
5,-5,5,-9,4
6,2,-7,-5,1
7,-5,1,-1,1
8,-4,11,-9,0
9,-3,-12,16,-4
10,3,-17,10,0
11,-5,4,1,-10
12,-3,-5,-1,0
13,-1,4,-17,7
14,5,-12,3,-1
15,2,-13,3,0
16,4,-10,-1,0
17,1,-7,8,-4
18,-7,12,-10,2
19,1,-6,4,-3
20,11,-20,13,-8
21,-5,2,-6,0
22,-2,-1,-1,0
23,2,-6,-1,4
24,-3,-1,2,-2
25,4,-9,3,-5
26,0,-8,-7,1
27,-8,-1,0,-2
28,-5,-7,9,-5
29,-2,-5,-3,-1
30,4,-10,0,-2
31,0,-14,14,-7
32,2,-16,9,-4
33,-10,-4,3,-3
34,2,-9,5,-4
35,-7,8,-17,0
36,-8,2,5,-7
37,-4,-4,0,-3
38,-9,16,-24,-1
39,0,5,-11,3
40,-3,-7,1,1
41,-4,2,-9,6
42,0,-14,11,-5
43,1,-16,7,-10
44,4,-17,2,-6
45,4,-14,12,-5
46,0,-15,7,-9
47,0,-4,2,-2
48,0,-4,0,0
49,0,-17,6,-3
50,-6,12,-22,5
51,-12,0,0,-3
52,-4,1,-14,1
53,-12,12,-18,-3
54,-2,-7,3,-5
55,0,-9,2,-7
56,-12,13,-18,-1
57,0,0,-8,-2
58,-2,-9,8,-3
59,-1,-13,8,-5
60,1,0,0,-7
61,4,-19,14,-4
62,-3,-4,-3,-1
63,-4,1,-2,1
64,-13,8,-11,2
65,-5,2,-16,2
66,-5,7,-17,7
67,2,-13,5,-7
68,-6,-9,2,2
69,1,-19,8,-4
70,-5,7,-22,4
71,-7,2,-14,3
72,-4,6,-16,2
73,11,-18,6,-7
74,-2,-2,-2,-2
75,-3,-5,-1,0
76,-4,2,-7,-1
77,-3,-2,-4,-3
78,0,-3,4,0
79,0,-6,-3,3
80,-6,-2,-3,-5
81,-4,-5,0,-9
82,5,-15,1,-9
83,-7,-10,8,-4
84,0,-9,-1,2
85,-6,2,-8,0
86,-4,-2,-2,-1
87,-2,-4,-6,2
88,-8,6,-7,0
89,-4,-4,2,-1
90,-1,0,-10,1
91,0,0,-10,1
92,3,-16,4,4
93,-3,4,-12,-2
94,-3,-1,-6,4
95,-4,-4,2,0
96,-14,7,-13,7
97,-4,-8,6,-2
98,-5,8,-25,9
99,0,-15,11,-10
100,-1,-5,-6,1
101,1,-11,9,-6
102,0,-4,-9,1
103,0,-6,4,-6
104,-11,9,-15,6
105,-1,7,-23,7
106,0,-8,4,-2
107,0,-7,-3,-2
108,-11,6,-5,-4
109,10,-29,15,0
110,-4,-6,0,-4
111,-3,4,-16,0
112,1,-18,5,0
113,-3,-1,-4,-2
114,-9,-2,-2,-3
115,-1,-15,5,-1
116,-9,4,0,-7
117,-5,-6,4,-6
118,0,-15,3,0
119,-2,-3,7,-4
120,0,0,-11,8
121,-10,3,-5,1
122,3,-13,0,-3
123,-3,-4,0,-4
124,-8,2,-11,0
125,-2,-3,-5,1
126,-1,-7,3,-2
127,0,-7,-4,-1
128,4,-15,2,-1
129,0,4,-16,-1
130,-2,-11,2,0
131,-1,-8,2,-4
132,-4,2,-1,-8
133,-3,-11,1,-1
134,-2,0,-10,-5
135,-1,-3,-4,0
136,-2,-7,-3,2
137,-1,-11,1,-2
138,-4,-25,28,-10
139,-7,1,-9,0
140,-7,2,-12,-1
141,0,-13,-1,-4
142,6,-25,26,-10
143,-3,-2,1,-6
144,-8,-2,0,-6
145,-1,-13,1,0
146,7,-11,-1,-2
147,-3,0,-15,5
148,-5,-5,-3,-5
149,0,-11,-10,-7
150,0,-11,-4,-1
151,-1,-12,14,-6
152,0,-12,3,-1
153,-4,-12,2,-1
154,-3,-6,2,-8
155,-9,2,-3,-5
156,5,-17,9,-4
157,1,-23,16,-1
158,-2,-8,-5,-1
159,-4,-2,-7,1
160,-6,-5,0,-8
161,-4,1,0,-4
162,-10,1,-6,-7
163,-3,4,-16,-4
164,-8,-5,-6,-3
165,-6,-2,1,-7
166,-4,-8,0,1
167,7,-25,19,-11
168,6,-19,1,-3
169,-9,0,-11,3
170,-7,1,-3,-7
171,-9,2,-2,-6
172,-13,19,-22,0
173,-5,-2,-8,0
174,-7,-3,-3,-1
175,-5,-3,-2,1
176,-2,-12,3,-3
177,1,-7,-4,-2
178,-1,-18,11,-7
179,-12,6,-4,0
180,-11,1,-4,2
181,-3,4,-20,12
182,-4,-4,-4,1
183,0,-14,6,-10
184,2,-12,0,-3
185,-6,-13,12,-14
186,-10,1,2,-12
187,6,-18,7,-2
188,1,-15,0,0
189,-7,-4,0,0
190,4,-31,15,-6
191,-11,4,-10,-2
192,1,-10,-7,-2
193,-5,-7,-2,0
194,-1,-10,-2,2
195,0,-6,-6,0
196,-8,-2,-9,1
197,0,-16,1,-4
198,5,-23,17,-11
199,-8,-6,-1,-6
200,0,-20,12,-4
201,2,-9,0,-4
202,-1,-5,-2,-3
203,4,-18,2,-1
204,5,-14,-1,-5
205,-10,8,-11,-1
206,-10,-2,-3,0
207,2,-19,9,-10
208,-9,-6,-3,0
209,-3,-6,-5,-1
210,0,-8,-4,-1
211,0,-12,3,-6
212,-5,-4,-1,-8
213,-4,-11,10,-6
214,-1,-3,-4,-1
215,3,0,-6,-4
216,-10,8,-12,2
217,3,-14,4,-7
218,-6,-12,23,-12
219,4,-20,8,-6
220,-13,8,-28,7
221,-7,0,-13,2
222,0,-10,0,0
223,-5,-2,-11,4
224,2,-22,12,-2
225,0,-8,0,6
226,1,-16,11,0
227,-4,-5,6,0
228,-3,-11,-4,0
229,-11,0,-1,0
230,-6,0,-16,3
231,-7,-5,0,-1
232,0,-10,-1,3
233,-10,14,-26,2
234,2,-15,5,0
235,-16,5,-14,2
236,-6,-9,-2,0
237,-6,-6,-4,6
238,-2,-13,0,4
239,-6,11,-22,6
240,-2,-19,8,-4
241,-7,-3,-3,1
242,-4,-9,-1,2
243,6,-15,-8,1
244,3,-16,-8,6
245,-7,-2,-4,0
246,-10,9,-20,7
247,0,-17,0,4
248,-6,-15,24,-6
249,-16,4,-17,9
250,5,-30,20,-4
251,2,-28,21,-1
252,-1,-12,2,1
253,-5,-8,0,8
254,-15,7,-8,2
255,-1,0,-8,1
256,1,-11,-1,3
257,-14,12,-11,-4
258,-1,0,-11,0
259,-4,-1,-1,0
260,-3,-7,4,1
261,-12,5,-13,9
262,-1,-3,-10,3
263,3,-19,17,-4
264,-3,-16,7,-4
265,-1,-18,13,3
266,4,-5,-5,2
267,-6,-3,0,5
268,0,-9,-2,4
269,-1,-15,9,0
270,-5,8,-17,8
271,-1,-1,-7,9
272,0,-15,9,6
273,-10,12,-17,11
274,-1,0,-3,2
275,-7,-8,9,0
276,-4,-1,-12,9
277,1,-16,-2,5
278,4,-9,-11,9
279,-4,-13,-1,-2
280,-5,-1,-3,-2
281,-1,-14,8,1
282,-7,-8,5,-1
283,-4,0,-6,1
284,-4,-18,5,-2
285,2,-15,2,1
286,-2,-13,4,0
287,-5,-3,-3,4
288,-9,-1,1,2
289,-3,-12,-3,4
290,-3,-6,-4,10
291,0,-3,-10,13
292,-9,6,-18,14
293,-9,2,-4,10
294,1,-5,0,8
295,-1,-3,-7,13
296,-6,3,-14,16
297,0,-6,-10,15
298,-1,1,-16,18
299,-6,5,-20,17
300,-2,-8,2,11
301,0,-6,-8,13
302,-3,-2,-9,19
303,-5,3,-21,17
304,-4,-5,0,10
305,0,-12,1,12
306,5,-26,14,5
307,-5,5,-12,10
308,-4,-14,13,5
309,-9,8,-12,12
310,-4,2,-14,9
311,-2,0,-17,16
312,-1,-7,3,9
313,-8,13,-24,20
314,-6,2,-11,13
315,-6,1,-13,11
316,-2,-3,-2,10
317,4,-16,2,15
318,-4,-12,11,7
319,-4,-8,-6,10
320,-11,11,-23,15
321,-4,-4,-10,13
322,0,-14,9,0
323,-3,-5,0,2
324,-3,-2,-10,9
325,-2,0,-2,8
326,-8,5,-18,15
327,-10,2,-19,18
328,-13,5,-10,10
329,2,-8,-12,12
330,-5,-5,2,6
331,-7,-4,-3,14
332,-1,-4,0,4
333,-1,-6,-9,13
334,-7,6,-22,14
335,-9,3,-6,13
336,3,-18,14,4
337,-4,-10,2,7
338,-10,7,-15,12
339,-12,10,-8,9
340,-12,-2,-3,4
341,-3,-4,-5,6
342,-8,0,-12,11
343,-8,8,-21,9
344,-2,-13,6,6
345,-5,1,-5,9
346,-10,5,-12,4
347,1,-1,-15,9
348,-6,4,-12,8
349,4,-17,12,8
350,-5,-4,-1,7
351,-4,0,-12,10
352,-11,4,-18,15
353,-1,-8,-6,12
354,-9,-8,7,2
355,-6,0,-4,9
356,-7,3,-11,8
357,-3,0,0,1
358,-10,8,-9,10
359,0,-8,-1,6
360,1,-17,11,6
361,-4,-1,0,13
362,-6,4,-13,9
363,-2,-13,7,8
364,-6,-11,8,8
365,1,-12,-4,10
366,-1,-7,-6,10
367,0,-9,-2,4
368,-6,0,-20,15
369,-6,-14,4,2
370,-7,6,-20,13
371,0,0,-19,22
372,-8,-9,6,-2
373,-12,2,4,-1
374,-7,-5,4,7
375,0,3,-14,11
376,-8,-1,0,3
377,-11,5,-8,9
378,-4,-6,-9,8
379,-9,-2,-2,8
380,-17,4,0,20
381,-4,0,-16,26
382,-6,19,-17,18
383,1,-7,-5,16
384,-5,8,-14,19
385,4,-16,5,18
386,2,-14,10,6
387,-5,5,-14,18
388,-7,9,-15,14
389,-5,-5,8,10
390,-1,-2,-8,18
391,-12,7,-12,10
392,-8,5,-15,17
393,-9,1,0,8
394,0,-5,-3,12
395,-6,0,-10,17
396,-10,7,-13,14
397,-2,-5,0,18
398,-6,-1,-5,19
399,-3,-8,-1,19
400,0,-9,5,11
401,-3,1,-10,15
402,-6,-5,0,14
403,-4,0,-7,16
404,0,-8,4,10
405,3,-15,7,13
406,-7,11,-27,20
407,-2,-3,-3,12
408,-4,-3,-3,13
409,-6,-2,-1,17
410,5,-21,-1,11
411,-5,5,-15,18
412,-8,6,-6,11
413,-3,-1,-8,20
414,-12,3,-1,9
415,-5,3,-5,15
416,-3,-6,-3,10
417,5,0,-17,21
418,-1,-5,-5,15
419,-2,-13,7,2
420,-3,-2,-14,13
421,-1,-10,3,9
422,0,-8,-2,9
423,-11,11,-23,14
424,2,-18,12,3
425,-3,-6,-4,13
426,-5,-4,2,12
427,-4,8,-19,18
428,0,-9,6,6
429,-4,-7,-6,11
430,-5,5,-15,15
431,-2,-2,-8,14
432,-5,0,-15,14
433,-5,-7,-3,10
434,-5,-3,-8,15
435,0,4,-16,21
436,-9,0,-7,12
437,0,-18,8,6
438,-9,4,-13,19
439,-6,8,-16,18
440,-2,10,-23,7
441,-4,-3,-4,9
442,-3,-8,2,8
443,4,-21,13,4
444,-4,-1,-7,12
445,-2,-3,-2,4
446,-6,-1,0,8
447,2,-16,1,13
448,-4,-3,-2,6
449,-9,9,-20,20
450,-5,0,-2,8
451,-6,0,-3,4
452,3,-13,0,6
453,-6,-4,-9,5
454,-1,-6,-6,11
455,-7,-5,0,12
456,-2,0,-3,5
457,3,-13,6,9
458,4,-21,10,6
459,3,-13,0,9
460,-5,3,-6,14
461,3,-13,0,10
462,-2,0,-9,12
463,-5,-1,-3,5
464,-1,7,-21,14
465,-5,0,-6,14
466,-4,1,-17,17
467,-3,-1,-12,11
468,-8,3,-6,15
469,6,-8,-12,12
470,-11,13,-16,13
471,-7,0,-5,15
472,1,-5,2,16
473,-11,7,-10,15
474,0,-2,-5,9
475,-5,1,-15,11
476,-10,8,-9,8
477,-1,-7,-3,13
478,-5,-8,-3,12
479,-13,20,-26,16
480,-9,9,-17,15
481,-11,17,-21,9
482,-8,-7,0,7
483,-5,-8,3,5
484,1,3,-15,9
485,-6,-14,8,3
486,-2,-2,-13,14
487,-7,5,-15,8
488,-8,18,-41,22
489,-14,6,-12,8
490,-12,17,-25,17
491,-6,1,-10,12
492,-7,9,-17,10
493,1,-11,-3,3
494,-8,0,-17,9
495,-1,4,-18,10
496,-9,8,-12,6
497,-14,14,-22,10
498,0,-11,15,2
499,3,-6,-17,14
500,-4,-3,-1,5
501,-16,14,-14,8
502,1,-3,-2,5
503,-13,16,-25,11
504,2,-13,-3,4
505,-1,-2,-6,0
506,4,-15,0,8
507,-6,-4,-5,9
508,-4,0,-13,11
509,1,-9,0,4
510,-11,9,-20,12
511,-8,9,-23,18
512,-1,1,-6,10
513,2,-1,-7,20
514,6,-11,-4,14
515,-1,-3,-8,17
516,-3,-12,9,2
517,-1,1,-18,16
518,-1,1,-19,11
519,-8,-6,-3,6
520,0,-12,0,7
521,-11,-7,8,1
522,-1,0,-22,10
523,0,-13,16,0
524,0,-18,17,2
525,-1,-4,-6,5
526,1,-10,2,5
527,-6,-1,-6,9
528,-5,1,0,-3
529,0,-10,3,2
530,-2,-8,7,0
531,-3,-7,2,7
532,-1,-8,-8,6
533,-4,0,-8,11
534,6,-11,1,5
535,-1,-3,-13,6
536,0,-4,0,13
537,4,-15,2,6
538,-5,14,-29,21
539,0,-1,-6,8
540,0,-6,3,3
541,-1,0,0,6
542,8,-7,-1,7
543,2,5,-23,15
544,-1,-2,2,9
545,-7,7,-12,8
546,2,-9,6,0
547,2,-15,16,4
548,-6,1,0,14
549,-3,-3,-9,13
550,0,-8,0,2
551,-4,6,-11,7
552,0,5,-10,5
553,0,-1,-12,13
554,2,-12,-3,9
555,-4,9,-18,12
556,-5,-3,-1,9
557,-1,-2,-4,6
558,-5,-9,4,4
559,-3,-1,-7,10
560,-3,-7,1,7
561,-6,1,-15,13
562,-10,12,-14,8
563,-2,6,-9,7
564,-8,9,-16,9
565,0,-1,-8,7
566,-4,-6,-8,4
567,0,0,-11,3
568,0,-5,-6,10
569,3,-12,-1,6
570,5,-8,-1,4
571,3,-12,12,0
572,0,2,1,7
573,-5,2,0,3
574,-8,13,-20,11
575,-5,0,-5,7
576,-9,3,-8,10
577,-6,0,-9,9
578,-4,0,-16,10
579,0,-7,0,10
580,-7,7,-18,10
581,-7,10,-18,13
582,-1,-11,1,2
583,-7,10,-23,10
584,-21,17,-18,14
585,-3,0,-23,14
586,0,-9,-8,5
587,-9,11,-17,12
588,-8,4,-15,10
589,-3,3,-14,8
590,-2,2,-18,10
591,-3,-2,-10,0
592,0,0,-13,6
593,-4,-13,6,1
594,-3,5,-11,0
595,-6,2,-8,4
596,-8,-1,-7,0
597,-9,6,-14,7
598,-2,-7,2,-1
599,-1,-7,0,4
600,-5,-13,12,2
601,5,-18,6,2
602,-2,-5,4,-3
603,-5,-8,9,2
604,-8,2,-1,4
605,-12,6,-9,7
606,5,-14,7,-3
607,-3,5,-10,2
608,-10,7,-4,7
609,-8,0,-7,2
610,0,-1,-6,6
611,5,-14,11,1
612,-5,7,-20,3
613,-7,4,-11,2
614,0,-8,-4,5
615,-5,7,-16,2
616,-4,-7,-1,0
617,-4,0,-8,3
618,-5,0,-6,3
619,-4,3,-9,3
620,0,-4,-14,8
621,-6,7,-13,9
622,-3,1,-3,-2
623,0,0,-11,4
624,0,-1,-2,6
625,-7,2,-7,7
626,0,-14,3,0
627,-10,6,-6,0
628,0,-10,13,-13
629,-6,-3,-4,-4
630,-4,-10,8,-10
631,-14,14,-3,1
632,-4,4,-9,0
633,-9,4,-4,7
634,0,0,1,-2
635,-4,22,-18,18
636,8,-3,-10,17
637,2,6,-15,12
638,12,-7,-1,11
639,12,-6,0,6
640,1,-7,15,4
641,0,0,4,7
642,2,5,1,1
643,8,0,-3,7
644,-5,19,-12,10
645,2,-6,12,5
646,2,1,-5,14
647,-1,0,5,7
648,1,2,-3,12
649,3,3,-10,16
650,4,-5,4,12
651,-1,6,-6,16
652,-2,18,-16,20
653,6,0,-10,24
654,0,13,-9,13
655,1,9,-14,11
656,2,3,-7,13
657,7,-3,6,2
658,-1,17,-25,17
659,10,-2,0,5
660,3,-3,6,6
661,-3,16,-6,4
662,-1,-1,7,0
663,5,1,-9,15
664,5,1,-2,14
665,8,3,-7,25
666,3,17,-19,40
667,7,10,-16,69
668,3,32,-42,100
669,2,33,-43,125
670,16,26,-50,159
671,19,41,-73,173
672,34,38,-44,150
673,48,44,-72,139
674,83,14,-38,103
675,76,14,-17,70
676,75,19,-35,65
677,50,13,-18,44
678,34,4,-9,32
679,32,4,-13,30
680,9,4,-9,30
681,16,0,-13,27
682,7,-4,7,16
683,-1,9,-12,26
684,13,3,-14,24
685,15,-7,0,24
686,19,-4,0,23
687,9,0,2,17
688,14,5,-18,24
689,23,-6,-1,17
690,27,-7,0,21
691,26,7,-19,17
692,23,7,-7,16
693,16,4,3,15
694,22,-2,-6,19
695,24,10,-18,22
696,23,-4,0,21
697,33,12,-14,25
698,27,4,-14,22
699,43,-3,-10,19
700,55,2,-10,18
701,60,5,-18,22
702,74,-3,-6,16
703,73,11,-16,20
704,93,4,-13,27
705,90,16,-20,28
706,108,-11,2,25
707,85,23,-37,39
708,83,12,-25,36
709,55,14,-13,28
710,70,-3,-14,28
711,59,1,-2,23
712,60,11,-26,35
713,66,-3,-4,21
714,61,-3,0,16
715,68,-3,2,16
716,62,8,0,13
717,67,3,0,17
718,80,2,-1,11
719,110,7,-12,21
720,126,-5,-1,20
721,125,1,-6,19
722,124,2,-4,16
723,95,13,-16,21
724,107,-5,2,10
725,94,-2,-3,16
726,81,10,-22,21
727,74,-7,-2,17
728,55,1,-8,15
729,38,15,-20,16
730,26,18,-16,22
731,21,13,-19,19
732,26,2,-6,22
733,13,25,-27,31
734,15,4,-10,18
735,16,13,-20,26
736,22,11,-14,22
