Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-9,13,-8,-2
2,1,5,-2,0
3,2,0,2,-3
4,0,-12,16,-13
5,-4,1,-5,0
6,1,-2,-4,0
7,5,-9,7,-5
8,-2,0,0,-4
9,-3,1,-3,3
10,-4,7,-12,7
11,-1,2,0,0
12,-3,9,-9,3
13,-5,13,-16,5
14,-10,16,-14,-1
15,0,-1,7,-6
16,-3,1,-1,0
17,-2,-6,3,-4
18,0,3,-5,-6
19,-5,11,-14,5
20,-10,10,-5,-4
21,1,-1,-4,-4
22,2,-10,7,-1
23,-2,-12,15,-3
24,-3,7,-6,-3
25,-4,1,-8,2
26,2,-7,-3,7
27,-4,11,-17,4
28,-5,0,0,0
29,1,-3,0,-4
30,-13,16,-9,0
31,-3,-3,3,0
32,-3,0,2,-5
33,0,-8,0,-8
34,-1,6,-7,2
35,5,-10,1,-1
36,0,-9,2,-5
37,-10,1,-1,0
38,-10,4,-2,-6
39,-7,6,-5,-5
40,3,2,-6,5
41,-6,-4,5,0
42,-12,16,-7,3
43,-3,-1,-4,4
44,5,-4,-4,0
45,0,-3,-3,-2
46,-9,6,-8,3
47,-3,0,5,-11
48,3,-14,9,-5
49,-6,5,-11,-1
50,-1,14,-22,0
51,2,-6,2,-8
52,-4,0,-12,-1
53,-7,2,-7,-4
54,-4,4,-15,-3
55,-15,15,-12,-3
56,3,-1,-7,-7
57,-5,0,-2,-2
58,-1,-6,-4,-6
59,1,-7,9,-8
60,-8,6,0,-1
61,-4,-13,12,-6
62,-7,0,-6,-1
63,-12,1,0,-2
64,-9,7,-9,0
65,-4,15,-22,3
66,-6,5,-8,0
67,-2,-2,1,-3
68,-5,6,-4,-4
69,-1,2,-8,0
70,-6,-1,-2,-5
71,-12,17,-20,0
72,7,-19,6,-5
73,3,-2,0,-2
74,-2,-8,0,-7
75,-1,3,-7,-4
76,0,-2,-7,-1
77,-9,-1,-9,0
78,0,1,-3,-2
