Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,10,-13,8,-8
2,0,11,-18,0
3,0,-4,-4,-1
4,0,0,-1,-2
5,-8,13,-15,0
6,-1,-13,13,-8
7,-6,0,-4,-2
8,-7,2,-2,-4
9,-4,-6,-5,-3
10,3,2,-8,-1
11,-12,15,-13,-1
12,-1,-8,6,-8
13,-3,4,-12,1
14,-2,5,2,-6
15,3,1,-7,-4
16,-11,20,-15,-2
17,0,17,-30,8
18,0,0,-1,-3
19,-2,4,-10,-1
20,-1,-6,-2,-2
21,6,-17,13,-8
22,-4,9,-17,4
23,-3,-2,-3,2
24,-13,12,3,-6
25,-2,-9,12,-4
26,-6,1,0,-5
27,-9,4,-10,0
28,-12,19,-20,0
29,-2,-9,4,-8
30,-3,0,-4,-6
31,-5,1,-7,-2
32,-8,8,-4,-4
33,-1,0,-5,-5
34,-14,0,0,-12
35,-6,0,-7,-2
36,0,1,0,-9
37,-1,-5,-1,-1
38,2,-3,-6,0
39,4,-6,2,-2
40,3,-11,7,-7
41,4,-20,15,-5
42,-5,1,-5,-3
43,-6,16,-15,-2
44,5,-22,13,-9
45,-2,-9,5,3
46,0,3,-5,-5
47,-5,-3,0,-6
48,7,-19,0,-2
49,-6,-4,11,-10
50,4,-19,4,-10
51,-12,3,-2,-6
52,-9,10,-9,5
53,1,-3,1,-10
54,-7,2,-2,0
55,-6,-2,0,3
56,-7,3,0,-12
57,-1,0,-4,-6
58,0,2,-14,-6
59,-9,2,9,-9
60,-1,-6,9,-8
61,-11,-6,15,-10
62,-5,12,-20,2
63,-5,-3,5,-7
64,-2,-9,2,-5
65,0,-12,14,-9
66,-6,-8,12,-10
67,0,-11,3,-7
68,-15,6,-3,-4
69,-3,-10,12,-7
70,0,-3,-1,-4
71,-2,-15,14,-16
72,-2,-1,7,-6
73,13,-20,12,-9
74,10,-18,2,-1
75,-5,-4,7,-7
76,-8,0,9,-4
77,2,-1,-6,-2
78,-2,-6,2,-4
79,-3,-5,-4,-4
80,-9,2,-9,-2
81,-10,5,2,-3
82,-2,-6,-9,-7
83,0,-8,3,-8
84,-6,-9,11,-8
85,1,0,-20,2
86,-9,3,0,-6
87,-2,-4,10,-18
88,-5,5,-14,0
89,-1,-15,8,-10
90,0,-7,3,-9
91,-4,0,-7,-3
92,0,0,-7,-3
93,0,-2,-7,4
94,-2,-1,-14,-2
95,-9,0,-3,-7
96,9,-23,10,-5
97,12,-23,5,-8
98,-1,0,-18,1
99,-10,5,-11,0
100,-4,-7,4,-10
101,-6,-8,1,-4
102,-9,1,-1,-8
103,12,-25,4,-6
104,4,-8,-15,2
105,-18,8,2,-9
106,0,-5,-5,-3
107,3,-8,-3,-4
108,0,-15,3,-5
109,-8,0,-8,2
110,-5,-9,5,-6
111,2,-11,9,-10
112,-11,2,-10,-3
113,-2,-5,-9,2
114,-2,1,-18,5
115,-4,-3,-12,-2
116,-6,1,-5,-4
117,-5,4,-8,-5
118,-2,-15,4,-7
119,-13,4,-14,-1
120,6,-14,4,-3
121,3,-14,-1,-6
122,-6,2,-7,-4
123,-11,0,0,-11
124,1,-6,-5,-2
125,-4,-3,-2,-6
126,-10,6,-16,1
127,-2,-4,2,-11
128,4,-7,-2,-8
129,6,-12,5,-12
130,-3,0,-14,-2
131,-1,-5,-11,2
132,-7,4,-13,-1
133,-9,1,-3,-7
134,-2,-7,-2,-6
135,-9,-7,11,-14
136,-12,0,-2,-7
137,-10,3,-6,0
138,1,-10,-4,-1
139,-6,11,-18,1
140,-5,8,-15,-1
141,-1,-10,2,-3
142,-2,-8,1,-2
143,-4,-4,-6,-5
144,-4,-7,0,-1
145,-7,2,-12,-5
146,-8,2,-1,-6
147,-13,7,-18,-3
148,-8,0,-3,-3
149,-3,-12,9,-16
150,-7,-9,-7,-3
151,-8,-8,0,-3
152,-6,-6,-3,-9
153,-1,-5,-8,2
154,1,-9,-3,-2
155,-7,5,-3,-4
156,-15,-2,-1,-9
157,-3,-9,0,0
158,0,-14,5,-11
159,-6,-9,0,-5
160,-6,-4,-8,-4
161,-8,-6,5,-7
162,-6,-7,9,-18
163,-12,5,-10,-1
164,-2,-7,-5,-2
165,-1,-9,2,-5
166,-4,-6,-4,0
167,0,-15,2,-6
168,0,-16,5,-7
169,-5,-7,-5,-2
170,-5,-16,8,-7
171,0,-5,-3,-4
172,1,-7,-12,-4
173,0,-7,-4,1
174,-5,-7,0,-7
175,2,-12,3,-6
176,4,-10,5,-7
177,5,-21,13,-8
178,-5,-3,-1,-10
179,4,-12,-2,2
180,-5,0,-9,-1
181,4,-15,7,-8
182,1,-12,-4,-2
183,-7,-1,-6,-4
184,2,-27,18,-10
185,6,-17,5,-12
186,0,-14,8,-12
187,-9,4,-16,2
188,-4,-5,1,-2
189,-2,-10,5,-14
190,-6,-6,4,-7
191,-4,-16,8,-11
