Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,0,-5,3
2,0,-6,-8,3
3,-1,-8,7,-8
4,0,10,-13,5
5,-2,-4,1,-6
6,-3,-9,14,-4
7,-3,0,-1,-2
8,-5,-3,0,2
9,-1,-5,2,-1
10,-8,8,-7,0
11,-11,19,-19,0
12,-6,10,-11,3
13,-2,5,-11,0
14,0,-11,5,-1
15,-6,3,-4,-4
16,-13,18,-17,4
17,-18,10,-14,2
18,0,-3,1,-10
19,-8,5,-11,1
20,-7,-5,9,-5
21,-1,-5,-2,2
22,0,-3,2,0
23,0,-2,-1,1
24,4,-12,11,-7
25,-13,1,6,-5
26,-6,1,2,-6
27,-11,3,-2,-3
28,-4,4,-14,4
29,0,-1,0,-1
30,2,-6,2,-4
31,-4,0,-4,0
32,-1,-6,4,-10
33,-8,3,-11,2
34,-15,9,-18,3
35,-11,0,-6,0
36,3,-5,-8,1
37,2,-22,17,0
38,-10,5,-7,1
39,0,-10,12,-1
40,-9,5,-2,-5
41,-8,-4,3,1
42,4,-17,7,-2
43,-3,-9,5,-4
44,-3,-9,0,-2
45,-10,4,-11,2
46,-7,-3,2,1
47,-9,15,-20,8
48,1,-17,17,-5
49,-7,-7,8,0
50,-15,3,0,5
51,-10,-3,7,-5
52,-2,-12,10,-3
53,-16,13,-9,-1
54,-3,-10,5,-6
55,-2,-8,2,3
56,-9,9,-13,2
57,-2,-7,0,-4
58,-9,0,-1,-8
59,-2,-5,6,0
60,-10,-9,11,-13
61,-10,3,-3,-3
62,-4,-4,8,-4
63,1,-23,22,-9
64,-6,-7,3,-6
65,-9,-4,10,-7
66,0,-14,1,-5
67,-7,-8,8,-3
68,-11,4,-2,-7
69,-8,2,-2,-10
70,3,-11,6,-6
71,-9,1,3,-7
72,-8,1,1,0
73,-8,-10,12,-6
74,2,-20,11,-2
75,-9,-1,-1,0
76,0,-4,2,-4
77,-7,-1,-4,6
78,1,-19,15,-11
79,-3,-15,7,-3
80,0,-15,6,-9
81,-8,1,0,0
82,0,-9,10,-1
83,-1,-15,15,-7
84,-8,-8,12,-10
85,-9,-2,0,0
86,-13,3,-7,0
87,0,-9,5,-1
88,-9,-5,1,-1
89,-5,-1,-5,0
90,-14,17,-23,6
91,-15,2,4,-9
92,-14,15,-16,1
93,-9,-3,3,-3
94,-9,-4,-6,0
95,-4,-4,0,-5
96,-3,3,-10,4
97,0,-18,20,-6
