Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,10,-19,7
2,0,-2,2,0
3,-2,-2,8,0
4,-7,13,-1,-1
5,-2,9,-7,-1
6,-1,-2,2,-4
7,-5,7,0,-6
8,2,-5,0,-5
9,2,-4,0,-1
10,-3,17,-24,8
11,1,-1,-8,0
12,0,1,5,-1
13,-8,16,-14,5
14,0,-4,2,-3
15,0,-3,13,-8
16,1,0,-3,3
17,0,3,-12,12
18,-1,12,-12,2
19,0,-7,6,4
20,-8,3,-8,1
21,-7,12,-13,0
22,0,5,-7,-3
23,-12,6,7,-1
24,3,-4,1,-5
25,-3,2,-4,0
26,-7,20,-21,-2
27,0,11,-15,2
28,1,-10,13,-7
29,-1,1,-10,-3
30,-1,-5,9,-4
31,0,-3,3,-6
32,0,-7,2,-3
33,-1,2,-15,7
34,1,-12,8,-7
35,-9,15,-9,-2
36,-9,7,0,-3
37,-6,5,-6,5
38,0,5,-8,-1
39,-3,9,-10,0
40,3,-10,4,0
41,-3,-3,6,-6
42,6,-20,23,-9
43,-1,3,-9,-1
44,-8,-1,-5,-2
45,-7,5,-13,4
46,-5,3,7,-6
47,-8,10,-12,-4
48,1,-11,6,-9
49,-10,15,-15,2
50,-1,8,-14,-2
51,0,5,-2,-3
52,-12,15,-10,0
53,-10,16,-31,6
54,-10,8,-1,0
55,-8,15,-15,1
56,0,-10,5,-6
57,-8,19,-32,9
58,-2,-5,6,-4
59,-7,4,7,-5
60,-3,-1,0,0
61,0,4,-3,1
62,-4,1,-9,0
63,4,-13,0,-6
64,2,-4,-3,0
65,-4,1,3,-6
66,-5,4,-10,0
67,-14,17,-17,4
68,0,0,1,-9
69,-6,1,1,-3
70,-8,10,-19,6
71,0,-2,-1,-9
72,-9,1,0,-4
73,-4,7,-18,7
74,-5,0,0,-8
75,-7,12,-16,5
76,-4,5,-13,3
77,-4,-1,-5,0
78,-2,-10,10,0
79,0,-1,0,-2
80,-8,2,-3,3
