Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,-1,-5,0
2,6,-12,4,-3
3,-2,10,-9,1
4,4,-6,6,-4
5,1,-1,0,-3
6,10,-16,10,-6
7,4,-2,0,-4
8,1,3,-6,2
9,13,-23,12,-4
10,-3,0,-2,0
11,0,-3,-10,3
12,-1,9,-21,8
13,6,-12,5,-2
14,-2,-5,-4,1
15,3,-11,2,-6
16,0,1,-2,-2
17,-3,2,-2,1
18,1,-1,5,-5
19,4,-15,12,-7
20,-1,1,-12,2
21,-5,3,-7,0
22,2,-7,3,-2
23,6,-15,9,-3
24,4,-9,6,-6
25,0,-5,-7,-4
26,5,-15,16,-9
27,4,-12,8,-3
28,1,-1,1,-4
29,-6,8,-17,5
30,-2,-6,8,-3
31,-1,1,-1,0
32,10,-14,6,-6
33,-2,3,-14,1
34,-4,7,-16,-3
35,-5,0,2,-8
36,1,-10,-4,2
37,0,-9,6,-1
38,0,-10,-3,0
39,3,-10,10,-4
40,-6,3,-6,0
41,2,-10,7,-3
42,12,-18,6,-4
43,0,-5,5,-4
44,1,-1,-6,0
45,2,-11,17,-16
46,0,-9,10,-6
47,6,-15,10,-6
48,3,-18,14,-9
49,-6,2,-3,-6
50,3,2,-10,-1
51,-1,-9,5,-4
52,2,-1,-13,1
53,-15,11,-22,-2
54,3,-16,9,-6
55,-5,3,-1,-13
56,-1,-5,2,-2
57,-1,9,-20,3
58,-5,7,-10,-4
59,-8,7,-9,2
60,5,-17,19,-12
61,5,-17,15,-7
62,-6,9,-17,0
63,-3,-1,-7,-2
64,2,1,-16,5
65,-2,-5,0,-3
66,4,-16,9,-9
67,1,-7,-5,0
68,3,-17,8,-5
69,8,-18,8,-4
70,0,-15,10,-5
71,-3,0,-4,0
72,6,-18,9,-6
73,1,-2,-10,0
74,-9,6,-20,3
75,-6,5,-14,6
76,-1,0,-5,-3
77,-1,-2,-3,-1
78,0,-8,0,0
79,-1,-12,2,-5
80,7,-18,7,-4
81,4,-5,0,-2
82,-4,-9,0,-1
83,-2,-3,-8,-2
84,3,-20,21,-9
85,1,2,-15,3
86,-3,-4,2,0
87,7,-4,-2,-1
88,8,-6,-1,-1
89,1,0,0,-7
90,-2,-4,-1,0
91,-4,-12,13,-4
92,6,-21,18,-8
93,3,-15,12,-5
94,7,-19,14,-10
95,-2,-4,1,-2
96,9,-29,15,-5
97,-3,-4,7,-4
98,-7,0,-1,-6
99,0,0,-1,-4
100,-2,-3,-4,-2
101,0,-3,-6,-4
102,0,-11,3,-6
103,-7,2,-12,0
104,2,-3,-7,-2
105,-6,5,-13,2
106,-10,2,-5,4
107,-12,5,-8,3
108,5,-5,-3,-11
109,-4,0,-3,0
110,-4,0,-6,2
111,-10,0,-3,-2
112,0,-10,6,-5
113,9,-18,11,-5
114,-3,7,-10,-2
115,2,-10,2,-6
116,4,-17,11,-7
117,0,-5,2,-3
118,0,0,-5,-3
119,-1,1,-15,5
120,0,-14,9,-13
121,2,-5,-3,-3
122,3,-10,2,-4
123,-8,3,-1,-5
124,-5,3,-12,2
125,0,-7,-5,-3
126,-4,1,-4,-3
127,-7,7,-10,-2
128,-4,2,-12,1
129,-9,9,-17,3
130,5,-10,0,1
131,3,-17,16,-4
132,-3,-1,-6,3
133,0,-6,4,-12
134,-3,-4,5,-7
135,-8,-1,2,-4
136,0,-10,0,-2
137,3,-9,5,0
138,-4,-10,19,-8
139,-8,2,-10,-1
140,0,-4,-10,0
141,5,-15,6,-7
142,4,-27,27,-9
143,-7,8,-12,0
144,-2,-4,10,-3
