Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-6,-5,0
2,1,-10,8,0
3,-6,3,-9,5
4,1,-7,1,1
5,-4,6,-4,-3
6,-2,-10,7,-3
7,1,8,-22,3
8,-1,-1,3,0
9,0,-1,-6,5
10,3,-15,14,-11
11,-1,-2,-1,-2
12,-9,6,0,-2
13,-5,-7,7,-7
14,-2,0,-3,-6
15,4,-15,11,-2
16,0,0,2,-5
17,-8,8,-14,0
18,-2,-1,-1,-1
19,-1,-5,8,-4
20,-2,-2,-3,0
21,0,-3,7,-10
22,-2,-3,1,-8
23,-1,2,2,-2
24,2,-5,-1,-4
25,7,-20,2,-2
26,-2,2,-11,-1
27,1,-8,7,-4
28,-2,-1,-2,0
29,-5,0,0,-5
30,-1,6,-18,0
31,-5,4,-6,0
32,0,-2,-8,3
33,-3,-3,-6,0
34,-10,12,-17,3
35,0,-7,-1,-3
36,-5,-1,2,-8
37,7,-19,13,-10
38,-1,2,-9,-3
39,-7,-7,5,-5
40,3,-15,16,-10
41,7,-20,21,-14
42,1,-5,2,-4
43,-1,-7,0,-1
44,-4,-10,2,-3
45,-3,-6,2,-6
46,-6,-2,0,0
47,-4,-18,16,-10
48,-5,-11,11,-9
49,-4,-1,-4,-2
50,-5,3,-12,-2
51,-9,0,-9,-2
52,-3,-6,-3,-3
53,-9,11,-26,0
54,-1,-2,-4,-3
55,-13,9,-6,-3
56,4,-12,-1,-9
57,-1,-8,10,-6
58,2,0,1,-6
59,1,-7,0,1
60,2,-13,-4,0
61,2,-17,16,-6
62,0,-8,-1,-1
63,3,-7,3,-4
64,0,-5,-3,-5
65,-3,4,-13,6
66,-1,-8,0,-3
67,0,-8,0,-5
68,5,-18,10,-9
69,0,-5,3,-10
70,-2,-5,1,-2
71,-9,4,-9,0
72,-2,5,-10,-6
73,0,-12,6,-7
74,-6,2,-3,-1
75,-8,6,-3,-3
76,-5,1,-12,4
77,5,-16,0,-1
78,0,-3,2,-4
79,2,-8,-5,2
80,-7,7,-10,0
81,0,-8,-5,1
82,-8,13,-15,-1
83,-6,8,-21,0
84,6,-8,2,-6
85,0,3,-14,3
86,-10,12,-14,-1
87,7,-14,-4,1
88,-6,-3,3,-4
89,-7,-8,12,-4
90,-7,12,-15,-1
91,0,3,-15,0
92,14,-29,11,-7
93,0,-9,0,-5
94,-4,15,-14,0
95,-2,-6,5,-1
96,1,-10,1,0
97,2,-2,-7,1
98,-10,14,-25,4
99,-2,-12,7,-10
100,1,-11,3,-1
101,-6,4,-10,2
102,-3,1,-9,0
103,5,-15,13,-11
104,-5,-7,1,-6
105,-4,5,-14,-3
106,0,-14,10,-5
107,-8,-1,-2,0
108,-12,1,-4,-2
109,0,-8,7,-2
110,-5,-6,-6,0
111,-3,-6,0,-5
112,1,-7,5,-4
113,2,-9,9,-4
114,3,-7,-7,5
115,-2,-12,13,-3
116,-6,7,-10,2
117,-1,-9,6,-12
118,-11,15,-26,5
119,-4,0,-5,2
120,-8,0,-8,0
121,4,-17,4,-3
122,-12,18,-20,3
123,-5,0,-8,-1
124,-3,5,-15,-3
125,-1,-2,0,-5
126,-2,-7,-3,0
127,-8,-6,-2,-2
128,0,-11,-1,4
129,-6,12,-23,4
130,2,-14,2,-6
131,-6,-3,-1,0
132,-4,-4,4,-7
133,4,-9,2,-6
134,-12,6,-3,-2
135,2,0,-9,-3
136,-5,-5,-2,0
137,-5,-1,2,-7
138,3,-14,9,-4
139,-8,-5,0,-7
140,-5,0,-10,0
141,1,-8,-6,-4
142,-3,-15,16,-3
143,-3,-6,11,-9
144,0,-19,9,0
145,-3,-8,0,-5
146,3,-18,11,-3
147,-3,-1,0,-5
148,-3,4,-17,7
149,-2,0,-10,-3
150,-9,13,-21,2
151,-3,-13,12,-9
152,1,-1,-9,-3
153,1,-10,5,-7
154,3,-21,15,-5
155,-6,-1,4,-5
156,2,-10,5,0
157,4,-17,7,-4
158,-7,9,-19,0
159,-4,-5,-3,0
160,-8,-2,6,-10
161,-2,-10,0,-5
162,-3,3,-9,-4
163,-12,19,-16,-1
164,-2,0,-12,-3
165,0,-5,0,-4
166,-1,1,-5,0
167,-5,-3,0,-1
168,-1,-6,3,-5
169,-8,3,-2,-8
170,-3,3,-14,0
171,-2,0,-14,1
172,0,-12,2,-7
173,0,-14,5,-6
174,0,-5,4,0
175,0,-17,14,-9
176,0,-12,-2,-3
177,-5,-14,12,-13
178,-7,-4,-7,4
179,-1,-7,0,-7
180,-13,7,0,-5
181,-11,-5,12,-4
182,-2,3,-16,1
183,4,-14,0,-2
184,2,-2,-4,-1
185,-6,0,1,-5
186,0,-6,0,-3
187,-3,-10,2,-3
188,-5,-4,0,1
189,-6,-4,3,1
190,-1,-14,10,-8
191,6,-18,8,-6
192,2,-20,13,-3
193,-6,-3,6,-10
194,5,-13,-4,-4
195,-8,6,-7,-10
196,-10,4,-4,-5
197,-2,-6,2,-5
198,-9,-6,13,-6
199,1,-1,-17,6
200,9,-16,4,0
201,0,-6,0,-4
202,0,-6,-3,-6
203,0,-7,0,-3
204,-2,-8,1,-6
205,6,-15,-1,-7
206,-4,-2,0,-5
207,0,0,-8,-6
208,0,-14,5,0
209,-3,-2,-9,0
210,-5,15,-22,0
211,1,-8,-10,0
212,-4,-4,-6,-4
213,1,-17,11,1
214,0,-5,1,-1
215,-6,0,-1,-5
216,0,-15,6,-5
217,-4,-9,-2,-2
218,0,-8,5,-9
219,-7,-2,-1,2
220,-2,-4,0,-3
221,-2,0,-8,1
222,2,-12,5,-1
223,6,-14,4,-1
224,1,-13,7,-4
225,1,-17,17,-10
226,3,-20,22,-8
227,-4,-14,17,-6
228,-7,-6,5,-6
229,-5,-2,3,-3
230,-2,-1,-8,-2
231,1,-11,5,-5
232,3,-11,-1,-6
233,-4,9,-14,0
234,-1,-6,8,-8
235,-7,7,-1,-8
236,-5,-8,3,-5
237,-3,-6,1,0
238,0,0,-9,-4
239,-1,-9,0,-2
240,1,-10,-4,-1
241,-1,-9,5,-4
242,-9,6,-10,-3
243,-6,-2,-2,-5
244,-8,-2,-10,-5
245,6,-18,2,-3
246,0,0,-6,1
247,-4,-14,14,-11
248,-2,0,-5,-3
249,-3,0,-13,-7
250,3,-15,10,-3
251,1,-18,16,-1
252,2,-15,7,-7
253,-6,-4,0,-2
254,3,-25,20,-9
255,-3,-5,0,-6
256,-6,-18,13,0
257,-3,0,-17,4
258,-3,-3,-4,-2
259,-9,-2,-7,-3
260,6,-12,0,-2
261,-7,7,-17,0
262,1,-4,1,0
263,-11,16,-15,0
264,-4,-5,-6,5
265,0,-20,21,-9
266,-7,-3,4,-3
267,-6,2,-7,0
268,-4,-4,3,-5
269,2,-13,-4,0
270,-1,-5,-8,2
271,-2,-11,2,0
272,-4,-17,16,-2
273,0,-19,11,-6
274,-3,-1,0,3
275,11,-19,6,-4
