Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-6,10,-12,1
2,1,-7,9,-1
3,-9,7,-3,-6
4,-5,11,-9,0
5,9,-9,5,1
6,-2,0,5,-2
7,1,-12,13,-7
8,4,-4,0,-5
9,-3,0,8,-5
10,-2,3,-5,-5
11,0,0,-3,0
12,-4,3,-11,8
13,0,-11,7,-2
14,-2,-5,6,-8
15,0,6,-11,3
16,-5,5,0,-4
17,-7,0,3,-5
18,0,0,-4,-1
19,-1,-5,3,-4
20,-1,-4,-2,-3
21,-7,14,-15,4
22,-8,0,6,-2
23,-8,0,8,-1
24,-2,-11,12,-9
25,3,-7,4,-4
26,-13,16,-15,1
27,0,1,-5,1
28,-4,5,-18,5
29,-2,0,-5,-2
30,-9,17,-13,2
31,-15,14,-2,-7
32,-3,3,-6,-2
33,-10,11,-18,8
34,-4,2,0,-9
35,-5,6,-9,6
36,1,-11,7,-4
37,1,-12,11,-12
38,-10,13,-10,-3
39,-7,-5,14,-5
40,1,-5,13,-8
41,-11,6,1,0
42,-2,-11,14,-4
43,-2,2,-10,2
44,5,-4,-3,-7
45,8,-8,0,3
46,2,-9,2,1
47,-8,8,-10,0
48,-2,4,-6,-2
49,-13,14,-13,-2
50,-13,6,-4,-5
51,-9,12,-18,4
52,-8,11,-15,-5
53,-7,1,-8,-1
54,2,-6,4,-7
55,-11,10,-5,-2
56,-7,5,-12,-7
57,-1,-7,1,-3
58,-13,10,-4,-2
59,-5,0,7,-3
60,0,-5,7,-4
61,6,-4,0,-3
62,-11,11,-10,-4
63,0,-2,-2,4
64,-16,14,-1,-8
65,-2,0,-7,0
66,-3,2,-13,3
67,1,-10,0,-9
68,-7,14,-27,7
69,3,-7,3,-2
70,-6,3,-9,-3
71,-4,5,-6,-3
72,-2,2,-12,-1
73,-6,11,-9,4
74,-6,15,-17,4
75,1,-4,0,-6
76,-3,2,-6,1
77,-2,5,-12,-2
78,-2,-6,3,-3
79,-9,7,-5,3
80,-6,1,-7,2
81,-11,0,6,-7
82,-2,-1,-2,1
83,-10,7,-4,-3
84,-8,-4,9,-8
85,-9,4,0,-3
86,-13,14,-17,5
87,-6,7,-6,-1
88,-4,7,-15,1
89,-7,-2,4,-4
90,-8,4,2,-4
91,-5,12,-11,-7
92,0,2,-5,3
93,-13,12,-15,1
94,0,-18,9,-6
95,1,-12,17,-7
96,-4,7,-13,0
97,-8,2,-5,0
98,-8,11,-13,2
99,-8,6,-11,1
100,-6,2,-7,-3
101,-10,5,-8,-1
102,-6,0,-4,-2
103,-11,12,-9,-9
104,-9,4,-4,-11
105,-10,12,-15,1
106,-8,-2,11,-8
107,-10,11,-16,4
108,-7,9,-14,-2
109,-1,-2,-5,5
110,-10,10,-17,4
111,-9,-1,2,-4
112,2,-12,14,-7
113,-14,12,-7,8
114,-8,3,-8,-1
115,-4,5,-6,2
116,-2,-5,2,-3
117,-8,1,-6,0
118,-5,-1,-4,-1
119,-6,3,-2,-9
120,4,-6,0,0
121,-1,0,-5,2
122,-5,-4,5,-1
123,1,0,-4,-1
124,1,-16,12,-8
125,-1,-3,-3,-4
126,-3,-2,-2,-1
127,-7,-1,0,-8
128,-2,-7,0,-4
129,-8,13,-12,-6
130,-1,0,-3,-1
131,0,-6,-4,0
132,-2,-2,4,-6
133,-6,-7,21,-11
134,-4,3,-8,3
135,-3,-11,6,-5
136,-1,-4,1,-6
137,2,-21,16,-4
138,-3,-6,8,-6
139,-6,-2,-3,-1
140,-10,2,-2,-1
141,3,-8,0,-1
142,0,-18,19,-7
143,-11,11,-8,-2
144,-7,7,-10,-5
145,0,-8,10,-6
146,-2,-10,3,3
147,0,-24,14,-9
148,-12,0,-1,-4
149,-10,7,-9,-4
150,-5,0,0,-6
151,2,-10,0,-1
152,5,-3,-1,-2
153,0,-6,-2,-3
154,0,-8,4,-4
155,3,-6,-4,0
156,0,-3,3,-1
157,-3,-1,1,2
158,-2,-8,2,-9
159,-6,6,-17,2
160,3,-14,8,-3
161,1,-13,1,-5
162,-13,6,-3,-1
163,-9,0,-5,-6
164,-6,-2,0,0
165,-9,8,-4,-3
166,-9,3,4,-3
167,-3,1,3,-4
168,6,-20,2,-2
169,-14,6,-2,-8
170,-8,0,0,-4
171,-4,2,-14,-2
172,0,-9,-4,0
173,-16,6,-2,-8
174,-9,2,1,-11
175,-4,0,-1,-1
176,2,-6,-2,1
177,0,-3,-2,-2
178,-4,-2,-8,0
179,-8,-4,7,-10
180,-3,-4,3,-3
181,-8,-2,0,-6
182,-8,-1,-4,-4
183,-8,5,-10,-2
184,-5,-2,6,-4
185,-1,-6,-6,0
186,-14,20,-24,4
187,-2,-1,8,-1
188,-3,0,4,0
189,-2,-4,0,-2
190,-7,0,0,-1
191,-2,0,-1,-4
192,0,-12,16,-6
193,-8,4,-1,-7
194,-1,2,-3,-3
195,-9,5,-6,-4
196,-7,6,-17,4
197,-9,0,2,3
198,-4,8,-11,4
199,-6,6,-10,6
200,-3,-3,-8,0
201,-10,-2,0,-3
