Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-2,6,-1
2,-7,15,-24,11
3,0,-9,11,-4
4,8,-18,11,-1
5,5,-15,10,-4
6,-1,-14,10,0
7,-5,18,-25,11
8,0,-5,4,0
9,-2,11,-19,5
10,0,-9,7,0
11,-7,0,1,-7
12,3,-19,8,0
13,-2,0,0,-5
14,5,-20,22,-6
15,1,-12,0,3
16,4,-8,-5,0
17,-4,-9,5,-7
18,1,-6,0,-1
19,0,0,-7,5
20,0,-5,9,-8
21,5,-16,16,-3
22,0,-5,0,-4
23,3,-11,10,-5
24,-3,-8,10,-6
25,6,-19,12,-1
26,-1,-8,4,2
27,-2,2,-12,7
28,4,-8,3,-6
29,-6,3,-9,-1
30,4,-13,9,-4
31,-2,-3,-8,4
32,-4,-4,4,-2
33,0,-8,-9,6
34,-10,11,-13,0
35,2,-10,-7,2
36,7,-15,-1,-1
37,7,-15,0,1
38,4,-6,-3,0
39,3,-16,7,-6
40,-3,0,-3,2
41,4,-16,14,-1
42,-1,-12,14,-9
43,3,-16,9,1
44,-6,-8,12,-5
45,3,-22,19,-5
46,-5,0,-7,4
47,-8,6,-15,5
48,1,-16,11,-5
49,0,-21,19,-6
50,-7,-2,5,0
51,0,-21,10,-3
52,4,-26,17,-8
53,-3,-9,-2,-2
54,-2,0,-8,2
55,3,-13,1,-3
56,3,-7,-10,0
57,0,-19,17,-12
58,0,-2,-8,0
59,0,-4,5,-3
60,-1,1,-3,3
61,2,-26,21,-6
62,-3,-9,10,-3
63,5,-22,18,-7
64,-5,-6,9,-2
65,0,-8,3,0
66,0,-12,0,-2
67,1,-27,25,-8
68,-3,-3,1,-3
69,-4,-9,5,-6
70,-1,1,-6,0
71,1,-21,21,-6
72,0,-18,15,-5
73,10,-22,19,-6
74,-3,-11,12,-1
75,0,-17,19,-5
76,3,-15,8,-1
77,2,-14,9,-3
78,-4,1,-6,-2
79,-5,0,-2,-5
80,7,-17,15,-8
81,-1,-16,10,-7
82,0,-16,14,-5
83,-6,-10,3,5
84,8,-30,26,-9
85,-1,-8,1,-3
86,0,-12,5,-2
87,1,-12,4,0
88,-2,-7,-2,-2
89,5,-9,-3,1
90,-9,3,-5,2
91,-1,-7,0,-2
92,2,-7,1,-5
93,-12,2,-3,-4
94,-1,-7,0,-5
95,-1,-6,-4,0
96,-10,6,-8,1
97,1,-8,-11,3
98,3,-20,11,-2
99,0,-10,-2,-2
100,0,-3,-12,2
101,-8,2,-4,-4
102,1,-12,6,-8
103,4,-20,17,-13
104,-2,-18,9,-4
105,-4,-18,6,3
106,5,-21,7,1
107,0,-3,-12,2
108,-4,-4,-1,2
109,-5,-4,1,2
110,-5,-8,12,-2
111,-1,-7,0,0
112,-7,-12,2,3
113,-4,-3,1,-6
114,3,-12,0,0
115,-13,6,-6,0
116,5,-9,-2,0
117,-5,0,-11,2
118,1,-19,15,-4
119,5,-24,19,-3
120,-3,-11,1,0
121,7,-23,8,-5
122,0,-5,-11,-1
123,-3,-6,3,-5
124,3,-9,-4,-3
125,-6,0,-4,-6
126,1,-21,13,-7
127,-3,-3,-6,-3
128,1,-11,0,-5
129,0,-13,8,-10
130,-8,0,-16,3
131,-5,10,-17,-1
132,-1,-8,0,-2
133,-8,10,-15,3
134,0,-12,4,0
135,-4,-6,-4,-3
136,0,-9,-10,0
137,-1,-14,-1,3
138,3,-22,13,-10
139,3,-11,0,-3
140,0,-22,9,-5
141,1,-10,-3,0
142,-1,-10,-4,-1
143,1,-12,5,-7
144,-2,-15,9,-6
145,-4,-12,5,-1
146,-8,-7,3,-5
147,-2,-7,-2,-8
148,0,-7,-9,0
149,-3,-18,4,0
150,-8,1,-6,-3
151,-4,-13,6,-11
152,1,-11,0,-3
153,0,-10,4,-7
154,-10,0,0,-2
155,1,-14,11,0
156,-2,-19,8,-10
157,10,-23,15,-11
158,-1,-12,8,-4
159,-5,-6,5,-7
160,-7,1,-10,0
161,2,-8,1,-3
162,-5,-15,13,-7
163,0,-26,14,-10
164,2,-20,16,-14
165,0,-12,10,-10
166,-3,1,-11,0
167,-1,-7,-2,0
168,-2,-6,-2,0
169,-13,0,-4,0
170,1,-11,1,-9
171,-4,-5,0,-5
172,-4,-12,6,-3
173,-1,-11,5,-4
174,-2,-13,7,-7
175,-9,2,1,-5
176,0,-4,2,-10
177,-3,-16,6,-8
178,1,-15,1,0
179,6,-21,13,-5
180,-8,-6,2,-1
181,0,-6,0,0
182,-1,-13,6,-5
183,-3,-4,-2,-3
184,-8,-13,15,-9
185,-4,-11,12,-12
186,0,-13,2,-6
187,1,-23,18,-8
188,-12,0,-3,0
189,5,-16,9,-2
190,-10,0,-7,-3
191,2,-9,0,0
192,-9,8,-18,6
193,5,-20,9,-5
194,-11,0,-2,-7
195,-3,0,-11,2
196,-10,-3,2,-4
197,6,-19,8,-3
198,0,-13,8,-2
199,-4,-16,11,-3
200,2,-13,8,-3
201,-2,-9,0,-2
202,7,-21,15,-7
203,-7,8,-6,-1
204,-7,2,0,0
205,1,-24,27,-6
206,-5,2,-13,4
207,0,-21,15,-3
208,-1,-9,0,3
209,0,-9,2,2
210,-9,1,-7,1
211,2,-18,11,-6
212,-4,0,-10,0
213,-3,-2,-1,-2
214,-4,2,-14,4
215,-5,-3,2,-7
216,-3,-8,-3,-2
217,-9,5,-10,-1
218,2,-13,1,-4
219,3,-11,4,-4
220,0,-10,0,-1
221,-12,5,-11,1
222,8,-20,7,-2
223,-7,-7,2,0
224,4,-21,15,-12
225,0,-9,-2,-3
226,-12,-1,7,-9
227,0,-8,-1,-3
228,-4,-17,21,-9
229,-6,3,-15,0
230,-5,-8,1,0
231,-6,-2,-4,2
232,-6,-4,0,-7
233,-7,-3,-1,-1
234,-3,-2,-6,0
235,0,-6,1,-1
236,-5,-6,-9,2
237,-8,-13,16,-9
238,-2,-9,11,-5
239,-8,-6,2,-5
240,0,-6,-5,-1
241,-7,-9,6,-3
242,-6,-9,-4,0
243,-6,-3,-5,-5
244,0,-4,-1,-1
245,0,-7,-1,0
246,-10,7,-8,1
247,7,-25,10,-2
248,-4,-5,-6,-1
249,-13,15,-25,7
250,4,-16,5,0
251,-4,-3,0,1
252,-2,-12,7,-7
253,-4,-12,5,-4
254,0,-22,14,-2
255,-5,6,-11,0
256,-2,-12,7,-4
257,-4,-9,5,0
258,-10,-3,1,-9
259,-5,-10,6,-5
260,-4,-12,15,-9
261,0,-12,2,5
262,0,-18,11,1
263,-3,-10,5,0
264,-2,-10,0,2
265,-4,-3,-10,4
266,0,-15,4,0
267,4,-18,-2,2
268,-8,0,-2,-3
269,-3,-6,3,4
270,-4,0,-9,6
271,-3,-14,5,1
272,-4,-8,8,-1
273,6,-11,0,4
274,-8,1,-1,-1
275,-9,9,-27,15
276,2,-12,0,3
277,-2,-17,10,4
278,-12,2,-7,7
279,3,-10,-2,8
280,-3,-2,-4,7
281,0,-6,7,5
282,1,-15,1,8
283,-8,-3,5,3
284,8,-19,9,4
285,4,-12,3,6
286,1,-9,-2,0
287,-4,-4,-2,7
288,-5,-4,-2,6
289,8,-20,11,1
290,1,-8,4,6
291,-4,-4,0,6
292,-9,-2,-5,2
293,0,-7,-5,4
294,-6,0,-9,2
295,0,-3,-10,4
296,-1,-18,13,-7
297,-11,-1,0,4
298,-2,-3,-11,9
299,1,-19,17,-1
300,3,-20,2,2
301,-7,-10,2,7
302,2,-16,9,7
303,6,-13,-1,9
304,6,-18,0,12
305,3,-25,10,9
306,9,-23,10,8
307,6,-27,15,4
308,-4,-8,-9,18
309,-7,1,-11,19
310,-11,8,-6,12
311,-5,-2,-6,13
312,-5,-6,0,9
313,-3,-9,1,19
314,-3,8,-20,24
315,0,-2,-9,11
316,-8,-4,-9,14
317,1,-13,5,7
