Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-7,5,-1,-1
2,-2,4,0,-3
3,-7,2,4,-6
4,-8,6,3,-1
5,-7,7,-8,4
6,-3,0,5,-4
7,1,-11,6,-4
8,4,-13,14,-11
9,8,-21,18,-11
10,-3,1,-4,0
11,-4,0,4,-6
12,0,-15,17,-8
13,7,-7,5,-3
14,-2,7,-7,-4
15,1,-16,11,-2
16,0,-12,13,-3
17,-5,3,-1,-5
18,1,-1,1,0
19,10,-18,12,-4
20,3,-16,4,-2
21,-5,-3,10,-10
22,-7,10,-5,1
23,-2,5,0,-3
24,-7,7,-6,-5
25,-5,3,3,-7
26,5,-7,-6,-1
27,-2,2,-2,-1
28,0,1,4,-6
29,3,-10,3,0
30,-2,3,-17,6
31,-8,6,-1,-2
32,0,-13,14,-5
33,-2,-14,21,-13
34,-2,-13,7,-7
35,-9,12,-14,-3
36,-12,2,2,-6
37,3,-4,-7,1
38,3,-17,8,-10
39,0,-2,-7,-3
40,0,-14,15,-8
41,-4,-1,0,0
42,0,-17,17,-5
43,-5,-3,4,-3
44,-5,0,6,-13
45,0,-19,23,-12
46,-5,0,6,-4
47,1,-12,7,-8
48,-3,-6,1,-4
49,-13,1,5,-10
50,-10,6,-6,0
51,-3,-4,-1,-1
52,-11,12,-19,1
53,-6,7,-14,-5
54,-3,-7,0,-2
55,2,-15,12,-3
56,-2,-3,-5,-5
57,-8,12,-14,-9
58,-10,4,-2,-5
59,0,-17,12,-2
60,-9,-2,12,-8
61,6,-19,16,-3
62,-1,0,-8,0
63,-1,-3,5,-6
64,-8,3,-10,6
65,0,-3,-6,-8
66,-3,-5,8,-9
67,-16,18,-8,-7
68,-4,-1,1,-2
69,-6,5,0,-2
70,-1,-4,1,1
71,-3,-4,-6,0
72,-1,-7,7,0
73,-10,11,3,-3
74,-5,2,-3,-4
75,2,-15,16,-6
76,-5,8,-8,2
77,-2,-9,1,0
78,-1,-6,2,0
79,0,-6,8,-4
80,-1,-8,4,-4
81,-4,-4,9,-11
82,-4,-3,0,-4
83,-9,7,-8,-1
84,-6,-2,0,-2
85,-7,3,-7,3
86,1,-6,-2,-5
87,4,-13,2,-1
88,-2,-4,-1,2
89,0,2,-7,3
90,-5,-8,13,-10
91,-9,8,-11,2
92,-5,0,4,-1
93,-11,2,-12,9
94,-8,-3,-8,-3
95,0,-15,5,-9
96,3,-12,13,-10
97,-12,-4,11,-11
98,0,-6,0,-6
99,-6,-1,-3,-4
100,-2,-10,6,-5
101,-5,-2,2,-1
102,-4,-3,6,-7
103,-3,-13,2,-1
104,-9,5,-12,0
105,-1,-6,-6,-1
106,-5,1,-2,-3
107,-3,-2,-6,-2
108,-5,-6,2,-4
109,-4,-11,11,-3
110,-1,-6,5,-6
111,-2,-13,4,-4
112,-2,5,-5,1
113,-6,-8,14,-3
114,-4,-6,0,-1
115,-6,-5,11,-6
116,-11,0,0,-4
117,-5,-1,-6,0
118,-4,-2,-2,-4
119,-9,1,3,-2
120,-8,5,-9,5
121,-1,-14,5,-3
122,-3,-10,6,-6
123,-6,-7,6,-11
124,-1,2,-21,7
125,-3,-13,6,-6
126,-2,-9,4,-6
127,-3,-8,6,-10
128,-4,-7,13,-8
129,-7,-5,0,-2
130,2,-23,17,-8
131,-13,0,0,0
132,-3,-12,10,-5
133,-8,-2,0,-6
134,-1,-6,3,-11
135,-4,-2,-9,-4
136,-2,-7,-4,-1
137,1,-20,9,-8
138,-7,-7,2,-5
139,-9,-8,0,-5
140,-1,-4,-2,-4
141,5,-16,4,-7
142,-10,-9,14,-7
143,-6,-13,20,-10
144,-2,-8,2,-7
145,-2,-7,-7,0
146,-8,-8,5,-1
147,-7,-5,0,-3
148,4,-12,-3,0
149,-9,-1,-3,-15
150,-6,-3,-7,-10
151,-1,-12,17,-19
152,-11,9,0,-7
153,-8,8,-9,-3
154,2,-18,17,-10
155,-5,-11,16,-10
156,-2,-10,10,-5
157,-3,-14,22,-15
158,-5,-6,0,-8
159,-6,0,-7,0
160,-4,-12,13,-16
161,-9,4,-13,8
162,3,-11,-1,-6
163,-3,-10,-4,-7
164,-12,4,-10,3
165,0,-7,-5,2
166,1,-15,6,-4
167,0,-13,1,-1
168,-10,-3,2,-6
169,1,-12,2,-7
170,-7,-6,-1,-1
171,0,-6,1,-5
172,-5,0,-12,0
173,-4,-6,-3,-2
174,0,-14,15,-11
175,1,-23,20,-14
176,-9,-6,1,-8
177,0,-6,2,-2
178,-11,4,-7,-1
179,-12,2,0,-6
180,-11,5,-7,-2
181,-5,-6,-1,-7
182,-8,0,-8,1
183,5,-13,14,-10
184,-4,-18,16,-4
185,-1,-13,0,5
186,-1,-8,-4,2
187,-10,-8,7,-5
188,-14,4,-4,-2
189,-2,-10,10,-4
190,0,-12,10,-4
191,0,-16,12,-14
192,3,-22,18,-9
193,-7,0,-5,2
194,-1,-3,-9,0
195,-6,-14,7,-5
196,-4,-3,-1,-4
197,-9,-3,-1,-1
198,-12,4,-3,0
199,-10,9,-10,0
200,-7,-11,14,-7
201,-4,-22,30,-10
202,-5,-6,5,-2
203,-10,0,-5,2
204,0,-3,-5,0
205,-4,-3,-7,1
206,-10,2,0,-5
207,-10,0,-1,-4
208,-8,-4,3,-2
209,4,-11,-10,0
210,2,-13,7,-9
211,-11,0,2,-3
212,-5,-10,11,-9
213,-4,-1,-4,-2
214,-3,-2,1,-7
215,-7,-1,1,-3
216,-10,4,-5,-1
217,-12,10,-16,0
218,1,-15,2,-5
219,-4,-11,7,-4
220,-3,-9,0,0
221,-4,-5,-4,-5
222,-4,-9,7,-1
223,-3,-11,11,-7
224,-2,-4,8,-6
225,-1,-23,27,-7
226,4,-27,24,-7
227,-7,-12,11,-6
228,1,-15,2,0
229,-7,-10,7,-3
230,-10,0,0,-1
231,0,-15,10,-4
232,-2,-2,6,-6
233,-10,1,-5,0
234,0,-26,19,-5
235,-1,-18,6,1
236,0,-18,9,0
237,0,-14,2,3
238,-2,-5,1,-8
239,-4,-7,2,0
240,-8,-2,0,0
241,-7,1,-5,-3
242,-3,-5,0,-6
243,0,-4,-10,1
244,1,-12,0,-5
245,-11,-3,2,1
246,-11,0,-12,0
247,-10,-3,6,-3
248,2,-20,6,2
249,2,1,-18,7
250,1,-9,10,-4
251,-6,-7,12,-7
252,-5,-4,0,-4
253,-1,-8,5,-3
254,-4,-7,-3,4
255,-11,-3,7,-2
256,0,-15,6,-1
257,1,-23,14,-4
258,-10,4,-11,2
259,-9,-4,7,-4
260,-1,-13,13,-5
261,-4,-12,11,0
262,-7,-4,7,-2
263,-9,7,-12,5
264,3,-21,20,-2
265,-6,-15,17,-1
266,-10,-1,2,5
267,-2,0,-3,4
268,-9,-1,7,5
269,-5,-8,6,0
270,-8,-4,1,-2
271,-7,0,0,3
272,-3,-8,10,2
273,0,-8,-6,8
274,-5,-9,9,5
275,-10,5,2,-1
276,-2,-10,2,-3
277,-3,0,-7,2
278,-8,6,-8,3
279,-1,-6,1,-5
280,-7,0,-12,12
281,-2,-6,1,-4
282,-7,6,-15,2
283,-4,-11,7,-1
284,-8,9,-15,14
285,-2,-10,1,0
286,5,-24,18,-1
287,3,-17,6,5
288,-7,10,-13,7
289,-15,4,-11,12
290,-16,1,3,1
291,-17,15,-21,15
292,-7,0,-16,8
293,-14,11,-11,10
294,0,-15,10,5
295,-6,-12,10,8
296,-5,6,-20,22
297,-7,0,4,11
298,-12,-1,3,2
299,-1,-14,9,4
300,-9,6,-10,11
301,-15,14,-18,17
302,0,-13,5,3
303,-2,-5,-8,6
304,-6,-1,0,7
305,-1,-14,9,10
306,3,-25,28,-1
307,6,-14,-1,6
308,0,-16,7,10
309,-4,-5,3,11
310,1,-19,3,13
311,-14,12,-17,16
312,-7,-9,10,6
313,-4,-9,-9,11
314,-14,4,-1,6
315,1,-13,10,1
316,1,-19,18,3
317,0,-13,-2,16
318,-1,-24,22,1
319,1,-16,2,7
320,-8,2,-7,8
321,-8,9,-20,13
322,-1,-16,13,4
323,-4,-5,10,4
324,6,-24,11,8
325,-3,-9,-2,11
326,-7,8,-13,15
327,-9,2,0,9
328,-9,-2,11,1
329,-3,-5,-3,7
330,3,-16,25,-6
331,0,-9,2,8
332,-8,5,-5,4
333,-2,-2,-2,10
334,-7,-7,4,5
335,-6,-1,2,10
336,5,-13,3,5
337,-7,-15,12,0
338,-8,2,-7,12
339,-3,-12,7,6
340,-7,3,-8,9
341,-6,-9,6,10
342,-5,0,-11,10
343,-6,-5,3,3
344,-11,4,4,3
345,0,-8,5,4
346,-3,-12,11,4
347,-1,-3,-6,10
348,-6,8,-13,8
349,-13,14,-11,13
350,-1,-7,3,2
351,-1,-8,7,-1
352,-2,-8,0,6
353,-6,2,-7,10
354,-3,-18,8,7
355,-5,-4,7,4
356,-3,-5,-2,11
357,-6,-7,3,8
358,-3,-13,19,-5
359,-8,-1,0,7
360,6,-12,4,4
361,0,-15,10,4
362,-11,4,-5,7
363,-7,-6,9,3
364,-10,-3,11,1
365,-10,2,-6,12
366,-4,-2,-3,8
367,-15,9,-17,12
368,-2,-7,-7,8
369,-9,-2,4,3
370,-6,1,-11,6
371,-6,8,-10,6
372,-7,1,0,4
373,-7,-4,9,1
374,-3,-3,-5,10
375,-5,2,-10,7
376,0,-13,12,4
377,-11,11,-6,13
378,4,-3,-6,12
379,1,-15,9,7
380,4,-8,2,14
381,-10,13,-9,14
382,0,-5,0,9
383,-4,5,-13,14
384,-4,0,0,11
385,-5,-9,20,3
386,5,-15,8,4
387,-3,0,-9,10
388,-3,-7,8,5
389,-8,8,0,6
390,-6,-2,4,9
391,-12,8,-5,8
392,-9,-3,1,10
393,-14,6,0,12
394,-6,0,-4,11
395,-5,-2,1,17
396,-7,0,-6,8
397,-5,-2,-1,13
398,-3,0,0,16
399,1,-14,-1,20
400,0,-1,-3,16
401,2,-19,18,8
402,3,-18,15,5
403,-5,-2,-3,18
404,-2,0,-2,16
405,-2,-7,7,15
406,-3,4,-13,18
407,-8,1,2,10
408,-12,7,-4,16
409,-6,-4,8,4
410,-1,-10,3,8
411,2,-10,3,14
412,-3,2,-12,20
413,-1,-18,14,15
414,-1,-6,3,10
415,1,-16,5,8
416,-6,3,-10,16
417,-5,-1,0,5
418,-6,-4,5,8
419,-8,5,-10,13
420,-12,0,0,13
421,1,-12,10,10
422,-5,4,-5,10
423,-11,3,-9,19
424,0,-9,7,6
425,-3,-4,7,4
426,1,-8,3,7
427,2,0,-9,13
428,0,-10,7,9
429,-3,-15,15,7
430,-7,0,-1,13
431,-8,-1,-2,11
432,-8,3,-6,16
433,-2,-15,13,0
434,1,-16,4,10
435,1,-5,-11,18
436,-6,7,-6,9
437,0,-6,0,12
438,-7,-2,5,6
439,-13,23,-18,15
440,-5,6,-13,6
441,-5,-6,10,6
442,-5,-1,3,8
443,-17,4,12,2
444,5,-18,3,8
445,0,-12,7,4
446,-4,0,-8,13
447,-9,-1,0,9
448,-13,6,-2,9
449,-3,-1,-1,13
450,0,3,-12,12
451,-6,0,-11,16
452,-7,-1,-6,11
