Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,0,-2,-3
2,-4,-8,9,-5
3,-6,4,4,-8
4,2,-10,17,-11
5,1,-5,-2,0
6,-1,2,-4,-5
7,-5,1,5,-12
8,-8,13,-20,5
9,1,-5,1,-5
10,4,-7,6,-8
11,2,-11,13,-4
12,-3,-6,7,-7
13,-4,3,-2,-4
14,-4,10,-14,0
15,2,-14,10,0
16,0,-10,13,-4
17,4,-7,0,-3
18,7,-16,10,-2
19,-4,-2,8,-4
20,-2,-6,0,-3
21,-5,12,-14,3
22,6,-15,3,-4
23,-5,0,2,-4
24,-4,-6,10,-9
25,-3,-4,4,-3
26,-4,0,-6,-2
27,-3,0,3,-6
28,1,0,-7,3
29,-6,-2,8,-4
30,0,-6,9,-6
31,-3,4,-4,5
32,0,-3,9,-7
33,-5,-1,6,-11
34,4,-12,4,-2
35,3,-2,-12,-4
36,-8,13,-17,1
37,-6,-1,0,-1
38,-14,9,-10,-1
39,-2,-1,2,-2
40,-2,-5,9,-2
41,8,-15,-5,7
42,0,-6,10,-8
43,-4,9,-12,1
44,7,-15,10,-3
45,-1,0,-3,-3
46,-5,1,7,-6
47,-2,0,2,-8
48,-7,12,-12,0
49,0,-6,-4,-1
50,-8,-3,4,-8
51,-11,10,-8,-4
52,-6,11,-24,1
53,-9,10,-17,-6
54,-13,2,-1,0
55,-8,9,-5,-7
56,-1,8,-12,-3
57,0,3,-15,2
58,11,-10,-8,-4
59,-1,-5,0,-2
60,1,-14,13,-2
61,0,-3,0,-2
62,-5,0,0,-2
63,-6,4,-1,-5
64,-4,5,-7,-2
65,-5,3,-12,-1
66,-3,-6,5,-7
67,2,-7,4,-9
68,-4,13,-17,1
69,-3,-3,1,-1
70,-9,2,-4,-4
71,0,-1,-8,3
72,0,-2,-1,-5
73,2,-14,0,0
74,-8,2,0,-6
75,1,-10,7,-8
76,-6,6,-9,-2
77,-5,2,-6,-12
78,2,-10,2,-5
79,2,-12,-3,1
80,-5,3,-7,0
81,-5,-3,0,-4
82,-3,0,-15,-1
83,0,-13,13,-6
84,-13,10,-12,-1
85,-2,-5,-1,0
86,2,0,-14,0
87,-2,-4,-2,0
88,0,-8,6,-4
89,6,-16,15,-12
90,-3,-3,-2,-3
91,4,-9,-1,0
92,0,-10,3,1
93,2,-5,0,-11
94,-2,-1,-9,0
95,3,-24,19,-7
96,0,-6,0,-2
97,-5,0,0,-5
98,-12,14,-16,-3
99,6,-19,5,0
100,-7,-1,0,-4
101,-12,0,5,-4
102,0,-8,-2,0
103,-3,4,-16,0
104,-11,16,-23,0
105,3,-13,7,-14
106,0,-8,-1,-4
107,0,-11,5,-4
108,-2,-10,-4,-1
109,-8,-1,3,-6
110,-2,-2,-11,-1
111,-8,7,-7,-2
112,-6,10,-12,1
113,4,-19,17,-11
114,-7,4,-5,-4
115,-6,3,-6,1
116,-5,-5,10,-11
117,-5,0,2,-9
118,-1,-5,0,-3
119,-5,5,-4,-5
120,-5,3,-10,0
121,-11,7,-8,0
122,3,-14,0,-4
123,-11,10,-19,1
124,-13,7,-19,3
125,-6,0,-7,-1
126,-17,8,-2,-7
127,0,-4,-7,-2
128,6,-16,9,-7
129,-14,14,-25,2
130,-6,-7,4,-9
131,0,-3,-9,-1
132,-5,-4,-2,-3
133,-2,-15,5,-10
134,2,-5,-11,0
135,0,-9,1,-5
136,-9,2,-3,-6
137,0,-14,19,-2
138,-3,-8,6,-8
139,-8,13,-18,1
140,1,-9,-3,-5
141,-13,13,-10,-3
142,-4,-16,14,-5
143,-7,-3,0,-4
144,-9,7,-12,-2
145,-2,-5,-12,4
146,-2,-4,1,-4
147,-5,8,-16,0
148,-5,5,-11,0
149,-8,8,-16,-7
150,-6,4,-18,-1
151,-6,0,-4,0
152,-7,-1,-6,-2
153,-5,-8,5,-9
154,2,-13,5,-4
155,-6,-4,5,-6
156,-10,0,-4,-2
157,5,-29,28,-15
158,-2,-5,2,-7
159,0,-11,-3,-5
160,3,-10,1,-8
161,-1,-15,7,-8
162,-3,-1,0,-8
163,-2,1,-17,1
164,-10,9,-16,-3
165,6,-2,-20,0
166,-10,6,-5,-2
167,-1,-13,6,-8
168,-3,-9,1,-11
169,0,-14,11,-12
170,-5,-5,1,-7
171,-4,-8,-14,3
172,-1,-20,14,-19
173,-3,-20,11,-14
174,-1,-2,-6,0
175,-2,-14,9,-6
176,-4,-14,14,-17
177,-5,-4,2,-10
178,-11,6,-4,-10
179,-3,-8,-11,-4
180,1,-16,14,-8
181,-2,-4,-3,-1
182,-1,0,0,-5
183,2,-10,-1,-9
184,-3,-12,6,0
185,-1,-15,12,-5
186,0,-7,0,-5
187,1,-17,14,-8
188,2,-7,1,-3
189,1,-8,7,-4
190,0,-2,-12,6
191,-6,0,-4,0
192,0,-18,15,-10
193,-4,-4,3,-8
194,1,0,-9,0
195,-2,5,-17,0
196,-7,4,-12,5
197,-1,-7,5,-4
198,-4,5,-7,-6
199,-7,-4,-4,0
200,6,-17,-2,1
201,-6,1,-13,0
202,-4,-3,2,-9
203,1,-3,-5,-1
204,-10,4,-8,0
205,-4,-1,-10,-2
206,-11,2,6,-7
207,-6,1,-17,0
208,-3,-2,0,-6
209,-12,17,-24,0
210,-6,-11,10,-9
211,-8,-5,0,-9
212,-12,14,-17,-2
213,-12,13,-22,4
214,0,-15,8,-12
215,-2,-4,-6,-8
216,-5,-8,9,-11
217,-13,6,-15,0
218,2,-13,4,-7
219,-3,-10,-1,0
220,-3,-5,-16,0
221,-8,9,-16,-5
222,-2,-7,7,-5
223,-2,-3,-12,0
224,0,-10,0,1
225,-6,-2,-3,3
226,4,-12,11,-5
227,0,-7,7,-7
