Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,4,-5,0,-2
2,11,-15,16,-7
3,-1,0,-8,0
4,-3,2,13,-7
5,-1,-5,11,-8
6,-1,-8,9,-6
7,0,4,-9,0
8,-5,10,-11,2
9,0,-1,-4,-2
10,1,-3,3,-2
11,4,-18,14,-8
12,-3,8,-19,6
13,6,-11,0,-3
14,-1,1,-7,0
15,-1,-6,0,2
16,0,-2,2,-4
17,1,-13,7,-7
18,1,-1,-7,4
19,0,-13,7,-2
20,-5,-1,2,-11
21,-2,-1,-8,8
22,-5,2,0,-2
23,7,-9,1,0
24,0,-3,5,-4
25,9,-14,5,-5
26,-8,7,-7,1
27,0,0,1,-9
28,10,-6,-7,4
29,2,-9,0,-3
30,-1,-1,-1,0
31,-5,4,-7,3
32,1,1,-10,0
33,0,-2,-6,3
34,-7,-3,-4,0
35,-2,8,-9,-1
36,-1,-9,5,0
37,0,-15,11,-5
38,0,-6,4,-4
39,-6,3,0,-4
40,4,-8,-3,-2
41,0,-7,-3,0
42,-4,-4,11,-4
43,0,-4,0,-3
44,1,-10,7,-11
45,5,-4,-8,0
46,2,-13,6,-2
47,-9,7,-6,-3
48,-5,3,-10,2
49,-2,1,-8,1
50,-2,2,-11,-1
51,-6,3,-11,-5
52,-2,-8,6,-9
53,-5,15,-26,7
54,-5,1,-4,-5
55,4,-9,-1,-2
56,5,-14,-3,1
57,-1,3,0,-3
58,0,-7,5,-6
59,-1,0,-1,1
60,2,-10,12,-3
61,4,-9,5,-3
62,4,-20,15,-9
63,1,-4,10,-9
64,0,-1,0,-2
65,-8,12,-17,2
66,1,-9,5,-2
67,0,1,-7,0
68,-2,-3,-5,0
69,-1,0,-10,5
70,3,-13,7,-13
71,-6,4,-5,-1
72,5,-11,-4,2
73,3,-6,2,-4
74,1,-5,-14,8
75,0,-7,4,-5
76,-5,-1,5,-2
77,-7,6,-13,0
78,0,-2,-4,1
79,-5,-3,4,-6
80,-3,-1,0,0
81,-4,5,-7,-7
82,-3,-4,-2,-2
83,-7,7,-16,3
84,4,-7,-5,-2
85,2,-15,8,-3
86,0,-13,5,-9
87,-1,-4,2,-1
88,-1,5,-15,3
89,5,-8,-8,-5
90,-2,-3,0,-10
91,0,-9,-6,0
92,10,-13,2,0
93,-4,4,-9,-5
94,-6,8,-20,3
95,11,-26,17,-2
96,-6,1,0,-3
97,1,-14,16,-8
98,-5,-7,-2,-4
99,2,-11,5,-7
100,4,-22,9,-5
101,-1,0,-9,-1
102,-5,2,-2,-3
103,-10,2,-2,-7
104,-7,-7,1,-4
105,-3,-13,10,-9
106,2,-19,9,-2
107,0,-6,-2,0
108,-1,-6,-3,-2
109,3,-21,16,-10
110,-4,-3,-6,0
111,-1,-5,-1,0
112,-4,-13,10,-8
113,-1,-11,16,-9
114,-1,-8,3,-2
115,-3,-11,12,-7
116,-8,-2,0,-5
117,-4,-9,4,-3
118,-2,-8,4,-5
119,-8,0,3,-8
120,-4,-4,3,0
121,1,-14,1,-2
122,-9,4,-8,2
123,-10,5,-10,-1
124,-3,-8,-7,1
125,-4,2,-13,-2
126,3,-14,3,-10
127,4,-20,-1,-2
128,1,-11,4,-5
129,-5,1,-9,-2
130,2,-11,7,-11
131,-5,-7,4,-4
132,2,-12,2,-6
133,-4,3,-11,0
134,0,-6,0,-1
135,4,-11,1,1
136,-14,11,-12,-4
137,11,-27,10,-4
138,2,1,-4,0
139,-5,1,-13,-2
140,-1,-9,-2,-4
141,-6,9,-18,3
142,-5,-3,0,-2
143,0,-11,7,-7
144,-3,-11,11,-10
145,-3,-5,2,-12
146,2,-17,14,-12
147,-8,5,-21,4
148,-4,0,-12,-5
149,0,-9,-4,-11
150,-3,0,-10,-3
151,-1,-7,1,-3
152,-9,2,-5,-9
153,-1,0,-5,-2
154,-1,-13,2,-6
155,-2,0,0,-4
156,-2,0,-5,2
157,4,-26,22,-11
158,-4,-5,7,-9
159,-1,-19,14,-13
160,-3,-10,6,-7
161,0,-11,4,-6
162,-5,-1,0,-6
163,-2,-5,-6,-3
164,-4,-3,-10,-2
165,-5,-11,7,-9
166,2,-5,-9,0
