Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-10,16,-16,1
2,-11,17,-17,2
3,0,-9,-1,-2
4,-1,0,0,-5
5,-5,4,1,-2
6,-14,0,2,-2
7,-5,4,-5,-1
8,-2,9,-12,1
9,1,-6,2,-2
10,0,-4,-7,2
11,-7,2,0,-3
12,-7,11,-6,0
13,-3,3,1,0
14,-11,12,-15,6
15,-2,3,-3,0
16,-1,-10,19,-12
17,-12,11,-12,6
18,3,-10,-6,3
19,-3,0,2,-4
20,-10,4,-1,2
21,-5,1,-12,1
22,-4,2,0,-7
23,1,-14,13,-3
24,-10,5,-5,8
25,-3,2,-1,0
26,-2,1,-17,7
27,-7,5,-8,5
28,1,-14,8,0
29,0,4,-9,-2
30,-5,9,-6,3
31,1,-9,1,0
32,-2,5,-13,6
33,-11,6,-2,-1
34,-3,1,-1,0
35,0,-12,16,-4
36,-8,17,-13,3
37,2,-5,0,1
38,-6,-2,10,-7
39,-4,5,-2,3
40,-6,-5,17,-3
41,0,5,-4,5
42,9,-14,18,-6
43,10,-17,12,-7
44,0,1,-3,3
45,2,-7,0,-1
46,-12,18,-11,4
47,-5,0,3,5
48,-1,4,-7,5
49,0,-2,0,0
50,-2,5,-15,5
51,-12,14,-13,8
52,-6,5,-6,0
53,-12,21,-27,4
54,-5,4,-3,0
55,-10,5,-3,6
56,-4,-3,4,-1
57,-9,10,-10,0
58,1,-5,3,-2
59,-7,-8,15,-4
60,-2,-1,4,2
61,-4,6,-5,6
62,-3,22,-20,6
63,-2,2,1,0
64,-10,4,-4,0
65,-6,9,-21,7
66,-1,-1,4,-5
67,-4,9,-12,1
68,-3,-2,1,-1
69,-1,0,0,0
70,-12,7,0,-1
71,-3,2,2,-2
72,-17,17,-5,4
73,-3,9,-8,4
74,-1,-2,3,0
75,8,-6,6,-2
76,-5,14,-20,11
77,-3,7,-14,3
78,-5,1,-11,5
79,-3,-2,1,-4
80,-15,18,-13,0
81,-3,-8,-7,7
82,-3,11,-21,8
83,-16,7,-1,-2
84,-5,-4,-2,0
85,-3,-3,-8,0
86,-9,11,-21,1
87,-5,7,-7,2
88,-10,1,1,-3
89,-10,7,-5,0
90,-11,11,-5,-3
91,-5,-4,-4,-2
92,4,-12,0,0
93,-11,3,-1,-6
94,0,-11,6,-3
95,-8,0,6,-7
96,-6,-3,0,-1
97,-7,0,1,0
98,-8,5,-11,-1
99,-5,-3,4,-4
100,-10,9,-4,2
101,-2,-5,-4,6
102,-1,5,-19,5
103,-14,0,5,-8
104,-9,18,-25,2
105,-6,4,-8,-4
106,-3,-8,6,-6
107,-6,3,-4,4
108,-8,12,-14,0
109,-3,-5,0,0
110,-9,4,-7,6
111,-6,0,0,-1
112,-3,4,-2,2
113,-1,-9,16,-11
114,-7,5,-7,0
115,-10,1,0,-4
116,-1,-6,-1,0
117,-2,-13,5,-8
118,-4,-3,-2,3
119,-5,-6,5,-3
120,0,-13,3,-3
121,0,-7,-4,0
122,-3,-5,1,-7
123,-5,7,-13,-1
124,-9,19,-35,10
125,-1,-7,-5,2
126,-6,-3,0,-7
127,-9,8,-10,-5
128,-13,7,-11,2
129,-9,4,-8,0
130,-1,-8,0,-4
131,-8,5,-9,0
132,0,-5,-1,0
133,-10,6,-8,-3
134,-8,-1,-1,-4
135,-5,4,-17,1
136,-14,6,-10,0
137,-7,-12,11,-2
138,-5,-11,16,-13
139,1,-16,3,-2
140,-2,-3,-5,-1
141,-7,7,-12,2
142,-1,-12,12,-9
143,-5,0,-2,-2
144,-11,8,-6,-3
145,-8,1,0,-3
146,-5,-11,9,-9
147,-13,0,-4,0
148,0,-6,-3,-8
149,-9,4,-17,-5
150,-7,-1,-5,-1
151,-5,2,-8,0
152,1,-13,5,-6
153,-3,-9,0,6
154,-5,-11,16,-7
155,-8,-3,11,-10
156,-2,-8,7,-6
157,-4,-4,-1,-1
158,-10,9,-10,-1
159,-13,2,-4,-6
160,-12,8,-6,1
161,-7,2,-1,-6
162,-4,0,-15,3
163,-11,12,-22,3
164,-12,2,-1,0
165,-9,3,0,-2
166,-9,-5,10,-8
167,0,-6,3,-4
168,-1,1,-11,2
169,-4,-2,-1,-2
170,-6,-8,0,-1
171,-7,1,-17,4
172,-11,15,-18,2
173,-5,-10,0,-1
174,-9,11,-13,1
175,-10,8,-9,0
176,-4,-7,-2,-3
177,-8,-1,-3,-4
178,-7,2,-16,1
179,-16,15,-11,2
180,-1,-4,-6,3
181,-8,8,-22,1
182,2,-19,16,-10
183,0,-14,13,-1
184,-5,-10,11,-3
185,-10,-1,0,-4
186,-12,12,-14,0
187,-7,9,-4,-1
188,-5,-11,10,-3
189,-1,-10,8,-5
190,-10,-1,0,-6
191,-8,-1,-1,0
192,-2,-4,0,-8
193,-4,-4,-12,6
194,-6,-3,4,-1
195,-2,-3,3,-6
196,-5,-2,-5,-4
197,-6,-9,5,-1
198,-17,11,-2,-3
199,-8,3,-12,0
200,-1,0,-5,0
201,-2,-7,7,0
202,-13,-6,12,-8
203,-6,1,3,-4
204,-14,11,-13,3
205,-7,5,-10,0
206,-2,9,-22,5
207,-4,4,-14,4
208,-6,0,3,-4
209,-9,3,-1,-4
210,-7,7,-17,1
211,-13,10,-11,-4
212,4,-13,5,-1
213,-9,6,-1,-5
214,-9,3,-2,1
215,-5,5,-12,0
216,-9,4,-4,0
217,-5,-9,0,-6
218,-16,14,-7,1
219,-2,-1,-3,-2
220,-11,4,-7,-1
221,0,-6,3,-4
222,1,-16,19,-10
223,-9,3,-2,-5
224,0,-10,4,-8
225,-12,11,-4,-4
226,-8,-4,12,-3
227,3,-9,9,-8
228,-1,-14,16,-12
229,-7,17,-17,1
230,-13,15,-22,6
231,-10,7,-4,-3
232,-5,0,2,-3
233,1,-8,6,-12
234,-6,5,-5,0
235,-9,3,5,-7
236,-13,4,2,3
