Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-3,1,-4,4
2,3,-7,6,-3
3,-1,13,-13,0
4,-2,1,-2,9
5,3,-11,4,-1
6,-7,1,6,-3
7,-3,7,-12,11
8,-2,-6,0,1
9,-4,1,0,5
10,-8,8,-6,0
11,1,-3,-3,0
12,2,-5,3,-5
13,-4,0,-3,2
14,2,-8,-4,0
15,0,-12,23,-15
16,-3,-2,7,-7
17,-5,0,0,0
18,4,-13,9,-10
19,5,-13,9,-4
20,-8,10,-13,4
21,-3,2,-16,5
22,0,-3,0,0
23,-5,8,-4,1
24,-3,-5,10,-8
25,-6,5,-1,-2
26,5,-4,-3,-8
27,2,-3,-4,3
28,0,-1,6,-7
29,-11,4,-5,-1
30,-2,-5,4,-7
31,4,-3,-8,0
32,4,-9,3,2
33,1,0,-5,5
34,-4,-2,-2,-2
35,-1,-5,1,-4
36,-5,-3,2,-5
37,-7,2,-5,-2
38,4,-10,7,-7
39,-7,-11,14,-8
40,-5,-11,8,-5
41,8,-29,23,-9
42,6,-10,-1,-1
43,-4,1,-8,0
44,-4,-2,-4,-5
45,0,-3,7,-9
46,-1,-10,13,-8
47,-6,0,2,-2
48,-2,-1,2,-9
49,-10,7,-7,-9
50,-6,2,-4,4
51,-6,2,-7,0
52,-13,16,-12,-7
53,-3,16,-26,2
54,4,-8,0,-5
55,2,-8,-3,-5
56,-3,-4,-2,-3
57,0,0,-4,-6
58,1,3,-14,7
59,-3,-1,0,-3
60,3,-8,1,-6
61,-7,-4,15,-6
62,-1,-14,12,-12
63,-6,5,-6,-1
64,-1,-1,0,-3
65,-1,-4,7,-10
66,-3,-8,10,-7
67,-6,0,-1,-10
68,1,-11,4,-6
69,-2,0,-4,-3
70,2,-2,-7,-3
71,-10,0,-3,-7
72,-8,9,-4,-10
73,0,-4,2,-6
74,-6,7,-7,-4
75,-7,1,-1,0
76,-8,11,-16,1
77,-6,-7,0,-1
78,-3,1,-7,1
79,0,-9,12,-10
80,0,0,-6,0
81,-6,4,-6,-1
82,-11,8,-13,-3
83,-8,-1,7,-6
84,-2,-6,0,-5
85,-1,-9,0,-7
86,-9,8,-5,-2
87,-4,5,-11,0
88,0,-4,-4,-1
89,-3,2,-1,-4
90,-5,10,-10,0
91,-1,0,-6,-2
92,2,-8,3,-3
93,5,-12,5,-9
94,-1,4,-14,-1
95,-5,0,6,-3
96,0,-4,2,-5
97,1,-11,13,-7
98,-5,9,-11,-3
99,-1,-3,-2,0
100,0,-7,10,-5
101,0,-5,5,-6
102,-4,0,-5,0
103,-1,1,-8,-4
104,-7,12,-18,0
105,-6,2,-11,1
106,-4,0,-6,0
107,-5,-8,13,-5
108,1,3,-18,-2
109,1,-18,10,-5
110,-3,-4,-2,-2
111,-2,3,-9,-3
112,0,-6,1,-5
113,6,-10,3,0
114,-6,3,-4,-3
115,-6,2,-7,0
116,0,-9,1,-4
117,-1,-12,2,0
118,-1,-1,-11,-1
119,-4,10,-8,-3
120,-2,5,-1,-7
121,-7,7,-6,-2
122,-8,6,-13,4
123,-1,-2,-3,1
124,-4,-8,2,-3
125,-7,1,-7,-1
126,-10,5,-3,-8
127,-3,-3,0,-4
128,-9,-2,3,-1
129,-5,4,-17,-2
130,0,-17,19,-11
131,-1,-1,-3,1
132,2,-7,4,-3
133,-3,-16,8,-2
134,1,-15,4,-4
135,1,-8,3,-7
136,-7,3,-9,-2
137,-4,-8,2,-1
138,-8,0,5,-4
