Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-1,2,-3,1
2,-5,8,-12,2
3,-1,-2,-1,-2
4,-1,1,-3,3
5,4,-6,-7,6
6,2,-4,6,1
7,-5,-1,-1,-2
8,-2,-9,7,-2
9,7,-9,0,-5
10,-3,2,0,0
11,5,-17,19,-7
12,-1,0,2,-1
13,-4,10,-9,-3
14,0,0,-6,8
15,-6,11,-19,6
16,-1,0,-6,0
17,5,-20,13,-4
18,2,-2,0,-4
19,-3,-11,11,-6
20,-5,3,0,-4
21,3,-7,-1,0
22,0,0,-15,5
23,-6,7,-10,4
24,4,-15,12,-4
25,6,-12,7,-1
26,-4,-1,-3,0
27,0,-5,7,0
28,1,-7,3,2
29,2,-7,2,-8
30,-5,-1,-3,0
31,-1,0,-6,0
32,-4,9,-21,7
33,-4,0,-8,5
34,-5,-8,4,-6
35,-5,2,-3,-8
36,6,-14,0,-5
37,-1,-8,0,-4
38,-8,1,0,-3
39,0,-3,-16,6
40,-2,-11,4,0
41,-1,-4,2,2
42,1,-11,1,0
43,-14,6,4,-3
44,2,-6,-1,-4
45,-7,0,0,-1
46,-6,-6,2,-4
47,0,0,0,-3
48,-2,-10,8,-9
49,-5,-5,3,0
50,-4,-2,-2,-2
51,-3,-5,1,-6
52,-4,-4,-2,-4
53,-5,-3,1,-3
54,0,-14,1,0
55,3,-20,19,-12
56,-4,-6,1,-1
57,-2,-5,0,-2
58,-8,10,-20,3
59,-5,2,-5,-7
60,-9,10,-11,0
61,-4,-3,4,-4
62,4,-18,11,-3
63,-1,-2,-3,-3
64,6,-15,2,0
65,-7,11,-9,-4
66,3,-9,-3,0
67,-3,0,-7,7
68,0,-6,5,-4
69,0,-8,-3,-1
70,0,-7,6,-7
71,0,-6,0,-2
72,-2,-9,8,-3
73,-5,-4,9,-8
74,3,-29,23,-8
75,2,-15,13,-7
76,-5,-3,-2,-4
77,-4,-1,3,-4
78,5,-23,8,-9
79,2,-10,2,-4
80,-5,0,-2,-7
81,-9,0,-4,-3
82,-7,2,-5,0
83,-2,1,-3,-4
84,-5,0,-6,-5
85,-5,-4,-6,-1
86,-10,8,-16,-4
87,-8,-1,-7,-6
88,3,-7,-10,2
89,-7,3,-4,-4
90,7,-24,8,-7
91,-5,3,-12,-9
92,0,-15,11,-11
93,4,-9,-3,-7
94,-9,14,-26,-2
95,-12,9,-12,-4
96,-4,-7,-5,-4
97,-7,4,-20,7
98,-1,-9,2,-6
99,2,-19,9,-5
100,-5,7,-16,0
101,-8,5,-11,0
102,-8,15,-25,1
103,-8,-3,0,0
104,-1,-9,-14,4
105,-14,14,-21,3
106,-1,-15,17,-14
107,-11,8,-6,0
108,-10,1,-11,4
109,-4,1,-10,0
110,-7,-7,0,0
111,2,-2,-8,0
112,-5,1,-6,1
113,-5,2,-3,-4
114,-7,0,-5,0
115,-9,9,-14,-1
116,-1,-4,-4,-3
117,-4,-12,11,-9
118,-3,-1,0,-3
119,-5,-10,10,-3
120,-5,0,-6,1
121,-6,-6,9,-6
122,-3,-3,-6,0
123,-8,3,-6,4
124,-2,-3,-3,-7
125,-4,-9,-3,-1
126,-3,-1,-9,-2
127,-12,12,-22,1
128,-5,-12,8,-7
129,0,-8,3,-7
130,-3,-9,8,-9
131,0,-16,8,-7
132,4,-17,7,-1
133,2,-14,2,0
134,-6,4,-16,0
135,-5,-7,-2,-5
136,-3,-11,0,-8
137,-5,-9,4,-6
138,-13,12,-19,-2
139,-6,0,-4,-6
140,-3,0,-13,0
141,-5,3,-7,-1
142,0,-8,-7,1
143,-10,4,-6,0
144,-9,-8,7,-6
145,-4,2,-10,-9
146,-1,-13,10,-3
147,-6,0,-10,-5
148,0,-16,0,-2
149,-4,2,-16,3
150,-7,-9,-6,0
151,-12,8,-9,-4
152,4,-6,-17,6
153,-2,-2,0,-5
154,0,-8,-8,-2
155,-6,-11,11,-8
156,-3,-6,3,-5
157,-3,0,-6,-7
158,-4,-6,2,-6
159,-11,7,-12,-2
160,-7,7,-15,2
161,-3,-20,10,-6
162,-6,-11,9,-8
163,-4,-11,9,-11
164,-2,-6,-6,-4
165,-7,3,-9,-5
166,1,-11,-8,-1
167,1,-8,1,-5
168,-2,-11,5,-6
169,-4,-3,-1,-1
170,-14,15,-20,-1
171,-8,5,-6,-3
172,-17,11,-21,0
173,-8,-4,1,-6
174,-6,-7,-1,-1
175,-7,9,-12,-4
176,-7,-4,-8,-1
177,3,-10,0,-8
178,-9,7,-5,-10
179,-4,-8,11,-4
180,-8,2,-5,-2
181,0,-19,19,-10
182,3,-20,12,-12
183,-11,11,-5,-8
184,-4,-8,7,-12
185,2,-9,-7,-4
186,-10,4,-10,-1
187,-4,-8,-1,-3
188,-1,-13,3,-11
189,-2,-6,-5,0
190,0,-17,24,-13
191,-4,-9,9,-7
192,-8,7,-19,2
193,0,-17,13,-10
194,-6,3,-18,2
195,2,-14,2,-5
196,-14,13,-18,0
197,-2,-9,-4,-1
198,-7,0,-3,-1
199,-8,5,-3,-2
200,-2,-11,10,-5
201,-8,0,-4,0
202,0,-9,-2,-4
203,-2,-12,7,-8
204,0,-11,0,-2
205,-2,-13,4,6
206,-4,-1,-9,1
207,0,-17,1,1
208,-3,-4,-8,3
209,-6,-4,-9,0
210,0,-12,0,-4
211,1,-22,17,-11
212,-1,-5,3,-2
213,3,-23,16,-9
214,-5,-7,-8,4
215,-5,-6,-1,-4
216,0,-9,1,0
217,-1,-7,-4,-2
218,0,-7,-10,5
219,-1,-13,6,-6
220,-13,3,-5,-3
221,4,-17,2,-6
222,-15,17,-23,3
223,-3,-10,0,-1
224,-8,-2,-15,1
225,-1,-9,2,-2
226,-13,-4,1,-6
227,2,-16,6,-8
228,-1,-16,13,-9
229,0,-10,0,0
230,-6,-3,2,-7
231,-4,-5,-2,-1
232,-5,-11,8,-7
233,-5,0,-10,1
234,-6,-10,16,-10
235,0,-7,-9,1
236,-12,7,-20,5
237,-4,-16,1,-1
238,-5,-2,2,-6
239,-12,2,-5,0
240,-9,3,-14,2
241,-4,-8,2,-10
242,1,-10,-10,0
243,-9,10,-16,3
244,-2,-3,-8,4
245,-10,17,-34,8
246,0,-10,-7,2
247,-5,-7,2,-4
248,-5,-5,3,-6
249,3,-8,-1,0
250,-7,7,-16,3
251,0,-9,-3,-5
252,-3,-6,1,-2
253,0,-11,-4,-2
254,-6,0,-8,4
255,0,-8,4,-8
256,-1,-4,-10,1
257,0,-11,-3,-2
258,-6,-2,-8,1
259,-9,4,-3,-5
260,-1,-10,-2,-5
261,1,-3,0,-10
262,2,-8,-4,-1
263,-7,1,-7,-2
264,-1,-2,-12,-2
265,1,-10,-2,-6
266,-6,-8,5,-5
267,-6,-8,5,-5
268,9,-26,13,-9
269,8,-20,0,-3
270,-9,3,-9,-4
271,2,-17,7,-10
272,0,-7,-1,-6
273,0,-13,11,-7
274,-2,6,-15,5
275,1,-10,-14,1
276,0,-6,-6,1
277,0,-4,-5,0
278,-4,-5,7,-8
279,-3,2,-13,4
280,0,-14,6,-1
281,-7,-1,0,-5
282,0,-8,4,-5
283,-1,-10,3,-2
284,3,-11,3,-4
285,-6,-3,2,2
286,-11,4,-9,-1
287,-7,0,3,-2
288,-2,-2,-1,1
289,-5,-2,-3,-6
290,-8,1,-16,1
291,0,-14,10,-6
292,-1,-5,-9,2
293,0,-10,-7,2
294,-7,-10,6,0
295,-12,6,-7,0
296,-4,3,-12,3
297,0,-6,-9,4
298,-5,-6,-5,2
299,-5,-3,-3,0
300,-15,6,-12,5
301,-8,1,-8,5
302,-8,-8,-1,7
303,-13,9,-16,6
304,-5,4,-22,15
305,-13,0,-6,5
306,-6,2,-11,13
307,-6,7,-18,10
308,-8,-7,-1,7
309,-8,2,-9,7
310,-9,6,-9,3
311,-10,6,-3,8
312,-4,0,-11,10
313,-6,-4,-3,6
314,3,-15,1,5
315,-8,6,-9,7
316,-3,-6,-1,7
