Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-3,-1,2
2,-2,0,-5,-1
3,3,-6,-5,8
4,-9,5,0,2
5,10,-18,6,4
6,-6,0,2,0
7,-2,1,-2,-1
8,-6,0,4,-2
9,-4,5,-4,-2
10,-6,5,-3,1
11,-13,13,-9,-2
12,0,-3,0,0
13,-4,-6,1,1
14,2,-7,10,-6
15,0,-8,8,-6
16,3,-19,17,-7
17,-5,9,-8,-1
18,-5,-1,-2,4
19,0,-15,14,-5
20,-2,2,-2,0
21,-2,-2,-4,2
22,1,-1,0,1
23,-7,2,3,-2
24,5,-17,12,-6
25,1,-8,14,-4
26,-10,8,-6,1
27,-2,-1,5,-8
28,-3,-6,4,-4
29,-1,0,0,-1
30,-7,2,8,-6
31,0,1,-9,1
32,-9,8,-11,1
33,-4,2,-6,-3
34,0,5,-16,1
35,-8,6,-11,4
36,-7,1,-5,-3
37,5,-13,-1,-2
38,-2,-6,-4,1
39,-8,0,-6,-5
40,-3,-2,-2,0
41,-5,3,-2,1
42,-5,-10,8,0
43,-3,-4,-4,1
44,-6,-8,13,-7
45,-11,11,-12,2
46,-7,7,-9,0
47,4,-16,11,-5
48,-6,0,4,-5
49,1,-18,14,-7
50,-7,-3,-2,-2
51,1,-12,9,-4
52,-10,7,-3,0
53,-2,-4,1,-2
54,-4,2,0,0
55,-2,-6,-2,-2
56,-16,18,-14,3
57,-7,4,0,-5
58,-10,5,1,-6
59,0,-12,5,-1
60,-5,0,-2,1
61,-3,-1,1,-4
62,1,-14,9,-7
63,1,-9,2,-3
64,-2,-6,-1,-1
65,-1,-9,10,-6
66,-4,-5,-2,4
67,4,-18,13,-3
68,-5,-1,-3,-3
69,-6,0,-5,-2
70,2,-4,-7,2
71,-1,-5,4,-5
72,-4,0,-2,0
73,11,-17,2,-1
74,2,-10,4,-5
75,5,-20,12,-5
76,-4,1,0,-4
77,0,-4,1,0
78,-4,-7,12,-9
79,-4,-2,3,-1
80,-5,-8,10,-4
81,8,-10,13,-2
82,0,3,-2,11
83,1,-11,17,2
84,5,4,4,8
85,-1,11,-7,13
86,-1,4,0,2
87,9,2,-1,3
88,2,-7,11,-5
89,0,-6,6,0
90,-1,7,-15,7
91,-9,12,-15,5
92,1,-11,2,0
93,-9,14,0,4
94,5,-1,8,3
95,6,5,9,17
96,9,4,3,16
97,-3,15,-3,14
98,-4,4,6,6
99,-5,13,-13,6
100,-15,26,-26,7
101,-8,9,-16,1
102,1,3,-18,5
103,-5,6,-2,-5
104,0,-12,7,-2
105,-1,-3,-10,1
106,0,-6,0,-2
107,-9,10,-11,-6
108,-1,-12,8,-3
109,-7,15,-12,0
110,-3,-8,4,-3
111,1,-11,2,-3
112,-11,1,-4,-4
113,-7,7,-12,3
114,-7,6,-8,0
115,-7,7,-17,0
116,-9,7,-3,0
117,-7,-7,3,-8
118,-6,-12,14,-6
119,-6,-13,11,-2
120,-12,2,0,0
121,0,-9,0,2
122,-10,7,-16,3
123,-4,-12,12,-6
124,-11,0,4,-2
125,-4,-7,5,-6
126,-8,0,3,-11
127,-3,0,-10,-1
128,-5,-9,8,-7
129,1,-18,10,-5
130,-7,-1,-3,-3
131,-11,11,-12,-1
132,-6,-17,18,-9
133,-12,2,2,-7
134,-1,-6,3,-2
135,-6,7,-15,1
136,-12,11,-11,0
137,-10,14,-13,-1
138,6,-10,3,-8
139,-1,-14,5,-5
140,-6,-4,-2,-6
141,-9,-3,10,-8
142,-7,0,-1,-5
143,-5,2,-11,-5
144,-4,-4,-1,1
145,0,-16,11,-12
146,5,-23,12,-6
147,-4,-10,1,-4
148,-15,4,-7,-4
149,-12,0,-7,0
150,-1,-12,-2,1
151,-5,-4,4,-5
152,-6,9,-18,1
153,-2,-10,3,-4
154,-11,0,-1,-9
155,1,-9,1,-6
156,-12,0,-2,-6
157,-2,-16,15,-3
158,-6,-4,7,-10
159,-6,0,-7,-1
160,4,-20,8,-3
161,-3,-5,5,-6
162,-12,2,0,-3
163,-7,-3,2,-9
164,-7,-2,-7,5
165,-9,-6,2,-5
166,-7,1,-12,-1
167,-2,-7,-9,1
168,-6,-5,4,-4
169,-9,-4,4,-11
170,-14,-5,6,-11
171,1,-15,14,-12
172,-3,-6,0,-4
173,0,-16,10,-10
174,-3,-7,3,-7
175,-7,-6,11,-10
176,-1,-3,0,-9
177,-4,-3,0,-8
178,-17,17,-16,0
179,-6,2,-4,-3
180,-2,-7,9,-4
181,-10,3,-8,-2
182,-8,2,-9,-2
183,0,-9,-2,-4
184,-8,-2,9,-9
185,-8,2,-4,-4
186,7,-17,3,-5
187,-13,1,-1,0
188,-8,1,-4,-4
189,-10,2,-10,2
190,-2,-11,5,-3
191,-3,0,-3,-3
192,-7,6,-5,-2
193,-6,3,-10,5
194,-8,-4,-8,0
195,-1,-12,5,-1
196,-11,7,-12,0
197,-3,-5,6,-7
198,-3,-4,-1,-8
199,-7,0,-11,-2
200,0,-13,10,-11
201,-3,-12,1,-1
202,0,-12,11,-7
203,-8,-5,-6,-1
204,-8,1,-1,-1
205,-5,-7,7,-2
206,-11,5,-5,-1
207,-1,0,-7,0
208,-4,1,-12,-2
209,-5,-4,-2,-4
210,-10,0,-2,-3
211,-12,-1,0,-4
212,-1,-4,-2,0
213,0,-5,-1,-1
214,-2,-2,1,-1
215,-10,2,-2,-7
216,-2,-11,10,-6
217,-10,-6,3,-2
218,-3,-1,-7,0
219,-13,3,0,-4
220,-14,3,-8,0
221,-7,0,-8,-2
222,-9,-6,-1,-7
223,-7,6,-6,-2
224,-10,-1,1,-8
225,-1,-11,-1,2
226,-3,0,-1,-8
227,1,-3,-7,0
228,-6,-1,0,0
229,-3,-18,19,-15
230,-1,-7,-11,4
231,-10,-3,4,-6
232,-5,0,-4,3
233,0,-8,0,-6
234,-8,7,-8,-1
235,-1,-6,-4,1
236,-15,19,-17,2
237,1,-11,9,-4
238,6,-25,15,-7
239,-8,-2,0,-5
240,-1,-2,-5,-3
241,-10,14,-17,0
242,2,-9,2,-7
243,-8,-14,11,-10
244,-13,7,-2,-3
245,-11,4,-12,-3
246,-1,-10,6,-6
247,6,-21,14,-8
248,-6,8,-10,4
249,-4,-2,-5,-1
250,-4,0,0,-3
251,-4,-8,1,-2
252,-5,0,-1,-5
253,0,-9,2,-10
254,-3,2,-14,0
255,-9,-6,4,-8
256,-2,-9,6,-11
257,-14,0,3,-9
258,-12,3,-5,-6
259,-14,3,-6,-1
260,-2,-6,1,-6
261,-7,0,-10,-2
262,-12,-1,1,-4
263,-6,-3,-1,-1
264,-4,0,-14,-3
265,-6,3,-14,-4
266,-12,4,-6,-4
267,-8,1,-14,1
268,-8,3,-8,0
269,-2,-8,-6,-1
270,-1,-12,0,-2
271,-18,15,-18,1
272,-11,0,-2,-2
273,-11,3,-2,-3
274,-6,0,1,-6
275,-11,4,-2,-6
276,-1,-11,5,-3
277,-6,1,2,-6
278,-3,-7,6,-3
279,1,-7,0,-1
280,-11,11,-14,-2
281,-2,0,-7,0
282,-1,-11,4,-6
283,-2,-5,4,-5
284,-3,2,-8,7
285,0,-8,-1,3
286,-6,3,-4,-1
287,-3,-5,-1,0
288,-2,-11,2,-8
289,-7,-2,-1,-2
290,-4,-1,0,1
291,-9,11,-16,4
292,-13,14,-19,1
293,-4,-5,6,-2
294,-9,4,-10,-4
295,-10,-3,3,0
296,-9,0,-1,0
297,-5,9,-27,11
298,-7,6,-8,3
299,-4,-1,-7,-3
300,0,-8,5,0
301,-5,-14,14,-7
302,0,-13,8,-5
303,-1,-29,31,-5
304,-7,0,2,0
305,-6,0,-1,-3
306,-6,-6,4,0
307,-9,3,-5,2
308,-15,10,-11,0
309,-7,-1,-5,3
310,-12,0,1,-2
311,-13,-1,-3,0
312,-8,0,-5,3
313,-13,13,-14,0
314,-7,-4,0,-5
315,0,-11,3,-3
316,0,-15,1,0
317,-14,6,-9,8
318,-3,-14,6,7
319,-8,6,-17,15
320,-4,2,-12,8
321,-4,-1,-5,7
322,-9,0,-5,7
323,-4,-3,-3,7
324,-13,7,-8,9
325,-5,8,-16,13
326,-9,1,-12,15
327,-12,22,-31,19
328,-2,-2,-7,5
329,-4,-2,-7,7
330,-5,-2,0,7
331,-2,-8,1,8
332,-11,7,-2,2
333,-7,-5,-1,4
334,-5,3,-8,10
335,-13,13,-9,8
336,-11,0,-5,7
337,-5,-16,8,7
338,-7,-13,4,5
339,-9,9,-20,7
340,-12,3,-5,5
341,-5,-4,-14,10
342,-9,0,-5,9
343,-9,8,-18,6
344,-11,0,1,0
345,-10,0,-2,2
346,-8,1,-2,10
347,-5,-5,8,-2
348,-13,14,-12,9
349,-11,4,-2,7
350,-4,-7,4,4
351,-6,-6,1,0
352,-6,-5,-2,3
353,-7,-2,-2,3
354,-9,5,-12,5
355,-12,1,-9,9
356,-8,4,-17,10
357,-14,3,-6,3
358,-6,4,-9,9
359,-3,0,-14,9
360,-6,0,-5,7
361,-6,1,-12,11
362,-9,3,-6,7
363,-13,9,-9,1
364,0,-6,-2,7
365,-1,0,-4,4
366,-7,-4,-1,4
367,-6,-8,1,3
368,-13,8,-12,7
369,2,-2,-14,15
370,-12,12,-12,9
371,-3,-2,-10,8
372,-16,24,-29,15
373,-2,-1,-14,13
374,-7,4,-9,7
375,-17,15,-19,15
376,-16,17,-17,12
377,-10,12,-22,12
378,-8,0,-1,2
379,-5,-4,-9,4
380,-6,0,-7,13
381,-4,-2,-6,8
382,-3,-12,5,7
383,0,-1,-5,5
384,-6,1,-11,6
385,1,-15,3,10
386,-8,-5,7,6
387,-10,11,-14,4
388,-12,8,-12,12
