Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-7,2,7,-7
2,-4,8,-10,-1
3,-3,10,-10,1
4,6,-11,2,-2
5,-6,-13,17,-9
6,-2,1,-2,-2
7,5,-10,9,-11
8,0,-4,0,0
9,3,-8,-2,1
10,-6,-3,2,0
11,0,-8,2,-2
12,-4,-1,-6,-3
13,-6,4,-8,0
14,-10,6,5,-7
15,-5,-5,0,0
16,-6,-7,9,-3
17,0,-8,7,0
18,-1,-1,-5,0
19,-6,-8,4,-1
20,-3,-3,-6,-1
21,-2,-2,0,2
22,-6,9,-17,0
23,-3,2,-5,0
24,-4,-6,6,-2
25,-7,4,0,3
26,-10,11,-12,0
27,-2,0,-4,-3
28,-6,7,-1,-4
29,-1,3,-9,1
30,8,-5,-9,1
31,-10,13,-13,-1
32,-3,4,-15,4
33,-6,2,-3,0
34,1,0,-10,-2
35,-11,4,-6,-6
36,-16,14,-12,-6
37,3,-18,5,-4
38,-5,-2,5,-5
39,-1,0,-1,-3
40,0,-10,6,-5
41,-8,-7,12,-4
42,-5,-7,-6,-4
43,-10,5,-2,-4
44,-3,-3,6,-6
45,-3,-13,15,-7
46,-1,-1,-2,0
47,-11,4,-9,-1
48,0,-7,7,-8
49,-8,0,5,-4
50,0,-6,3,-4
51,-4,-6,13,-7
52,-3,-10,9,-4
53,0,-9,2,-6
54,-1,-4,5,-6
55,-5,-3,3,-4
56,-9,3,-5,-6
57,-8,-2,-3,1
58,-6,8,-7,-6
59,3,-18,11,-10
60,-2,-2,0,-2
61,3,-9,4,0
62,3,-13,13,-5
63,-7,0,-5,2
64,0,-12,7,-5
65,-3,-7,0,-1
66,-1,-25,24,-9
67,3,-22,16,-7
68,-9,7,-9,-4
69,-10,-2,5,-8
70,-4,-6,1,-3
71,-12,3,-2,-6
72,-4,-11,15,-8
73,-5,-1,2,-5
74,0,-12,12,-3
75,-8,0,-11,2
76,-11,1,-6,-3
77,0,-12,2,-1
78,-5,-9,10,-11
79,-4,-5,0,-6
80,-3,-11,3,-3
81,4,-14,0,-3
82,-1,-13,9,-11
83,5,-19,6,-5
