Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,6,-7,2,-2
2,-9,21,-27,10
3,1,-6,2,0
4,6,-19,11,-3
5,0,0,-3,4
6,5,-14,15,-7
7,4,-5,-4,-3
8,2,-10,1,-2
9,1,-5,-4,-1
10,3,-2,-3,2
11,-4,8,-6,-3
12,-8,8,4,-16
13,2,-7,2,-8
14,-3,-3,1,0
15,0,-1,-10,-4
16,-4,0,-7,-5
17,-7,4,-6,1
18,3,-4,-6,0
19,9,-26,13,-4
20,-1,-5,2,-6
21,4,-19,17,-7
22,2,-11,0,-2
23,-10,8,-9,0
24,2,-5,0,-7
25,5,-9,-2,-1
26,0,0,-13,-1
27,-4,0,0,-9
28,6,-11,1,-1
29,11,-19,13,-13
30,2,0,-9,0
31,7,-3,-14,-2
32,0,-9,3,-11
33,1,-3,-11,-4
34,3,-14,2,-11
35,-3,-10,0,-8
36,-3,-3,-3,-12
37,-7,-5,5,-9
38,7,-13,-2,0
39,2,-12,-5,-7
40,1,-12,-1,-1
41,-4,-2,-7,-3
42,-5,-7,6,-10
43,0,0,-5,0
44,-4,-7,10,-8
45,-6,6,-6,-9
46,5,-11,6,-10
47,-11,5,-12,-7
48,-4,-1,1,-13
49,0,-5,0,-6
50,0,-9,7,-13
51,0,-11,-1,-6
52,-7,4,-18,0
53,-10,-3,5,-5
54,-6,-9,2,-7
55,-5,-3,-8,-8
56,1,-18,8,-14
57,-5,-8,4,-7
58,-5,-10,5,-6
59,-2,-21,16,-15
60,6,-25,11,-11
61,-1,-3,0,-9
62,0,-10,4,-10
63,-5,0,-1,-11
64,-3,-17,7,-11
65,4,-10,-4,-8
66,-8,7,-21,-5
67,-11,-5,6,-13
68,-8,4,-10,-5
69,-6,-7,0,-16
70,-11,0,-3,-14
71,-1,-9,-2,-11
72,5,-25,9,-3
73,-6,-11,0,-8
74,-6,0,-9,1
75,-1,-11,3,-11
76,-6,-8,-1,-12
77,1,-21,15,-11
78,-5,-5,0,-10
79,-3,-9,4,-13
80,-13,8,-6,-7
81,4,-21,12,-14
82,-1,-17,8,-15
83,-7,-7,4,-10
84,-1,-17,6,-7
85,-1,-6,-9,-6
86,0,0,-15,-7
87,-3,-3,-14,-1
88,0,-19,4,-11
89,-8,-7,-6,-5
90,-8,-13,2,-9
91,-10,-3,0,-10
92,-8,5,-11,-11
93,4,-26,11,-17
94,1,-14,-8,-5
95,-12,-5,-7,-11
96,-7,-5,-10,-10
97,-1,-13,4,-11
98,-10,10,-17,-7
99,-7,-1,-9,-12
100,-9,-6,-6,-9
101,-9,-6,-2,-14
102,-2,-11,0,-8
103,-16,2,-16,-2
104,-17,-11,6,-15
105,-5,-6,-3,-8
106,2,-25,14,-12
107,-8,-4,0,-15
108,-5,-11,6,-18
109,-4,0,-18,-5
110,-8,-8,-3,-12
111,-6,3,-17,-6
112,-14,-3,4,-22
113,-16,8,-6,-15
114,-4,-6,-4,-15
115,-4,-9,-9,-12
116,-8,0,-3,-12
117,-13,-4,-4,-13
118,-7,-6,-2,-11
119,-4,-17,5,-15
120,-1,-17,9,-14
121,-4,-8,-9,-8
122,-7,-12,-4,-9
123,-17,-7,7,-13
124,1,-13,-9,-4
125,-12,-1,-14,-5
126,-2,-23,14,-12
127,-4,-14,-2,-9
128,-1,-10,-7,-20
129,-8,-10,3,-17
130,-21,1,2,-13
131,-4,-13,4,-17
132,-1,-4,-6,-13
133,-6,-1,-4,-13
134,-7,-4,-9,-3
135,5,-21,-5,-10
136,-13,0,-6,-11
137,-11,0,-1,-18
138,-10,-13,2,-10
139,-9,-15,2,-17
140,-11,0,-11,-11
141,-3,-11,-3,-10
142,-7,-10,6,-18
143,-12,0,-13,-7
144,-10,-8,-8,-14
145,-10,-5,-14,-8
146,-5,-23,11,-16
147,-13,0,-17,-11
148,-7,-12,-3,-13
149,-11,7,-21,-8
150,-14,-2,-9,-13
151,-13,-4,-6,-16
152,-12,0,-19,-1
153,-11,-14,10,-15
154,-7,-9,-7,-11
155,-8,-9,-8,-11
156,-9,-2,-17,-12
157,-3,-16,7,-15
158,-8,-4,-2,-15
159,-13,-5,-12,-9
160,-6,-16,-6,-12
161,-10,-10,0,-18
162,-11,-10,-5,-9
163,-4,-15,-8,-6
164,-11,3,-24,-8
165,-7,-11,-1,-13
166,-13,0,-21,-7
167,-12,-4,-7,-13
168,-9,-14,-1,-9
169,-12,-8,-3,-13
170,-4,-22,2,-12
171,-18,4,-14,-6
172,-12,-1,-13,-5
173,-18,0,-6,-17
174,-15,-9,-8,-6
175,-9,-9,-4,-16
176,-14,-10,7,-17
177,-3,-18,0,-20
178,-7,-11,-8,-8
179,-7,-4,-9,-8
180,-9,-15,0,-10
181,0,-25,6,-23
182,-15,-1,-5,-15
183,-15,-5,-11,-7
184,-14,-18,8,-20
185,-7,-12,-1,-15
186,-10,0,-15,-10
187,-9,-6,-5,-14
188,-6,-11,-12,-13
189,-17,-10,4,-20
190,-5,-9,-13,-4
191,-14,-1,-16,-9
192,-7,-19,1,-16
193,-10,-11,-6,-10
194,-8,-7,-12,-10
195,-16,-2,-13,-9
196,-13,3,-30,-7
197,-17,3,-22,-5
198,-17,7,-13,-11
199,-8,-8,-12,-10
200,-13,2,-22,-4
201,-8,-6,-18,-6
202,0,-15,-8,-14
203,-5,-6,-15,-5
204,-10,-8,-10,-8
205,-9,-2,-8,-11
206,-11,-10,4,-13
207,-15,0,-5,-13
208,-10,-17,11,-21
209,-8,-4,-19,-8
210,-7,-14,7,-18
211,-11,-3,-6,-13
212,-7,-4,-9,-7
213,-2,-12,-1,-12
214,-6,-11,-7,-12
215,-1,-11,-4,-14
216,-2,-11,-4,-19
217,-10,-4,-7,-16
218,-24,10,-20,-12
219,-7,-16,3,-14
220,-8,-7,-3,-12
221,-11,-12,-8,-15
222,-14,4,-25,0
223,-10,-6,-5,-16
224,0,-12,-12,-6
225,-6,-20,4,-15
226,0,-27,4,-19
227,-16,0,-14,-13
228,-15,-2,-4,-14
229,-8,2,-12,-9
230,-20,7,-18,-5
231,-7,-9,-14,-11
232,-5,-28,10,-17
233,-7,-9,-9,-12
234,2,-27,11,-19
235,-9,-13,-5,-16
236,-11,-3,-14,-10
237,-11,-10,-7,-7
238,-5,-15,-2,-14
239,-10,-11,-16,-12
240,0,-20,-3,-15
241,-8,-5,-16,-6
242,-12,2,-19,-12
243,-14,-4,-9,-14
244,-8,-12,0,-13
245,-6,0,-18,-8
246,-6,-21,-1,-14
247,-21,4,-4,-12
248,-13,0,-13,-15
249,-7,-8,-7,-12
250,-5,-15,-3,-10
251,-9,-14,2,-16
252,-3,-15,5,-18
253,-18,0,1,-13
254,-8,-3,-13,-13
255,-11,-12,-4,-16
256,-24,9,-17,-6
257,-9,-14,-1,-12
258,-20,10,-15,-15
259,-19,5,-18,-12
260,-7,-13,-4,-19
261,-7,-7,-12,-13
262,-11,-3,-11,-9
263,-14,5,-22,-12
264,-2,-14,-1,-17
