Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,2,-8,9,-11
2,-9,17,-23,2
3,-8,13,-12,5
4,0,-2,-2,5
5,-5,11,-18,1
6,-10,7,2,-9
7,-10,7,-2,1
8,-5,0,-3,-1
9,-6,4,-3,0
10,-6,-1,2,-5
11,-6,13,-14,-2
12,3,-5,-6,0
13,0,-7,-2,-6
14,2,1,-7,0
15,-9,2,-11,-3
16,1,-6,0,-5
17,0,0,-13,7
18,-6,11,-11,-5
19,-5,-4,6,-3
20,-9,11,-17,0
21,-15,14,-10,0
22,0,-13,9,-7
23,-6,0,-7,-1
24,4,-24,23,-11
25,-8,8,-13,0
26,-16,14,-13,-1
27,-7,0,-5,-4
28,-10,6,-14,2
29,-6,13,-24,2
30,1,-16,11,-6
31,-10,8,-19,-1
32,-12,6,-10,-3
33,-7,-1,-5,-5
34,0,-7,-1,-3
35,-9,14,-22,4
36,-16,9,-6,-7
37,-10,3,0,-10
38,-8,2,1,-9
39,-4,0,-8,-4
40,-6,-7,6,-8
41,-3,-2,-3,0
42,-7,5,-10,-4
43,-4,9,-22,2
44,-13,12,-13,-1
45,-6,-4,0,-7
46,-4,-2,-2,-4
47,-5,1,-16,1
48,-12,5,-11,-3
49,-2,-4,0,-4
50,-10,9,-11,-6
51,-7,6,-22,1
52,-15,13,-19,0
53,-10,2,-7,-5
54,-16,8,-5,0
55,-23,24,-27,6
56,-2,2,-13,-8
57,-8,-12,13,-12
58,-7,0,-3,-2
59,-13,6,-15,3
60,-13,3,-8,0
61,-5,-3,-13,0
62,-2,-10,4,-4
63,-15,10,-18,1
64,-6,-5,-1,-2
65,-6,-6,0,-9
66,0,-24,18,-5
67,-5,-1,-8,1
68,0,-9,-1,-3
69,-4,-7,6,-14
70,-2,-2,-8,-5
71,-12,1,-7,-5
72,0,-17,7,-7
73,-11,10,-16,0
74,-8,-3,2,-9
75,-16,3,0,-8
76,-2,-12,7,-8
77,-5,-13,10,-9
78,-7,-3,-9,2
79,-13,0,-5,2
80,-12,3,-8,-6
81,0,-10,3,-13
82,-10,2,0,-10
83,-8,9,-14,11
84,-7,-5,3,-5
85,-6,-3,-11,-3
86,-12,7,-19,2
87,-11,4,-10,-6
88,-4,-1,-8,-1
89,-11,1,-9,-7
90,-6,2,-16,-3
91,-18,13,-27,6
92,-8,0,-15,0
93,-14,4,1,-6
94,-6,-2,-8,-1
95,-20,22,-21,0
96,-13,5,-17,-1
97,-5,-6,-4,-11
98,-12,8,-16,0
99,-3,7,-15,-3
100,-13,12,-27,3
101,-12,5,-7,-8
102,-5,0,-12,-10
103,-8,-2,-1,-7
104,-9,0,-6,-1
105,-13,-2,-9,0
106,-13,-3,6,-14
107,-12,-5,0,-8
108,-7,-2,-2,-6
109,-6,4,-10,0
110,-3,1,-7,-6
111,-14,12,-15,-1
112,-11,0,-4,-6
113,-9,-5,0,-8
114,-14,10,-12,0
115,-7,-4,-5,-13
116,-2,-10,-7,-3
117,-8,-2,-5,0
118,-12,3,-12,-3
119,-13,3,-6,-5
120,-10,-1,-2,-6
121,-16,11,-16,1
122,0,-16,4,-11
123,-7,-11,5,-7
124,-8,7,-11,-4
125,-10,0,-5,-10
126,-11,7,-16,-3
127,-13,15,-22,-3
128,-10,9,-20,-2
129,4,-20,5,-13
130,-11,6,-12,-7
131,-9,7,-15,1
132,-13,0,-3,-8
133,-12,12,-19,0
134,-5,-6,-12,-2
135,-6,7,-20,-4
136,-1,-17,1,-8
137,-8,1,-11,-2
138,-7,-2,-8,-6
139,-11,1,-17,-3
140,-10,3,-17,2
141,-14,2,-4,-9
142,-8,5,-9,-5
143,-16,8,-8,-4
144,-11,8,-12,1
145,-9,10,-19,0
146,-7,2,-12,4
147,-12,9,-20,0
148,-12,14,-24,2
149,-20,17,-23,-2
150,-2,-6,-8,-8
151,-7,-2,-12,-4
152,-7,-2,-7,-3
153,-11,5,-10,-1
154,-1,-16,0,-9
155,-13,0,-6,-3
156,-5,-3,-15,-1
157,-9,-5,0,-7
158,-12,-2,-4,-2
159,-12,4,-9,-6
160,-5,-3,-9,-4
161,-9,-7,-1,-5
162,-13,-3,-6,0
163,-9,3,-22,2
164,-14,3,-12,-8
165,-11,15,-32,6
166,-8,10,-28,-1
167,-4,-4,-8,-2
168,-11,7,-17,-2
169,-14,3,-8,-7
170,-8,8,-22,-4
171,-8,-1,-5,-5
172,-13,12,-15,-1
173,-10,-1,-9,-2
174,-15,12,-18,-4
175,-17,9,-16,0
176,-11,2,-13,-3
177,-16,24,-27,-5
178,-14,14,-16,-3
179,-7,5,-19,1
180,-11,10,-22,0
181,-5,-11,2,-8
182,-9,1,-10,0
183,-7,-6,-9,-2
184,-6,0,-8,-5
185,-19,17,-14,-5
186,-11,-3,-10,-5
187,-9,0,-16,-1
188,-10,10,-18,1
189,-11,1,-4,-7
190,-9,3,-10,-3
191,-8,11,-31,4
192,-6,0,-14,-1
193,-11,2,-17,-1
194,-7,-5,-2,-8
195,-8,0,-13,-2
196,-16,18,-30,2
197,-12,4,-21,2
198,-12,0,0,-13
199,-8,-1,-6,0
200,-4,-12,3,-4
201,-7,0,-4,-9
202,-15,12,-19,-3
203,-5,1,-15,-3
204,-6,3,-14,0
205,-5,-11,5,-2
206,-11,4,-14,-4
207,-10,-1,-8,-7
208,-6,-1,-2,-7
209,-2,-21,8,-10
210,-8,-3,-3,-10
211,-2,-10,-9,-2
212,-7,-9,-1,-3
213,-4,-6,-4,-4
214,-12,9,-14,-3
215,-5,-6,-6,-3
216,-9,-6,1,-8
217,-13,-2,-7,-13
218,-14,10,-16,-4
219,-13,5,-10,-8
220,-14,5,-17,-5
221,-9,0,-14,-1
222,-6,2,-24,-1
223,-7,-3,-10,-4
224,-10,1,-15,-2
225,-18,22,-25,-3
226,-7,1,-12,-7
227,-7,2,-18,-1
228,-6,-4,-4,-11
229,-6,-1,-17,-1
230,-12,9,-23,-3
231,-12,2,-15,-3
232,-10,-1,-9,0
233,-6,4,-21,0
234,-11,0,-6,-1
235,4,-8,-12,-3
236,-12,12,-17,-1
237,-11,-4,0,-10
238,-7,1,-12,-9
239,-9,0,-17,-1
240,-12,11,-19,-6
241,-4,1,-24,2
242,-13,12,-17,-4
243,-18,18,-22,-2
244,-6,4,-17,0
245,-11,1,-16,2
246,-6,-7,-5,0
247,-13,-4,-2,-9
248,-7,2,-15,-4
249,-8,2,-21,-1
250,-10,-3,-4,-3
251,-10,-7,1,-8
252,-8,10,-18,1
253,-5,-10,2,-3
254,-7,-2,-5,-8
255,-11,8,-10,-3
256,-5,1,-25,5
257,-6,-4,1,-10
258,-7,1,-19,0
259,-7,3,-15,0
260,-12,1,-14,-1
261,-14,1,-5,-10
262,-8,-9,0,-2
263,-9,-9,-3,-5
264,-9,4,-18,-8
265,-8,0,-17,-1
266,-9,0,-6,-6
267,-11,3,-11,-7
268,-11,8,-20,-1
269,-8,4,-13,-7
270,-7,10,-33,2
271,-1,-11,-11,0
272,-8,-4,-1,-4
273,-14,8,-12,-5
274,-1,-4,-18,-1
275,-17,15,-29,5
276,-7,3,-16,0
277,-15,15,-16,4
278,-13,9,-10,-4
279,-5,2,3,0
280,-5,15,-19,14
281,0,-2,10,-1
282,2,-2,0,-8
283,-13,8,-10,-3
284,-8,-6,0,-5
285,-14,3,0,-3
286,-9,2,-23,-4
287,-7,6,-19,0
288,1,-13,0,-3
289,-6,9,-12,1
290,-11,9,-12,-2
291,0,-10,-4,-1
292,-9,4,-8,-7
293,-12,2,-7,-8
294,-7,-12,3,-12
295,-6,-5,-8,-6
296,-2,-15,2,-8
297,-2,-13,1,-8
298,-11,3,-14,-1
299,-4,-2,-6,-9
300,-3,-15,1,-6
301,-14,-3,-8,-3
302,-1,-12,4,-4
303,-9,-1,-2,-7
304,-10,6,-21,0
305,-4,-3,-6,-6
306,-6,-1,-5,-11
307,-15,11,-16,-6
308,-9,5,-18,-2
309,-5,7,-26,3
310,-8,1,-11,-2
311,-14,4,-9,-3
312,-13,13,-18,-1
313,-6,-3,-11,-7
314,4,-10,-3,-7
315,-1,-8,-4,-2
316,-8,5,-15,-1
317,-14,7,-26,4
318,-6,0,-11,-4
319,-5,-11,2,-6
320,-8,3,-23,11
321,-10,7,-16,-4
322,-8,1,-7,-1
323,-13,7,-13,-2
324,-11,0,-7,0
325,-9,-2,-10,-2
326,-12,7,-19,0
327,-16,10,-21,-2
328,-10,-1,-9,-2
329,-12,3,-18,5
330,-5,-7,-3,3
331,-14,7,-16,-2
332,-15,14,-29,2
333,-7,2,-21,4
334,-11,12,-15,0
335,-5,-7,-4,-2
336,-8,1,-15,2
337,-3,-11,-4,0
338,-5,-4,-12,-5
339,-7,1,-15,0
340,-12,3,-22,4
341,-14,3,-18,7
342,-9,-7,-5,-1
343,-11,10,-27,6
344,-16,10,-17,6
345,-8,-1,-9,-6
346,-7,-5,-10,0
347,-7,-2,-12,0
348,1,-6,-14,5
349,-7,2,-23,9
350,-15,7,-13,-3
351,-13,11,-28,11
352,-6,5,-21,11
353,-4,2,-27,14
354,-15,27,-52,20
355,-15,5,-23,16
356,-13,7,-23,15
357,-9,-1,-22,12
358,-13,3,-19,10
359,-13,7,-25,17
360,-13,11,-27,18
361,-9,0,-14,10
362,-12,8,-25,18
363,-12,-2,-7,6
364,-17,12,-20,9
365,-17,7,-21,8
366,-18,9,-20,9
367,-14,4,-14,7
368,-13,13,-34,14
369,-8,7,-25,16
370,-15,15,-28,12
371,-13,7,-22,11
372,-17,9,-9,6
373,-10,13,-25,12
374,-1,9,-29,12
375,-15,4,-8,5
376,-15,22,-23,8
377,-12,0,0,7
378,-8,5,-18,8
379,-10,5,-14,4
380,-11,0,-3,0
381,-15,10,-28,8
382,-14,18,-30,9
383,-9,1,-17,11
384,-11,14,-25,10
385,0,-9,-3,3
386,-7,0,-6,3
387,-3,-1,-14,0
388,-8,12,-23,13
389,-9,2,-15,8
390,-4,3,-18,5
391,-15,10,-18,9
392,-10,10,-22,12
393,-10,6,-19,6
394,-20,24,-27,12
395,-9,-1,-11,4
396,-5,1,-26,16
397,-7,-4,-9,3
398,-15,11,-26,6
399,-23,31,-45,15
400,-27,29,-41,15
401,-15,10,-21,6
402,-9,-5,-1,3
403,-10,0,-6,3
404,-16,7,-12,7
405,-15,13,-24,14
406,-8,1,-16,7
407,-9,2,-18,8
408,-13,14,-29,19
409,-13,11,-16,9
410,-20,14,-22,15
411,-13,1,0,3
412,-15,4,-12,7
413,0,-8,-20,10
414,-18,17,-28,13
415,-11,8,-24,15
416,-7,2,-20,10
417,-15,4,-15,3
418,-6,0,-7,2
419,-14,19,-30,8
420,-9,2,-9,3
421,-9,10,-27,8
422,-8,3,-16,5
423,-16,0,-8,6
424,-8,4,-14,0
425,-5,-3,-16,8
426,-8,6,-21,7
427,0,-11,-5,0
428,-6,-1,-20,9
429,-17,7,-10,3
430,-6,3,-21,16
431,-10,9,-20,0
432,-11,1,-22,9
433,-23,15,-20,0
434,-13,7,-24,12
435,-13,7,-25,14
436,-8,0,-15,9
437,-8,11,-23,15
438,-12,4,-21,17
439,-4,6,-11,6
440,-19,30,-35,12
441,-10,23,-28,7
442,-8,0,-7,6
443,-3,5,-8,3
444,-19,16,-13,20
445,-4,-1,-8,9
446,-6,1,-10,9
447,-8,10,-16,10
448,-3,6,-29,15
449,-10,4,-16,14
450,-6,9,-20,11
451,-25,23,-32,17
452,-19,28,-41,22
453,-7,2,-17,13
454,-4,3,-16,12
455,-7,2,-25,18
456,-15,11,-14,15
457,-8,11,-23,16
458,-18,21,-34,21
459,-5,2,-18,17
460,-3,0,-5,7
461,-8,2,-15,10
462,-12,14,-28,21
463,-4,3,-22,14
464,-13,3,-13,15
465,-7,-3,-11,6
466,-10,-2,-8,4
467,-2,-2,-16,12
468,-7,7,-19,13
469,-10,9,-19,17
470,-11,7,-18,10
471,-7,-3,-6,12
472,-18,10,-17,5
473,-9,0,-12,9
474,-10,5,-13,3
475,-14,6,-21,19
476,-9,8,-24,12
477,-15,19,-29,17
478,-4,-6,-6,2
479,-12,2,-13,13
480,-16,3,-5,9
481,-14,20,-24,8
482,-6,-4,-5,6
