Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,6,-9,-1
2,-1,16,-24,5
3,-3,4,0,-1
4,-2,1,2,0
5,-6,5,-8,3
6,-4,8,-10,-4
7,1,-1,1,6
8,0,-9,3,0
9,2,-8,2,1
10,-5,2,-5,2
11,-3,0,-2,-6
12,-2,-1,-11,7
13,-1,-1,0,-8
14,-1,-3,-5,4
15,1,-4,1,0
16,-3,8,-17,0
17,-4,4,-12,6
18,-3,0,-10,4
19,3,-16,8,0
20,2,0,-10,3
21,-1,-4,2,-1
22,-4,0,2,2
23,-6,4,-7,4
24,0,9,-16,9
25,4,-7,-2,-1
26,2,-9,-2,4
27,0,-13,4,-3
28,-10,13,-14,2
29,-4,-1,-4,1
30,0,-5,-4,0
31,-2,-6,-3,3
32,-4,15,-31,10
33,-6,-6,4,-10
34,3,-10,1,-1
35,-13,16,-10,0
36,-9,17,-23,6
37,-6,-3,9,-5
38,-2,-10,6,3
39,-1,1,-10,6
40,1,-4,1,0
41,-1,-11,18,-6
42,2,-10,0,1
43,0,0,-12,2
44,-4,-2,1,-3
45,-1,6,-19,7
46,2,-11,1,0
47,-6,3,-10,3
48,-3,-5,-2,0
49,1,-3,-8,4
50,-6,13,-14,1
51,-3,-4,-1,-6
52,-13,10,-13,0
53,-1,-14,12,-2
54,-12,13,-14,3
55,4,-12,-4,-1
56,-11,10,-12,1
57,0,0,-19,5
58,-7,6,-16,2
59,5,-13,0,-1
60,0,-3,-5,5
61,9,-25,12,-7
62,-3,1,-4,-1
63,-7,-5,1,0
64,-10,3,1,0
65,1,-11,0,0
66,7,-8,-9,2
67,1,-8,-1,0
68,-10,9,-15,2
69,-5,0,-10,-1
70,0,-11,0,-1
71,-8,2,-13,0
72,0,-10,-6,1
73,-1,-6,-1,-1
74,1,-9,0,0
75,1,-5,8,-7
76,4,-9,-8,2
77,-7,0,-5,1
78,-4,5,-19,4
79,-5,6,-17,3
80,-2,-9,2,-5
81,-2,-20,14,-7
82,-13,6,-7,0
83,-4,-4,-3,0
84,-11,10,-15,3
85,-3,-5,2,-2
86,-12,14,-24,7
87,-6,0,-3,-5
88,-4,0,-4,-2
89,-9,2,-4,-2
90,-7,6,-17,0
91,-8,13,-24,1
92,4,-12,-6,2
93,-17,13,-20,1
94,-2,0,-10,0
95,-5,-3,2,-12
96,-8,0,-11,1
97,-5,-7,2,-4
98,1,-14,3,-3
99,0,-13,8,-2
100,0,-1,-16,0
101,1,-13,7,-10
102,-3,3,-20,-2
103,0,3,-23,4
104,-6,3,-14,4
105,-9,17,-26,5
106,-11,-7,10,-2
107,8,-22,15,-8
108,0,-5,-3,-3
109,-8,6,-10,1
110,-2,0,-10,0
111,0,1,-16,4
112,0,-11,0,-4
113,-6,-4,-4,-2
114,0,-19,11,-6
115,3,-15,3,-3
116,-6,10,-30,6
117,-3,1,-11,-1
118,-10,4,-14,1
119,-9,15,-27,6
120,-10,-1,-4,-2
121,-8,0,0,0
122,-4,6,-21,0
123,-6,-7,5,1
124,-2,-6,1,-5
125,-8,13,-14,0
126,-7,8,-10,0
127,-9,8,-19,2
128,-6,10,-25,9
129,-4,2,-3,-5
130,-12,15,-15,0
131,0,-15,8,-4
132,-3,-1,-3,-3
133,-10,0,-11,0
134,-8,1,-5,-4
135,-1,-7,-5,0
136,-10,-6,0,-1
137,-8,12,-24,7
138,-4,6,-19,1
139,-1,0,-8,0
140,-2,-8,-3,0
141,-5,-4,-5,1
142,-9,7,-19,3
143,-6,-2,-4,-1
144,-5,1,-12,1
145,-11,7,-23,3
146,1,-17,9,-5
147,-2,3,-18,4
148,-9,7,-15,0
149,-12,1,0,-4
150,-6,7,-17,-1
151,-2,0,-12,0
152,-3,1,-7,-3
153,2,-14,10,-7
154,-7,2,-14,5
155,4,-12,-8,0
156,-15,11,-18,-1
157,-1,2,-10,3
158,3,-4,-8,-3
159,-14,13,-19,3
160,-2,2,-4,-1
161,-7,0,-16,4
162,-3,-4,-4,0
163,-10,6,-11,0
164,0,-7,-13,1
165,-8,12,-20,4
166,-2,8,-34,9
167,-4,-9,0,-1
168,-5,-4,-6,0
169,-12,4,-19,0
170,-5,2,-15,-1
171,-9,-1,-10,-1
172,-1,-6,-5,0
173,-1,-2,-19,6
174,-7,0,-8,-4
175,0,-3,-10,-3
176,-9,5,-17,2
177,-2,-6,-5,-1
178,-1,-7,-10,1
179,-9,0,-8,-1
180,-17,11,-18,-4
181,-10,13,-12,-1
182,-7,6,-12,-2
183,4,-14,-2,-3
184,-9,12,-19,0
185,-13,8,-14,0
186,-1,-11,-4,-4
187,-4,6,-17,-1
188,-8,0,-14,0
189,-13,9,-13,0
190,-4,-10,0,-2
191,-6,8,-21,-2
192,-5,2,-7,-1
193,-4,1,-18,4
194,-8,5,-13,4
195,1,-2,-16,0
196,-7,3,-7,-1
197,0,-2,-7,1
198,-12,7,-5,1
199,-2,-4,1,-1
200,-9,5,-7,0
201,-7,10,-19,7
202,-4,0,-5,-2
203,-9,-5,0,-1
204,-9,2,-11,1
205,-7,-2,-3,0
206,-4,-5,-5,-5
207,0,-8,-6,1
208,-7,7,-17,1
209,-4,-5,-2,0
210,-9,0,0,-4
211,-7,-6,10,-13
212,-2,-15,4,-3
213,-14,14,-22,5
214,-2,7,-23,5
215,-6,-6,-1,-4
216,-6,-2,-8,1
