Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,4,-2,0
2,-1,-5,6,-5
3,9,-15,8,-4
4,0,-6,3,-2
5,3,-21,17,-3
6,-9,9,-4,0
7,2,-7,1,-2
8,5,-9,4,-2
9,0,-7,5,-7
10,2,-16,10,-6
11,3,-8,-1,-8
12,-7,2,6,-5
13,2,-3,-9,-2
14,-7,17,-18,6
15,6,-13,7,-7
16,1,-7,-3,-7
17,11,-22,13,-4
18,-8,1,-11,3
19,-3,1,-2,0
20,4,-20,8,-10
21,2,-2,-2,0
22,1,-12,8,-4
23,-1,-2,0,-3
24,0,-7,0,-3
25,-1,-8,7,-3
26,-1,-4,1,-5
27,3,-25,14,-7
28,4,-13,6,-3
29,2,-6,-1,-4
30,-6,0,1,-4
31,-9,6,-8,-3
32,-5,-3,1,-4
33,-4,4,-14,0
34,-5,-9,6,-5
35,2,-16,0,0
36,-4,11,-27,3
37,4,-4,0,2
38,5,-14,3,-1
39,-5,-5,-4,0
40,6,-25,24,-13
41,4,-21,16,-13
42,-1,-7,-3,-2
43,0,-11,0,0
44,2,-10,-3,-6
45,-3,1,-9,-7
46,-8,12,-24,5
47,-2,-2,-3,-5
48,0,-14,3,1
49,-1,-1,-2,-1
50,3,-21,14,-3
51,0,-11,0,-4
52,-11,8,-12,0
53,1,-21,11,-7
54,-4,-3,-3,-1
55,-9,-1,-2,-3
56,-1,-8,-3,-7
57,0,-6,-2,0
58,0,-3,-7,-4
59,-1,-9,-2,0
60,-3,-3,-6,1
61,1,-18,12,-10
62,-3,-9,6,-6
63,-8,7,-14,1
64,-1,-8,2,0
65,0,-5,-6,2
66,-10,1,-9,-2
67,-1,-9,7,-1
68,-2,3,-12,2
69,4,-15,9,-7
70,-3,1,-8,-4
71,3,-17,17,-6
72,0,-21,21,-7
73,0,-10,3,-2
74,3,-19,13,-7
75,2,-18,15,-11
76,-5,-3,0,-7
77,5,-16,5,-1
78,-4,-10,0,-1
79,0,-13,-2,-1
80,-2,-12,7,-11
81,-10,3,-6,-4
82,6,-3,-18,5
83,-6,9,-12,-4
84,-2,3,-6,-4
85,0,-19,15,-12
86,-2,-6,0,-5
87,-1,-11,-2,0
