Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,2,-8,5
2,3,-2,-4,-1
3,-2,4,-19,1
4,9,-10,-3,0
5,3,-16,11,0
6,2,-3,1,2
7,0,5,-7,1
8,9,-8,4,-3
9,-6,3,-5,5
10,3,-5,0,0
11,-5,2,-12,3
12,5,-11,1,3
13,0,3,-4,0
14,-2,-6,0,2
15,0,-4,-3,1
16,-7,0,7,0
17,-5,1,-9,3
18,0,-8,8,-5
19,-3,-1,-1,-1
20,-2,-2,-8,8
21,-11,3,-4,3
22,-3,-6,3,-5
23,6,-17,11,-1
24,-6,9,-11,1
25,3,-13,6,-3
26,-4,10,-15,3
27,-6,4,-8,6
28,7,-10,-2,4
29,0,-5,0,-2
30,0,0,-6,4
31,0,-5,1,-5
32,-1,-5,5,-3
33,11,-19,7,-7
34,-1,-7,-2,2
35,2,-12,5,-3
36,-5,-5,-1,-2
37,-7,-4,4,-7
38,-3,-8,12,-13
39,-9,3,-2,0
40,-9,14,-11,0
41,4,-20,17,-9
42,-6,0,0,-3
43,0,-10,2,1
44,6,-14,-2,1
45,0,-6,4,2
46,-4,-1,-2,-1
47,6,-10,-3,4
48,-5,0,-6,1
49,-6,6,-18,4
50,4,-12,0,-4
51,0,-2,-5,-2
52,-8,7,-13,-1
53,-5,-3,-5,-8
54,2,-5,-7,1
55,-7,7,-10,-1
56,5,-4,-12,0
57,4,-12,0,-4
58,2,-7,-10,3
59,0,-14,8,-9
60,-4,-4,0,-1
61,5,-20,12,-13
62,7,-16,0,0
63,-6,2,-6,0
64,-7,-7,10,-7
65,0,3,-16,1
66,-1,-2,3,-2
67,-3,7,-14,-3
68,0,-2,-3,-8
69,-7,0,2,-2
70,-3,-17,9,-5
71,-6,4,-7,-3
72,-3,-1,1,-7
73,-4,14,-17,-4
74,-5,1,-6,3
75,1,-8,4,-8
76,-5,1,-6,-3
77,0,1,-5,-7
78,-6,0,-2,0
79,0,-4,0,-7
80,1,-10,-2,-2
81,-2,-2,-6,-2
82,2,-1,-11,4
83,0,-3,-2,-7
84,-8,-5,0,-4
85,0,-6,-1,-5
86,-2,-4,-2,-4
87,-3,-6,-4,-1
88,4,-1,-12,0
89,2,-6,0,-3
90,-7,-4,-1,-1
91,-5,1,-7,-5
92,0,-1,-6,-3
93,0,-2,-8,-5
94,-6,-1,2,-7
95,-9,-1,1,0
96,-3,-6,4,-4
97,7,-24,15,-14
98,-4,0,-15,3
99,-4,-6,10,-9
100,-6,-8,4,-3
101,-5,-7,1,-1
102,-3,-15,17,-14
103,0,-5,-5,0
104,-8,-4,-5,2
105,-14,16,-18,0
106,1,-8,-8,7
107,2,-6,-17,6
108,-3,5,-16,1
109,-8,6,-11,-2
110,-3,-7,0,0
111,-8,5,-15,2
112,4,-5,-7,4
113,9,-23,7,-4
114,-5,-13,12,-8
115,-9,-3,7,-3
116,0,-7,7,-5
117,-6,6,-12,5
118,-3,-10,0,-6
119,0,-19,6,-2
120,3,-14,-5,8
121,-3,4,-13,0
122,-8,6,-18,2
123,-5,-3,-5,-8
124,-6,-2,-5,-9
125,-14,5,-8,3
126,-10,11,-19,4
127,-6,1,-14,-1
128,3,-10,-9,-3
129,-4,5,-16,7
130,-6,1,-7,1
131,-11,3,-9,0
132,1,-11,-1,-1
133,-8,-5,4,-4
134,-2,-2,-8,3
135,-2,-4,-2,-4
136,-10,8,-15,-8
137,0,-8,2,-1
138,-6,-13,12,-1
139,-2,-2,-14,2
140,-9,-2,-8,4
141,-7,4,-4,-7
142,-5,0,-2,1
143,-1,-15,4,-2
144,-8,-5,2,-5
145,-3,-8,-8,6
146,-2,-11,8,-4
147,0,-5,-4,-4
148,-9,4,-12,0
149,-13,13,-34,2
150,-4,-8,-7,-2
151,-2,-5,-8,3
152,-7,-1,-4,4
153,-12,2,-12,0
154,-8,-3,2,-4
155,-5,0,-6,0
156,-13,8,-7,-3
157,2,-23,13,-6
158,1,-11,-7,5
159,-8,8,-21,3
160,-5,-9,7,-7
161,-5,-2,-7,-2
162,-5,-7,-4,-7
163,-13,10,-26,3
164,-8,2,-11,0
165,0,-7,5,-6
166,-12,0,-10,0
167,-2,-5,-3,-1
168,-1,-10,9,-9
169,-7,-10,4,-5
170,-2,1,-16,-2
171,-11,0,-4,-7
172,-8,9,-24,6
173,2,-13,-4,-2
174,-1,-8,-7,0
175,-12,0,-1,2
176,6,-18,8,-5
177,-4,-13,11,-4
178,-14,18,-25,3
179,-1,-13,-3,-3
180,0,-18,13,-10
181,-1,-10,5,-5
182,-11,9,-11,4
183,-1,-7,-2,-1
184,-2,-13,10,-5
185,-2,-7,-4,-4
186,0,-13,2,-5
187,-5,-12,8,-8
188,-10,2,-6,-4
189,1,-12,-1,-2
190,-2,-7,-3,-6
191,0,-8,8,-9
192,-8,-3,0,0
193,-1,-11,-3,0
194,-6,2,-5,-1
195,-4,0,-10,-2
196,2,-14,11,-5
197,0,-6,-9,3
198,0,-6,0,-1
199,-1,-1,-13,2
200,-9,0,-9,-2
201,0,-15,4,-3
202,-2,-12,7,-8
203,-3,1,-11,0
204,-4,-11,0,0
205,-3,-16,5,0
206,-2,-9,6,-7
207,-13,4,-13,2
208,2,-23,13,-7
209,-8,-8,5,-4
210,-4,0,-15,0
211,-8,-1,-10,0
212,-3,3,-9,3
213,-16,11,-11,1
214,0,-16,5,-4
215,1,-11,-3,-4
216,1,-8,-4,-1
217,-1,-11,-2,-2
218,0,-15,1,-4
219,0,-6,-2,2
220,1,-11,6,-6
