Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-9,-2,-1
2,0,-9,14,-5
3,-7,0,-1,0
4,-7,9,2,-5
5,-2,-3,4,-4
6,2,-20,27,-7
7,0,-8,2,-3
8,1,-10,14,-10
9,-6,0,0,-2
10,5,-4,-1,-6
11,1,-9,2,-2
12,-17,16,-11,-2
13,3,-6,3,0
14,-4,6,-1,0
15,6,-15,8,-7
16,-2,7,-11,2
17,-5,1,-8,1
18,-2,-10,9,-3
19,-6,3,3,-4
20,1,-4,-15,1
21,-5,2,1,-6
22,-9,11,-14,6
23,3,-2,-6,3
24,-1,-1,-3,3
25,3,-7,6,-5
26,2,4,-2,1
27,-4,5,-5,3
28,4,-10,4,-2
29,-3,5,-13,4
30,8,-15,9,-1
31,-8,0,11,-10
32,1,-6,2,-2
33,-2,-3,4,0
34,1,-9,4,-2
35,-1,2,-6,-2
36,0,-7,-2,0
37,-10,8,-13,3
38,-11,7,-6,-4
39,3,-19,16,-5
40,3,-7,4,-4
41,-5,-5,3,-8
42,0,-1,3,0
43,0,-10,6,-7
44,-1,-2,-3,-7
45,-4,-3,-4,1
46,0,-10,13,-9
47,-9,3,-11,4
48,4,-11,0,-7
49,-6,4,-7,-5
50,-6,4,-9,-3
51,0,-9,2,-9
52,-5,-8,7,-6
53,-12,4,-2,-7
54,-1,-9,13,-15
55,-1,-8,4,-3
56,-9,0,2,-9
57,-4,9,-18,0
58,-7,-4,2,-9
59,1,-2,0,-6
60,-10,6,0,-6
61,-2,-14,11,-11
62,1,-14,11,-10
63,-10,0,0,-7
64,-1,-1,-4,-5
65,0,-7,-7,-5
66,2,-12,11,-10
67,-6,-6,0,-4
68,-8,-1,-11,2
69,-10,2,-5,0
70,-15,11,-12,-1
71,-3,-14,10,-10
72,0,-10,6,-11
73,-5,-2,-1,-10
74,0,-12,4,-11
75,-3,-16,12,-9
76,0,-1,-11,-4
77,-5,-1,-7,-3
78,-1,-7,-3,-1
79,-5,2,-6,-3
80,-4,0,0,-6
81,-17,16,-19,1
82,-13,8,-8,-2
83,-1,-10,-1,-6
84,2,-10,-4,-1
85,-10,-5,12,-13
86,-6,-9,8,-10
87,-10,8,-11,-5
88,0,-5,-6,0
89,-7,-3,5,-10
90,-8,-1,-2,-5
91,-10,10,-17,0
92,-2,-18,14,-9
93,-11,6,-17,0
94,-4,-5,-2,-6
95,-2,-5,-1,-3
96,-12,5,-12,-3
97,2,-21,11,-10
98,-13,-4,-8,-3
99,-6,2,-11,-2
100,-2,-9,6,-7
101,-3,-7,-1,-6
102,0,-5,-5,0
103,-3,-6,-1,-2
104,-5,0,-16,-5
105,-4,-8,-1,-8
106,-3,-10,3,-8
107,1,-17,9,-12
108,-6,0,-13,0
109,-15,-2,-1,-6
110,-5,0,-15,6
111,-6,-4,-7,-3
112,-6,0,-5,-5
113,-11,0,2,-6
114,-4,-5,-3,0
115,-6,-9,1,-4
116,-9,3,0,-13
117,-5,-15,11,-8
118,-17,8,-12,3
119,-2,-17,0,-8
120,-9,-2,-1,-3
121,-5,0,-8,-5
122,-13,-2,3,-7
123,-3,-15,7,-12
124,-7,2,-10,1
125,-12,5,-8,-1
126,-7,2,-10,-6
127,-2,-7,5,-10
128,-12,2,-5,-2
129,-10,2,-8,-1
130,-3,-8,-10,4
131,-5,-16,14,-11
132,-14,-1,-2,-2
133,-2,-12,11,-11
134,-1,-4,-7,3
135,-11,0,1,-8
136,-18,15,-13,0
137,2,-15,20,-12
138,-2,-16,8,-1
139,-2,-7,-12,2
140,-5,-11,6,-12
141,-1,-19,12,-7
142,-10,-1,-8,3
143,-8,-10,9,-8
144,-3,-6,-8,-4
145,-1,-8,0,-2
146,1,-12,3,-6
147,-21,11,-12,-2
148,-11,-7,3,-4
149,-13,4,-16,-1
150,-16,12,-21,1
151,-5,-21,3,0
152,-6,-9,6,-5
153,1,-22,12,-7
154,-9,-4,6,-7
155,-14,2,-1,-6
156,-8,-5,-2,-3
157,-13,10,-13,0
158,-7,-5,-9,-1
159,-9,1,-10,0
160,-10,-5,0,-6
161,-4,-12,1,-11
162,-10,-2,-15,-1
163,-7,-13,2,-7
164,-8,-5,-11,3
165,-7,-8,-9,1
166,-4,-11,0,-6
167,-3,-11,0,-8
168,-2,-12,5,-10
169,0,-13,0,-3
170,-9,13,-21,0
171,-5,-8,-7,-8
172,-7,2,-4,-8
173,-14,-8,4,-5
174,-11,4,-16,-3
175,-4,-11,6,-6
176,-11,0,2,-2
177,-10,-4,-11,0
178,-3,-13,0,-11
179,-8,-6,-3,-7
180,-19,7,-4,-2
181,-12,0,-7,-5
182,-7,-8,-1,-4
183,-2,-5,-13,0
184,-2,-15,8,-4
185,-2,-2,-13,1
186,-7,0,-8,-8
187,-5,-8,6,-14
188,-3,-12,10,-14
189,2,-10,0,-2
190,-1,-26,22,-9
191,-14,2,-4,-3
192,0,-17,1,-7
193,-10,-2,-4,-9
194,-2,-10,0,-11
195,-7,-3,-3,-1
196,-10,4,-12,-1
197,-6,-10,9,-8
198,-5,-9,0,-9
199,-7,1,-2,-7
200,-4,-4,5,-11
201,-4,-20,17,-11
202,-7,-3,2,-7
203,-15,0,-1,2
204,-10,4,-8,-3
205,-2,-3,-5,-2
206,1,-15,5,-8
207,1,-15,1,-4
208,-11,1,0,-11
209,-12,6,-11,-5
210,-10,1,0,-3
211,-16,-2,-3,-8
212,-1,-17,1,-1
213,-9,1,-10,-7
214,-3,-13,5,-6
215,-16,9,-12,-1
216,-6,2,-6,-8
217,-6,-9,1,-8
218,-9,-8,8,-8
219,-12,-10,6,-2
220,-1,-26,21,-16
221,-2,-13,-4,-1
222,-7,-12,9,-7
223,-9,-7,3,-10
224,0,-15,5,0
225,-14,-3,9,-11
226,0,-20,12,-6
227,-5,-7,-1,-4
228,-5,-7,5,-8
229,-6,-1,-3,-6
230,-10,1,-12,1
231,0,-16,4,-3
232,-11,-11,11,-10
233,3,-19,12,-12
234,-11,-1,-1,-7
235,-6,-1,-9,-3
236,-6,-3,-4,-9
237,-4,-3,1,-4
238,1,-22,8,-6
239,-8,2,-14,1
240,-13,-1,-1,-6
241,-11,6,-18,5
242,-5,-10,1,-4
243,-4,-3,-2,-7
244,-14,5,-8,-4
245,-8,-6,0,-2
246,-5,0,-14,-6
247,-17,4,4,-8
248,-10,-5,1,-7
249,-6,-6,-14,2
250,-6,-9,3,-5
251,-9,-10,1,-1
252,-8,-3,-6,-4
253,-16,7,0,-8
254,-12,1,-4,-2
255,0,-20,14,-13
256,-6,-8,-2,-7
257,-12,15,-29,-1
258,2,-10,-4,-7
259,-1,-11,0,-8
260,-3,-11,1,1
261,-11,1,-3,-3
262,-6,-3,-10,-2
263,-10,-2,1,-3
264,-2,-25,17,-11
265,-8,-3,-1,-5
266,-8,-7,0,-8
267,-1,-17,12,-16
268,-4,-9,6,-11
269,-10,-6,-2,0
270,-5,-6,-5,-9
271,-4,-6,0,-4
272,-7,-6,1,-8
273,-20,18,-23,5
274,-6,-8,-3,-8
275,-5,-15,11,-10
276,-1,-12,10,-14
277,-12,-11,2,-7
278,-3,-8,-3,-7
279,-6,-9,1,-11
280,-15,-1,-2,-5
281,-7,-2,-1,-5
282,-11,0,2,-3
283,0,-6,-10,3
284,-1,-7,-9,1
285,-12,0,-3,-3
286,-8,-6,0,5
287,-6,-10,6,-4
288,0,-19,14,-9
289,-9,-9,6,-8
290,-2,-12,0,0
291,-11,2,-10,1
292,-1,-3,-13,0
293,-8,5,-16,4
294,-2,-8,-1,0
295,-9,-4,0,-4
296,5,-12,-2,0
297,-4,-16,5,-5
298,-13,4,-8,7
299,-9,5,-18,0
300,-5,-13,10,-7
301,-21,9,-16,1
302,-13,1,-4,0
303,-1,-22,12,-9
304,-19,7,-18,8
305,-15,0,-10,-4
306,-14,7,-9,4
307,-15,10,-19,-1
308,-8,3,-11,0
309,-5,-5,-1,-2
310,-10,-2,-4,-3
311,-4,-14,5,-8
312,-11,-3,6,-4
313,-7,-4,-9,-3
314,-15,4,-3,-6
315,0,-16,6,-4
316,-15,9,-20,7
317,-7,-15,10,-6
318,-8,-4,0,-4
319,-5,-7,-5,1
320,-8,-11,1,-3
321,-13,-3,-8,-1
322,-14,-2,-11,2
323,-19,6,-9,4
324,0,-26,12,-2
325,-3,-19,8,-2
326,-8,-1,-7,-4
327,-7,-10,-2,3
328,0,-16,2,3
329,-10,8,-21,5
330,0,-8,-4,0
331,-11,2,-3,0
332,-12,2,-7,3
333,-18,12,-17,9
334,-4,-12,-6,14
335,-2,-2,-12,15
336,-7,-3,-8,16
337,-13,6,-23,15
338,-17,9,-12,13
339,-11,0,-12,12
340,-13,3,-5,6
341,-6,-8,0,4
342,-10,5,-19,10
343,-14,0,-7,9
344,-1,-20,2,8
345,-11,-5,-8,10
346,-7,-8,-6,9
347,-13,16,-21,12
348,-18,3,-2,4
349,-9,-1,-5,5
350,-9,-6,-2,3
351,-12,0,-9,9
352,-10,-6,6,2
353,-13,-17,17,0
354,-7,-9,-2,10
355,-8,-6,-2,2
356,-10,-3,-4,5
357,-5,-4,-13,13
358,-4,-8,-4,8
359,-11,1,-3,3
360,-8,-11,10,7
361,-7,2,-7,12
362,-16,14,-25,15
363,-8,-7,-2,6
364,-14,10,-20,11
365,-12,4,-14,15
366,-6,-16,15,-6
367,-14,3,-18,14
368,-12,9,-27,13
369,-11,7,-15,7
370,-10,0,-13,9
371,-7,0,-1,-1
372,-8,-7,-8,6
373,-2,-10,-5,9
374,-13,0,-1,5
375,-8,0,-9,4
376,-5,-3,-3,5
377,-13,13,-17,10
378,-14,3,-4,4
379,-4,-9,-7,11
380,-17,8,-17,8
381,-13,-12,5,0
382,-10,-8,0,1
383,-17,8,-18,8
384,-4,-1,-14,9
385,-7,-1,-7,12
386,-16,14,-29,16
387,-7,-4,-10,6
388,-15,5,-14,11
389,-5,8,-25,11
390,-12,7,-11,7
391,-10,0,-11,12
392,-12,-5,-10,7
393,-9,-11,0,3
394,-12,-3,-15,6
395,-11,3,-14,6
396,-18,11,-17,6
397,-11,0,-5,8
398,-11,0,-4,10
399,-5,-7,-1,2
400,-6,-8,0,4
401,-14,5,-17,7
402,-7,-11,-6,7
403,-14,-4,-6,4
404,-6,-7,-1,2
405,-14,-5,0,3
406,-5,-4,-7,9
407,-14,4,-6,5
408,-12,11,-19,9
409,-10,5,-17,12
410,-10,0,-13,6
411,-7,0,-3,4
412,-11,-6,1,-2
413,-5,-5,1,0
414,-21,17,-16,4
415,-10,-4,-2,7
416,-5,-13,3,-1
417,-13,2,-11,4
418,-9,4,-14,17
419,-13,12,-12,17
420,-5,7,-21,16
421,-7,0,-1,5
422,-11,5,-1,6
423,-10,-1,2,3
424,-1,-9,2,0
425,-4,1,-12,8
426,-10,-1,-2,2
427,-9,1,-4,8
428,-3,-4,0,4
