Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-10,13,-14,-4
2,0,-11,18,-4
3,-5,4,-9,3
4,-4,-14,18,-3
5,-3,0,-1,0
6,0,-5,4,-2
7,-6,2,-1,0
8,-8,3,-2,-3
9,0,-1,3,-2
10,-2,-2,-5,1
11,-1,6,-8,-1
12,2,-13,3,-4
13,-11,-2,2,0
14,0,-5,0,-6
15,4,-16,13,-5
16,-3,-2,0,0
17,5,-8,3,-9
18,1,-2,-5,-4
19,5,-2,-5,-1
20,-5,2,-4,-4
21,0,-5,1,-6
22,-10,6,-9,2
23,-4,0,1,-4
24,-1,-6,-2,0
25,6,-14,2,-9
26,-9,6,-9,-1
27,-5,2,-3,-1
28,-5,9,-8,-1
29,-2,-6,-3,-6
30,5,-12,2,-7
31,-7,-2,2,0
32,-9,10,-15,1
33,4,-17,17,-10
34,3,-13,10,-12
35,-6,-3,0,-7
36,-5,1,-2,-5
37,0,-4,-6,-2
38,-4,0,-9,0
39,-10,7,-12,0
40,0,-8,1,1
41,-4,-20,10,-6
42,0,-16,16,-13
43,-2,-15,7,-10
44,-8,7,-19,1
45,1,-10,0,-6
46,-5,0,-5,-1
47,-9,3,-12,0
48,3,-19,6,-3
49,-12,-3,-1,-5
50,0,-13,0,-8
51,-12,16,-24,-1
52,-9,0,-8,0
53,-10,6,-21,-8
54,-9,-3,-3,-6
55,-2,-16,11,-5
56,4,-13,1,-11
57,-2,3,-6,-7
58,1,-12,6,-11
59,-6,0,0,-4
60,0,-7,2,-7
61,-13,3,-18,2
62,-21,19,-23,1
63,-9,-2,1,-10
64,-7,0,-8,-2
65,-3,-8,0,-11
66,-3,-9,-1,-9
67,-7,0,-16,0
68,-7,-2,-5,-8
69,-2,-1,-14,-2
70,-1,-15,11,-10
71,-2,3,-17,0
72,-18,6,-4,-8
73,-2,-8,-6,-5
74,-11,5,-10,0
75,-12,9,-19,0
76,0,-20,13,-14
77,-4,-5,-7,-5
78,-2,-17,6,-11
79,4,-18,2,-9
80,-16,7,-10,-4
81,-13,11,-17,0
82,-5,1,-9,-4
83,-18,10,-18,1
84,-8,-3,-7,-11
85,-4,-7,0,-9
86,-9,1,-14,-4
87,-2,-14,6,-13
88,0,-21,6,-10
89,-1,-7,-4,-11
90,-3,-1,-18,-3
91,-9,2,-9,-8
92,3,-24,10,-12
93,-12,-2,-7,-8
94,1,-10,-5,-13
95,-2,-8,-12,-1
96,-6,-3,-2,-12
97,2,-8,-4,-7
98,0,-22,11,-14
99,-8,-11,3,-13
100,-11,-10,4,-16
101,-6,-13,7,-14
102,-13,3,-10,-5
103,-8,-3,-13,-5
104,-24,11,-17,0
105,-3,-20,9,-17
106,0,-21,1,-7
107,-9,4,-7,-12
108,-14,8,-13,-5
109,-12,1,-10,-7
110,-9,-9,-3,-13
111,-20,9,-10,-6
112,-7,-2,-10,-8
113,-10,0,-7,-10
114,-7,-1,-9,-8
115,0,-2,-15,-4
116,-6,-8,8,-19
117,-9,-3,-7,-7
118,-10,0,-8,-7
119,-2,-8,-2,-12
120,-5,0,-20,-2
121,-1,-23,16,-23
122,-9,-3,-2,-11
123,-2,-9,-14,-2
124,-21,14,-18,-8
125,-10,-6,-1,-14
126,-6,-3,0,-7
127,-1,-11,0,-14
128,-1,-8,-9,-2
129,-9,0,-13,-7
130,-3,-6,-6,-3
131,-7,-4,-6,-11
132,-11,4,-16,-5
133,-2,-19,-7,-4
134,-14,-6,2,-16
135,-9,1,-10,-8
136,-15,6,-18,-4
137,-10,-1,-5,-10
138,-4,-6,-9,-4
139,-11,-2,-11,-7
140,-8,1,-23,-7
141,-11,-12,-2,-9
142,-14,-8,5,-15
143,-6,-9,-4,-3
144,-20,1,-11,-5
145,-8,-11,-9,-7
146,-6,-9,-8,-8
147,-1,-8,-17,-6
148,-7,-11,-1,-12
149,-13,-3,-21,-6
150,-13,3,-21,-11
151,-14,-1,-16,-6
152,-4,-16,-6,-11
153,-13,1,-19,-3
154,-17,5,-15,-9
155,-11,0,-18,-8
156,-19,-5,0,-14
157,-16,-3,-10,-5
158,-15,4,-14,-4
159,-9,-9,-15,-8
160,-11,-3,-18,-6
161,-7,-9,-12,-4
162,-15,2,-20,-5
163,-10,-4,-15,-11
164,-6,-18,-3,-8
165,-7,-9,-12,-9
166,-14,0,-18,-7
167,-18,-2,-4,-11
168,-19,9,-25,-2
169,-13,-1,-8,-17
170,-14,-8,-12,-3
171,-12,-15,-5,-7
172,-21,3,-14,-7
173,-13,-1,-19,-12
