Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-1,0,2,-4
2,3,-2,2,-3
3,-7,-1,2,-7
4,-3,9,-7,1
5,0,-3,0,0
6,-4,14,-12,1
7,5,-3,0,-6
8,2,-5,-9,6
9,3,-7,3,-6
10,1,0,-4,-4
11,0,-3,7,-9
12,0,2,-4,2
13,-10,4,-5,6
14,-5,1,-6,-1
15,0,0,1,-5
16,0,-6,-1,4
17,-3,-6,9,-4
18,0,0,0,-1
19,-10,2,8,-2
20,1,-4,1,-4
21,-3,3,-4,-4
22,3,-5,0,-4
23,-6,-19,22,-8
24,1,-2,5,-3
25,-4,3,-2,-3
26,-3,1,0,-2
27,1,0,-7,0
28,-6,-8,4,1
29,4,-6,-5,-2
30,-4,0,-13,2
31,8,-19,15,-11
32,-7,2,2,-6
33,-1,-1,-6,2
34,-3,-6,2,-7
35,-2,6,-6,-6
36,6,-15,5,-8
37,0,-2,-12,-2
38,-7,3,-13,3
39,-1,-9,6,-7
40,-10,9,1,-6
41,-12,12,0,-7
42,9,-20,9,-11
43,-6,2,-6,0
44,-1,-5,-5,2
45,2,-18,20,-14
46,-6,9,1,-5
47,4,-10,5,-7
48,-7,0,4,-7
49,-2,-7,0,-1
50,-5,7,-13,-5
51,-1,-9,1,-6
52,-3,5,-9,-1
53,-3,-3,0,-4
54,-4,-11,10,-3
55,-6,-1,-9,0
56,-11,7,-3,-6
57,-8,9,-14,-3
58,0,-2,-6,-8
59,-6,-8,17,-12
60,1,-11,4,-3
61,-7,0,-5,-2
62,-8,6,-4,-4
63,-2,-5,4,-6
64,-1,-2,-8,-6
65,-2,-3,-2,-6
66,-12,6,-6,-2
67,-9,4,-5,-4
68,-12,13,-14,-6
69,-23,12,2,-8
70,-8,8,-18,0
71,-8,-2,2,-5
72,0,-15,22,-17
73,-10,0,5,-4
74,-7,0,-5,-9
75,0,-8,6,-5
76,0,2,-9,-6
77,-11,13,-14,0
78,-2,-7,3,-13
79,7,-12,4,-6
80,-1,4,-14,-4
81,-5,-8,7,-8
82,2,-8,-14,3
83,-2,-7,-5,-9
84,-6,-4,0,-6
85,-4,4,-11,-1
86,-7,3,-6,-1
87,-9,3,-4,-6
88,-8,-6,-2,-11
89,-9,3,2,-9
90,-7,-5,3,-10
91,-9,3,-2,-6
92,-7,0,-2,-2
93,-10,-3,4,-8
94,-6,-5,8,-14
95,2,-19,21,-9
96,-4,2,-12,1
97,-6,4,3,-7
98,-10,11,-7,-4
99,-3,-4,9,-5
100,-7,-6,19,-15
101,-11,6,-13,1
102,-11,0,-1,-8
103,-1,2,-14,3
104,-7,-4,-4,-6
105,-5,-2,-8,-5
106,0,-14,12,-8
107,-3,-5,5,-6
108,-11,-2,3,-9
109,-18,9,-9,-3
110,-2,2,-8,1
111,-10,16,-10,-4
112,-9,-1,-2,-2
113,-3,-4,5,-1
114,0,0,-7,0
115,-7,-3,0,-5
116,2,0,-5,-7
117,-11,11,-8,-5
118,0,-13,4,-1
119,-4,4,-3,-1
120,-5,2,-3,-3
121,-10,7,-7,-3
122,-2,-1,-5,1
123,-6,3,-11,0
124,-2,-5,-1,-8
125,-7,4,-4,-4
126,-6,7,-2,-9
127,-4,-2,-1,0
128,-7,0,-11,1
129,-7,0,-2,-6
130,-8,3,-7,1
131,0,-10,-1,-3
132,-4,-7,-1,-3
133,-8,7,-8,-2
134,-10,1,3,-8
135,-3,-3,-9,0
136,-6,-2,-2,-1
137,0,-14,11,-10
138,0,-2,-10,-2
139,-6,-3,0,-8
140,-10,11,-18,1
141,-9,0,0,-10
142,1,-7,-1,-4
143,-5,-11,12,-7
144,-4,-6,6,-6
145,-7,-10,11,-13
146,-5,-3,9,-13
147,-4,-8,5,-7
148,-1,-16,12,-14
149,-16,9,-15,-6
150,-4,-5,9,-6
151,-9,1,0,-11
152,-2,-10,7,-10
153,-6,-3,-5,-2
154,-2,-10,5,-5
155,1,-13,6,-15
156,-5,-12,13,-13
157,-9,-5,12,-3
158,-7,-10,15,-10
159,-5,-6,12,-9
160,-7,-3,4,-10
161,-8,8,-11,-7
162,-6,-5,-3,-4
163,-3,-9,5,-13
164,-10,-7,3,-10
165,-9,-13,13,-11
166,-13,9,-20,4
167,-8,-4,2,-6
168,-10,9,-14,2
169,-9,7,-15,-2
170,-2,-14,11,-12
171,-8,-13,10,-12
172,-7,2,-14,-6
173,-1,0,-7,-5
174,0,-10,-2,-2
175,-10,2,-3,-9
176,-17,1,4,-13
177,-10,-2,4,-13
178,-10,8,-16,-1
179,0,-12,5,-10
180,1,-7,-5,-3
181,-1,-19,17,-15
182,0,-14,11,-14
183,-9,1,0,-6
184,0,-15,9,-7
185,-9,-10,9,-6
186,-9,1,0,-11
187,-9,-2,4,-9
188,-7,-4,0,-2
189,-2,-18,21,-9
190,-3,-5,3,-5
191,-2,-6,7,-10
192,-4,-4,-6,-3
193,0,-8,-2,-7
194,-5,1,-3,-10
195,0,-10,1,-9
196,-4,-7,3,-11
197,-2,-1,0,-4
198,-9,-2,0,-6
199,-12,4,2,-10
200,-10,-5,11,-11
201,0,-11,9,-8
202,-4,1,-3,-6
203,-2,-1,4,-7
204,-7,6,-16,4
205,-5,-4,5,-7
206,-8,0,6,-4
207,-15,-4,8,-3
208,-5,-3,5,-7
209,-11,0,-5,0
210,-2,-3,0,-3
211,-6,6,2,-6
212,0,-7,7,-9
213,-1,-2,2,-3
214,-5,0,-10,-3
215,-4,-7,3,-6
216,-3,-7,6,-5
217,-3,-8,16,-17
218,-6,-8,11,-4
219,2,-4,1,-3
220,-1,-12,4,-5
221,-8,9,-10,3
222,-5,-3,6,-2
223,-2,-13,11,-7
224,-1,-6,12,-13
225,-1,-5,2,-1
226,2,-21,13,-4
227,-12,5,1,-4
228,-6,-2,4,-9
229,-3,-2,-8,1
230,-10,-1,1,-8
231,-7,-7,3,-7
232,-4,0,-2,0
233,-14,0,1,-6
234,-7,6,-6,-4
235,-8,-7,0,-7
236,1,-2,-5,-2
237,-2,-9,6,-3
238,-9,-10,9,-7
