Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,6,-12,2,-3
2,17,-32,21,-5
3,1,-6,3,-8
4,6,-14,17,-12
5,4,-9,2,-1
6,0,-6,13,-5
7,-3,8,-6,-1
8,0,0,-8,0
9,0,1,-3,1
10,1,-8,3,-5
11,0,-8,3,0
12,8,-13,0,-2
13,-2,0,-1,-1
14,1,-11,10,-4
15,-5,4,-10,0
16,13,-13,-1,1
17,7,-9,1,-4
18,-2,-4,15,-10
19,2,-11,18,-9
20,11,-27,14,-5
21,6,-20,5,-3
22,-5,6,-6,5
23,7,-14,11,0
24,7,-21,24,-13
25,0,-10,10,-7
26,7,-6,-10,0
27,-5,7,2,-6
28,0,-15,22,-9
29,-5,6,-14,3
30,1,-7,-4,0
31,1,-9,8,-10
32,-1,-4,4,-7
33,-1,-4,-3,-5
34,1,-12,14,-6
35,3,-8,-4,-4
36,-3,-7,0,-11
37,-5,2,-4,-1
38,1,11,-23,0
39,6,-14,11,-7
40,0,-4,14,-9
41,3,-15,10,-5
42,-6,3,0,-6
43,-2,4,-4,-7
44,-2,-13,19,-11
45,2,-4,5,-7
46,3,-7,-3,-3
47,-3,-7,16,-11
48,1,-13,2,-2
49,-4,-7,4,-5
50,7,-9,-5,-1
51,0,4,-10,2
52,-11,20,-23,-1
53,1,-5,-8,-8
54,-6,8,-10,-2
55,-8,7,-11,-2
56,-3,-1,-2,-5
57,-3,-2,0,-10
58,-2,-1,-4,-9
59,2,-11,15,-8
60,9,-26,22,-12
61,-1,-11,2,2
62,-5,7,-10,-2
63,2,-12,6,-10
64,-3,-4,0,-1
65,1,1,-14,0
66,0,1,-18,0
67,-2,4,-7,-4
68,-5,7,-20,4
69,5,-19,8,-6
70,3,-19,4,-7
71,-3,-5,6,-8
72,-2,-14,7,-4
73,1,-12,4,-7
74,1,-6,-6,-2
75,0,-9,2,-8
76,1,-12,0,-1
77,-2,-9,2,0
78,0,-4,1,-4
79,3,-7,2,-4
80,-3,1,-15,9
81,13,-28,21,-12
82,-6,0,-8,-1
83,-6,12,-16,-2
84,3,-8,-1,-2
85,6,-7,-2,-4
86,6,-9,4,-8
87,2,-9,6,-6
88,2,-4,-2,-3
89,4,-16,6,-3
90,0,-11,11,-5
91,-7,3,-9,2
92,-3,0,5,-4
93,-2,-5,0,-5
94,0,-5,-2,-2
95,-4,-11,18,-14
96,6,-25,17,-8
97,-3,-4,-10,2
98,-2,-1,-12,0
99,-5,-5,3,-3
100,-6,13,-19,5
101,-2,-7,3,-7
102,0,-18,14,-11
103,-8,-5,1,-10
104,-2,-9,1,-8
105,2,-6,-9,-4
106,3,-15,3,-3
107,6,-25,14,-11
108,-3,-5,2,-3
109,-5,-4,0,0
110,-3,6,-10,-1
111,0,-17,6,-6
112,1,-12,15,-12
113,0,-19,9,0
114,3,-17,15,-3
115,-3,-2,8,-14
116,0,-7,-2,-4
117,0,-12,1,-2
118,3,-6,0,-4
119,-3,-11,7,-3
120,4,-17,7,-9
121,-1,-7,4,-9
122,3,-21,12,-14
123,4,-28,7,-5
124,-12,9,-20,0
125,3,-16,5,-5
126,-6,-2,-3,-3
127,-2,-13,16,-9
128,6,-14,12,-12
129,3,-10,-8,1
130,-5,-10,10,-8
131,1,-21,21,-17
132,2,-19,10,-8
