Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,6,-18,9,-3
2,-13,8,0,1
3,-7,7,-11,2
4,5,-12,2,-3
5,1,-7,5,-8
6,0,-17,20,-6
7,-5,4,-5,-3
8,-1,5,-6,0
9,-1,-9,5,0
10,-5,-5,4,0
11,1,-7,-4,13
12,-6,2,0,0
13,-1,-11,15,-9
14,-1,-6,-1,-2
15,0,0,-7,3
16,0,-7,2,0
17,0,-7,7,-5
18,-5,-2,-3,-4
19,-5,8,-12,0
20,-3,2,-6,2
21,1,-12,4,-4
22,0,-10,0,-1
23,-2,-6,10,2
24,8,-17,14,-3
25,-8,-3,0,0
26,-1,-16,13,0
27,9,-22,16,-5
28,2,-18,6,-4
29,-2,-12,5,-4
30,3,-9,-2,3
31,3,-19,18,-13
32,-15,12,-8,2
33,-2,-5,-4,-1
34,0,-7,-2,-2
35,-3,-5,1,0
36,-1,-3,-5,-1
37,1,-16,7,-4
38,0,-18,16,-4
39,2,-15,11,-8
40,0,-8,1,0
41,3,-9,6,-1
42,-4,-7,4,-4
43,0,-11,3,-6
44,-4,3,-6,-3
45,0,-15,15,-5
46,1,-8,4,0
47,-7,-2,4,-6
48,3,-8,0,-4
49,-1,-1,-10,-3
50,0,-7,0,-1
51,0,-3,0,-4
52,-10,9,-26,5
53,0,-2,-18,-3
54,0,-9,-2,1
55,-3,0,-12,1
56,-1,-4,-12,0
57,-11,7,-8,-2
58,-1,-6,1,-8
59,4,-21,10,-2
60,0,-26,24,-9
61,0,-20,21,-11
62,-10,-3,2,-5
63,-5,1,0,-9
64,-1,-6,2,-5
65,-1,-5,-4,-5
66,-1,0,-11,1
67,-5,-4,-5,-2
68,-3,-3,4,-11
69,0,-6,-2,-5
70,-4,-7,5,-10
71,-5,-1,-9,-1
72,-1,-2,-8,-2
73,-6,-2,8,-4
74,3,-18,10,-13
75,-5,-1,2,-7
76,-2,-10,-4,0
77,3,-14,0,-6
78,5,-1,-10,1
79,8,-25,15,-6
80,-11,0,-2,-2
81,0,-17,10,-8
82,-3,-11,6,-7
83,2,-5,-7,-8
84,-8,-4,1,-3
85,-11,-6,16,-15
86,-4,-14,3,0
87,-8,0,-2,0
88,-18,16,-10,-7
89,0,-10,5,-7
90,-2,0,-14,5
91,-6,1,-7,2
92,-4,-2,-3,3
93,-5,-1,-3,-3
94,-1,-5,2,-6
95,-2,-15,16,-9
96,4,-20,10,-5
97,-8,-4,0,-3
98,3,-28,22,-19
99,-5,-10,5,-10
100,-7,-10,7,-8
101,0,-8,10,-4
102,-5,-4,0,-3
103,-7,3,-16,3
104,-7,-9,6,-8
105,-5,-9,-1,-3
106,-4,-7,7,-7
107,-14,8,0,-7
108,-9,0,-7,0
109,-5,0,2,-6
110,-8,13,-20,-1
111,-13,9,-6,0
112,8,-23,18,-13
113,-7,-4,10,-7
114,1,-13,0,-5
115,-3,-19,15,-10
116,1,-15,10,-7
117,-5,-6,0,-3
118,-10,2,6,-9
119,-4,-2,-4,2
120,-5,-4,1,-8
121,-8,-15,11,-5
122,-10,0,2,-6
123,-3,-19,27,-13
124,-6,-4,0,-4
