Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-12,12,-2,2
2,2,-4,4,-3
3,0,0,-3,-9
4,-7,7,-6,-4
5,5,-5,-1,0
6,7,-15,14,-8
7,1,-2,1,-9
8,0,0,-4,3
9,-4,-8,11,-5
10,1,-3,-5,3
11,0,0,-7,2
12,4,-11,4,-10
13,-5,-2,4,-3
14,0,-2,3,-9
15,8,-21,16,-8
16,0,-14,0,0
17,6,-19,12,-8
18,2,-14,7,-6
19,-9,1,8,-13
20,0,-24,19,-5
21,-2,-19,23,-10
22,-7,7,-10,-2
23,5,-13,5,-10
24,5,-5,-1,-3
25,-8,-3,9,-9
26,-13,-3,4,-8
27,-1,-6,-2,-3
28,-3,-3,7,-6
29,0,-5,2,-3
30,-9,-1,4,-11
31,-6,-9,13,-6
32,6,-12,16,-9
33,0,-14,9,-8
34,-7,1,-2,-2
35,7,-18,9,-10
36,-7,-5,5,-7
37,-5,-1,7,-11
38,4,-18,16,-17
39,-1,-21,27,-9
40,3,-19,18,-8
41,-3,-5,4,-6
42,0,-12,17,-12
43,-9,4,-3,-8
44,-6,-9,21,-15
45,1,-13,7,-4
46,-6,-14,23,-13
47,4,-10,4,-10
48,4,-2,1,-2
49,3,-17,0,-8
50,-5,-6,4,-11
51,-7,-9,10,-8
52,-1,-3,2,-11
53,-5,-3,-3,-4
54,-7,-4,1,-3
55,-2,-14,11,-10
56,-4,-2,-6,0
57,-3,-6,0,-3
58,-3,0,-3,-4
59,-1,-12,11,-13
60,-1,-12,17,-12
61,2,-14,13,-11
62,6,-16,5,-1
63,0,-6,0,-1
64,-10,13,-12,-4
65,-4,-10,4,-9
66,-8,0,0,-5
67,-7,1,-5,-6
68,1,-9,0,-7
69,-4,-10,10,-9
70,-1,-6,0,-10
71,1,-10,5,-10
72,-5,-5,7,-13
73,4,-10,4,-5
74,-8,-6,-1,-6
75,0,-14,15,-10
76,2,-22,14,-8
77,-4,-6,7,-10
78,-2,-14,8,-4
79,4,-19,14,-8
80,-8,-1,2,-5
81,-4,-6,6,-2
82,-1,-6,0,-9
83,-11,13,-21,-2
84,-8,-10,8,-6
85,-8,1,-8,-3
86,-8,0,-2,-7
87,-3,-12,15,-14
88,0,-5,-1,-14
89,1,-18,10,-12
90,4,-14,5,-9
91,4,-13,8,-10
92,-8,-1,5,-4
93,3,-15,11,-6
94,6,-17,1,-9
95,0,-13,8,-9
96,-7,5,-2,-9
97,2,-17,22,-12
98,-5,-9,11,-12
99,0,-14,15,-9
100,-1,-14,1,-2
101,-8,-5,3,-8
102,-11,1,5,-10
103,-9,11,-11,-6
104,-6,-4,-3,-4
105,-6,-7,1,-9
106,-1,-15,15,-14
107,-7,0,-1,-9
108,-6,13,-21,0
109,-5,-13,10,-3
110,-5,0,-7,-8
111,-3,0,-5,-7
112,1,-17,13,-13
113,-6,-5,4,-5
114,-10,1,2,-8
115,-8,-8,5,-4
116,-6,-6,11,-11
117,-4,-3,4,-5
118,-9,2,-4,-4
119,-5,-4,0,-4
120,-4,-5,-2,-7
121,2,-26,29,-15
122,-2,-9,8,-3
123,1,-3,-9,-1
124,2,-11,1,-2
125,-3,-9,10,-10
126,-2,-10,0,-1
127,-7,-10,11,-11
128,0,-25,19,-6
129,-11,0,-1,-7
130,-3,-14,14,0
131,4,-19,10,-8
132,-13,8,-5,-5
133,-7,2,-9,0
134,-5,-12,4,-3
135,-13,13,-20,0
136,-9,-3,5,-15
137,-6,-1,-1,-7
138,2,-26,16,-5
139,2,-21,19,-9
140,-3,-9,3,-9
141,1,-15,6,-10
142,-1,-11,8,-5
143,-3,-12,10,-11
144,0,-9,-5,-5
145,4,-23,11,-10
146,2,-22,23,-16
147,-5,-11,10,-11
148,-9,0,-6,-4
149,6,-16,-1,-7
150,6,-29,15,-12
151,-16,8,-10,0
152,-7,-5,4,-8
153,4,-15,12,-16
154,-1,-15,9,-2
155,0,-20,19,-12
156,-7,-3,1,-7
157,5,-19,11,-7
158,-3,-6,-5,-5
159,-3,-15,10,-8
160,-3,-12,5,-9
161,-7,5,-10,2
162,0,-13,12,-20
163,0,-1,-17,0
164,-2,-1,-11,0
165,1,-21,5,0
166,1,-23,10,-7
167,-5,-10,6,-10
168,1,-22,16,-13
169,-8,0,2,-2
170,1,-11,-3,-2
171,-6,-6,6,-11
172,-14,6,-3,-6
173,-1,-8,3,-9
174,0,-11,1,-9
175,-1,-9,9,-4
176,0,-16,12,-12
177,3,-21,16,-13
178,-10,-3,1,-13
179,0,-7,-6,-9
180,7,-28,18,-16
181,0,-23,15,-9
182,-7,-17,23,-14
183,-10,3,-9,-2
184,6,-26,19,-10
185,-5,0,-5,-5
186,-2,-8,0,-7
187,3,-25,28,-15
188,-8,-6,4,-6
189,-3,-16,20,-14
190,-5,-5,3,-12
191,-11,4,-4,-6
192,-2,-11,8,-12
193,2,-6,-1,-8
194,0,-18,14,-12
195,-3,0,-2,-12
196,-4,-5,-11,1
197,-3,-11,3,-9
198,-4,-11,1,-9
199,-1,-19,18,-9
200,-4,-7,0,-7
201,-1,-17,10,-8
202,-8,-1,0,-17
203,-8,-14,20,-15
204,-8,0,2,-13
205,0,-13,4,-8
206,-12,0,5,-11
207,-1,-10,-3,-6
208,-10,-3,9,-13
209,-3,-13,-1,-10
210,-3,-20,12,-14
211,-10,-3,-6,-6
212,3,-29,30,-19
213,-6,-10,7,-8
214,-3,-21,19,-16
215,-8,0,0,-8
216,-7,-16,12,-15
217,-3,-9,0,-13
218,1,-17,15,-14
219,1,-16,1,-3
220,0,-18,17,-11
221,-13,13,-10,-4
222,5,-17,15,-15
223,-10,1,-1,-3
224,-7,1,8,-5
225,1,-12,21,-10
226,5,-11,12,-7
227,1,-19,22,-4
228,-12,8,1,-5
229,-1,7,-11,2
230,2,-8,6,-1
231,-5,-5,16,-6
232,-1,-4,11,-2
233,-16,12,0,-10
234,3,-10,13,-7
235,6,-19,20,-11
236,0,-6,7,-2
237,-3,-2,-3,2
238,-4,0,-4,-1
239,-8,-2,0,-4
240,-5,-2,0,-2
241,-8,0,0,-7
242,1,-14,7,-5
243,-3,-4,-4,1
244,7,-27,16,-6
245,-2,-12,1,-3
246,-5,-4,-8,0
247,3,-9,8,-15
248,-1,-15,18,-9
249,-2,-10,4,-12
250,-6,1,-5,1
251,-2,-3,0,0
252,1,-18,12,-8
253,-2,-9,6,-7
254,0,-17,14,-5
255,1,-9,0,-10
256,-12,11,-10,-1
257,-11,0,-12,-2
258,-7,-2,-5,0
