Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-11,10,-4
2,8,-24,22,-12
3,0,2,-5,-8
4,2,-10,14,-4
5,-1,1,7,-10
6,-3,-6,6,-5
7,-5,-2,-5,4
8,1,-10,9,-3
9,2,-13,15,-6
10,-2,-6,5,-6
11,0,-4,4,-1
12,7,-17,16,-11
13,-6,-5,2,-3
14,0,-5,-1,1
15,-4,-2,11,-13
16,2,-3,4,-4
17,1,-10,7,-8
18,-8,7,-8,2
19,-8,1,-3,0
20,-11,5,0,-5
21,-6,2,0,-9
22,0,-4,6,0
23,2,-13,12,-8
24,2,-8,6,-1
25,-6,-2,0,-7
26,0,1,-15,0
27,-5,-1,-5,-2
28,0,-10,7,-4
29,3,-17,13,-3
30,7,-21,13,-9
31,4,-17,17,-13
32,6,-20,9,-1
33,-8,3,1,-6
34,-6,2,-10,-4
35,-7,2,-13,1
36,-9,2,-9,-1
37,0,-11,5,-12
38,-2,-1,-5,-9
39,-1,4,-2,-8
40,-5,3,0,-3
41,-3,-7,15,-11
42,-6,-4,3,-2
43,-2,-11,0,-5
44,-1,-11,6,-6
45,1,-5,4,-7
46,4,-17,17,-9
47,3,-19,18,-20
48,-7,1,12,-21
49,-8,4,-8,-1
50,-2,-1,-8,-3
51,0,-8,3,-11
52,-13,20,-26,0
53,-10,11,-15,-7
54,1,-12,9,-3
55,3,-21,14,-6
56,-18,23,-20,1
57,-5,0,-7,-6
58,-1,-12,16,-14
59,-4,-2,4,-8
60,-5,-2,7,-13
61,0,-11,6,-4
62,-4,0,-1,-7
63,-3,-5,3,-7
64,-5,-4,0,-5
65,-6,-8,15,-18
66,-10,15,-25,4
67,-4,3,-9,-1
68,0,-13,6,-6
69,-7,-8,5,-6
70,-4,0,-9,4
71,-7,4,-12,0
72,4,-22,17,-11
73,-4,-11,16,-15
74,-17,18,-13,-5
75,-3,-6,0,-5
76,1,-20,5,-10
77,-6,11,-11,-4
78,-4,-8,7,-9
79,-7,-3,0,-7
80,-9,3,-9,3
81,-3,0,4,-10
82,1,-6,7,-11
83,-7,-1,1,-3
84,-17,0,8,-10
85,1,-11,5,-5
86,-6,3,-12,-6
87,-3,-5,6,-9
88,1,1,-18,2
89,0,-11,7,-10
90,-2,-6,5,-10
91,-2,2,-8,-6
92,-6,0,5,-5
93,-8,1,-3,-2
94,-10,9,-7,-5
95,-6,-9,16,-12
96,4,-19,19,-6
97,-2,-5,2,-7
98,-9,-6,-3,-5
99,0,-12,11,-10
100,4,-22,19,-9
101,-1,-9,11,-10
102,-4,-2,-4,3
103,-3,-14,6,-4
104,-6,4,-12,0
105,4,-11,-4,-3
106,2,-9,-2,-3
107,0,0,-6,0
108,-12,5,-7,-7
109,3,-12,6,-6
110,-12,4,0,-9
111,-11,-5,4,-10
112,-1,-11,3,-1
113,-1,-16,11,-1
114,-9,2,0,-8
115,-3,-2,-1,-8
116,-9,-3,10,-14
117,-6,2,-9,0
118,0,0,-9,-3
119,0,-9,2,-7
120,10,-22,13,-9
121,7,-21,17,-9
122,-4,-16,22,-12
123,-2,0,-3,-7
124,-3,-6,-5,-7
125,-1,-7,4,-5
126,-4,-3,-8,-4
127,0,-10,-2,-3
128,-9,-4,-1,-2
129,-10,0,-6,-8
130,-7,-7,0,-5
131,-6,-6,-1,-4
132,-9,-3,-4,-2
133,-5,-7,-1,-6
134,0,-22,9,-10
135,-5,-6,1,-4
136,-7,2,-12,-4
137,0,-8,3,-10
138,-5,-2,6,-11
139,2,-18,-3,-9
140,0,-19,4,-8
141,-8,2,-5,-4
142,1,-12,1,1
143,2,-23,20,-10
144,-2,-9,0,1
145,-11,4,-4,-4
146,-9,1,3,-6
147,-7,-10,9,-4
148,1,-16,4,-10
149,-14,14,-16,-6
150,-5,-6,2,-12
151,-1,-6,0,-7
152,-4,-11,6,-11
153,-4,-2,-1,-4
154,-5,-6,10,-16
155,-6,-6,0,-8
156,1,-17,5,-4
157,-14,14,-10,1
158,-3,5,-16,-3
159,-7,-5,2,-9
160,-2,-9,7,-12
161,-7,4,-3,-4
162,-6,-1,-11,-7
163,-8,1,-5,-9
164,-7,-3,11,-19
165,-5,-13,17,-11
166,-11,0,-1,-9
167,-7,-9,9,-13
168,-7,-1,5,-9
169,-9,0,-1,-12
170,-1,-9,-2,-7
171,-3,-10,-4,-9
172,-10,4,-9,-5
173,-5,-8,0,-9
174,-15,9,-8,-2
175,-5,-8,11,-12
176,-4,1,-3,-9
177,-3,-6,9,-16
178,-9,1,0,-10
179,-5,-1,2,-9
180,-2,-15,8,-7
181,-10,3,-13,1
182,-2,-11,8,-16
183,-5,3,-4,-1
184,0,-14,14,-10
185,-6,-4,-1,-7
186,-12,12,-11,-5
187,-15,7,1,-7
188,-5,-8,9,-11
189,3,-19,11,-11
190,3,-19,8,-15
191,2,-22,16,-10
192,-13,7,-8,-7
193,3,-13,9,-13
194,4,-18,10,-14
195,0,-15,0,-8
196,-10,-5,4,-7
197,-2,-10,12,-18
198,4,-16,7,-15
199,-5,-17,18,-14
200,-7,-7,16,-18
201,-6,3,3,-5
202,-3,-7,1,-10
203,-3,-8,5,-11
204,-3,-4,-5,-9
205,-11,0,2,-10
206,3,-9,1,-4
207,-8,11,-8,-8
208,-1,-15,16,-13
209,8,-12,-2,-15
210,-5,0,-7,-5
211,-9,-3,3,-7
212,3,-1,-9,-1
213,-8,6,5,-7
214,5,-11,8,0
215,0,0,0,4
216,0,2,4,0
217,1,0,-1,5
218,2,-7,21,-4
219,10,-14,8,1
220,-2,-3,3,0
221,-6,8,-10,3
222,-2,-6,18,-8
223,-3,3,-5,5
224,-9,4,-2,-5
225,-6,-13,26,-14
226,2,-17,15,-13
227,0,-12,8,-1
228,1,-10,3,0
229,0,-12,13,-6
230,-10,0,-6,-6
231,7,-24,19,-10
232,-4,-7,-2,-1
233,-5,-4,4,-8
234,-2,-14,12,-3
235,1,-10,1,-4
