Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,5,-14,10
2,0,0,-6,4
3,0,-8,9,-10
4,2,-10,14,-3
5,-2,3,-11,-2
6,0,-13,7,-1
7,-2,-1,2,-1
8,-5,8,-8,0
9,0,0,-6,5
10,-7,4,-10,0
11,-6,15,-19,6
12,-4,7,-7,3
13,2,-1,-2,2
14,5,-16,8,-4
15,1,2,-3,0
16,-2,4,-3,2
17,0,-12,11,-5
18,1,-6,6,-5
19,0,0,0,-3
20,-13,7,-15,3
21,5,-17,19,-12
22,-2,-7,4,2
23,-3,-7,11,-8
24,0,-6,1,-6
25,5,-3,-11,4
26,0,-6,1,0
27,0,-6,-1,-1
28,-6,6,-9,4
29,-10,8,-11,0
30,-7,-1,4,-6
31,-7,2,-4,-3
32,1,-4,-1,-1
33,-6,6,-6,-3
34,-7,2,-4,-3
35,0,-4,1,-1
36,-8,-3,-4,-5
37,-5,1,-2,-2
38,1,1,-10,0
39,0,-5,-8,4
40,2,6,-8,2
41,1,-6,2,-3
42,-7,0,1,-2
43,1,-1,3,-4
44,6,-8,-5,0
45,-2,1,0,-3
46,-9,-6,8,-3
47,5,-17,9,-3
48,0,-12,10,-14
49,-8,2,-7,4
50,-6,5,-13,-1
51,0,-4,-4,6
52,-2,-6,-3,0
53,0,0,-22,0
54,-1,-4,-7,0
55,-7,-4,6,-2
56,-10,10,-17,4
57,-5,1,-13,1
58,-11,-7,8,-6
59,-3,0,2,-8
60,0,-7,1,-9
61,-9,0,8,-11
62,-10,4,-13,2
63,-2,0,-1,-3
64,-7,3,-5,-2
65,-8,-2,-2,-4
66,1,-9,2,-3
67,4,-13,4,-10
68,0,-9,0,-6
69,-8,-2,-4,-3
70,-3,-2,-4,-8
71,5,-17,0,-5
72,-13,12,-20,0
73,-1,-5,-7,-4
74,0,-9,5,-9
75,1,-8,-1,-5
76,-1,-2,-6,-4
77,-7,8,-11,-1
78,-1,-10,7,-5
79,-3,1,-9,-3
80,-5,2,-13,-3
81,0,-6,0,-3
82,2,-4,-12,-1
83,0,-14,6,-11
84,-6,-3,-3,-6
85,-3,-2,-1,-5
86,5,-14,2,-7
87,-7,-4,-3,-6
88,-11,19,-32,4
89,-3,-9,3,-4
90,0,4,-24,8
91,0,-8,1,-11
92,-8,1,-7,0
93,-3,-4,-4,-8
94,0,-7,-6,0
95,-3,-13,10,-3
96,-1,-5,4,-8
97,0,-3,1,-6
98,-10,8,-11,-10
99,4,-12,4,-11
100,-3,0,-6,0
101,-7,7,-9,-1
102,-3,-8,3,-9
103,-13,9,-15,0
104,-5,2,-14,4
105,-4,6,-10,-3
106,-12,3,-3,-3
107,-4,-2,-2,-8
108,-4,5,-12,-3
109,-5,1,-1,-8
110,-7,5,-10,-5
111,-4,-9,-7,0
112,0,-10,4,-7
113,4,-9,7,0
114,0,-14,3,-1
115,0,-12,-2,0
116,-10,2,1,-2
117,-5,6,-10,-1
118,-3,-8,5,-4
119,-3,-9,5,0
120,0,-6,-5,1
121,0,0,-3,-2
122,-7,0,2,-4
123,-6,-1,3,-2
124,0,-8,4,-7
125,-7,0,-4,-10
126,-7,2,-15,-1
127,-4,-8,4,-7
128,-9,7,-10,4
129,0,-5,-5,-1
130,-9,-6,11,-5
131,-5,-10,7,-6
132,-5,0,-2,-5
133,-6,9,-18,0
134,0,-19,11,-9
135,-9,8,-16,-1
136,-2,-4,-9,0
137,0,-5,0,-7
138,0,-16,15,-5
139,0,-6,-11,0
140,-7,7,-15,2
141,-3,-11,4,-9
142,0,-6,-1,-2
143,-1,-11,7,-9
144,-9,-1,-10,-1
145,-2,6,-22,7
146,1,-15,8,-8
147,-9,3,-20,2
148,0,-13,0,-6
149,-10,2,-6,-7
150,-6,4,-9,-5
151,2,-19,6,-3
152,-5,2,-13,4
153,-7,0,6,-7
154,7,-24,19,-11
155,-3,8,-19,2
156,0,-13,7,-5
157,0,-5,-8,-1
158,4,-9,2,-10
159,-9,2,-4,-5
160,-5,2,-4,-1
161,8,-10,-7,-1
162,-6,-3,-1,-7
163,-9,0,-6,-5
164,-10,0,-2,-1
165,-5,-7,8,-11
166,0,-7,0,-6
167,0,-10,4,-6
168,2,-7,-1,-1
169,-7,2,-4,-8
170,3,-4,-17,6
171,-17,5,-4,-5
172,-3,-3,-10,-7
173,0,-21,7,-10
174,4,-28,23,-18
175,5,-23,18,-13
176,0,-12,1,-7
177,-15,15,-19,-2
178,0,-2,-12,-2
179,-1,-5,-3,-2
180,-6,-7,8,-4
181,-2,1,-13,-5
182,0,-4,-8,-2
183,-4,-8,-6,0
184,-16,0,5,-13
185,-5,-8,3,-10
186,-6,-12,7,-2
187,1,-20,18,-15
188,-3,-2,-5,-6
189,-4,-8,8,-4
190,-3,-12,7,-12
191,-5,0,3,-5
192,3,-11,2,-7
193,-6,-4,-9,-4
194,2,-15,8,-4
195,0,-3,-13,-3
196,-2,3,-13,-3
197,-1,-4,-4,-6
198,-9,1,-10,-1
199,-18,19,-21,0
200,0,-14,5,-5
201,-1,-13,1,-5
202,0,-12,9,-13
203,-2,-11,0,-8
204,-9,0,-4,-8
205,-2,-9,-9,-2
206,0,-16,2,-5
