Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-6,3,-7
2,0,-3,2,-7
3,-4,-2,-1,1
4,-6,-7,10,-10
5,-9,8,-9,4
6,-6,-1,-2,5
7,2,-8,7,-4
8,0,-7,0,-3
9,4,-4,0,-5
10,9,-22,15,-5
11,-2,-2,-3,0
12,-5,1,-2,1
13,5,-9,-2,-5
14,-1,-2,6,-1
15,0,-8,13,-13
16,-3,2,0,-9
17,-4,-8,8,2
18,0,1,5,-4
19,-4,-12,17,-9
20,-5,-2,4,-8
21,2,-6,4,-1
22,-8,-2,10,-4
23,0,7,-13,7
24,3,-7,5,0
25,-5,-7,14,-9
26,-1,-3,-2,0
27,-7,-1,0,0
28,0,1,1,-7
29,-1,0,-8,5
30,0,-3,1,-4
31,-12,17,-8,-1
32,-10,4,-1,-4
33,-8,4,-10,-1
34,-8,-2,11,-11
35,-3,-7,-3,-3
36,1,-12,-2,0
37,-6,2,-8,-4
38,-6,-3,5,-5
39,-6,0,0,-5
40,3,-13,10,-10
41,4,-23,21,-8
42,-7,2,-4,-1
43,-5,0,-6,3
44,3,-13,7,-12
45,-8,5,-7,-1
46,0,-7,9,-5
47,-11,18,-15,-1
48,-2,-10,6,-6
49,-4,-22,26,-16
50,-1,-1,-5,2
51,-4,-6,1,-5
52,-8,-12,14,-8
53,-2,-2,0,-2
54,1,-17,23,-12
55,6,-13,12,-13
56,0,-8,11,-10
57,-1,-3,-2,-1
58,-8,5,-14,5
59,-2,-6,9,-7
60,-8,6,-2,-7
61,69,-222,305,105
62,2,-16,17,-6
63,-3,0,5,-8
64,-13,4,2,-5
65,0,-11,4,-6
66,0,-9,8,-8
67,-4,-5,11,-11
68,-5,-7,0,-4
69,0,-12,13,-15
70,5,-18,10,-9
71,-2,-8,11,-11
72,-3,-16,24,-6
73,-8,-8,12,-8
74,-4,-7,5,0
75,-10,2,6,-6
76,-2,-4,3,-5
77,0,-13,15,-12
78,1,-12,3,0
79,-3,-1,-2,-7
80,-11,9,-3,-2
81,-7,-5,9,-8
82,-9,-1,1,0
83,-3,-4,1,-7
84,-4,-5,9,-6
85,-8,7,-4,-8
86,-9,9,-3,-6
87,-4,-13,4,-4
88,3,-6,-1,-8
89,-1,-19,20,-9
90,1,-4,-7,-3
91,-6,3,0,-6
92,-11,-6,0,-7
93,-2,-14,11,-6
94,-9,18,-30,4
95,-15,10,-11,-3
96,-3,-6,-1,-8
97,-6,-8,8,-5
98,1,-17,16,-11
99,-11,5,-6,-3
100,-11,12,-15,-3
101,3,-4,-10,-5
102,-1,-13,8,-10
103,-3,5,-12,-1
104,-4,-3,-2,-5
105,6,-25,12,-1
106,-9,2,-10,4
107,-5,-6,7,-9
108,-5,2,-2,-5
109,-3,-7,5,-4
110,-1,-2,-1,-4
111,-2,1,-1,-3
112,-1,-2,-4,1
113,-2,-13,16,-15
114,-6,-2,5,-3
115,-2,-1,-4,-1
116,0,-9,4,-6
117,-1,-17,12,-6
118,-8,0,4,-6
119,-4,-1,3,-10
120,-6,4,1,-3
121,-3,-12,13,-9
122,-8,9,-19,-3
123,-9,0,-5,2
124,-4,-4,-1,-2
125,-8,0,4,-7
126,2,-7,0,-6
127,-4,-4,-2,-10
128,-2,-3,-3,-2
129,-1,-8,2,0
130,-7,5,-4,-6
131,1,-9,-2,-4
132,0,-13,11,-7
133,-2,-7,-5,-2
134,5,-18,14,-8
135,-12,2,0,-2
136,-3,-1,-10,-7
137,1,-16,14,-6
138,2,-11,3,-6
139,5,-16,4,-10
140,-6,-1,0,-9
141,0,-2,-4,-2
142,0,-23,28,-11
143,-3,1,-13,-2
144,-7,-5,6,-11
145,1,-7,-1,-5
146,-7,-4,9,-6
147,-5,-9,3,-11
148,-8,4,-9,-3
149,-11,-3,-3,-6
150,3,-13,0,-5
151,-1,-7,0,0
152,-5,-12,15,-13
153,-7,-3,8,-10
154,-8,-2,2,-7
155,0,-20,8,-5
156,-7,-2,-4,-8
157,5,-16,12,-10
158,0,-9,1,-4
159,-5,-8,1,-5
160,-8,0,-5,-3
