Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,-6,17,-10
2,0,-5,0,0
3,0,-6,1,2
4,4,-6,4,0
5,-8,4,-8,4
6,-1,-6,2,0
7,-5,13,-22,8
8,-3,3,-3,0
9,-12,26,-33,7
10,-6,8,-4,0
11,-3,2,-1,-3
12,-2,2,-2,0
13,-1,-10,9,-11
14,-3,-6,9,-6
15,-14,16,-20,9
16,-10,6,3,-11
17,-7,3,-2,1
18,-5,7,-9,1
19,-13,14,-13,0
20,-1,-5,2,-9
21,0,-1,-4,-4
22,-5,0,0,0
23,-7,5,0,-3
24,4,-11,-1,0
25,0,-7,13,-8
26,3,-16,11,-1
27,0,-13,12,-7
28,-10,0,7,-1
29,-7,3,-4,1
30,-4,-4,5,-9
31,-14,3,2,-10
32,-7,8,-8,2
33,-3,0,-10,0
34,-6,-6,-1,2
35,-7,0,-4,1
36,-5,6,-11,0
37,1,-14,8,-2
38,-11,5,0,0
39,-2,-3,1,-8
40,-5,-5,3,-1
41,0,-10,15,-7
42,-4,4,-16,-1
43,-2,1,-8,-4
44,-6,7,-8,2
45,-4,-14,22,-13
46,-8,0,-1,0
47,-10,-1,9,-9
48,1,-7,0,-1
49,-12,6,-4,-2
50,-10,2,-2,-1
51,-10,0,2,-5
52,5,-14,7,-8
53,-8,-5,1,-7
54,0,-9,-3,-3
55,-7,6,-10,-2
56,-6,-4,0,-5
57,-4,-9,4,-3
58,-14,12,-7,-7
59,-8,-4,15,-8
60,1,-15,8,-4
61,-7,-6,5,-1
62,1,-6,-4,-1
63,-2,-6,-4,-1
64,-11,12,-8,-2
65,5,-18,9,-5
66,3,-9,8,-6
67,0,-12,1,3
68,-15,7,-10,1
69,-7,-4,-3,-4
70,0,-3,-4,0
71,-5,0,-2,-5
72,4,-24,24,-5
73,-9,-5,12,-6
74,0,-6,8,0
75,-6,-13,13,-9
76,-17,14,-8,-2
77,-1,-12,9,0
78,-6,-4,2,-5
79,-8,0,-3,0
80,0,0,-7,-6
81,-4,-5,-1,-4
82,-4,-8,4,-5
83,-7,0,0,-4
84,-2,-6,7,-9
85,-15,9,-7,-4
86,-11,1,-6,-3
87,-3,0,-14,3
88,-10,7,-5,-1
89,-3,0,-5,-5
90,-4,5,-19,0
91,-10,-9,11,-12
92,-6,-2,4,-10
93,-8,-1,4,-6
94,-3,0,-11,-5
95,-5,-3,-1,-7
96,-11,-1,0,-7
97,-11,-8,7,-8
98,-3,1,-2,-6
99,-7,-5,-4,1
100,-2,-2,-12,-5
101,-10,2,-7,-1
102,-8,0,3,-7
103,-7,0,-7,-3
104,-10,0,2,-11
105,-2,-13,10,-12
106,-2,-6,7,-7
107,-7,-6,7,-14
108,-7,4,-2,-4
109,-3,-6,1,-6
110,-3,4,-15,1
111,-4,-3,0,-1
112,-12,2,-1,-4
113,-10,2,-2,-2
114,0,-11,7,-12
115,-15,8,-13,0
116,1,-15,16,-11
117,-3,3,-6,0
118,-2,-17,14,-11
119,-9,0,-7,-1
120,-6,-12,13,-10
121,0,-11,5,0
122,-4,-1,-12,0
123,-8,-2,6,-7
124,-8,1,-5,-6
125,-12,8,-6,-3
126,-1,-6,0,-7
127,-6,2,-11,1
128,-4,-15,12,-4
129,1,-22,8,-3
130,-6,3,-11,-2
131,-2,-5,-14,2
132,-3,-7,1,-1
133,-19,7,-3,-4
134,-8,-8,0,-5
135,-6,-13,3,-6
136,-8,-5,0,-8
137,-1,-4,-5,-1
138,-11,6,-9,-7
139,-6,-4,-15,0
140,-10,11,-11,2
141,-7,4,-7,-9
142,3,-11,-5,0
143,4,-17,13,-9
144,-13,11,-15,-2
145,-1,-10,2,-7
146,-5,-7,-8,0
147,-3,4,-14,-10
148,-10,8,-20,-4
149,1,-11,4,-14
150,-1,-10,-5,2
151,-3,4,-16,-2
152,-13,-2,-5,-2
153,-12,6,-4,-2
154,-3,-10,5,-6
155,-7,-4,7,-9
156,-9,-4,-8,0
157,-3,-5,-8,1
158,1,-26,15,-2
159,-3,-3,-7,-3
160,-7,-4,-7,0
161,-13,6,-12,1
162,-7,-5,2,-11
163,-7,-17,15,-7
164,-7,-4,3,-3
165,-6,-5,-3,-8
166,-8,7,-5,-6
167,-8,-4,0,0
168,-7,-1,-9,1
169,3,-18,8,-8
170,-6,-3,-4,-4
171,-8,-3,-2,0
172,-8,-1,-6,-5
173,3,-22,4,-7
174,-10,-5,-1,-10
175,-7,-5,-1,-4
176,-8,-3,-1,-5
177,-10,9,-5,-2
178,-7,-1,-2,-7
179,-9,2,-1,-1
180,-15,9,-6,-6
181,-5,-13,7,-3
182,-4,-11,4,-3
183,1,-9,-7,-3
184,-3,-2,-13,0
185,0,-17,5,-3
186,0,-9,2,-6
187,-7,-4,2,-9
188,-8,-5,5,-11
189,-5,-13,-1,-9
190,-8,-3,0,-3
191,2,-15,-3,-3
192,-9,3,-14,-3
193,-7,-3,-1,-6
194,-4,-7,-3,-4
195,-2,0,1,-12
196,-14,3,-9,-2
197,-10,17,-18,-5
198,2,-14,5,-5
199,0,-19,12,-7
200,-8,-4,2,-12
201,-2,-13,4,-7
202,-4,-11,6,-5
203,-7,1,-10,-5
204,0,-12,6,-10
205,-4,-22,21,-13
206,-8,-2,3,-6
207,-9,0,-13,-2
208,-3,-18,15,-18
209,-9,-1,-8,0
210,0,-12,3,-6
211,-1,-17,10,-8
212,-4,-9,8,-17
213,-4,2,-14,-1
214,-9,7,-12,-2
215,-9,-7,6,-14
216,-4,-2,0,-4
217,-1,-5,-2,-3
218,-3,-4,-10,-9
219,0,-19,6,-8
220,-6,4,-13,-4
221,-6,-6,-3,-12
222,-12,4,-12,-3
223,-7,-4,1,-6
224,-4,0,-6,2
225,-1,-7,-6,-6
226,0,-9,1,-12
227,-7,-5,-6,-4
228,0,-16,10,-9
229,-7,0,0,-2
230,-2,-9,3,-7
231,-5,1,-4,-2
232,7,-22,11,-3
233,-7,-4,2,-5
234,11,-23,18,-5
235,6,-5,-4,1
236,3,-15,7,0
237,-1,-14,21,-3
238,-9,5,-5,-1
239,0,-12,4,0
240,0,-12,12,-8
241,-7,-2,-2,-6
242,-12,20,-22,2
243,-3,-8,10,-6
244,-5,-1,-2,-4
245,-8,16,-21,2
246,-9,4,4,-2
247,5,-8,-5,3
248,-4,-2,-4,0
249,-5,-6,-2,-4
250,-5,-3,1,-9
251,-3,-6,-2,3
252,0,-5,0,2
253,-8,2,-5,5
254,-7,-16,11,-8
255,-7,-7,14,-12
256,-1,-8,2,-2
257,1,-23,21,-11
258,-4,-9,0,-6
259,-15,10,-10,0
260,-18,14,-10,0
261,-1,-8,4,-8
262,-6,-1,1,-7
263,-4,-16,9,-6
264,0,-10,-1,-4
265,-1,-20,7,-3
266,-1,-6,-9,0
267,0,-1,-11,0
268,-12,0,1,-4
269,-10,-5,2,-9
270,1,-13,-1,-2
271,-7,-12,11,-7
272,-6,-3,-4,-5
273,0,-15,4,-1
274,-7,2,6,-10
275,-13,3,-1,-9
276,-3,-3,-3,-4
277,0,1,-10,0
278,-10,0,-1,0
279,2,-21,10,-10
280,2,-17,4,-5
281,-9,2,-6,-7
282,-3,-14,9,-5
283,-2,-7,3,-2
284,0,-26,17,-6
285,-9,-10,8,-2
286,0,-18,5,-5
287,-6,-4,5,-3
288,-17,3,-3,-4
289,2,-6,5,-9
290,-11,1,6,-8
291,-2,-11,10,-12
292,0,-9,-6,-4
293,-7,0,-6,3
294,-8,0,-2,-1
295,0,-9,-1,3
296,-9,0,-3,1
297,-3,-7,7,-4
298,-11,0,-5,-2
299,-5,1,-7,-1
300,-10,-15,16,-7
301,-17,12,-9,2
302,-4,-16,10,4
303,5,-23,12,-6
304,-5,-2,1,1
305,-4,-5,1,2
306,4,-21,17,-7
307,-6,-3,-6,3
308,-1,-12,14,-9
309,-11,7,-16,7
310,-5,-5,0,-3
311,-4,0,0,3
312,-14,15,-21,7
313,-1,-17,7,2
314,-1,-9,-7,-1
315,-9,0,-4,4
316,-7,-7,2,0
317,-7,-7,1,-1
318,-1,-9,3,-2
319,0,-10,-3,5
320,-5,0,1,-4
321,-14,16,-12,7
322,-3,-8,8,-8
323,-4,-11,7,1
324,-4,3,-12,10
325,-1,-8,7,-3
326,-8,-6,16,-8
327,0,-24,14,-6
328,-6,-12,4,-4
329,-4,7,-19,15
330,-7,1,-5,9
331,-6,0,-6,8
332,-2,-12,3,6
333,-14,3,-5,10
334,-5,1,-13,18
335,-7,-7,2,9
336,-11,0,-5,8
337,0,-14,11,4
338,3,-16,-3,19
339,-14,5,-3,11
340,-1,-13,2,6
341,-20,17,-23,16
342,-3,-2,-6,6
343,-12,5,-23,19
344,-6,5,-14,7
345,-6,-4,0,8
346,-13,-2,5,3
347,-6,9,-18,12
348,-5,0,-3,8
349,1,-17,6,11
350,-2,-1,-12,14
351,0,-11,2,3
352,2,-10,0,9
353,-6,0,-13,5
354,-10,3,-13,7
355,-2,-8,-1,7
356,-8,4,-21,12
357,-7,1,-11,4
358,-11,1,-4,7
359,-16,14,-14,11
360,-10,11,-16,14
361,-11,1,-4,6
362,-11,-1,0,3
363,-4,0,-11,10
364,0,-9,4,5
365,1,-11,8,4
366,-14,17,-27,17
367,-2,-6,-6,7
368,-6,0,-5,10
369,-13,0,-5,6
370,0,-1,-10,7
371,-12,15,-24,20
372,-4,-6,-5,14
373,-3,2,-13,8
374,-7,3,-12,14
375,-9,6,-13,9
376,-12,9,-7,8
377,-3,-4,-4,12
378,-11,17,-24,14
379,-14,14,-15,5
380,-3,3,-22,17
381,-3,-4,1,3
382,-7,2,-5,10
383,-8,9,-25,17
384,-3,-8,0,2
385,-1,-4,0,12
386,-3,-14,13,3
387,-9,-4,5,3
388,-14,6,1,4
389,-11,-3,-2,5
390,-7,-3,-6,10
391,-7,-8,9,7
392,-13,7,-3,7
393,-5,-10,-3,6
394,-11,-2,-6,11
395,-15,12,-17,10
396,-10,4,-11,0
397,-3,-8,-3,6
398,-7,7,-12,10
399,-6,-2,-6,6
400,-3,-13,3,5
401,-14,13,-24,12
402,-5,0,-11,12
403,-1,-2,-2,9
404,-3,-7,-7,12
405,0,-18,11,7
406,-3,-4,-15,12
407,-8,1,-13,9
408,-9,6,-8,8
409,-3,-16,6,0
410,-3,-3,-5,4
411,-7,-9,2,-2
412,-3,-12,2,4
413,-2,-3,-13,7
414,-2,-5,4,2
415,-4,-2,-5,4
416,-2,-11,-2,11
417,-4,-4,-6,3
418,-6,-6,7,10
419,-4,-15,8,3
420,-10,5,-11,10
421,-1,-5,-4,10
422,1,-6,1,10
423,-12,14,-18,16
424,-5,1,-9,13
425,-10,-6,4,10
426,-11,4,1,8
427,-7,5,-16,19
428,-3,0,-6,8
429,0,-18,18,2
430,-7,13,-24,13
431,-1,-5,0,14
432,-5,-4,-3,11
433,-8,-1,0,5
434,4,-14,-2,10
435,-1,-3,-6,12
436,-1,-7,2,4
437,1,-7,-6,11
438,0,-10,0,7
439,-3,-9,3,7
440,-6,0,-11,19
441,-16,7,-11,11
442,2,-12,11,6
443,7,-30,28,0
444,-2,-14,5,9
445,-4,-4,-7,18
446,-1,-14,-2,17
447,-15,8,-16,20
448,-2,2,-19,18
449,0,-8,-2,10
450,-3,-14,6,10
451,2,-8,-4,13
452,-7,1,-20,12
453,-2,-10,12,8
454,-3,-2,-1,10
455,-9,1,-1,8
456,-6,0,-16,15
457,-9,6,-9,17
458,-11,9,-9,14
459,-7,-3,0,12
460,-1,-6,0,10
461,-4,-2,-5,13
462,-8,4,-21,15
463,0,1,-12,15
464,-8,0,-6,10
465,-11,6,-20,17
466,0,-3,-8,11
467,-6,5,-10,11
468,-1,-4,-8,9
469,-4,-2,-1,9
470,-4,6,-17,13
471,-7,-11,20,5
472,-6,5,-9,10
473,-3,3,-14,14
474,-10,-3,4,3
475,-16,8,-4,14
476,-9,10,-22,14
477,-2,-2,-5,14
478,-5,0,4,6
479,3,-14,0,10
480,-10,7,-15,21
481,0,-4,3,6
482,0,-13,9,10
483,-14,12,-14,12
484,1,-12,7,9
485,-6,4,-1,14
486,-8,0,9,7
487,0,-8,1,4
488,-6,-3,-3,7
489,1,-16,16,-5
490,2,-7,-9,14
491,0,-9,5,1
492,0,-9,-1,7
493,-2,-2,-7,6
494,-6,-6,2,5
495,-14,5,6,3
496,-3,-6,4,3
497,-7,2,0,6
498,2,-12,2,7
499,4,-11,0,0
500,-17,17,-13,9
501,0,-12,1,12
502,-12,15,-18,8
503,-4,5,-12,10
504,-9,-2,7,7
505,-1,-6,-9,14
506,-3,-23,12,10
507,1,-19,10,7
508,-5,-4,8,3
509,-4,-13,7,2
510,-9,0,-2,5
511,-4,1,-5,9
512,0,-8,-12,10
513,-1,-2,5,1
514,-11,5,-7,8
515,-5,-8,0,8
516,0,-14,3,11
517,-6,4,-13,11
518,-1,-6,-4,14
519,0,-8,0,9
520,-4,-3,4,2
521,-8,-8,4,5
522,2,-16,8,4
523,-9,-4,5,3
524,0,-14,6,7
525,1,-20,14,4
526,1,-7,-7,12
527,-5,-7,2,6
528,-13,-7,16,-1
529,-5,4,-9,2
530,-7,0,-5,14
531,-4,-1,-3,8
532,0,-10,6,4
533,1,-3,2,7
534,0,-1,-13,17
535,-11,3,-11,8
536,7,-25,11,0
537,-3,-3,-1,5
538,-2,-10,4,0
539,-4,-3,-4,8
540,-8,-1,-11,4
541,-8,-2,-2,7
542,-8,0,5,5
543,-6,-5,-5,7
544,-5,-2,-2,6
545,4,-16,4,5
546,-14,8,-7,10
547,-1,-23,18,1
548,-3,-4,6,5
549,-5,0,-3,9
550,-11,-4,7,-2
551,-12,3,-12,3
552,-2,-11,2,0
553,-8,-1,-10,4
554,-13,7,-17,10
555,0,-16,4,2
556,-9,5,-8,8
557,-4,7,-20,14
558,-11,4,-9,9
559,-5,-7,1,0
560,-2,-2,0,-1
561,-6,2,-11,7
562,-10,0,-11,7
563,-3,-10,-4,8
564,6,-22,7,5
565,5,-31,15,-1
566,-3,5,-15,10
567,1,-17,3,2
568,-7,1,-14,13
569,-11,4,-4,7
570,2,-13,8,-5
571,-1,-3,0,1
572,-9,-5,2,-1
573,1,-13,7,-2
574,2,-25,25,-8
575,-6,-6,11,-4
576,4,-9,-2,4
577,-3,-3,1,3
578,-4,-2,3,-1
579,-6,-1,-4,7
580,-1,-9,8,0
581,-1,-5,5,1
582,1,0,-8,7
583,-4,1,-2,2
584,2,-8,7,2
585,-2,-3,3,6
586,-10,10,-5,7
587,-4,-5,9,6
588,0,-11,8,6
589,-2,2,-1,9
590,-6,0,4,4
591,0,7,-17,12
592,-5,-1,-2,9
593,-10,0,2,4
594,-5,2,-6,5
595,-4,-6,4,8
596,-5,1,4,2
597,4,-15,8,3
598,8,-19,9,5
599,-2,-9,11,0
600,-3,0,0,4
601,0,-3,1,5
602,6,-9,2,2
603,3,-19,15,1
604,-4,-9,16,0
605,0,-17,15,-2
606,2,-16,18,0
607,-6,-3,8,-1
608,-3,-6,2,0
609,-3,-10,9,0
610,-3,-2,0,13
611,2,-13,1,11
612,-7,4,-14,13
613,-8,-7,12,3
614,4,-5,5,2
615,0,-16,13,0
616,-2,-3,1,6
617,0,-3,-10,20
618,4,-22,24,-8
619,-4,-7,1,0
620,-7,0,-4,3
621,-6,-9,11,-2
622,-4,-6,7,0
623,-3,-5,5,-3
624,-1,-4,0,0
625,-11,-5,7,3
626,5,-7,0,3
627,-7,3,-3,-3
628,0,-14,16,1
629,-4,8,-18,11
630,-13,3,-6,6
631,0,-22,24,-11
632,2,-21,21,-3
633,-12,3,-6,7
634,-8,3,-8,8
635,-5,-7,2,7
636,-9,-4,5,3
637,1,-6,-5,4
638,-2,-5,0,-1
639,-1,-16,12,0
640,3,-15,12,-1
641,-10,-1,4,0
642,1,-2,-8,9
643,-8,0,-1,0
644,2,-17,12,-7
645,-5,-7,10,-7
646,-5,-4,4,0
647,3,-14,11,-5
648,5,-26,21,-7
649,0,-9,3,0
650,-3,-12,12,-3
651,-2,-3,1,-2
652,-17,19,-18,9
653,6,-14,3,2
654,0,-5,-2,-2
655,1,-11,5,-7
656,-7,5,-9,-3
657,-9,-4,1,-5
658,-5,-7,1,-2
659,-1,-8,10,-4
660,-3,-8,4,5
661,-4,-2,-2,-3
662,-2,-1,-4,0
663,2,-12,9,-6
664,-5,-5,8,-7
665,-4,2,1,0
666,-8,8,-13,8
667,3,-19,13,-4
668,1,-11,16,-11
669,-2,-6,13,-8
670,2,-7,2,-3
671,-6,7,-17,8
672,-14,16,-12,1
673,1,-8,8,1
674,-7,16,-4,-4
675,4,-16,14,-3
676,-5,3,-10,-2
677,-6,1,-10,-4
678,8,-12,6,-6
679,10,-25,20,-6
680,-9,24,-16,11
681,-3,17,-16,16
682,5,-6,5,9
683,6,0,7,2
684,4,-1,16,-1
685,4,5,2,7
686,0,4,2,2
687,0,1,4,7
688,6,6,0,5
689,-2,3,12,4
690,8,2,1,1
691,-2,18,-9,9
692,5,-3,12,5
693,-1,3,9,2
694,5,-12,13,7
695,0,-8,19,7
696,9,-20,21,12
697,-5,-1,6,9
698,-5,3,14,1
699,1,-19,29,1
700,1,-3,6,3
701,6,-19,23,3
702,-5,7,-5,2
703,-2,1,11,0
704,-4,14,-15,5
705,7,-3,-3,5
706,6,1,-7,10
707,3,3,3,2
708,13,-7,4,2
709,2,5,-4,5
710,7,1,5,0
711,14,-4,0,8
712,2,12,-2,20
713,3,1,-2,27
714,-3,21,-25,52
715,0,26,-35,88
716,0,33,-45,122
717,-2,34,-53,159
718,-10,46,-75,188
719,-7,37,-57,188
720,-4,28,-44,171
721,-10,29,-34,140
722,-2,23,-33,110
723,-11,38,-37,82
724,-2,27,-25,54
725,-3,29,-26,44
726,-1,14,-7,32
727,6,4,0,23
728,9,-3,7,22
729,8,-7,11,21
730,7,-7,10,17
731,4,2,-6,18
732,7,-5,6,17
733,7,7,-6,24
734,21,-16,19,13
735,1,0,7,15
736,13,6,0,17
737,13,2,-2,19
738,13,-6,3,10
739,19,-23,18,11
740,7,-10,10,6
741,0,16,-16,13
742,12,0,2,14
743,17,-8,-2,20
744,6,7,-3,19
745,2,12,-6,19
746,11,-9,16,8
747,10,9,-5,13
748,11,18,-21,24
749,17,1,-9,20
750,2,9,-7,22
751,2,14,-14,21
752,8,10,6,13
753,7,11,-11,25
754,12,6,1,15
755,15,2,3,23
756,8,3,9,10
757,4,18,-13,23
758,19,-3,15,7
759,19,1,10,8
760,28,-8,12,11
761,27,1,5,14
762,40,3,11,8
763,55,7,3,17
764,97,16,-17,24
765,138,17,-8,16
766,192,11,0,10
767,245,17,9,12
768,290,3,5,8
769,276,10,2,15
770,223,20,-14,14
771,168,18,-3,13
772,107,17,1,13
773,74,26,0,15
774,55,19,10,6
775,40,24,-2,12
776,53,24,-3,9
777,71,28,-6,15
778,115,3,8,15
779,150,27,-13,20
780,214,15,-11,21
781,258,-6,9,10
782,272,-3,3,13
783,233,19,-3,10
784,198,24,0,8
785,172,21,7,14
786,139,-6,29,7
787,100,24,9,10
788,81,30,-1,14
789,78,17,11,12
790,62,31,1,13
791,43,37,5,11
792,42,28,16,6
793,28,31,0,16
794,37,21,0,14
795,37,24,-12,14
796,48,14,4,11
797,50,10,5,17
798,63,26,-13,10
799,91,25,-10,9
800,143,10,-1,22
801,173,14,6,7
802,247,1,2,12
803,277,7,7,5
804,308,18,12,10
805,360,0,20,10
806,359,16,5,10
807,337,37,-8,14
808,316,19,14,8
809,265,24,1,16
810,179,56,-7,9
811,145,56,-5,13
812,110,48,-7,15
813,99,44,9,9
814,87,57,-1,9
815,93,57,0,10
816,113,45,-1,8
817,133,32,0,9
818,156,36,-5,10
819,179,30,-4,6
820,197,15,-5,15
821,230,5,7,11
822,235,20,4,7
823,234,27,0,7
824,251,25,-9,20
825,268,25,-14,16
826,285,35,-1,10
827,331,20,9,12
828,370,34,10,4
829,417,24,7,8
830,453,24,19,12
831,449,61,-6,16
832,452,60,1,10
833,425,52,8,9
834,400,65,-4,18
835,357,60,11,7
836,332,57,3,12
837,312,71,10,11
838,333,79,-2,12
839,385,49,29,1
840,473,49,17,3
841,572,44,3,9
842,687,25,12,0
843,778,11,18,7
844,827,-2,44,0
845,811,55,0,10
846,766,62,16,3
847,666,58,14,6
848,564,63,6,13
849,431,61,16,8
850,342,74,-3,13
851,277,78,-6,17
852,252,53,18,6
853,217,70,-13,22
854,216,67,-14,24
855,202,55,6,10
856,195,52,-6,21
857,197,54,-1,15
858,209,29,1,22
859,190,51,-19,23
860,197,38,14,4
861,204,36,-4,17
862,215,49,-12,19
863,246,23,13,6
864,237,40,12,10
865,241,58,-7,22
866,206,86,-15,19
867,215,42,16,0
868,228,68,-7,14
869,290,68,-6,8
870,415,57,2,6
871,581,30,22,9
872,657,44,0,11
873,632,55,3,12
874,565,23,25,0
875,457,68,-3,14
876,387,88,-5,10
877,346,82,25,6
878,312,82,6,7
879,250,73,6,13
880,210,56,12,10
881,180,82,-5,11
882,173,58,12,-1
883,188,56,3,3
884,208,49,5,11
885,225,33,7,13
886,241,9,33,0
887,240,43,-6,14
888,229,44,5,11
889,230,34,2,14
890,242,18,10,12
891,238,30,11,5
892,270,16,15,7
893,264,41,-7,15
894,265,33,14,5
895,247,35,0,15
896,223,18,9,16
897,189,36,12,1
898,178,35,3,14
899,188,40,-6,14
900,198,33,14,8
901,213,33,4,6
902,214,50,2,3
903,229,26,17,4
904,229,20,13,6
905,206,45,-10,15
906,182,46,0,10
907,174,14,20,3
908,152,24,7,4
909,115,54,-2,12
910,121,33,-3,12
