Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,4,-5,3,-5
2,0,-5,0,-2
3,4,-5,2,-2
4,4,-9,1,4
5,5,-14,5,-1
6,-5,10,-14,3
7,-8,2,2,0
8,0,-6,10,-11
9,0,-9,2,-3
10,-5,-8,20,-11
11,2,-3,-5,0
12,6,-16,10,0
13,3,-17,14,-16
14,-4,-5,3,-5
15,0,-16,20,-16
16,1,-13,11,-9
17,-1,-3,-3,0
18,-2,-9,8,-5
19,5,-7,-5,2
20,4,-15,2,-3
21,0,-6,12,-8
22,1,-15,16,-14
23,-4,-1,-3,2
24,7,-26,23,-11
25,1,-16,20,-7
26,-2,1,-6,-4
27,-2,-6,10,-5
28,0,-7,15,-13
29,4,-8,0,-5
30,1,-11,8,-1
31,-7,-3,2,-2
32,-10,9,-21,2
33,-7,8,-14,0
34,-1,-16,13,-8
35,-5,15,-18,1
36,-6,1,-6,-2
37,-4,-1,3,-1
38,0,-7,8,-10
39,-6,-3,0,-6
40,-4,-7,10,-3
41,-3,-1,8,-4
42,-1,-3,0,-6
43,-8,12,-4,-7
44,0,-10,4,0
45,-2,-12,11,-2
46,-2,-5,0,-1
47,-5,-3,7,-6
48,1,-9,7,-7
49,2,-22,24,-13
50,4,-17,21,-9
51,0,-12,8,-2
52,-8,-2,0,-1
53,6,-23,29,-16
54,-8,-10,11,-2
55,-3,0,-5,-4
56,-1,-5,-2,-1
57,-8,-2,0,-1
58,0,3,-9,-6
59,5,-20,21,-11
60,5,-7,-6,-2
61,1,-16,25,-6
62,-5,-12,20,-6
63,-7,-2,3,-10
64,1,-16,7,-7
65,0,-13,17,-11
66,-1,-4,-1,-1
67,1,-8,2,0
68,-5,-5,9,-8
69,0,-16,16,-14
70,-3,-11,11,-12
71,-3,-9,10,-4
72,-4,1,-3,1
73,5,-19,12,-3
74,3,-26,28,-5
75,1,-25,18,-3
76,-5,0,-1,-2
77,7,-17,11,-3
78,-1,-7,8,-11
79,-5,-14,25,-14
80,-5,-7,3,-10
81,0,-12,6,-7
82,-6,-8,7,-10
83,-3,-12,8,-4
84,-6,-4,-1,0
85,-8,11,-9,-4
86,1,-15,11,-15
87,-2,-4,2,-8
88,0,-15,10,-9
89,0,-4,1,-6
90,-12,6,-5,-8
91,-5,4,-7,-6
92,-4,-6,2,-2
93,4,-26,21,-14
94,-2,-5,-3,-8
95,-2,-9,-8,0
96,0,-11,8,-6
97,5,-23,14,-5
98,-8,-9,14,-4
99,4,-26,17,-10
100,-2,-5,-5,-6
101,1,-12,5,-4
102,-9,3,-8,-8
103,2,-15,7,-5
104,-6,-1,-5,0
105,-3,-4,0,-4
106,-1,-20,22,-13
107,5,-23,16,-8
108,-3,-8,4,-10
109,2,-6,-4,-2
110,0,-14,1,-3
111,-4,-5,0,-5
112,4,-21,11,-7
113,-6,-5,-6,0
114,-2,-13,6,-7
115,-3,-5,-4,0
116,-5,-12,17,-9
117,-7,0,-3,-2
118,-6,-10,-3,-7
119,-1,-29,27,-14
120,4,-20,6,-4
121,-8,-7,12,-10
122,4,-19,9,-8
123,-9,6,-2,-5
124,0,-9,1,-8
125,-1,-8,-1,-8
126,-3,-6,3,-8
127,-3,-4,-8,0
128,-8,2,-1,0
129,-9,-5,-1,-3
130,-1,-16,10,-11
131,-9,0,-9,-6
132,-5,-8,5,-9
133,-5,-4,-3,-4
134,-4,-12,10,-6
135,2,-19,13,-16
136,-4,-6,-4,-3
137,4,-10,-2,-1
138,-13,1,10,-10
139,-9,0,3,-12
140,3,-10,0,-10
141,-3,0,-10,-5
142,-3,-6,0,-4
143,-10,4,-5,-6
144,-15,8,-10,2
145,-11,-9,1,-8
146,-3,0,-6,-5
147,-6,-14,2,-7
148,-2,-4,-12,5
149,-1,-12,7,-13
150,4,-14,0,-7
151,-2,-23,21,-14
152,-3,-5,-3,-9
153,5,-20,15,-14
154,-3,0,-5,-6
155,-3,-7,5,-15
156,-8,-2,1,-10
157,-5,-14,13,-9
158,-9,-10,14,-13
159,2,-11,4,-9
160,-2,-10,7,-11
161,-2,-11,6,-8
162,0,-19,16,-11
163,-9,-2,5,-9
164,1,-20,16,-11
165,-6,-7,-1,-7
166,-5,-12,5,-11
167,-1,-11,-4,-6
168,-10,-9,1,-7
169,-6,-8,0,-6
170,0,-12,6,-7
171,-12,10,-12,-1
172,-5,-9,2,-10
173,-2,-12,12,-11
174,-7,-6,0,-8
175,-8,-1,-2,-4
176,-4,-6,1,-4
177,-4,-6,1,-4
178,0,-12,5,-6
179,-6,-3,4,-10
180,0,-1,-3,-5
181,-5,-2,-3,-4
182,-4,-17,10,-5
183,-12,4,-2,-6
184,1,-8,1,-8
185,-6,-6,2,-8
186,2,-26,26,-13
187,6,-15,0,0
188,-6,-17,13,-6
189,-14,-1,4,-6
190,11,-36,23,-11
191,1,-11,1,-10
192,-7,-3,-2,-4
193,-8,-11,9,-13
194,-3,-8,-4,-4
195,1,-20,16,-11
196,0,-8,0,-10
197,-7,-1,-8,-5
198,5,-22,15,-13
199,-2,-7,1,-4
200,-1,-2,0,-6
201,-7,-12,16,-13
202,-6,0,-4,-6
203,-1,-6,0,-9
204,-1,-13,17,-13
205,-1,-15,18,-11
206,-4,-14,6,-5
207,-1,-13,14,-11
208,-9,5,-2,-2
209,4,-13,8,-11
210,-4,-5,4,-2
211,-3,1,-3,1
212,8,-22,21,-7
213,3,-5,3,-1
214,0,-4,2,1
215,5,-22,30,-9
216,-12,15,-2,-1
217,-5,0,4,0
218,-8,2,-1,1
219,14,-28,18,-3
220,-1,6,-11,1
221,-3,1,-10,3
222,-3,-10,10,-6
223,-2,-5,3,-6
224,3,-7,-2,4
225,-3,-2,-7,-2
226,-9,1,3,-2
227,-1,-7,4,-8
228,-4,-2,0,0
229,-6,-2,-1,-1
230,-2,-8,3,-3
231,-2,-1,-10,1
232,-3,-2,-2,-1
233,-5,-5,-3,-4
234,0,-14,7,0
235,1,-12,9,-7
236,-7,7,-13,0
237,-6,2,3,-9
238,0,-7,-3,-3
239,-5,1,-11,1
240,-4,-14,13,-13
241,-4,-5,6,-8
242,0,-9,1,-7
243,-8,10,-17,1
244,-7,2,-4,0
245,-10,4,0,-5
