Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,1,2,-10,4
2,-2,-7,7,-4
3,0,-9,15,-3
4,0,-7,6,-5
5,1,0,0,-3
6,-4,-1,-2,2
7,-2,-1,9,-6
8,-6,9,-14,8
9,-9,11,-10,-4
10,0,0,10,-6
11,0,0,-4,0
12,0,0,-7,3
13,-6,3,-3,0
14,-3,3,-5,0
15,0,6,-14,-1
16,0,-2,-2,1
17,2,-6,11,-5
18,0,-7,9,-13
19,-3,-1,7,-7
20,6,-21,16,-4
21,6,-8,6,-4
22,4,-15,9,-8
23,-4,-1,8,-3
24,-5,10,-14,5
25,1,-16,15,-3
26,0,7,-19,-1
27,-3,-2,-4,0
28,0,-5,3,-1
29,-2,-10,13,-5
30,-3,-5,11,-10
31,-4,6,-11,2
32,-5,3,-2,-3
33,-2,-6,10,-10
34,-6,0,-2,-2
35,0,-6,-2,2
36,-6,8,-16,0
37,3,-13,9,0
38,1,8,-17,9
39,-5,7,-7,0
40,11,-19,8,-1
41,5,-17,10,0
42,6,-7,6,-11
43,-3,0,0,-2
44,6,-13,6,-5
45,3,-2,-14,6
46,7,-15,10,-11
47,-4,1,-9,1
48,5,-8,0,-5
49,7,-18,18,-7
50,1,-11,4,-3
51,0,-10,12,-8
52,-8,5,-11,8
53,3,-9,5,-4
54,-2,-1,1,-5
55,-1,-1,-4,1
56,-3,1,-6,2
57,0,-10,16,-13
58,-8,9,-9,-1
59,4,-32,31,-13
60,5,-6,0,-5
61,-9,8,-4,0
62,2,-13,11,-4
63,-8,12,-12,-2
64,-1,-11,9,-2
65,0,-11,16,-11
66,0,-6,12,-8
67,1,-14,11,-6
68,-7,-10,20,-16
69,3,-5,-12,-1
70,6,-23,16,-14
71,-3,-5,4,-2
72,2,-18,18,-3
73,16,-31,20,-3
74,5,-14,20,-13
75,-1,-17,11,-13
76,-2,-11,11,-9
77,4,-12,17,-10
78,1,-17,12,-8
79,1,-6,-1,-3
80,-9,3,5,-14
81,2,-10,0,-7
82,-7,7,-12,3
83,1,-15,16,-7
84,0,-9,12,-9
85,-11,10,-4,-6
86,-19,14,-13,0
87,1,0,-13,-4
88,-2,-11,12,-12
89,-6,-2,0,-6
90,2,-5,-6,-1
91,-8,3,-11,1
92,-13,10,-3,-8
93,-7,5,-4,-5
94,0,-1,-23,4
95,2,-13,1,-10
96,2,-8,-3,-7
97,-10,-5,6,-4
98,-9,-4,7,-2
99,-7,1,-6,-1
100,-8,-4,2,-4
101,-2,1,-8,-2
102,-1,-2,0,-4
103,3,-20,12,-11
104,0,6,-18,-1
