Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,6,-21,2,1
2,2,-1,-3,2
3,4,-7,1,1
4,-1,-9,5,-2
5,5,-17,12,-7
6,10,-23,26,-12
7,-2,3,-4,-3
8,3,-8,-17,8
9,6,-30,23,-9
10,1,-6,-2,-1
11,-2,3,-12,2
12,3,-14,8,-8
13,5,-16,5,-1
14,-3,-3,-4,-3
15,-7,6,-6,-4
16,1,-18,16,-7
17,-7,0,-5,-8
18,-10,-5,3,0
19,4,-9,0,-1
20,5,-15,4,1
21,0,-5,-3,0
22,1,-5,-7,0
23,5,-15,4,-6
24,1,-11,11,-6
25,-2,-1,0,-3
26,-3,12,-20,0
27,12,-39,28,-10
28,1,-12,-1,1
29,-9,-2,-6,-4
30,1,-6,-1,0
31,2,-11,0,0
32,-10,0,-5,1
33,-1,3,-21,7
34,0,-10,-2,-7
35,-7,1,-4,-6
36,-1,0,-4,-6
37,-15,6,-8,-7
38,11,-16,-1,-2
39,0,0,-11,-8
40,-1,-13,4,-14
41,-4,-5,2,-5
42,-7,4,-5,-3
43,-11,2,-9,0
44,0,-18,14,-9
45,2,-7,-1,1
46,2,-12,5,-8
47,0,-9,4,-8
48,2,-18,4,-5
49,-1,0,-7,-4
50,-8,0,-1,-8
51,2,-8,3,-12
52,0,-10,-10,-5
53,-8,7,-21,-2
54,-11,1,-2,-9
55,4,-15,0,-8
56,6,-22,2,-2
57,-9,5,-8,-9
58,-1,-8,0,-9
59,-6,-5,6,-11
60,-8,-3,5,-5
61,3,-17,7,-8
62,-10,-9,7,-9
63,-6,-7,-2,-3
64,-2,-4,-1,-12
65,1,-21,16,-13
66,-10,3,-10,-4
67,-15,10,-9,-7
68,1,-19,0,-4
69,-7,-1,-3,-4
70,-5,5,-12,-6
71,3,-12,1,-8
72,0,-9,0,-3
73,6,-23,15,-19
74,-7,-3,4,-12
75,-9,0,-6,-1
76,-2,-8,-6,-6
77,-8,0,-8,-3
78,-6,-3,1,-1
79,0,-19,8,-9
80,-5,-4,-4,-5
81,-3,-4,-5,-6
82,6,-24,3,-4
83,1,-10,6,-10
84,-2,-11,4,-10
85,-4,-4,5,-10
86,-3,-4,-16,1
87,-3,-9,2,-9
88,-4,-1,-19,2
89,-4,-14,9,-11
90,-1,-10,-3,-13
91,-5,-4,-5,-3
92,6,-23,12,-9
93,-15,6,-9,-3
94,1,-23,3,-6
95,-3,-17,10,-9
96,-2,-16,9,-3
97,2,-22,13,-8
98,-14,0,-15,2
99,-1,-6,-1,-6
100,-6,-4,-2,0
101,0,-8,-9,-1
102,-10,3,-2,-7
103,-3,-17,7,-6
104,-8,0,-5,-6
105,-4,-5,-6,-8
106,-1,-13,6,-9
107,-6,-17,10,-9
108,-7,-2,-13,0
109,-1,-18,18,-11
110,-2,-13,0,-6
111,-4,-9,-9,0
112,-4,-3,-6,-7
113,-6,-7,2,-3
114,0,-14,3,-4
115,-6,-21,11,-8
116,-9,-13,10,-9
117,-10,-11,8,-9
118,-10,0,-7,-4
119,-3,-14,0,-8
120,-3,-6,-3,-9
121,-11,-2,-1,-3
122,-1,-32,25,-11
123,-10,-11,3,-9
124,-10,-14,12,-10
125,0,-32,23,-17
126,-3,-1,-9,-3
127,-3,-7,-2,-3
128,2,-14,4,-4
129,3,-17,0,-6
130,-12,-5,1,-8
131,-7,-11,5,-5
132,-14,-3,0,-2
133,-4,0,-18,1
134,-6,-3,-10,-5
135,-5,-10,-10,-3
136,-7,-7,4,-8
137,1,-21,14,-9
138,2,-26,18,-12
139,-11,-3,3,-12
140,0,-12,-1,-9
141,-2,-3,-8,4
142,-6,-9,3,-3
143,-8,-9,6,-9
144,0,-15,3,-7
145,-3,-4,-4,-5
146,-6,-3,0,-8
147,3,-24,6,-7
148,-17,-1,3,-8
149,0,-17,1,-3
150,-16,0,-2,-9
151,12,-33,6,-1
152,-5,-3,-8,-7
153,0,-34,19,-16
154,-4,-13,7,-14
155,8,-35,10,-10
156,5,-27,22,-14
157,-12,-8,9,-7
158,-3,-7,-6,-7
159,-5,-8,6,-7
160,-8,-5,-4,-9
161,-3,-21,14,-6
162,1,-22,1,-3
163,-9,-3,-13,-8
164,-12,-1,-3,-7
165,-5,-7,2,-6
166,-2,-22,11,-15
167,-3,-18,1,-7
168,-1,-15,4,-20
169,-5,-14,9,-16
170,-1,-11,-3,-6
171,-3,-21,6,-13
172,-8,-9,1,-18
173,-1,-22,14,-19
174,-14,-7,-2,-7
175,-5,-15,2,-3
176,-8,1,-7,-12
177,0,-16,0,-8
178,-12,1,-1,-16
179,-7,2,-8,-11
180,-6,-19,9,-9
181,-7,-12,8,-11
182,-3,-26,15,-14
183,-7,-24,9,-9
184,-3,-9,-10,-3
185,-8,-8,-6,-9
186,-8,-5,-16,-3
187,-16,4,-5,-12
188,0,-10,0,-8
189,-7,-10,9,-8
190,-15,0,-1,-9
191,-8,-8,-4,-5
192,0,-24,12,-12
193,-7,-18,5,-10
194,-2,-11,-1,-5
195,-6,-17,6,-8
196,-8,-2,-12,-5
197,-5,-12,7,-13
198,3,-15,-9,-7
199,-3,-12,-2,-4
200,-12,2,-11,-8
201,-2,-8,-5,-7
202,-5,6,-13,-5
203,-3,-14,10,-16
204,-2,-9,0,-9
205,-1,-14,8,-10
206,-5,-6,-3,-6
207,-5,-21,8,-18
208,-12,-3,-5,-2
209,-2,-5,-10,-8
210,3,-26,10,-14
211,-8,-3,-8,-6
212,-2,-26,23,-15
213,5,-27,21,-7
214,-4,-8,-7,2
215,-8,-2,-2,0
216,-2,-7,-5,2
217,-2,-11,0,-2
218,4,-28,28,-13
219,1,-23,18,-12
220,-1,-12,7,-11
221,-7,-2,6,-6
222,-3,-21,22,-14
223,-7,-2,-8,0
224,-7,-11,13,-12
225,2,-21,6,-11
226,-6,-14,8,-4
227,0,-23,11,-10
228,-12,-7,-1,-3
229,0,-19,5,-6
230,-11,0,-8,-13
231,-14,-1,0,-1
232,-2,-16,17,-6
233,-8,-4,-5,-6
234,-15,-9,4,-11
235,1,-14,1,-7
236,-10,-17,23,-12
237,-4,-14,-2,-2
238,-5,-8,5,-7
239,-6,-18,11,-4
240,-2,-19,4,-9
241,-4,-28,24,-10
242,-5,-23,12,-7
243,-3,-5,-10,-8
244,-7,-2,-10,-1
245,-6,-9,0,-4
246,-9,-17,5,-8
247,-4,-11,4,-2
248,-8,-8,4,-7
249,-11,6,-17,-2
250,0,-19,16,-16
251,-8,-14,14,-8
252,-7,-5,0,-8
253,-5,-5,-8,-3
254,-10,0,0,-12
255,-2,-17,12,-14
256,-8,4,-12,-3
257,-10,-4,-7,-7
258,0,-27,13,-19
259,2,-18,9,-11
260,-7,-16,11,-14
261,-6,-20,0,-7
262,0,-13,0,-12
263,-7,-10,5,-7
264,-9,-5,1,-11
265,-5,-2,-10,-3
266,-8,-6,-2,-10
267,-4,-23,8,-7
268,-9,-12,4,-6
269,1,-34,15,-8
270,-6,-11,0,0
271,-6,-3,-11,1
272,-7,-8,-2,-8
